"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"阿寒湖","[阿寒湖あかんこ北海道火山13.2545.00.249二級河川・阿寒川水系。] 阿寒湖 （あかんこ）は 北海道 東部、 釧路市 にある 湖 である。全域が 阿寒摩周国立公園 に含まれ、 道東 を代表する 観光地 となっている。淡水湖として北海道で5番目に大きい。","https://ja.wikipedia.org/wiki/阿寒湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度27分0秒東経144度6分0秒","北海道（釧路総合振興局）","13.25km2","淡水","カルデラ湖・堰止湖","25.9km","420  m","45.0m","北緯43度27分0秒東経144度6分0秒﻿ / ﻿北緯43.45000度 東経144.10000度﻿ /43.45000; 144.10000座標:北緯43度27分0秒東経144度6分0秒﻿ / ﻿北緯43.45000度 東経144.10000度﻿ /43.45000; 144.10000","富栄養湖","17.8 m","5.0 m","0.249km3","","","","","","",""
"厚岸湖","[厚岸湖あっけしこ北海道海跡32.3111.00.0486] 厚岸湖 （あっけしこ）は、 北海道 厚岸郡 厚岸町 にある 湖 で 厚岸道立自然公園 に含まれる。アッケシトー  、蠣沼  ともよばれたことがある。","https://ja.wikipedia.org/wiki/厚岸湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度2分32秒東経144度53分45秒","日本北海道（釧路総合振興局）","32.31km2","汽水","海跡湖","25km","0  m","11.0m","北緯43度2分32秒東経144度53分45秒﻿ / ﻿北緯43.04222度 東経144.89583度﻿ /43.04222; 144.89583座標:北緯43度2分32秒東経144度53分45秒﻿ / ﻿北緯43.04222度 東経144.89583度﻿ /43.04222; 144.89583","中栄養湖","","1.3 m","","","","","","","",""
"網走湖","[網走湖あばしりこ北海道海跡32.2816.80.20一級河川・網走川水系。] 網走湖 （ あばしりこ ）は、 北海道 網走市 と 網走郡 大空町 にまたがる 湖 である。 網走国定公園 に含まれる。","https://ja.wikipedia.org/wiki/網走湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯43度58分0秒東経144度10分0秒","北海道（オホーツク総合振興局）","32.28km2","汽水","海跡湖","39.20km","0  m","16.8m","北緯43度58分0秒東経144度10分0秒﻿ / ﻿北緯43.96667度 東経144.16667度﻿ /43.96667; 144.16667座標:北緯43度58分0秒東経144度10分0秒﻿ / ﻿北緯43.96667度 東経144.16667度﻿ /43.96667; 144.16667","富栄養湖","6.1 m","1.4 m","－km3","","","","","","",""
"一菱内湖 (存在しないページ)","[一菱内湖いちびしないこ北海道2.96北方領土・国後島にある。]","https://ja.wikipedia.org/w/index.php?title=一菱内湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ウトナイ湖","[ウトナイ湖うとないこ北海道海跡2.101.50.00154二級河川・安平川水系。] ウトナイ湖 （ウトナイこ）は、 北海道 苫小牧市 の東部にある淡水湖。 ウトナイトー(ウトナイト) 、 ウトナイ沼 などとも呼ばれる。","https://ja.wikipedia.org/wiki/ウトナイ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度41分56秒東経141度42分40秒","日本北海道苫小牧市","2.20km2","淡水","海跡湖","9.5km","3  m","1.5m","北緯42度41分56秒東経141度42分40秒﻿ / ﻿北緯42.69889度 東経141.71111度﻿ /42.69889; 141.71111座標:北緯42度41分56秒東経141度42分40秒﻿ / ﻿北緯42.69889度 東経141.71111度﻿ /42.69889; 141.71111","中栄養湖","0.6 m","0.6 m","","","","","","","",""
"得茂別湖 (存在しないページ)","[得茂別湖うるもんべつこ北海道5.80北方領土・択捉島にある。]","https://ja.wikipedia.org/w/index.php?title=得茂別湖&amp;action=edit&amp;redlink=1","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"生花苗沼","[生花苗沼おいかまないとう北海道海跡1.543.60.0026] 生花苗沼 （おいかまないぬま）は 北海道 東部、 大樹町 にある 汽水湖 である。 アイヌ語 読みのオイカマナイトウと呼ばれることもある。","https://ja.wikipedia.org/wiki/生花苗沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度33分14.8秒 東経143度29分26.3秒","日本北海道（十勝総合振興局）","1.54km2","汽水","海跡湖","12.2km","1  m","3.6m","","腐食型","約1 m","","","","","","","","",""
"大沼 (稚内市)","[大沼おおぬま北海道海跡4.672.20.00778二級河川・声問川水系。稚内市にある。] 大沼 （おおぬま）は、 北海道 の北端、 稚内市 中北部にある沼。 アイヌ語 名は シュプントウ （ウグイの沼、の意）。","https://ja.wikipedia.org/wiki/大沼_(稚内市)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯45度22分48秒東経141度45分34秒","日本北海道稚内市","4.67km2","","海跡湖","12km","1  m","2.2m","北緯45度22分48秒東経141度45分34秒﻿ / ﻿北緯45.38000度 東経141.75944度﻿ /45.38000; 141.75944座標:北緯45度22分48秒東経141度45分34秒﻿ / ﻿北緯45.38000度 東経141.75944度﻿ /45.38000; 141.75944","","","","","","","","","","",""
"大沼 (七飯町)","[大沼おおぬま北海道火山5.3113.60.03二級河川・折戸川水系。七飯町にある。] 大沼 （おおぬま）は、 北海道 亀田郡 七飯町 にある 湖  。大沼、小沼、蓴菜(じゅんさい)沼などの大小の湖沼群や 北海道駒ヶ岳 などの周辺の総称として「大沼」とも呼ばれている。大沼という地名は アイヌ語 の「 ポロ・ト 」に由来している  。ポロは「大いなる」を意味し、トは「湖沼」や「水溜まり」を意味している  。そこで、「大湖」または「大沼」ということになって「大沼」が採られた  。","https://ja.wikipedia.org/wiki/大沼_(七飯町)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯41度59分51秒東経140度41分02秒","北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ /41.99750; 140.68389﻿ (大沼)大沼-地理院地図大沼-Google マップ大沼の位置北海道南部の地図を表示大沼 (七飯町) (北海道)北海道の地図を表示大沼 (七飯町) (日本)日本の地図を表示","5.31km2","淡水","堰止湖","24km","130m","12.2m","","","4.7m","","","","","","","","",""
"オコタンペ湖","[オコタンペ湖おこたんぺこ北海道火山0.520-一級河川・石狩川水系。北海道三大秘湖。] オコタンペ湖 （オコタンペこ）は、 北海道 千歳市 西部にある小さな 湖 で、 支笏湖 の北西7kmほどに位置している。","https://ja.wikipedia.org/wiki/オコタンペ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯42度48分1秒東経141度15分26秒","北海道（石狩振興局）","0.5km2","淡水","堰止湖","5km","620  m","20m","北緯42度48分1秒東経141度15分26秒﻿ / ﻿北緯42.80028度 東経141.25722度﻿ /42.80028; 141.25722座標:北緯42度48分1秒東経141度15分26秒﻿ / ﻿北緯42.80028度 東経141.25722度﻿ /42.80028; 141.25722","貧栄養湖","","","","","","","","","",""
