"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","落差","水系","滝幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"羽衣の滝","[1羽衣の滝北海道東川町] 羽衣の滝 （はごろものたき）は、 北海道 上川郡 東川町 にある 忠別川 の支流アイシポップ沢と双見沢にかかる 滝 で、7段の滝の途中で2つの沢が合流している。 1951年 (昭和26年)2月6日北海道指定 名勝 として文化財に指定  。 1991年 （平成3年）「 日本の滝百選 」に選定された   。落差270メートル、標高1000メートル、段瀑  。","https://ja.wikipedia.org/wiki/羽衣の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯43度37分34.81秒東経142度47分12.52秒","北海道東川町","北緯43度37分34.81秒東経142度47分12.52秒﻿ / ﻿北緯43.6263361度 東経142.7868111度﻿ /43.6263361; 142.7868111","270m","石狩川水系忠別川","","","","","","","","","","","","","","",""
"インクラの滝","[2インクラの滝白老町] インクラの滝 （インクラのたき）とは、 北海道 白老町 にある 滝 である。 1991年 （平成3年）「 日本の滝百選 」に選定された。 ","https://ja.wikipedia.org/wiki/インクラの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯42度38分16.18秒東経141度20分10.99秒","北海道白老郡白老町","北緯42度38分16.18秒東経141度20分10.99秒﻿ / ﻿北緯42.6378278度 東経141.3363861度﻿ /42.6378278; 141.3363861","44m","別々川支流 西別々川","10m","","","","","","","","","","","","","",""
"\"飛竜\"賀老の滝","[3\"飛竜\"賀老の滝島牧村] 賀老の滝 （がろうのたき）は、日本の 滝 。","https://ja.wikipedia.org/wiki/賀老の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯42度35分49.8秒東経139度59分46.1秒","北海道島牧郡島牧村賀老","北緯42度35分49.8秒東経139度59分46.1秒﻿ / ﻿北緯42.597167度 東経139.996139度﻿ /42.597167; 139.996139","70m","千走川","35m","","","","","","","","","","","","","",""
"流星・銀河の滝","[4流星・銀河の滝上川町] 石狩川左岸の断崖に並んでかかる2本の滝。流星の滝は落差90メートル、標高1000メートル、直瀑  。銀河の滝は落差104メートル、分岐瀑  。流星の滝は高さのある急涯を太い1本の線となって流れ落ちる力強さから 雄滝 とも呼ばれ、銀河の滝は末広がりになって白糸を垂らしたような流身を持つ優雅さから 雌滝 と呼ばれている  。この2つの滝が仲良く寄り添って落ちている事から、 夫婦滝 の別名もある  。この2つの滝は「流星・銀河の滝」として 日本の滝百選 にも選定されている。 国道39号 銀河トンネル入口横から旧道に入ったところに駐車場が整備されており、2つの滝を間近に眺めることができる。また、駐車場から背後の斜面を20分ほど登ったところには「双瀑台」の展望台があり、流れ落ちる2つの滝を同時に眺めることができる  。層雲峡にはこの他にも、白蛇の滝、岩間の滝等大小様々な滝がある。","https://ja.wikipedia.org/wiki/流星・銀河の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯43度43分8.6秒東経142度58分37.8秒","北海道上川町","北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ /43.719056; 142.977167座標:北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ /43.719056; 142.977167","90(流星)、104(銀河)m","石狩川水系雄滝の沢(流星)、雌滝の沢(銀河)","","","","","","","","","","","","","","",""
"アシリベツの滝","[5アシリベツの滝札幌市南区] アシリベツの滝 （アシリベツのたき）は、 札幌市 南区 の 厚別川 上流にある 滝 。落差は26m。 日本の滝百選 の一つ。名称は、 アイヌ語 の アシリベツ (新しい川)に由来。アシリベツは厚別の地名語源でもある。","https://ja.wikipedia.org/wiki/アシリベツの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯42度55分1.25秒東経141度22分20.60秒","北海道札幌市南区","北緯42度55分1.25秒東経141度22分20.60秒﻿ / ﻿北緯42.9170139度 東経141.3723889度﻿ /42.9170139; 141.3723889","26m","石狩川水系厚別川","","","","","","","","","","","","","","",""
"オシンコシンの滝","[6オシンコシンの滝斜里町] オシンコシンの滝 （オシンコシンのたき）とは、 北海道 斜里郡 斜里町 のチャラッセナイ川の河口付近にある 滝 。標高は70メートル。落差は50メートル。分岐瀑。 日本の滝百選 の一つ  。","https://ja.wikipedia.org/wiki/オシンコシンの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯44度2分16秒東経144度56分7秒","北海道斜里町","北緯44度2分16秒東経144度56分7秒﻿ / ﻿北緯44.03778度 東経144.93528度﻿ /44.03778; 144.93528","50m","チャラッセナイ川","30m","","","","","","","","","","","","","",""
"くろくまの滝","[7くろくまの滝青森県鯵ヶ沢町] くろくまの滝 （くろくまのたき）は 青森県 西津軽郡 鰺ヶ沢町 にある 滝 。 日本の滝百選 の1つ。","https://ja.wikipedia.org/wiki/くろくまの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度37分46.2秒東経140度6分37.7秒","青森県西津軽郡鰺ヶ沢町一ツ森町","北緯40度37分46.2秒東経140度6分37.7秒﻿ / ﻿北緯40.629500度 東経140.110472度﻿ /40.629500; 140.110472座標:北緯40度37分46.2秒東経140度6分37.7秒﻿ / ﻿北緯40.629500度 東経140.110472度﻿ /40.629500; 140.110472","85m","赤石川水系","15m","","","","","","","","","","","","","",""
"松見の滝","[8松見の滝十和田市] 松見の滝 （まつみのたき）は 青森県 十和田市 にある 滝 。 奥入瀬川 の支流、黄瀬川の上流にあり、本流との合流点から約6.5kmの 国有林 内に位置する。 国道102号線 から徒歩で3時間ほど要し、積雪のため冬期は近づけない。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/松見の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度33分30秒東経140度54分23秒","青森県十和田市奥瀬字黄瀬国有林内","北緯40度33分30秒東経140度54分23秒﻿ / ﻿北緯40.55833度 東経140.90639度﻿ /40.55833; 140.90639","90m","奥入瀬川水系","","","","","","","","","","","","","","",""
"不動の滝","[9不動の滝岩手県八幡平市] 不動の滝 （ふどうのたき）は、 岩手県 八幡平市 高畑にある滝で、 日本の滝百選 と岩手の名水二十選に選ばれている。","https://ja.wikipedia.org/wiki/不動の滝_(八幡平市)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度3分52.1秒東経141度3分38.3秒","岩手県八幡平市高畑","北緯40度3分52.1秒東経141度3分38.3秒﻿ / ﻿北緯40.064472度 東経141.060639度﻿ /40.064472; 141.060639﻿ (不動の滝)座標:北緯40度3分52.1秒東経141度3分38.3秒﻿ / ﻿北緯40.064472度 東経141.060639度﻿ /40.064472; 141.060639﻿ (不動の滝)","15m","安比川水系・不動川","","","","","","","","","","","","","","",""
"秋保大滝","[10秋保大滝宮城県仙台市太白区] 秋保大滝 （あきうおおたき）は、 宮城県 仙台市 太白区 秋保町 にある 滝 。 蔵王国定公園 および 県立自然公園 二口峡谷 の地域内を流れる 名取川 上流部において、落差55 m 、幅6mで流れ落ちる。","https://ja.wikipedia.org/wiki/秋保大滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯38度16分29.7秒東経140度36分10.5秒","宮城県仙台市太白区秋保町馬場字大滝","北緯38度16分29.7秒東経140度36分10.5秒﻿ / ﻿北緯38.274917度 東経140.602917度﻿ /38.274917; 140.602917座標:北緯38度16分29.7秒東経140度36分10.5秒﻿ / ﻿北緯38.274917度 東経140.602917度﻿ /38.274917; 140.602917","55m","名取川","6m","","","","","","","","","","","","","",""
