"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"苫前漁港","[苫前漁港（とままえ - ）苫前郡苫前町] 苫前漁港 （とままえぎょこう）は、 北海道 苫前郡 苫前町 にある 漁港 。 港則法 上の「適用漁港」に指定されている  。 留萌振興局 のほぼ中央に位置しており、管内唯一となる「第3種漁港」になっている  。","https://ja.wikipedia.org/wiki/苫前漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯44度19分00秒東経141度39分09秒","日本","北海道苫前郡苫前町","第3種漁港","北海道","1131010","","","北るもい漁業協同組合","","平成26年","","","","","","","3,345トン","13億3,000万円",""
"古平漁港","[古平漁港（ふるびら - ）古平郡古平町] 古平漁港 （ふるびらぎょこう）は、 北海道 古平郡 古平町 にある 漁港 。 積丹半島 の東側中央部に位置している。","https://ja.wikipedia.org/wiki/古平漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯43度16分23秒東経140度38分27秒","日本","北海道古平郡古平町","第3種漁港","北海道","1132010","","","東しゃこたん","","平成26年","","","","","","","3,989トン","13億5,000万円",""
"寿都漁港","[寿都漁港（すっつ - ）寿都郡寿都町] 寿都漁港 （壽都漁港、すっつぎょこう）は、 北海道 寿都郡 寿都町 にある 漁港 。 港則法 上の「適用漁港」に指定されている  。北海道南西部の 日本海 側に位置しており、 寿都湾 に面している。","https://ja.wikipedia.org/wiki/寿都漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯42度47分40秒東経140度14分10秒","日本","北海道寿都郡寿都町","第3種漁港","北海道","1132020","","","寿都町","","平成21年","","","","","","","5,430トン","5億6,500万円",""
"美国漁港 (存在しないページ)","[美国漁港（びくに - ）積丹郡積丹町]","https://ja.wikipedia.org/w/index.php?title=美国漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"熊石漁港 (存在しないページ)","[熊石漁港（くまいし - ）二海郡八雲町]","https://ja.wikipedia.org/w/index.php?title=熊石漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久遠漁港 (存在しないページ)","[久遠漁港（くどう - ）久遠郡せたな町]","https://ja.wikipedia.org/w/index.php?title=久遠漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"青苗漁港 (存在しないページ)","[青苗漁港（あおなえ - ）奥尻郡奥尻町（奥尻島）]","https://ja.wikipedia.org/w/index.php?title=青苗漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"福島漁港","[福島漁港（ふくしま - ）松前郡福島町] 福島漁港 （ふくしまぎょこう）は、 北海道 松前郡 福島町 にある 漁港 。 港則法 上の「適用漁港」に指定されている  。","https://ja.wikipedia.org/wiki/福島漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯41度28分39秒東経140度15分33秒","日本","北海道松前郡福島町福島漁港 (北海道南部)北海道南部の地図を表示福島漁港 (北海道)北海道の地図を表示福島漁港 (日本)日本の地図を表示","第3種漁港","北海道","1134010","","","福島吉岡","","平成23年","","","","","","","855トン","3億5,000万円",""
"江良漁港 (存在しないページ)","[江良漁港（えら - ）松前郡松前町]","https://ja.wikipedia.org/w/index.php?title=江良漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"函館漁港 (存在しないページ)","[函館漁港（はこだて - ）函館市]","https://ja.wikipedia.org/w/index.php?title=函館漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
