"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","城郭構造","築城主","築城年","遺構","指定文化財","廃城年","文化財","天守構造","主な城主","創建年","別名","主な改修者","山号","本尊","法人番号","再建造物"
"五稜郭","[五稜郭跡北海道地理院地図Googleマップ北緯41度47分50秒東経140度45分25秒﻿ / ﻿北緯41.7972度 東経140.7570度﻿ /41.7972; 140.7570﻿ (五稜郭跡)] 五稜郭 （ごりょうかく）は、 江戸時代 末期に 江戸幕府 が 蝦夷地 の 箱館 （現在の 北海道 函館市 ）郊外に築造した 稜堡式 の 城郭 である  。","https://ja.wikipedia.org/wiki/五稜郭","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯41度47分48.84秒東経140度45分25.06秒","北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)座標:北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ /41.7969000; 140.7569611﻿ (五稜郭)","","五稜郭","稜堡式","江戸幕府","1866年","土塁、石垣、堀、兵糧庫","特別史跡","1869年","","なし","なし","","亀田（御）役所土塁、柳野城","なし","","","","奉行所、板庫、土蔵"
"三内丸山遺跡","[三内丸山遺跡青森県地理院地図Googleマップ北緯40度48分41秒東経140度41分49秒﻿ / ﻿北緯40.8115度 東経140.6969度﻿ /40.8115; 140.6969﻿ (三内丸山遺跡)] 三内丸山遺跡 （さんないまるやまいせき）は、 青森県 青森市 大字三内字丸山にある、 縄文時代 前期中頃から中期末葉（約5900-4200年前  ）の大規模集落跡。 沖館川 右岸の 河岸段丘 上に立地する。 1997年 3月5日  、国の 特別史跡 に指定。遺跡には住居群、倉庫群のほか、シンボル的な3層の 掘立柱建物 が再現されており、資料や出土品の展示施設「 縄文時遊館 」もある  。青森県 教育庁 文化財保護課三内丸山遺跡保存活用推進室が 発掘調査 を行っている。","https://ja.wikipedia.org/wiki/三内丸山遺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯40度48分41秒東経140度41分48秒","","青森県青森市大字三内字丸山","","","","","","","","","","","","","","","","",""
"中尊寺","[中尊寺境内岩手県地理院地図Googleマップ北緯38度59分56秒東経141度06分03秒﻿ / ﻿北緯38.9989度 東経141.1009度﻿ /38.9989; 141.1009﻿ (中尊寺境内)] 中尊寺 （ちゅうそんじ）は、 岩手県 西磐井郡 平泉町 にある 天台宗 東北大本山の寺院。 奥州三十三観音 番外札所。山号は関山（かんざん）、本尊は 釈迦如来  。寺伝では 円仁 の 開山 とされる。実質的な 開基 は 藤原清衡 。","https://ja.wikipedia.org/wiki/中尊寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯39度0分5.5秒東経141度6分9.8秒","北緯39度0分5.5秒東経141度6分9.8秒﻿ / ﻿北緯39.001528度 東経141.102722度﻿ /39.001528; 141.102722座標:北緯39度0分5.5秒東経141度6分9.8秒﻿ / ﻿北緯39.001528度 東経141.102722度﻿ /39.001528; 141.102722","岩手県西磐井郡平泉町平泉衣関202","","","","","","","","金色堂、金色堂堂内諸像及び天蓋他（国宝）金色堂旧覆堂他（重要文化財）特別史跡","","","（伝）嘉祥3年（850年）","","","関山（かんざん）","釈迦如来（本堂本尊）","5400505000243",""
"無量光院跡","[無量光院跡岩手県地理院地図Googleマップ北緯38度59分34秒東経141度06分56秒﻿ / ﻿北緯38.9929度 東経141.1155度﻿ /38.9929; 141.1155﻿ (無量光院跡)] 無量光院跡 （むりょうこういんあと）は、 岩手県 平泉町 にある 史跡 である。","https://ja.wikipedia.org/wiki/無量光院跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯38度59分34秒 東経141度6分56.5秒","","","","","","","","","","","","","","","","","","",""
"毛越寺","[毛越寺境内 附 鎮守社跡岩手県地理院地図Googleマップ北緯38度59分14秒東経141度06分29秒﻿ / ﻿北緯38.9872度 東経141.1081度﻿ /38.9872; 141.1081﻿ (毛越寺境内 附 鎮守社跡)] 毛越寺 （もうつうじ）は、 岩手県 西磐井郡 平泉町 （創建時は 陸奥国 磐井郡 平泉 ）に所在する、 天台宗 の寺院。現在の 本尊 は  薬師如来 立像（ 平安時代 後期の作。脇侍は 日光菩薩 ・ 月光菩薩 ）。建築は平安様式。","https://ja.wikipedia.org/wiki/毛越寺","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯38度59分14秒東経141度6分27秒","北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)座標:北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)","岩手県西磐井郡平泉町字大沢58","","","","","","","","特別史跡特別名勝","","","（伝）嘉祥3年（850年）","","","医王山（いおうざん）","薬師如来","8400505000257",""
"多賀城","[多賀城跡 附 寺跡宮城県地理院地図Googleマップ北緯38度17分59秒東経140度59分45秒﻿ / ﻿北緯38.2996度 東経140.9958度﻿ /38.2996; 140.9958﻿ (多賀城跡 附 寺跡)] 多賀城 （たがじょう/たかのき、多賀柵）は、現在の 宮城県 多賀城市 にあった日本の古代 城柵 。国の 特別史跡 に指定されている（指定名称は「多賀城跡 附 寺跡」）。","https://ja.wikipedia.org/wiki/多賀城","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯38度18分24秒東経140度59分18秒","北緯38度18分24秒東経140度59分18秒﻿ / ﻿北緯38.30667度 東経140.98833度﻿ /38.30667; 140.98833﻿ (多賀城)座標:北緯38度18分24秒東経140度59分18秒﻿ / ﻿北緯38.30667度 東経140.98833度﻿ /38.30667; 140.98833﻿ (多賀城)","","多賀城","古代城柵","大野東人","神亀元年（724年）","政庁跡など","国の特別史跡「多賀城跡 附 寺跡」","不明","","","","","","","","","",""
"大湯環状列石","[大湯環状列石秋田県地理院地図Googleマップ北緯40度16分17秒東経140度48分15秒﻿ / ﻿北緯40.2714度 東経140.8043度﻿ /40.2714; 140.8043﻿ (大湯環状列石)] 大湯環状列石 （おおゆかんじょうれっせき）は、 秋田県 鹿角市 十和田大湯 にある 縄文時代 後期の大型の 配石 遺跡。国の 特別史跡 に指定されている。環状石籬（かんじょうせきり）や ストーンサークル とも呼ばれる。","https://ja.wikipedia.org/wiki/大湯環状列石","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯40度16分18.0秒 東経140度48分14.0秒","","","","","","","","","","","","","","","","","","",""
"弘道館","[旧弘道館茨城県地理院地図Googleマップ北緯36度22分31秒東経140度28分37秒﻿ / ﻿北緯36.3753度 東経140.4770度﻿ /36.3753; 140.4770﻿ (旧弘道館)] 弘道館 （こうどうかん）は、 江戸時代 後期に 日本 の 常陸国 水戸藩 に作られた 藩校 。所在地は、 茨城県 水戸市 三の丸1丁目6番内。","https://ja.wikipedia.org/wiki/弘道館","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度22分31.08秒 東経140度28分37.2秒","","","","","","","","","","","","","","","","","","",""
"常陸国分寺跡","[常陸国分寺跡茨城県地理院地図Googleマップ北緯36度11分46秒東経140度16分24秒﻿ / ﻿北緯36.196206度 東経140.273358度﻿ /36.196206; 140.273358﻿ (常陸国分寺跡)] 常陸国分寺 （ひたちこくぶんじ）は、 茨城県 石岡市 府中にある 真言宗智山派 の 寺院 。 山号 は浄瑠璃山。 院号 は東方院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/常陸国分寺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度11分46.34秒東経140度16分24.09秒","北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583座標:北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583","茨城県石岡市府中5-1-5","","","","","","","","常陸国分寺跡・常陸国分尼寺跡（国の特別史跡）旧千手院山門・都々一坊扇歌堂（市文化財）","","","（伝）天平勝宝4年（752年）","","","浄瑠璃山","薬師如来","1050005003793",""
"常陸国分尼寺跡","[常陸国分尼寺跡茨城県地理院地図Googleマップ北緯36度12分06秒東経140度16分04秒﻿ / ﻿北緯36.201656度 東経140.267675度﻿ /36.201656; 140.267675﻿ (常陸国分尼寺跡)] 常陸国分寺 （ひたちこくぶんじ）は、 茨城県 石岡市 府中にある 真言宗智山派 の 寺院 。 山号 は浄瑠璃山。 院号 は東方院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/常陸国分尼寺跡","日本の特別史跡一覧","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","表形式","北緯36度11分46.34秒東経140度16分24.09秒","北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583座標:北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583","茨城県石岡市府中5-1-5","","","","","","","","常陸国分寺跡・常陸国分尼寺跡（国の特別史跡）旧千手院山門・都々一坊扇歌堂（市文化財）","","","（伝）天平勝宝4年（752年）","","","浄瑠璃山","薬師如来","1050005003793",""
