"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","本尊","創建年","文化財","法人番号","開基","宗派","山号","寺格","面積","札所等","公式HP","正式名","開山","分類","公式サイト","別称","宗旨"
"十和田湖","[十和田湖および奥入瀬渓流（とわだこおよびおいらせけいりゅう）天然記念物との重複指定] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","","","","","","","","","61.11km2","","","","","","","",""
"毛越寺","[毛越寺庭園（もうつうじていえん）] 毛越寺 （もうつうじ）は、 岩手県 西磐井郡 平泉町 （創建時は 陸奥国 磐井郡 平泉 ）に所在する、 天台宗 の寺院。現在の 本尊 は  薬師如来 立像（ 平安時代 後期の作。脇侍は 日光菩薩 ・ 月光菩薩 ）。建築は平安様式。","https://ja.wikipedia.org/wiki/毛越寺","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯38度59分14秒東経141度6分27秒","岩手県西磐井郡平泉町字大沢58","北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)座標:北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)","薬師如来","（伝）嘉祥3年（850年）","特別史跡特別名勝","8400505000257","（伝）円仁（慈覚大師）","","医王山（いおうざん）","別格本山","","奥州三十三観音霊場番外札所四寺廻廊札所","天台宗 別格本山 毛越寺","","","","","","天台宗"
"松島","[松島（まつしま）日本三景] 松島 （まつしま）は、 宮城県 の松島湾内外にある 諸島 のこと。または、それら諸島と湾周囲を囲む 松島丘陵 も含めた修景地区のことである。 日本三景 の1つに数えられている。2018年の観光入込客数は600万人  。","https://ja.wikipedia.org/wiki/松島","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"六義園","[六義園（りくぎえん）] 六義園 （りくぎえん）は、 東京都 文京区 本駒込 六丁目にある 都立庭園 。","https://ja.wikipedia.org/wiki/六義園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度43分59.0秒東経139度44分48.0秒","東京都文京区本駒込六丁目","","","","","","","","","","87,809.41m2","","","","","都立庭園・特別名勝","公式ホームページ","",""
"小石川後楽園","[小石川後楽園（こいしかわこうらくえん）特別史跡との重複指定] 小石川後楽園 （こいしかわこうらくえん）は、 東京都 文京区 後楽 一丁目にある 都立庭園 。 江戸時代 初期に 水戸徳川家 の 江戸 上屋敷内につくられた築山泉水回遊式の 日本庭園 （ 大名庭園 ）である。国の 特別史跡 及び 特別名勝 に指定されている  。","https://ja.wikipedia.org/wiki/小石川後楽園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度42分18.4秒東経139度44分59.6秒","日本東京都文京区後楽一丁目","","","","","","","","","","7ha","","","","","都立庭園・特別名勝・特別史跡","小石川後楽園","",""
"浜離宮恩賜庭園","[旧浜離宮庭園（きゅうはまりきゅうていえん） 特別史跡との重複指定] 浜離宮恩賜庭園 （はまりきゅう おんし ていえん）は、 東京都 中央区 浜離宮庭園 にある 都立庭園 である。","https://ja.wikipedia.org/wiki/浜離宮恩賜庭園","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度39分36秒東経139度45分49秒","東京都中央区浜離宮庭園","","","","","","","","","","250,215.72m2（約25ヘクタール）","","","","","都立庭園・特別名勝・特別史跡","公式ホームページ","",""
"御岳昇仙峡","[御岳昇仙峡（みたけしょうせんきょう）] 昇仙峡 （しょうせんきょう）は、 山梨県 甲府市 、 甲府盆地 北側、 荒川  上流に位置する 渓谷 である。 特別名勝 に指定されており、国内有数の景勝地である。「日本五大名峡」の一つに数えられる  。","https://ja.wikipedia.org/wiki/御岳昇仙峡","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上高地","[上高地（かみこうち）特別天然記念物との重複指定] 上高地 （かみこうち）とは、 長野県 西部の 飛騨山脈 南部の 梓川 上流の 景勝地 である。 中部山岳国立公園 の一部ともなっており、国の 文化財 （ 特別名勝 ・ 特別天然記念物 ）に指定されている。 標高 約1,500 m 。全域が 松本市 に属する。「かみこうち」の名称は本来「神垣内」の 漢字 表記だが、後に現在の「上高地」の漢字表記が一般的となった。「神垣内」とは、 穂高神社 の祭神・「 穂高見命 」（ほたかみのみこと）が穂高岳に降臨し、この地（穂高神社奥宮と 明神池 ）で祀られていることに由来する。","https://ja.wikipedia.org/wiki/上高地","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富士山 (代表的なトピック)","[富士山（ふじさん）] 富士山 （ふじさん、 英語 : Mount Fuji ）は、 山梨県 （ 富士吉田市 、 南都留郡 鳴沢村 ）と、 静岡県 （ 富士宮市 、 裾野市 、 富士市 、 御殿場市 、 駿東郡 小山町 ）に跨る 活火山 である  。 標高 3776.12 m 、 日本最高峰 （ 剣ヶ峰 ）  の 独立峰 で、その優美な風貌は日本国外でも 日本 の 象徴 として広く知られている。数多くの芸術作品の題材とされ芸術面のみならず、気候や地層など地質学的にも社会的に大きな影響を与えている。懸垂曲線の山容を有した玄武岩質成層火山で構成され、その山体は 駿河湾 の海岸まで及ぶ。","https://ja.wikipedia.org/wiki/富士山_(代表的なトピック)","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","","","","","","","","","","","","","","","","",""
"黒部峡谷","[黒部峡谷附 猿飛ならびに奥鐘山（くろべきょうこく つけたり さるとびならびにおくかねやま） 特別天然記念物との重複指定] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","日本の特別名勝一覧","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
