"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","最高峰","位置","所在海域","海岸線長","標高","都道府県","山系","人口密度","国","外部リンク","地方","郡","市町村コード","総人口","隣接自治体","種類"
"礼文島","[001礼文島北海道] 礼文島 （れぶんとう）は、 北海道 の北部、 稚内 の西方60kmの 日本海 上に位置する島。 礼文郡 礼文町 に属する。","https://ja.wikipedia.org/wiki/礼文島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯45度26分14秒東経141度02分16秒","日本北海道","81.33km²","489.8m","礼文岳","","日本海","72.0km","","","","","","","","","","","",""
"大雪山","[002大雪山北海道] 大雪山 （たいせつざん、だいせつざん）は、 北海道 中央部にある 旭岳 などの山々からなる巨大な山塊の名称  。大雪山系とも呼ばれ、一帯は 大雪山国立公園 に指定されている  。","https://ja.wikipedia.org/wiki/大雪山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯43度39分48.9秒東経142度51分14.9秒","日本・北海道上川郡","","","","北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139座標:北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ /43.663583; 142.854139","","","旭岳：2,290.93m","","石狩山地","","","","","","","","","複成火山"
"北オホーツク海岸","[003北オホーツク海岸北海道] 北オホーツク （きたオホーツク）は、 北海道 の 道北 、 オホーツク海 側の北部地域を指す地域名称である。主に、北から 稚内市 （オホーツク海側）、 猿払村 、 浜頓別町 、 枝幸町 、つまり 宗谷総合振興局 管内地域が該当する。枝幸、浜頓別、猿払の各町村にわたる総面積3927 ha が 北オホーツク道立自然公園 に指定されており、湖沼、湿地、 原生花園 などの自然が守られている。","https://ja.wikipedia.org/wiki/北オホーツク海岸","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"知床半島","[004知床北海道] 知床半島 （しれとこはんとう）は、 北海道 東部の 斜里郡 斜里町 と 目梨郡 羅臼町 にまたがる、 オホーツク海 の南端に突出した 半島  。長さ約70 km 、基部の幅が25kmの狭長な半島であり、西側がオホーツク海、東側が 根室海峡 に面している。また、半島東側には 国後島 が平行する形で横たわっている  。","https://ja.wikipedia.org/wiki/知床半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"野付半島","[005野付半島北海道] 野付半島 （のつけはんとう）は、 北海道 標津郡 標津町 および 野付郡 別海町 にある細長い 半島 である。延長28kmにわたる 砂嘴 であり、規模としては日本最大である。野付半島・ 野付湾 は、湿地の保全に関する ラムサール条約 に登録されている。","https://ja.wikipedia.org/wiki/野付半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"釧路湿原","[006釧路湿原北海道] 釧路湿原 （くしろ しつげん）は、 北海道 釧路平野 に位置する 日本 最大の 湿原  ・ 湿地 。面積は約2万6000 ha で、このうち中心部の7863haが ラムサール条約 登録湿地である  。 釧路湿原国立公園 としての区域は2万8788ha  。","https://ja.wikipedia.org/wiki/釧路湿原","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"然別湖","[007然別湖・東雲湖北海道] 然別湖 （しかりべつこ）は、 北海道 十勝管内 の 鹿追町 北部と 上士幌町 南西部にまたがる 湖 である。 大雪山国立公園 内にある。","https://ja.wikipedia.org/wiki/然別湖","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","日本北海道（十勝総合振興局）","3.59km2","","","","","","","","","","","","","","","","",""
"渡島半島","[008渡島半島北西岸北海道] 渡島半島 （ おしまはんとう ） は 北海道 南西部にある 半島 。広義には 石狩湾 から 勇払平野 にかけての石狩低地帯より西の地域をいうこともあるが、一般には 寿都 と 長万部 を結ぶ黒松内低地以南の地域を指す。渡島半島によって北・西・南の三方を囲まれた湾は 内浦湾 。","https://ja.wikipedia.org/wiki/渡島半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"サロベツ原野","[009サロベツ原野北海道] サロベツ原野 （サロベツげんや）は、 北海道 北部（ 道北 ）にある 豊富町 と 幌延町 の海岸線沿いに広がる 湿原 である。","https://ja.wikipedia.org/wiki/サロベツ原野","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"オンネトー","[010オンネトー北海道] オンネトー は、 北海道 足寄郡 足寄町 東部・ 阿寒摩周国立公園 内にある 湖 である。名前は アイヌ語 で「年老いた沼」あるいは「大きな沼」の意味である。","https://ja.wikipedia.org/wiki/オンネトー","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯43度23分04.5秒東経143度58分11.7秒","日本北海道（十勝総合振興局）","0.23km2","","","北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ /43.384583; 143.969917座標:北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ /43.384583; 143.969917","","","","","","","","","","","","","",""
"積丹半島","[011積丹半島西岸北海道] 積丹半島 （しゃこたんはんとう）は 北海道 西部、 後志総合振興局 にある 半島 である。地名の由来は アイヌ語 のシャク・コタン（夏の村）である。 日本海 に向かって突き出ており、地質学上では 那須火山帯 に属する後志火山群の延長上に位置する。半島部の全長は約30km、地形は 平野 部が少なく急峻で、中心では 積丹岳 や余別岳が脊梁をなし、沿岸は複雑な 海岸線 が連続する。そのため、風光明媚な景観に富み、海岸線一帯は ニセコ積丹小樽海岸国定公園 に指定されている。","https://ja.wikipedia.org/wiki/積丹半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"八甲田山","[012八甲田山青森県] 八甲田山 （はっこうださん）は、 青森市 の南側にそびえる大岳（標高1,585m）を主峰とする18の山々からなる複数 火山 の総称  。 日本百名山 の一つ  。","https://ja.wikipedia.org/wiki/八甲田山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯40度39分31秒東経140度52分38秒","青森県青森市・十和田市","","","","北緯40度39分31秒東経140度52分38秒﻿ / ﻿北緯40.65861度 東経140.87722度﻿ /40.65861; 140.87722座標:北緯40度39分31秒東経140度52分38秒﻿ / ﻿北緯40.65861度 東経140.87722度﻿ /40.65861; 140.87722（大岳）","","","大岳: 1,584m","","奥羽山脈","","","","","","","","","複成火山（成層火山や溶岩ドームの火山群）"
"下北半島","[013下北半島/恐山・仏ヶ浦青森県] 下北半島 （しもきたはんとう）は、 青森県 北東部に位置する 本州 の最北端部の 半島 。半島全体が 下北半島国定公園 に指定されており、 日本三大霊場 に数えられる 恐山 などがある。","https://ja.wikipedia.org/wiki/下北半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"津軽半島","[014津軽半島西岸青森県] 津軽半島 （つがるはんとう）は、 本州 の北端の 半島 のひとつである。東岸は 青森湾 ・ 陸奥湾 とその開口部である 平舘海峡 を挟んで 下北半島 に対峙する。一方、北岸は 津軽海峡 を挟んで 北海道 松前半島 に対峙する。西岸は 日本海 である。全体が 青森県 に属する。","https://ja.wikipedia.org/wiki/津軽半島","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
"八幡平","[015八幡平・乳頭温泉郷秋田県・岩手県] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","","","","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","","","1,613.50m","","奥羽山脈","","","","","","","","","成層火山"
"出羽三山","[016出羽三山山形県] 出羽三山 （でわさんざん）は、 山形県 村山地方 ・ 庄内地方 に広がる 月山 ・ 羽黒山 ・ 湯殿山 の総称である。 修験道 を中心とした 山岳信仰 の場として現在も多くの 修験者 、参拝者を集めている。","https://ja.wikipedia.org/wiki/出羽三山","日本の秘境100選","https://ja.wikipedia.org/wiki/日本の秘境100選","表形式","","","","","","","","","","","","","","","","","","","",""
