"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"成田国際空港","[関東：成田国際空港（成田空港）] 東京国際空港 とともに 首都圏 の「空の玄関」である。","https://ja.wikipedia.org/wiki/成田国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度45分55秒東経140度23分08秒","千葉県成田市・山武郡芝山町・香取郡多古町","民間、商業","日本","成田国際空港株式会社","43m(141ft)","16R/34L","6:00 - 24:00","https://www.narita-airport.jp/jp/","1,137ha","1978年5月20日","44,344,739人","2,039,905t","成田国際空港株式会社（日本国政府出資）","東京","264,115回","","","",""
"中部国際空港","[中部：中部国際空港（セントレア）] 愛知県 名古屋市 の中心部から南へ約35km、 知多半島 の愛知県常滑市の沖合約1.5kmの 伊勢湾 海上の人工島に位置し、24時間運用可能な長さ3,500mの滑走路を有する、 関西国際空港 に次ぐ国内第2の海上 国際空港 として 2005年 2月17日 に開港した。 成田国際空港 、 東京国際空港 、関西国際空港とともに国際航空路線に必要な国際 拠点空港 としてその航空需要を担うことを国の航空政策上位置づけられている    。","https://ja.wikipedia.org/wiki/中部国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度51分30秒東経136度48分19秒","愛知県常滑市","商業","日本","中部国際空港株式会社","3.7m(12.1ft)","18/36","24時間","中部国際空港 セントレア","471.3ha","2005年2月17日","12,257,342人","176,722t","","名古屋市","106,008回","","","",""
"関西国際空港","[関西：関西国際空港（関空）※2016年7月1日よりコンセッション方式で運営] 1994年 9月4日 開港。 大阪湾 内 泉州 沖5kmの埋立地（ 泉南郡 田尻町 ・ 泉佐野市 ・ 泉南市 にまたがる  ）にある世界で初めての完全人工島からなる 海上空港 である（ #空港島 を参照）。通称・略称は、 関西空港 （かんさいくうこう）あるいは 関空 （かんくう）、 空港コード KIXから「キックス」と呼ばれることもある    。 空港法 上の 拠点空港 であり、 成田国際空港 、 東京国際空港 （羽田空港）、 中部国際空港 （セントレア）とともに日本を代表する国際空港として 国際拠点空港   のひとつと位置づけられている。 成田国際空港 とともに大都市圏にある国際線専用空港という傾向が強い。「西日本を中心とする国際拠点空港であり、近畿圏の国内線の基幹空港  」と位置づけられており、関西地方の空港で唯一、定期国際線が就航している。また、成田国際空港などと並んで Peach Aviation などの 格安航空会社 （LCC）の拠点空港であり、国内やアジア各都市を結んでいる。 航空法 上の 混雑空港 に指定されており、 国際航空運送協会 （IATA）が混雑度レベル2に指定している  。本空港建造事業は 内閣総理大臣顕彰 を授与されており、また、日本国外からも様々な評価を受けている（ #日本国外からの評価 を参照）。","https://ja.wikipedia.org/wiki/関西国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度26分03秒東経135度13分58秒","大阪府泉南郡田尻町泉佐野市泉南市","商業","日本","関西エアポート株式会社","5.30m(17.4ft)","06R/24L","24時間","関西国際空港公式サイト","1,067.7ha","1994年9月4日","28,762,999人","756,771t","","大阪市","196,022回","","","",""
"大阪国際空港","[関西 :大阪国際空港（伊丹空港）※2016年7月1日よりコンセッション方式で運営] 大阪国際空港 （おおさかこくさいくうこう、 英 ：Osaka International Airport）は、 大阪府 豊中市 、同府 池田市 、 兵庫県 伊丹市 にまたがる 会社管理空港 である。 大阪空港 （おおさかくうこう）あるいは 伊丹空港 （いたみくうこう、 英 ：Itami Airport）の通称でも知られる。かつては名実ともに 国際空港 であったが、現在は日本の国内線の 拠点空港 （基幹空港）として運用されている。近隣の 関西国際空港 、 神戸空港 とともに 関西三空港 のひとつである。空港運営は 関西エアポート が実施している。","https://ja.wikipedia.org/wiki/大阪国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度47分04秒東経135度26分21秒","大阪府豊中市大阪府池田市兵庫県伊丹市","商業","日本","関西エアポート株式会社","12m(39ft)","14L/32R","7:00 - 21:00","大阪国際空港（伊丹空港）","311.9ha","","","","","大阪市","","","","",""
"新千歳空港","[北海道：新千歳空港※2020年6月1日よりコンセッション方式で運営、稚内空港、函館空港、釧路空港（たんちょう釧路空港）] 北海道の経済・文化の中心地・ 札幌市 の南東約40kmに位置する国内線の基幹空港。 空港法 に基づいて 国土交通大臣 が設置・管理する 国管理空港 で、国際線や国内線の拠点空港に区分される。空港の利用者数は国内で5番目に多い  。また、旅客数では羽田-新千歳線が世界一位になったこともある。北海道では最大の空港で、鉄道や高速道路もよく整備されているため、実質的に北海道の空の玄関口となっている。","https://ja.wikipedia.org/wiki/新千歳空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯42度46分30秒東経141度41分32秒","北海道千歳市","商業","日本","北海道エアポート","21.3m","01L/19R","24時間","新千歳空港","726ha","1988年7月20日","21,545,032","204,693","国土交通省","札幌市","72,676","","","",""
"仙台空港","[東北：仙台空港（仙台国際空港）※2016年7月1日よりコンセッション方式で運営] 仙台空港 （せんだいくうこう）は、 宮城県 名取市 と 岩沼市 に跨って位置する 東北地方 唯一の 国管理空港 （旧第二種(A)空港）である  。 2016年 7月1日 に運営が 仙台国際空港株式会社 に移管（民営化）された  。 空港ターミナルビル が名取市にあり、 滑走路 が岩沼市に及ぶ。愛称は 仙台国際空港  。","https://ja.wikipedia.org/wiki/仙台空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度08分13秒東経140度55分21秒","宮城県名取市・岩沼市","商業","日本","仙台国際空港株式会社","5m(16.4ft)","12/30","7:30 - 21:30","仙台空港ターミナル","","","","","","仙台市","","","","",""
"東京国際空港","[関東：東京国際空港（羽田空港）] 成田国際空港 と並ぶ、 首都圏 の「空の玄関」である  。2019年の乗降客数は、世界5位となった  。","https://ja.wikipedia.org/wiki/東京国際空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度33分12秒東経139度46分52秒","東京都大田区羽田空港","公共","日本","国土交通大臣","6.4m(21ft)","16R/34L","24時間","tokyo-haneda.com","1,516ha","1931年8月25日 (89年前) (1931-08-25)","84,893,742","1,271,143t","国土交通省","東京","","","","",""
"新潟空港","[中部：新潟空港] 新潟空港 （にいがたくうこう）は、 新潟県 新潟市 東区 にある 国管理空港  。","https://ja.wikipedia.org/wiki/新潟空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯37度57分21秒東経139度07分14秒","新潟県新潟市東区","商業","日本","国土交通大臣","9m(29ft)","04/22","7:30 - 21:30 (JST)","新潟空港","","","993,980人","454t","","","13,372","","","",""
"広島空港","[中国：広島空港] 1993年 （ 平成 5年）10月に開港   。 広島市 中心部から東方50 ㎞ 、三原市 本郷町 善入寺 字 平岩64-31に位置している（ 地図 ）。年間利用客数は、2014年度で国内2,437,574人、国際283,630人  。 中国地方 最大であり、2番目に多い 岡山空港 の約2倍である（→ 中国地方#空港 ）。2006年には ターミナル の旅客処理能力を500万人程度まで高める事業の一環として、 搭乗橋 が新たに追加増設された。","https://ja.wikipedia.org/wiki/広島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度26分10秒東経132度55分10秒","広島県三原市","商業","日本","広島国際空港株式会社","331m(1,086ft)","10/28","7:30 - 22:30","広島空港","197.7ha","1993年10月29日","2,885,054人","20,486t","","","","","","",""
"高松空港","[四国：高松空港※2018年4月1日よりコンセッション方式で運営、松山空港、高知空港（高知龍馬空港）] 高松市の中心部から南へ約15kmの香南台地に、 1989年 12月 開港  （ #空港移転の経緯 を参照）。標高185mの高台にあるため、 霧 が発生しやすく  、霧による視界不良を原因とした到着便の出発地への引き返しや降着地の変更、およびそれに伴う折り返し便の欠航が年に数回起きる  。","https://ja.wikipedia.org/wiki/高松空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度12分51秒東経134度00分56秒","香川県高松市","商業","日本","高松空港株式会社","185m(607ft)","08/26","7:00 - 22:00","高松空港","153.9ha","","1,761,608人","11.6t","","","","","","",""
