"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"札幌市","[札幌（文化・スポーツ） -時計台、中島公園、北大（札幌農学校第2農場、北大植物園）、ウィンタースポーツなど。] 札幌市 （さっぽろし）は、 北海道 の 道央地方 に位置し、 石狩振興局 に属する 市 。 道庁所在地 にして石狩振興局所在地であり、道庁所在地であることから「道都」とも呼ばれ  、 政治 ・ 経済 ・ 文化 の中心地。北海道最大の人口（196万人）を有する 政令指定都市 である。","https://ja.wikipedia.org/wiki/札幌市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度3分43.5秒東経141度21分15.8秒","日本","〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389座標:北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ /43.062083; 141.354389札幌市役所庁舎","1,121.26km2","北海道地方","1,963,401人（住民基本台帳人口、2021年5月31日）","北海道（石狩振興局）","札幌市 City of Sapporo","9000020011002","1,751人/km2","01100-2","石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市","秋元克広","スズラン","ライラック","","","","","カッコウ"
"小樽市","[小樽（歴史遺産・町並・文化） -小樽運河、北のウォール街、手宮線、北一硝子など。] 小樽市 （おたるし）は、 北海道 中部（ 道央地方 ）に位置し、 後志総合振興局 に属する唯一の 市 。 保健所政令市 に指定されている。","https://ja.wikipedia.org/wiki/小樽市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度11分26.6秒東経140度59分39.7秒","日本","〒047-8660北海道小樽市花園2丁目12番1号北緯43度11分26.6秒東経140度59分39.7秒﻿ / ﻿北緯43.190722度 東経140.994361度﻿ /43.190722; 140.994361","243.83km2","北海道地方","111,409人（住民基本台帳人口、2021年5月31日）","北海道（後志総合振興局）","小樽市","9000020012033","457人/km2","01203-3","後志総合振興局:余市郡余市町、赤井川村石狩振興局:札幌市、石狩市","迫俊哉","ツツジ（昭和43年5月28日制定）","シラカンバ（昭和43年5月28日制定）","","","","","アオバト（昭和61年5月10日制定）"
"倶知安町","[倶知安・ニセコ（保養地・自然） - スキー場、羊蹄山・ニセコアンヌプリなどの山岳、ニセコ温泉郷。] 後志地域の行政の中心地としての役割を担っており、 農業 では ジャガイモ の産地として知られている  。また、自然を活かした 観光業 が盛んであり、2000年代以降は、 スキー などを目的とする日本国外からの 観光客 が多く訪れている  。西隣の ニセコ町 や 蘭越町 とともに「ニセコ観光圏」を形成する  。日本国外の企業によるコンドミニアム建設ラッシュなどにより、倶知安町字山田が2006年から3年連続で住宅地の地価上昇率全国1位になった    。2016年にも倶知安町旭が同全国1位となっている。 北海道遺産 に「スキーとニセコ連峰」が選定されている  。","https://ja.wikipedia.org/wiki/倶知安町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯42度53分42秒東経140度45分18秒","日本","〒044-0001北海道虻田郡倶知安町北1条東3丁目3北緯42度53分42秒東経140度45分18秒﻿ / ﻿北緯42.89500度 東経140.75500度﻿ /42.89500; 140.75500","261.34km2","北海道地方","14,903人（住民基本台帳人口、2021年5月31日）","北海道（後志総合振興局）","公式ウェブサイト","4000020014001","57人/km2","01400-1","虻田郡京極町、虻田郡ニセコ町、余市郡仁木町、余市郡赤井川村、岩内郡共和町、磯谷郡蘭越町","","","","虻田郡","文字一志","イタヤカエデ","キバナシャクナゲ",""
"積丹町","[積丹（自然・文化） -神威岬、積丹岬・島武意海岸、積丹温泉、ソーラン節関係など。] 積丹町 （しゃこたんちょう）は 北海道 後志総合振興局 管内にある 積丹郡 の町。 積丹半島 の先端部を占め、美国（びくに）、入舸（いりか）、余別（よべつ）などの漁港がある。漁業、林業、酪農を中心とした農業を行う。 大正時代 までは ニシン 漁で栄えた。 神威岬 （かむいみさき）など断崖絶壁の海岸は ニセコ積丹小樽海岸国定公園 （ 1963年 7月24日 に指定）の一角をなし、北海道で唯一の 海域公園 （旧称：海中公園）に指定されている。さらには 北海道遺産 である神威岬（ 2004年 10月22日 公表）がある。 ソーラン節 のふるさとでもある。","https://ja.wikipedia.org/wiki/積丹町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯43度17分55.4秒東経140度35分52.8秒","日本","〒046-0201北海道積丹郡積丹町大字美国町字船澗48-5北緯43度17分55.4秒東経140度35分52.8秒﻿ / ﻿北緯43.298722度 東経140.598000度﻿ /43.298722; 140.598000","238.14km2","北海道地方","1,913人（住民基本台帳人口、2021年5月31日）","北海道（後志総合振興局）","積丹町 公式サイト","2000020014052","8.03人/km2","01405-2","古平郡古平町、古宇郡神恵内村","","","","積丹郡","松井秀紀","エゾヤマザクラ","エゾカンゾウ",""
"函館市","[函館（文化・自然） -五稜郭、重要伝統的建造物群保存地区「元町」、世界三大夜景の函館山など。] 函館市 （はこだてし）は、 北海道 南部（ 道南地方 ）に位置し、 渡島総合振興局 に属する 市 。振興局所在地であり、 札幌市 ・ 旭川市 に次ぐ北海道第3位の人口（約25万人）を有する 中核市 である。","https://ja.wikipedia.org/wiki/函館市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯41度46分7.2秒東経140度43分44.1秒","日本","〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)座標:北緯41度46分7.2秒東経140度43分44.1秒﻿ / ﻿北緯41.768667度 東経140.728917度﻿ /41.768667; 140.728917﻿ (函館市)","677.86km2","北海道地方","250,059人（住民基本台帳人口、2021年5月31日）","北海道（渡島総合振興局）","函館市公式サイト","9000020012025","369人/km2","01202-5","北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町","工藤壽樹","つつじ（やまつつじ）","おんこ（いちい）","","","","",""
"松前町 (北海道)","[松前（歴史遺産・町並） -松前城と寺町。] 松前町 （まつまえちょう）は、 北海道 道南地方 の 渡島半島 南西部に位置する 渡島総合振興局 管内にある 町 。「北の 小京都 」とも称されていた。","https://ja.wikipedia.org/wiki/松前町_(北海道)","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯41度25分47.8秒東経140度6分37.2秒","日本","〒049-1592北海道松前郡松前町字福山248北緯41度25分47.8秒東経140度6分37.2秒﻿ / ﻿北緯41.429944度 東経140.110333度﻿ /41.429944; 140.110333","293.25km2","北海道地方","6,579人（住民基本台帳人口、2021年5月31日）","北海道（渡島総合振興局）","北海道松前町","6000020013315","22.4人/km2","01331-5","松前郡福島町、檜山郡上ノ国町（海を挟んで隣接）青森県北津軽郡中泊町","","","","松前郡","石山英雄","マツ","サクラ",""
"七飯町","[七飯（自然・保養） -大沼・小沼などの大沼国定公園、流山温泉。] 七飯町 （ななえちょう）は、 北海道 渡島総合振興局 にある 町 。","https://ja.wikipedia.org/wiki/七飯町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯41度53分44.5秒東経140度41分39.8秒","日本","〒041-1192北海道亀田郡七飯町本町6丁目1-1北緯41度53分44.5秒東経140度41分39.8秒﻿ / ﻿北緯41.895694度 東経140.694389度﻿ /41.895694; 140.694389","216.75km2","北海道地方","28,018人（住民基本台帳人口、2021年5月31日）","北海道（渡島総合振興局）","七飯町","4000020013374","129人/km2","01337-4","函館市、北斗市、茅部郡鹿部町、森町","","","","亀田郡","","","",""
"江差町","[江差（歴史遺産・町並・文化） - 旧中村家住宅などの歴史的建造物、江差追分関係。] 江差町 （えさしちょう）は、北海道 檜山振興局 中部にある 日本海 に面した 町 。檜山振興局の所在地。 江差追分 発祥地。","https://ja.wikipedia.org/wiki/江差町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯41度52分8.9秒東経140度7分38.8秒","日本","〒043-8560北海道檜山郡江差町字中歌町193-1北緯41度52分8.9秒東経140度7分38.8秒﻿ / ﻿北緯41.869139度 東経140.127444度﻿ /41.869139; 140.127444","109.53km2","北海道地方","7,221人（住民基本台帳人口、2021年5月31日）","北海道（檜山振興局）","江差町","1000020013617","65.9人/km2","01361-7","檜山郡上ノ国町、厚沢部町、爾志郡乙部町","","","","檜山郡","照井誉之介","ヒノキアスナロ","ハマナス",""
"登別市","[登別（保養地） -登別温泉、カルルス温泉など。] 登別市 （のぼりべつし）は、 北海道 中南部（ 道央地方 ）に位置し、 胆振総合振興局 に属する 市 。","https://ja.wikipedia.org/wiki/登別市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯42度24分45.9秒東経141度6分23.7秒","日本","〒059-8701北海道登別市中央町6丁目11北緯42度24分45.9秒東経141度6分23.7秒﻿ / ﻿北緯42.412750度 東経141.106583度﻿ /42.412750; 141.106583","212.21km2","北海道地方","46,421人（住民基本台帳人口、2021年5月31日）","北海道（胆振総合振興局）","公式ウェブサイト","5000020012301","219人/km2","01230-1","室蘭市、伊達市、有珠郡壮瞥町、白老郡白老町","小笠原春一","キク","プラタナス","","","","",""
"洞爺湖町","[洞爺湖・壮瞥（自然・保養地） -洞爺湖、有珠山、昭和新山、洞爺湖温泉など温泉。] 洞爺湖町 （とうやこちょう）は、 北海道 胆振総合振興局 にある 町 。","https://ja.wikipedia.org/wiki/洞爺湖町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","","日本","〒049-5692北海道虻田郡洞爺湖町栄町58","180.81km2","北海道地方","8,397人（住民基本台帳人口、2021年5月31日）","北海道（胆振総合振興局）","公式ウェブサイト","5000020015849","46.4人/km2","01584-9","伊達市、有珠郡壮瞥町、虻田郡豊浦町、虻田郡真狩村、留寿都村","","","","虻田郡","真屋敏春","サクラ、ナナカマド","スミレ、ツツジ",""
