"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","種類","面積","時代","完成","発掘期間","関係考古学者","全長","幅","分類","駐車場","バリアフリー","公式サイト","Hidden","Hidden","Hidden","Hidden","Hidden"
"北黄金貝塚","[北黄金貝塚（伊達市）] 北黄金貝塚 （きたこがねかいづか）は、 北海道 伊達市 北黄金町 にある 縄文時代 前期・中期の大規模な 貝塚 遺跡（集落遺跡）。北海道にある縄文貝塚の1/5の 面積 を占める巨大なものである   。 1987年 12月25日に国史跡に指定されている  。　","https://ja.wikipedia.org/wiki/北黄金貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯42度24分07秒 東経140度54分38秒","","","","","","","","","","","","","","","","","","",""
"戸井貝塚 (存在しないページ)","[戸井貝塚（函館市）]","https://ja.wikipedia.org/w/index.php?title=戸井貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西山貝塚 (存在しないページ)","[西山貝塚]","https://ja.wikipedia.org/w/index.php?title=西山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"弁天島貝塚 (存在しないページ)","[弁天島貝塚（根室市）]","https://ja.wikipedia.org/w/index.php?title=弁天島貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"住の江町2貝塚 (存在しないページ)","[住の江町2貝塚]","https://ja.wikipedia.org/w/index.php?title=住の江町2貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾幌貝塚 (存在しないページ)","[尾幌貝塚（厚岸町）]","https://ja.wikipedia.org/w/index.php?title=尾幌貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"入江貝塚","[入江貝塚] 入江・高砂貝塚 （いりえ・たかさご かいづか）は、 北海道 洞爺湖町 入江と 高砂町 の 内浦湾 を望む標高10メートルから20メートルの台地上に位置する、 縄文時代 前期末から晩期中葉（紀元前3,500年-紀元前800年ごろ）にかけての 貝塚 を伴う遺跡  。 1988年 5月13日に国史跡に指定された。","https://ja.wikipedia.org/wiki/入江貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯42度32分50秒 東経140度46分13秒","","","","","","","","","","","","","","","","","","",""
"高砂貝塚","[高砂貝塚] 入江・高砂貝塚 （いりえ・たかさご かいづか）は、 北海道 洞爺湖町 入江と 高砂町 の 内浦湾 を望む標高10メートルから20メートルの台地上に位置する、 縄文時代 前期末から晩期中葉（紀元前3,500年-紀元前800年ごろ）にかけての 貝塚 を伴う遺跡  。 1988年 5月13日に国史跡に指定された。","https://ja.wikipedia.org/wiki/高砂貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯42度32分50秒 東経140度46分13秒","","","","","","","","","","","","","","","","","","",""
"釧路貝塚 (存在しないページ)","[釧路貝塚]","https://ja.wikipedia.org/w/index.php?title=釧路貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"トコロ貝塚 (存在しないページ)","[トコロ貝塚（北見市常呂町）]","https://ja.wikipedia.org/w/index.php?title=トコロ貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"モヨロ貝塚","[モヨロ貝塚（網走市）] モヨロ貝塚 （モヨロかいづか）は、 北海道 網走市 北1条から北3条東2丁目にかけてある オホーツク文化 の代表的 遺跡 である。 網走川 河口左岸、 オホーツク海 のそばに位置する。国の 史跡 に指定されている（指定名称は 最寄貝塚 ）  。本貝塚名は、当時の アイヌ 人がモヨロ・コタンと呼んでいたことから、1918年（大正7年）に 米村喜男衛 によって付けられた。モヨロは アイヌ語 で「入江の内、あるいは所」という意味  。","https://ja.wikipedia.org/wiki/モヨロ貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯44度1分30.0秒 東経144度16分3.7秒","","","","","","","","","","","","","","","","","","",""
"美々貝塚 (存在しないページ)","[美々貝塚（千歳市）]","https://ja.wikipedia.org/w/index.php?title=美々貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長七谷地貝塚","[長七谷地貝塚（八戸市）] 長七谷地貝塚 （ちょうしちやちかいづか）は、 青森県 八戸市 にある縄文時代早期の 貝塚 及びその集落跡である。1981年（昭和56年）5月25日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/長七谷地貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯40度34分19.2秒 東経141度27分31.7秒","","","","","","","","","","","","","","","","","","",""
"田小屋野貝塚","[田小屋野貝塚（つがる市）] 田小屋野貝塚 （たごやのかいづか）は、 青森県 つがる市 木造にある、 縄文時代 前期から中期の 貝塚遺跡  。青森県西部、津軽半島岩木川左岸の標高10メートルから15メートル程度の丘陵東南端部に立地する  。","https://ja.wikipedia.org/wiki/田小屋野貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯40度53分17秒 東経140度20分21秒","","","","","","","","","","","","","","","","","","",""
"二ツ森貝塚","[二ツ森貝塚（七戸町）] 二ツ森貝塚 （ふたつもりかいづか）は、 青森県 七戸町 にある 縄文時代 前期前葉～中期末葉（およそ5,500年前から4,000年前）の 貝塚   。 1998年 1月16日に遺跡の東側約3.5haが国の史跡に指定され、 2015年 10月7日に新たに約8.3haが追加指定された  。面積はおよそ30ha。東西におよそ600m、南北におよそ170mの範囲に広がる  。県重宝に指定されている「 鹿角製櫛 」を代表とする骨角器や、「 榎林式 」という土器の標識遺跡で知られる  。同じ青森県にある 三内丸山遺跡 とほぼ同時期に栄えた  。","https://ja.wikipedia.org/wiki/二ツ森貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯40度44分53秒東経141度13分48秒","日本青森県七戸町","30 m (98 ft)","","30ヘクタール (74エーカー)","縄文時代","3500 to 2000 BC","","","","","","","","","","","","",""
"柏子所貝塚","[柏子所貝塚（能代市）] 柏子所貝塚 （かしこどころかいづか）は、 秋田県 能代市 字柏子所87にある 縄文時代 晩期前半の 貝塚 である。県指定 文化財 になっている。","https://ja.wikipedia.org/wiki/柏子所貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"菖蒲崎貝塚 (存在しないページ)","[菖蒲崎貝塚（由利本荘市）]","https://ja.wikipedia.org/w/index.php?title=菖蒲崎貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新屋浜貝塚 (存在しないページ)","[新屋浜貝塚（秋田市）]","https://ja.wikipedia.org/w/index.php?title=新屋浜貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"角間崎貝塚 (存在しないページ)","[角間崎貝塚（男鹿市）]","https://ja.wikipedia.org/w/index.php?title=角間崎貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"萱刈沢貝塚 (存在しないページ)","[萱刈沢貝塚（三種町）]","https://ja.wikipedia.org/w/index.php?title=萱刈沢貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"女川貝塚 (存在しないページ)","[女川貝塚（男鹿市）]","https://ja.wikipedia.org/w/index.php?title=女川貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"児桜貝塚 (存在しないページ)","[児桜貝塚（秋田市）]","https://ja.wikipedia.org/w/index.php?title=児桜貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"落合貝塚 (存在しないページ)","[落合貝塚（能代市）]","https://ja.wikipedia.org/w/index.php?title=落合貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土花貝塚 (存在しないページ)","[土花貝塚（由利本荘市）[3]]","https://ja.wikipedia.org/w/index.php?title=土花貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"貝鳥貝塚 (存在しないページ)","[貝鳥貝塚（一関市）]","https://ja.wikipedia.org/w/index.php?title=貝鳥貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長谷堂貝塚 (存在しないページ)","[長谷堂貝塚（大船渡市）]","https://ja.wikipedia.org/w/index.php?title=長谷堂貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大洞貝塚","[大洞貝塚（大船渡市）] 大洞貝塚 （おおほらかいづか）は、 岩手県 大船渡市 赤崎町字大洞にある 縄文時代 晩期の 貝塚 。 2001年 （平成13年）8月13日に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大洞貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯39度04分01秒東経141度44分40秒","日本岩手県大船渡市","31 m (102 ft)","","20,000 sq.m.","縄文時代","","1925, 2002","東北大学","","","","","","","","","","",""
"田茂川貝塚 (存在しないページ)","[田茂川貝塚（南三陸町）]","https://ja.wikipedia.org/w/index.php?title=田茂川貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中沢浜貝塚","[中沢浜貝塚（陸前高田市）] 中沢浜貝塚 （なかざわはまかいづか）は、 岩手県 陸前高田市 広田町中沢にある 縄文時代 の 貝塚 遺跡。日本でも有数の多数の人骨が出土した貝塚である。1934年1月22日、 国史跡 に指定された   。","https://ja.wikipedia.org/wiki/中沢浜貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度57分18秒 東経141度41分50秒","","","","","","","","","","","","","","","","","","",""
"下船渡貝塚","[下船渡貝塚（大船渡市）] 下船渡貝塚 （しもふなとかいづか）は、 岩手県 大船渡市 大船渡町字宮の前に所在する 縄文時代 後・晩期の代表的な 貝塚 である。1934年（昭和9年）1月22日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/下船渡貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯39度2分16.8秒 東経141度43分8.4秒","","","","","","","","","","","","","","","","","","",""
"崎山貝塚","[崎山貝塚（宮古市）] 崎山貝塚 （さきやまかいづか）は、 岩手県 宮古市 大字崎山第一地割・第二地割・第三地割にある 縄文時代 の 貝塚 遺跡 。 1996年 （平成8年）7月16日、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/崎山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯39度40分29秒 東経141度57分41秒","","","","","","","","","","","","","","","","","","",""
"田柄貝塚 (存在しないページ)","[田柄貝塚（気仙沼市）]","https://ja.wikipedia.org/w/index.php?title=田柄貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前浜貝塚","[前浜貝塚（気仙沼市）] 前浜貝塚 （まえはまかいづか）は、 宮城県 気仙沼市 本吉町 に所在する 縄文時代 後期 - 晩期に属する 貝塚 である。 1980年 （ 昭和 55年） 5月1日 に町の 史跡 に指定された(現在、市指定）。","https://ja.wikipedia.org/wiki/前浜貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度48分14.43秒 東経141度32分56.86秒","","","","","","","","","","","","","","","","","","",""
"糠塚貝塚","[糠塚貝塚（登米市）] 糠塚貝塚 （ぬかづかかいづか）は、 宮城県 登米市 に所在する 縄文時代 前期～後期に属する 貝塚 である。","https://ja.wikipedia.org/wiki/糠塚貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度42分55.05秒 東経141度8分54.69秒","","","","","","","","","","","","","","","","","","",""
"中沢目貝塚","[中沢目貝塚（大崎市）] 中沢目貝塚 （なかざわめかいづか）は、 宮城県 大崎市 田尻にある 縄文時代 の 貝塚 。 1988年 （ 昭和 63年）10月14日、国の 史跡 に指定される  。","https://ja.wikipedia.org/wiki/中沢目貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度37分13.3秒 東経141度5分54.6秒","","","","","","","","","","","","","","","","","","",""
"長根貝塚","[長根貝塚（涌谷町）] 長根貝塚 （ながねかいづか）は、 宮城県 遠田郡 涌谷町 にある 縄文時代 の代表的な 貝塚 。 1970年 （ 昭和 45年） 3月9日 、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/長根貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度36分06.8秒 東経141度08分38.4秒","","","","","","","","","","","","","","","","","","",""
"泉沢貝塚","[泉沢貝塚（石巻市）] 宮城県石巻市北上町の丘陵斜面にある貝塚で、 1948年 （ 昭和 23年）に アイオン台風 が石巻地方を襲った際に  、縄文時代晩期の高さ26.2cmの 遮光器土偶 が偶然発見された。同土偶は、県指定 有形文化財 として 多賀城市 の 東北歴史博物館 に所蔵されている。","https://ja.wikipedia.org/wiki/泉沢貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度33分56.3秒 東経141度24分23.5秒","","","","","","","","","","","","","","","","","","",""
"沼津貝塚","[沼津貝塚（石巻市）] 沼津貝塚 （ぬまづかいづか）は、 宮城県 石巻市 沼津字出外・八幡山にある 縄文時代 の代表的な 貝塚 。別称出外（でと）貝塚ともいう。1972年（昭和47年）10月21日、国の 史跡 に指定される。","https://ja.wikipedia.org/wiki/沼津貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度26分44.9秒 東経141度22分39.5秒","","","","","","","","","","","","","","","","","","",""
"南境貝塚","[南境貝塚（石巻市）] 南境貝塚 （みなみざかいかいづか）は、 宮城県 石巻市 にある 縄文時代 早期～晩期の 貝塚 である。","https://ja.wikipedia.org/wiki/南境貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度28分6.12秒 東経141度18分38.66秒","","","","","","","","","","","","","","","","","","",""
"大木囲貝塚","[大木囲貝塚（七ヶ浜町）] 大木囲貝塚 （だいぎかこいかいづか）は、 宮城県 宮城郡 七ヶ浜町 東宮字大木・西大木・北大木・南大木に所在する 縄文時代 前期から中期にかけての大規模な環状 貝塚 遺跡 である。東北地方南部の縄文時代の 標式遺跡 のひとつである。1968年（昭和43年）3月18日、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/大木囲貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯38度18分10.9秒 東経141度2分37.9秒","","","","","","","","","","","","","","","","","","",""
