"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"札幌ドーム","[パ札幌ドーム40,476北海道札幌市豊平区人工芝北海道日本ハムファイターズ20012004札幌市左翼- 100m中堅- 122m右翼- 100m] 日本で唯一の完全屋内天然芝 サッカースタジアム であり  、天然芝サッカー場移動方式「ホヴァリングシステム」を世界で初めて採用した  。このシステムにより サッカー 用 天然芝 グラウンドと 野球 用 人工芝 グラウンドの併用が可能となっている。「第44回 BCS賞 」  ・平成14年度（2002年）「 赤レンガ建築賞 」受賞。","https://ja.wikipedia.org/wiki/札幌ドーム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯43度0分54.46秒東経141度24分35.18秒","北海道札幌市豊平区羊ケ丘1","サッカーピッチサイズ - 105m×68m野球　両翼 - 100m （約328.1 ft）　中堅 - 122m （約400.3 ft）　左右中間 - 116m（約380.6ft）　　グラウンド面積 - 14,460m2","札幌市","天然芝（サッカー）人工芝（野球）","","2001年（平成13年）6月2日","株式会社札幌ドーム","5.75m （約18.9 ft）","","原広司、アトリエ・ファイ建築研究所、アトリエブンク","1998年（平成10年）","","","","大成建設、竹中工務店、シャール・ボヴィス共同企業体","約422億円","","",""
"宮城球場","[パ宮城球場（楽天生命パーク宮城）30,508宮城県仙台市宮城野区天然芝東北楽天ゴールデンイーグルス19502005宮城県左翼- 100.1m中堅- 122 m右翼- 100.1m] 宮城球場 （みやぎきゅうじょう）は、 宮城県 仙台市 宮城野区 の 宮城野原公園総合運動場 内にある 野球場 。 2005年 （ 平成 17年）より、 プロ野球 ・ パシフィック・リーグ （パ・リーグ）の 東北楽天ゴールデンイーグルス の 専用球場 （本拠地）として使用されているほか、 高校野球 などの アマチュア野球 も開催されている（後述）。","https://ja.wikipedia.org/wiki/宮城球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯38度15分22.34秒東経140度54分9秒","宮城県仙台市宮城野区宮城野二丁目11番6号","グラウンド面積 - 12,800m2両翼 - 100.1 m（約328.4 ft）中堅 - 122 m（約400.3 ft）左右中間 - 116m（約380.6ft）バックストップ - 60 ft（約18.3 m）","宮城県","内外野フェアグラウンド - 天然芝ファウルエリア - 天然芝及人工芝塁間およびピッチャーズマウンド - 黒土クレー舗装","照明塔6基・合計444灯最大照度　投捕間：2500Lx　内野：2000Lx　外野：1500Lx","1950年（昭和25年）5月5日（球場完成前に開場。完成日は同年5月27日）","株式会社楽天野球団（都市公園法に基づく管理許可制度による）","1.65〜2.8m （約8.2 ft）　左中間1.65m（約5.4 ft）。","","鹿島建設（2004年12月からの改修）","","","","","鹿島建設（2004年12月からの改修）","","","",""
"西武ドーム","[パ西武ドーム（メットライフドーム）33,556埼玉県所沢市人工芝埼玉西武ライオンズ19791979西武鉄道左翼- 100m中堅- 122m右翼- 100m] 西武ドーム （せいぶドーム）は、 日本 の 埼玉県 所沢市  にある ドーム球場 である。埼玉県の南西部の 狭山丘陵 に立地し、周囲を緑に囲まれたロケーションの中に位置している。","https://ja.wikipedia.org/wiki/西武ドーム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度46分6.6秒東経139度25分13.8秒","埼玉県所沢市大字上山口2135番地","グラウンド面積 - 12,631.29m2両翼 - 100 m（約328.1 ft）中堅 - 122 m（約400.3 ft）左右中間 - 116 m（約380.6 ft）","西武鉄道","野球専用人工芝「MS Craft Baseball Turf」","照度 - バッテリー間：2500ルクス　　　　　内野：2000ルクス　　　　　外野：1500ルクス","1979年4月14日（ドーム化1999年3月18日）","株式会社西武ライオンズ","3.2 m（約10.5 ft）- 4.37 m（約14.3 ft）","","早稲田大学池原研究室（球場建設）、石山建一（設計アドバイザー）、鹿島建設（ドーム化工事）","1978年6月","","","","西武建設、鹿島建設（ドーム化工事）","","","",""
"千葉マリンスタジアム","[パ千葉マリンスタジアム（ZOZOマリンスタジアム）30,348千葉県千葉市美浜区人工芝千葉ロッテマリーンズ19901992千葉市左翼- 99.5m中堅- 122m右翼- 99.5m] 千葉マリンスタジアム （ちばマリンスタジアム）は、 日本 の 千葉県 千葉市 美浜区 の 幕張海浜公園 内にある多目的 野球場  。 プロ野球 ・ パシフィック・リーグ （パ・リーグ）の 千葉ロッテマリーンズ が 専用球場 （本拠地）として使用している  。通称・略称は 千葉マリン 、 マリスタ  。 ZOZO が施設 命名権 を取得しており、名称を ZOZOマリンスタジアム （ゾゾマリンスタジアム、略称： ゾゾマリン ）としている    。","https://ja.wikipedia.org/wiki/千葉マリンスタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度38分42.86秒東経140度1分51.32秒","千葉県千葉市美浜区美浜1番地","グラウンド面積 :  -m2両翼 : 99.5 m（約326.4 ft）中堅 : 122 m（約400.3 ft）左右中間 : 112.3m（約381.6 ft）バックストップ : 19 m（約63.3 ft）","千葉市","野球専用人工芝「MS Craft Baseball Turf」","大庇先端上投光器照明方式（サークルライン方式）最大照度：投捕間 2500Lx内野 2500Lx外野 1500Lx","1990年（平成2年）3月24日","千葉ロッテマリーンズ（指定管理者）","3.3m （約14.4 ft）","","富家建築事務所","","","","","大成建設、清水建設、西松建設、熊谷組、五洋建設","133億円","","",""
"東京ドーム","[セ東京ドーム46,000東京都文京区人工芝読売ジャイアンツ19881988株式会社東京ドーム左翼- 100m中堅- 122m右翼- 100m] 東京ドーム （とうきょうドーム）は、 東京都 文京区 後楽 1-3-61にある ドーム球場 。 プロ野球 ・ JERAセントラル・リーグ （セ・リーグ）の 読売ジャイアンツ （読売巨人軍）が 専用球場 （本拠地）としている。","https://ja.wikipedia.org/wiki/東京ドーム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度42分21秒東経139度45分7秒","東京都文京区後楽1丁目3-61","グラウンド面積：13,000 m2両翼 - 100 m （約328.1 ft）中堅 - 122 m （約400.3 ft）左右中間 - 110 m （約360.9 ft）","株式会社東京ドーム","人工芝（フィールドターフ）","照明灯 - 14ヶ所照度 - バッテリー間：2800ルクス、内野：2500ルクス","1988年（昭和63年）3月18日","","4.24 m（約13.9 ft）","","竹中工務店、日建設計","1985年（昭和60年）5月16日","","","","竹中工務店","約350億円","","",""
"明治神宮野球場","[セ明治神宮野球場31,805東京都新宿区人工芝東京ヤクルトスワローズ19261964明治神宮左翼- 97.5m中堅- 120m右翼- 97.5m] 明治神宮野球場 （めいじじんぐうやきゅうじょう）は、 東京都 新宿区 の 明治神宮外苑 に所在する 野球場 。","https://ja.wikipedia.org/wiki/明治神宮野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度40分28.46秒東経139度43分1.69秒","東京都新宿区霞ヶ丘町3番1号","グラウンド面積：12,659m2両翼 - 97.5 m（約319.8 ft）中堅 - 120 m（約393.7 ft）左右中間 - 112.3m","明治神宮","ロングパイル人工芝","照明塔 - 6基照度 投捕間3000Lx内野2300Lx外野1700Lx","1926年（大正15年）10月23日","","3.3 m （約10.83ft）ラバーフェンス：1.8 m金網フェンス：1.5 m","","小林政一","1925年（大正14年）12月","","","","","53万円（着工当時）","","",""
"横浜スタジアム","[セ横浜スタジアム34,046[1] 横浜スタジアム （よこはまスタジアム）は、 日本 の 神奈川県 横浜市 中区 の 横浜公園 内にある 野球場 。 プロ野球 セントラル・リーグ に所属する 横浜DeNAベイスターズ の本拠地（ 専用球場 ）として使用されている。 横スタ 、 ハマスタ の愛称で知られる    。","https://ja.wikipedia.org/wiki/横浜スタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度26分36.34秒東経139度38分24.36秒","神奈川県横浜市中区横浜公園無番地","両翼 - 94.2 m（約309.1 ft）中堅 - 117.7 m（約386.2 ft）左右中間 - 111.4 m （約365 ft）グラウンド面積 - 12,284m2屋内練習場 - 963 m2","横浜市および国","内外野 - ロングパイル人工芝（フィールドターフ）","照明灯 - 6基照度 - バッテリー間：2500ルクス内野：2000ルクス外野：1650ルクス","1978年4月4日","株式会社横浜スタジアム","5.0-5.3 m （約16.4 ft）","","創和設計(1977)、清水建設一級建築士事務所(2020)","1977年4月","","","","清水建設（幹事社）、大成建設など11社による共同企業体","約49億円","","",""
"ナゴヤドーム","[セナゴヤドーム（バンテリンドーム ナゴヤ）36,627愛知県名古屋市東区人工芝中日ドラゴンズ19971997株式会社ナゴヤドーム左翼- 100m中堅- 122m右翼- 100m] ナゴヤドーム は、 日本 の 愛知県 名古屋市 東区 大幸南 一丁目にある ドーム型野球場 。 プロ野球 ・ セントラル・リーグ （セ・リーグ）の 中日ドラゴンズ が 専用球場 （本拠地）として使用している。2021年からは 興和 が 命名権 を取得しており、名称を「 バンテリンドーム ナゴヤ 」としている   。","https://ja.wikipedia.org/wiki/ナゴヤドーム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度11分9.52秒東経136度56分50.33秒","愛知県名古屋市東区大幸南一丁目1番1号","両翼 - 100 m （約328.1 ft）中堅 - 122 m （約400.3 ft）左右中間 - 116 m （約380.6 ft）グラウンド面積 - 13,400m2","株式会社ナゴヤドーム","ショートパイル人工芝","照明灯 - 1178灯照度 - バッテリー間：2500ルクス　　　　　内野：2000ルクス　　　　　外野：1650ルクス","1997年3月12日","","4.8 m （約15.7 ft）","","監修：三菱地所設計、管理：竹中工務店","1994年8月23日着工：1994年8月8日","","","","竹中工務店、三菱重工業共同企業体","約405億円","","",""
"大阪ドーム","[パ大阪ドーム（京セラドーム大阪）36,146大阪府大阪市西区人工芝オリックス・バファローズ19972005オリックスグループ左翼- 100m中堅- 122m右翼- 100m] 大阪ドーム （おおさかドーム）は、 日本 の 大阪府 大阪市 西区 にある多目的 ドーム球場 兼複合レジャー施設。 プロ野球 ・ パシフィック・リーグ （パ・リーグ）の オリックス・バファローズ が本拠地として使用している。","https://ja.wikipedia.org/wiki/大阪ドーム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度40分9.48秒東経135度28分33.97秒","大阪府大阪市西区千代崎三丁目中2番1号","両翼 - 100 m （約328.1 ft）中堅 - 122 m （約400.3 ft）左右中間 - 116 m （約380.6 ft）バックストップ - 18.3m屋根の高さ - 60 m（約196.9 ft）グラウンド面積 - 13,200m2","オリックスグループ","野球専用人工芝「MS Craft Baseball Turf」","照明灯 - 天井全周型・596灯照度バッテリー間：3000ルクス内野：2600ルクス外野：1800ルクス","1997年3月1日","","4.2 m （約13.8 ft）","","日建設計（協力：竹中工務店、大林組、電通）","1994年7月","","","","大阪ドーム建設共同企業体連合","約498億円","","",""
"阪神甲子園球場","[セ阪神甲子園球場47,508兵庫県西宮市天然芝阪神タイガース19241936阪神電気鉄道左翼- 95m中堅- 118m右翼- 95m] 阪神甲子園球場 （はんしんこうしえんきゅうじょう）は、 兵庫県 西宮市 甲子園町 にある 野球場 。通称「 甲子園球場 」または「 甲子園 」（以下、 甲子園球場 に統一）。 阪神電気鉄道 が所有している。","https://ja.wikipedia.org/wiki/阪神甲子園球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","日本兵庫県西宮市甲子園町1番82号","グラウンド面積 - 約13,000 m2両翼 - 95 m （約311ft）中堅 - 118 m （約387 ft）左右中間 - 118 m （約387 ft）","阪神電気鉄道","外野 -天然芝,フェンス付近に人工芝使用内野 - 土","屋根上投光器照明 - 2基、照明塔 - 4基照度 - バッテリー間：2500ルクス内野：2500ルクス外野：2000ルクス","1924年（大正13年）8月1日","阪神電気鉄道","2.6 m","","大林組","","","","","大林組","250万円（着工当時）","","",""
"MAZDA Zoom-Zoom スタジアム広島","[セ広島市民球場（MAZDA Zoom-Zoom スタジアム広島）33,000広島県広島市南区天然芝広島東洋カープ20092009広島市左翼- 101m中堅- 122m右翼- 100m] MAZDA Zoom-Zoom スタジアム広島 （マツダ ズーム・ズーム スタジアムひろしま）は、 広島県 広島市 南区 南蟹屋にある 野球場 。 プロ野球 ・ セントラル・リーグ （セ・リーグ）の 広島東洋カープ が 専用球場 （本拠地）として使用している。","https://ja.wikipedia.org/wiki/MAZDA_Zoom-Zoom_スタジアム広島","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","広島県広島市南区南蟹屋2-3-1","グラウンド面積：12,710m2左翼 - 101 m （約331.4 ft）左中間 - 116 m （約380.6 ft）中堅 - 122 m （約400.3 ft）右中間 - 116 m （約380.6 ft）右翼 - 100 m （約328.1 ft）","広島市","内・外野 -天然芝（ティフトン419、ペレニアル・ライグラス）","照明灯 - 6基最大照度 投捕間：2500Lx内 野：2000Lx外 野：1500Lx","2009年4月1日","広島東洋カープ","中堅周辺 - 2.5 m（約8.2 ft）（ラバーフェンス：1.8m + 金網フェンス：0.7m）左翼 - 3.6 m（約11.8 ft）右翼 - 3.4 m（約11.2 ft）","","仙田満- 環境デザイン研究所金箱温春- 金箱構造設計事務所","2007年11月26日","","","","五洋建設・増岡組・鴻治組JV","約110億円","","",""
"福岡ドーム","[パ福岡ドーム（福岡PayPayドーム）40,178福岡県福岡市中央区人工芝福岡ソフトバンクホークス19931993福岡ソフトバンクホークス左翼- 100m中堅- 122m右翼- 100m] 福岡ドーム （ふくおかドーム）は、 福岡県 福岡市 中央区 地行浜2丁目（ シーサイドももち ）に在る開閉式屋根を持つ多目的 ドーム球場 。建築面積は69,130m 2 、最高所は83.96mで地上7階の建築物に相当し、ドーム球場の広さでは日本一。「第35回BCS賞」受賞  。","https://ja.wikipedia.org/wiki/福岡ドーム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯33度35分43.2秒東経130度21分43.2秒","福岡県福岡市中央区地行浜2丁目2番2号","両翼 - 100 m （約328.1 ft）中堅 - 122 m （約400.3 ft）左右中間 - 約110 m屋根の高さ - 68 m （約223.1 ft）","福岡ソフトバンクホークス株式会社","ロングパイル人工芝（フィールドターフHD）","","1993年4月2日","","4.2 m （約13.8 ft）","","竹中工務店、前田建設工業共同企業体","1991年4月1日","","","","竹中工務店、前田建設工業共同企業体","760億円（総事業費）","","",""
"東北楽天ゴールデンイーグルス (ファーム)","[東北楽天ゴールデンイーグルス-利府町中央公園野球場（楽天イーグルス利府球場、宮城県・宮城郡利府町）、楽天イーグルス泉練習場（ウェルファムフーズ森林どりスタジアム泉、宮城県・仙台市泉区）] 東北楽天ゴールデンイーグルス （とうほくらくてんゴールデンイーグルス、 Tohoku Rakuten Golden Eagles ）の ファーム は、 日本 の プロ野球 球団・ 東北楽天ゴールデンイーグルス の下部組織として設置されている 二軍 である。 イースタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/東北楽天ゴールデンイーグルス_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","2005年","三木肇","","","","","",""
"埼玉西武ライオンズ (ファーム)","[埼玉西武ライオンズ-西武第二球場（カーミニークフィールド、埼玉県・所沢市）] 埼玉西武ライオンズ （さいたませいぶライオンズ、 Saitama Seibu Lions ）の ファーム は、 日本 の プロ野球 球団・ 埼玉西武ライオンズ の下部組織として設置されている ファームチーム である。 イースタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/埼玉西武ライオンズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","不明（一軍は1950年）","松井稼頭央","","","","","",""
"千葉ロッテマリーンズ (ファーム)","[千葉ロッテマリーンズ-ロッテ浦和球場（埼玉県・さいたま市南区）] 千葉ロッテマリーンズ （ちばロッテマリーンズ、 Chiba Lotte Marines ）の ファーム は、 日本 の プロ野球 球団・ 千葉ロッテマリーンズ の下部組織として設置されている ファームチーム である。 イースタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/千葉ロッテマリーンズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1950年","鳥越裕介","","","","","",""
"東京ヤクルトスワローズ (ファーム)","[東京ヤクルトスワローズ-ヤクルト戸田球場（埼玉県・戸田市）] 東京ヤクルトスワローズ （とうきょうヤクルトスワローズ、 Tokyo Yakult Swallows ）の ファーム は、 日本 の プロ野球 球団・ 東京ヤクルトスワローズ の下部組織として設置されている ファームチーム である。 イースタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/東京ヤクルトスワローズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1950年","池山隆寛","","","","","",""
"北海道日本ハムファイターズ (ファーム)","[北海道日本ハムファイターズ-ファイターズスタジアム（千葉県・鎌ヶ谷市）] 北海道日本ハムファイターズ （ほっかいどうにっぽんハムファイターズ、 Hokkaido Nippon-Ham Fighters ）の ファーム は、 日本 の プロ野球 球団・ 北海道日本ハムファイターズ の下部組織として設置されている ファームチーム である。 イースタン・リーグ の球団のひとつ。","https://ja.wikipedia.org/wiki/北海道日本ハムファイターズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1948年","原田豊","","","","","",""
"読売ジャイアンツ (ファーム)","[読売ジャイアンツ-読売ジャイアンツ球場（神奈川県・川崎市多摩区）] 読売ジャイアンツのファー厶 は、日本の プロ野球 チーム・ 読売ジャイアンツ の下部組織として設置されているファームチームである。 二軍 は イースタン・リーグ に所属している。","https://ja.wikipedia.org/wiki/読売ジャイアンツ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1949年","阿部慎之助","","","","","",""
"横浜DeNAベイスターズ (ファーム)","[横浜DeNAベイスターズ-横須賀スタジアム（神奈川県・横須賀市）] 横浜DeNAベイスターズ （よこはまディー・エヌ・エー・ベイスターズ、 Yokohama DeNA BayStars ）の ファーム は、 日本 の プロ野球球団 ・ 横浜DeNAベイスターズ の下部組織として設置されている ファームチーム である。 イースタン・リーグ の球団のひとつ。2000年から2010年のシーズン終了までは「 湘南シーレックス 」（しょうなんシーレックス、 Shonan Searex ）という名称だった（詳細は後述）。","https://ja.wikipedia.org/wiki/横浜DeNAベイスターズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","1950年","仁志敏久","","","","","",""
"中日ドラゴンズ (ファーム)","[中日ドラゴンズ-ナゴヤ球場（愛知県・名古屋市中川区）] 中日ドラゴンズ （ちゅうにちドラゴンズ、 Chunichi Dragons ）の ファーム は、 日本 の プロ野球 球団・ 中日ドラゴンズ の下部組織として設置されている二軍のチームである。 ウエスタン・リーグ 所属。","https://ja.wikipedia.org/wiki/中日ドラゴンズ_(ファーム)","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","不明","仁村徹","","","","","",""
