"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","製造所","編成","電気方式","最高運転速度","車両定員"
"相生駅 (岐阜県)","[相生駅 (岐阜県)（あいおいえき・長良川鉄道越美南線）] 相生駅 （あいおいえき）は、 岐阜県 郡上市 八幡町相生にある 長良川鉄道越美南線 の 駅 である。駅番号は 24 。","https://ja.wikipedia.org/wiki/相生駅_(岐阜県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度42分54.35秒東経136度57分1.49秒","越美南線","43.0 km（美濃太田起点）","長良川鉄道","地上駅","1929年12月8日","1面1線","岐阜県郡上市八幡町相生北緯35度42分54.35秒東経136度57分1.49秒﻿ / ﻿北緯35.7150972度 東経136.9504139度﻿ /35.7150972; 136.9504139座標:北緯35度42分54.35秒東経136度57分1.49秒﻿ / ﻿北緯35.7150972度 東経136.9504139度﻿ /35.7150972; 136.9504139","無人駅","アイアオ←アヲ（転換前）","24","31人/日（降車客含まず）-2015年-","","","","","","","",""
"相生駅 (兵庫県)","[相生駅 (兵庫県)（あいおいえき・西日本旅客鉄道山陽新幹線・山陽本線・赤穂線）] 相生駅 （あいおいえき）は、 兵庫県 相生市 本郷町にある、 西日本旅客鉄道 （JR西日本）の 駅 である  。 事務管コード は▲610623  。","https://ja.wikipedia.org/wiki/相生駅_(兵庫県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度49分5.04秒東経134度28分26.20秒","山陽新幹線","112.4km（新大阪起点）東京から665.0 km","西日本旅客鉄道（JR西日本）","高架駅（新幹線）地上駅（橋上駅）（在来線）","1890年（明治23年）7月10日","2面2線（新幹線）2面3線（在来線）","兵庫県相生市本郷町1-10北緯34度49分5.04秒東経134度28分26.20秒﻿ / ﻿北緯34.8180667度 東経134.4739444度﻿ /34.8180667; 134.4739444座標:北緯34度49分5.04秒東経134度28分26.20秒﻿ / ﻿北緯34.8180667度 東経134.4739444度﻿ /34.8180667; 134.4739444","直営駅（管理駅）みどりの窓口有*1942年に那波駅から改称。** 山陽本線竜野方と一体運用","アイ","","4,355人/日（降車客含まず）-2019年-","","","","","","","",""
"相老駅","[相老駅（あいおいえき・わたらせ渓谷鐵道わたらせ渓谷線・東武桐生線）] 相老駅 （あいおいえき）は、 群馬県 桐生市 相生町 二丁目にある わたらせ渓谷鐵道 と 東武鉄道 の 駅 である。","https://ja.wikipedia.org/wiki/相老駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度24分38秒東経139度18分16秒","■わたらせ渓谷鐵道わたらせ渓谷線","3.1 km（桐生起点）","わたらせ渓谷鐵道東武鉄道","地上駅","1911年（明治44年）4月15日*","計3面4線","群馬県桐生市相生町二丁目756北緯36度24分38秒東経139度18分16秒﻿ / ﻿北緯36.41056度 東経139.30444度﻿ /36.41056; 139.30444﻿ (相老駅)座標:北緯36度24分38秒東経139度18分16秒﻿ / ﻿北緯36.41056度 東経139.30444度﻿ /36.41056; 139.30444﻿ (相老駅)","共同使用駅（わたらせ渓谷鐵道の管轄駅）","アオ←アヲ（転換前）アオ（東武）","WK03","","（東武）696人/日(わたらせ渓谷) 178人/日-2019年（令和元年）-","","","","","","",""
"相生山駅","[相生山駅（あいおいやまえき）] 島式ホーム 1面2線を有する 地下駅 で 可動式ホーム柵 が設置されている。ホームは20m車6両編成まで対応しており、 可動式ホーム柵 が設置されている。出入口は2箇所あり、いずれもエレベーターが設置されている。","https://ja.wikipedia.org/wiki/相生山駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度6分9.16秒東経136度58分34.34秒","桜通線","16.9 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","2011年（平成23年）3月27日","1面2線","名古屋市緑区相川三丁目61北緯35度6分9.16秒東経136度58分34.34秒﻿ / ﻿北緯35.1025444度 東経136.9762056度﻿ /35.1025444; 136.9762056﻿ (相生山駅)座標:北緯35度6分9.16秒東経136度58分34.34秒﻿ / ﻿北緯35.1025444度 東経136.9762056度﻿ /35.1025444; 136.9762056﻿ (相生山駅)","","","S19","4,433人/日（降車客含まず）-2019年-","8,613人/日-2019年-","","","","","","",""
"相賀駅","[相賀駅（あいがえき）] 相賀駅 （あいがえき）は、 三重県 北牟婁郡 紀北町 相賀にある、 東海旅客鉄道 （JR東海） 紀勢本線 の 駅 である。 JR旅客6社の 駅名 を 五十音順 に並べた時、当駅は 相生駅 に続いて二つ目の駅となる。","https://ja.wikipedia.org/wiki/相賀駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度6分41.82秒 東経136度13分37.83秒","紀勢本線","116.6 km（亀山起点）","東海旅客鉄道（JR東海）","地上駅","1934年（昭和9年）12月19日","2面2線","","駅員無配置駅","アイ","","122人/日（降車客含まず）-2019年-","","","","","","","",""
"秋鹿町駅","[秋鹿町駅（あいかまちえき）] 秋鹿町駅 （あいかまちえき）は、 島根県 松江市 秋鹿町に位置する 一畑電車北松江線 の 駅 である。駅番号は 18 。駅名の読みは「あいかまち」だが、地名の読みは「あいかちょう」である。","https://ja.wikipedia.org/wiki/秋鹿町駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度28分38.11秒東経132度57分23.13秒","北松江線","25.0 km（電鉄出雲市起点）","一畑電車","地上駅","1928年（昭和3年）4月5日","1面2線","島根県松江市秋鹿町3342-2北緯35度28分38.11秒東経132度57分23.13秒﻿ / ﻿北緯35.4772528度 東経132.9564250度﻿ /35.4772528; 132.9564250座標:北緯35度28分38.11秒東経132度57分23.13秒﻿ / ﻿北緯35.4772528度 東経132.9564250度﻿ /35.4772528; 132.9564250","","","18","67人/日（降車客含まず）-2018年-","158人/日-2018年-","","","","","","",""
"相川駅","[相川駅（あいかわえき・阪急京都本線）] 相川駅 （あいかわえき）は、 大阪府 大阪市 東淀川区 相川 一丁目にある、 阪急電鉄 京都本線 の 駅 である。駅番号は HK-65 。","https://ja.wikipedia.org/wiki/相川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度45分28.56秒東経135度32分1.88秒","■京都本線","7.2 km（十三起点）大阪梅田から9.6 km","阪急電鉄","高架駅","1928年（昭和3年）1月16日","2面4線","大阪市東淀川区相川一丁目7番24号北緯34度45分28.56秒東経135度32分1.88秒﻿ / ﻿北緯34.7579333度 東経135.5338556度﻿ /34.7579333; 135.5338556﻿ (相川駅)座標:北緯34度45分28.56秒東経135度32分1.88秒﻿ / ﻿北緯34.7579333度 東経135.5338556度﻿ /34.7579333; 135.5338556﻿ (相川駅)","","","HK65","","（特定日）21,425人/日-2019年-","","（通年平均）16,200人/日-2019年-","","","","",""
"合川駅","[合川駅（あいかわえき・秋田内陸縦貫鉄道秋田内陸線）] 合川駅 （あいかわえき）は 秋田県 北秋田市 下杉字川井境にある、 秋田内陸縦貫鉄道 秋田内陸線 の 駅 である。急行「もりよし」停車駅。","https://ja.wikipedia.org/wiki/合川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯40度9分39.77秒東経140度19分48.62秒","■秋田内陸線","9.7 km（鷹巣起点）","秋田内陸縦貫鉄道","地上駅","1934年（昭和9年）12月10日","1面2線","秋田県北秋田市下杉字川井境北緯40度9分39.77秒東経140度19分48.62秒﻿ / ﻿北緯40.1610472度 東経140.3301722度﻿ /40.1610472; 140.3301722座標:北緯40度9分39.77秒東経140度19分48.62秒﻿ / ﻿北緯40.1610472度 東経140.3301722度﻿ /40.1610472; 140.3301722","簡易委託駅1956年（昭和31年）4月1日羽後上大野駅より改称","アイ","","","108人/日-2018年-","","","","","","",""
"愛環梅坪駅","[愛環梅坪駅（あいかんうめつぼえき）] 愛環梅坪駅 （あいかんうめつぼえき）は、 愛知県 豊田市 東梅坪町にある 愛知環状鉄道線 の 駅 である。 駅番号 は 13 。","https://ja.wikipedia.org/wiki/愛環梅坪駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度6分18.8秒東経137度9分39.2秒","■愛知環状鉄道線","21.5 km（岡崎起点）","愛知環状鉄道","高架駅","2005年（平成17年）3月1日","1面1線","愛知県豊田市東梅坪町1-6北緯35度6分18.8秒東経137度9分39.2秒﻿ / ﻿北緯35.105222度 東経137.160889度﻿ /35.105222; 137.160889座標:北緯35度6分18.8秒東経137度9分39.2秒﻿ / ﻿北緯35.105222度 東経137.160889度﻿ /35.105222; 137.160889","駅員時間配置駅","ウメ","○13","","1,932人/日-2019年-","","","","","","",""
"愛甲石田駅","[愛甲石田駅（あいこういしだえき）] 愛甲石田駅 （あいこういしだえき）は、 神奈川県 厚木市 愛甲一丁目（一部 伊勢原市 石田に跨がる）にある、 小田急電鉄 小田原線 の 駅 である。駅番号は OH 35 。","https://ja.wikipedia.org/wiki/愛甲石田駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度25分3.5秒東経139度20分38秒","小田原線","48.5 km（新宿起点）","小田急電鉄","地上駅（橋上駅）","1927年（昭和2年）4月1日","2面2線","神奈川県厚木市愛甲一丁目1番1号北緯35度25分3.5秒東経139度20分38秒﻿ / ﻿北緯35.417639度 東経139.34389度﻿ /35.417639; 139.34389座標:北緯35度25分3.5秒東経139度20分38秒﻿ / ﻿北緯35.417639度 東経139.34389度﻿ /35.417639; 139.34389","","","OH35","","54,602人/日-2019年-","","","","","","",""
