"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"飯井駅","飯井駅（いいえき）","https://ja.wikipedia.org/wiki/飯井駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","山口県萩市大字三見字前水無4876北緯34度22分44.87秒東経131度17分42.05秒﻿ / ﻿北緯34.3791306度 東経131.2950139度﻿ /34.3791306; 131.2950139座標:北緯34度22分44.87秒東経131度17分42.05秒﻿ / ﻿北緯34.3791306度 東経131.2950139度﻿ /34.3791306; 131.2950139","","西日本旅客鉄道（JR西日本）","■山陰本線","588.1 km（京都起点）","イイ","地上駅","1面1線","6人/日（降車客含まず）-2019年-","1964年（昭和39年）1月21日","無人駅","","","","","","","","",""
"飯岡駅","飯岡駅（いいおかえき）","https://ja.wikipedia.org/wiki/飯岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉県旭市後草2058-1北緯35度43分45.6秒東経140度41分1.8秒座標:北緯35度43分45.6秒 東経140度41分1.8秒","","東日本旅客鉄道（JR東日本）","■総武本線[1]","106.3 km（東京起点）","イオ←イヲ","地上駅[1]","2面2線[1]","733人/日（降車客含まず）-2019年-","1897年（明治30年）6月1日[1]","業務委託駅[1]","","","","","","","","",""
"飯倉駅","飯倉駅（いいぐらえき）","https://ja.wikipedia.org/wiki/飯倉駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉県匝瑳市飯倉89北緯35度41分8.6秒東経140度31分20.6秒座標:北緯35度41分8.6秒 東経140度31分20.6秒","","東日本旅客鉄道（JR東日本）","■総武本線","90.6 km（東京起点）","イク","地上駅","1面1線","449人/日（降車客含まず）-2006年-","1964年（昭和39年）10月1日[1]","無人駅[2]（乗車駅証明書発行機 有）","","","","","","","","",""
"飯坂温泉駅","飯坂温泉駅（いいざかおんせんえき）","https://ja.wikipedia.org/wiki/飯坂温泉駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県福島市飯坂町字十綱下28北緯37度49分49.2秒東経140度27分16.9秒﻿ / ﻿北緯37.830333度 東経140.454694度﻿ /37.830333; 140.454694座標:北緯37度49分49.2秒東経140度27分16.9秒﻿ / ﻿北緯37.830333度 東経140.454694度﻿ /37.830333; 140.454694","","福島交通","福島交通飯坂線","9.2 km（福島駅起点）","","地上駅","2面1線","","1927年（昭和2年）3月23日","","1,023人/日-2018年-","","","","","","","",""
"飯島駅","飯島駅（いいじまえき）","https://ja.wikipedia.org/wiki/飯島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県上伊那郡飯島町飯島[1]1178北緯35度40分40.91秒東経137度55分43.78秒﻿ / ﻿北緯35.6780306度 東経137.9288278度﻿ /35.6780306; 137.9288278座標:北緯35度40分40.91秒東経137度55分43.78秒﻿ / ﻿北緯35.6780306度 東経137.9288278度﻿ /35.6780306; 137.9288278","","東海旅客鉄道（JR東海）","CD飯田線","157.9 km（豊橋起点）","イシ[1]","地上駅","2面2線[1]","268人/日（降車客含まず）-2018年-","1918年（大正7年）2月11日[1]","簡易委託駅標高：647m[1]","","","","","","","","",""
"飯田駅","飯田駅（いいだえき）","https://ja.wikipedia.org/wiki/飯田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県飯田市上飯田[1]5356北緯35度31分10.57秒東経137度49分16.31秒﻿ / ﻿北緯35.5196028度 東経137.8211972度﻿ /35.5196028; 137.8211972座標:北緯35度31分10.57秒東経137度49分16.31秒﻿ / ﻿北緯35.5196028度 東経137.8211972度﻿ /35.5196028; 137.8211972","","東海旅客鉄道（JR東海）[1]","CD飯田線[1]","129.3  km（豊橋起点）","イイ[1]","地上駅","2面3線[1]","867人/日（降車客含まず）-2018年-","1923年（大正12年）8月3日[1]","駅長配置駅（管理駅）JR全線きっぷうりば有[1]キヨスク有[1]標高：512 m[1]","","","","","","","","",""
"飯田岡駅","飯田岡駅（いいだおかえき）","https://ja.wikipedia.org/wiki/飯田岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神奈川県小田原市飯田岡545北緯35度17分17.0秒東経139度8分20.8秒﻿ / ﻿北緯35.288056度 東経139.139111度﻿ /35.288056; 139.139111座標:北緯35度17分17.0秒東経139度8分20.8秒﻿ / ﻿北緯35.288056度 東経139.139111度﻿ /35.288056; 139.139111","","伊豆箱根鉄道","■大雄山線","4.3 km（小田原起点）","","地上駅","1面1線","900人/日（降車客含まず）-2019年-","1926年（大正15年）5月","","1,768[1]人/日-2019年-","ID06","","","","","","",""
"飯田橋駅","飯田橋駅（いいだばしえき）","https://ja.wikipedia.org/wiki/飯田橋駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都千代田区・新宿区・文京区","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）東京都交通局（駅詳細）","","","","","","","","","","","","","","","","",""
"飯塚駅","飯塚駅（いいづかえき）","https://ja.wikipedia.org/wiki/飯塚駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福岡県飯塚市菰田西[1]一丁目1-1北緯33度37分42.64秒東経130度41分21.84秒﻿ / ﻿北緯33.6285111度 東経130.6894000度﻿ /33.6285111; 130.6894000﻿ (飯塚駅)","","九州旅客鉄道（JR九州）","JC筑豊本線（福北ゆたか線）","39.4 km（若松起点）","ツカ","地上駅","2面3線[1]","1,126人/日（降車客含まず）-2019年-","1893年（明治26年）7月3日[1]","業務委託駅みどりの窓口有[1]","","JC  13 ","","","","","","",""
"飯詰駅","飯詰駅（いいづめえき）","https://ja.wikipedia.org/wiki/飯詰駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東日本旅客鉄道（JR東日本）","■奥羽本線","239.8 km（福島起点）","イメ","地上駅","1面2線","134人/日（降車客含まず）-2019年-","1905年（明治38年）6月15日","簡易委託駅","","","","","","","","",""
"飯沼駅","飯沼駅（いいぬまえき）","https://ja.wikipedia.org/wiki/飯沼駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岐阜県中津川市飯沼北緯35度25分6.81秒東経137度27分40.62秒﻿ / ﻿北緯35.4185583度 東経137.4612833度﻿ /35.4185583; 137.4612833座標:北緯35度25分6.81秒東経137度27分40.62秒﻿ / ﻿北緯35.4185583度 東経137.4612833度﻿ /35.4185583; 137.4612833","","明知鉄道","明知線","7.6 km（恵那起点）","","地上駅","1面1線","21人/日（降車客含まず）-2016年-","1991年（平成3年）10月28日[1]","","","9","","","","","","",""
"飯浦駅","飯浦駅（いいのうらえき）","https://ja.wikipedia.org/wiki/飯浦駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","島根県益田市飯浦町233北緯34度40分8.06秒東経131度42分7.57秒﻿ / ﻿北緯34.6689056度 東経131.7021028度﻿ /34.6689056; 131.7021028座標:北緯34度40分8.06秒東経131度42分7.57秒﻿ / ﻿北緯34.6689056度 東経131.7021028度﻿ /34.6689056; 131.7021028","","西日本旅客鉄道（JR西日本）","■山陰本線","528.0 km（京都起点）","イラ","地上駅","1面1線","4人/日（降車客含まず）-2018年-","1927年（昭和2年）6月19日","無人駅","","","","","","","","",""
"飯羽間駅","飯羽間駅（いいばまえき）","https://ja.wikipedia.org/wiki/飯羽間駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岐阜県恵那市岩村町飯羽間北緯35度23分13.92秒東経137度26分14.92秒﻿ / ﻿北緯35.3872000度 東経137.4374778度﻿ /35.3872000; 137.4374778座標:北緯35度23分13.92秒東経137度26分14.92秒﻿ / ﻿北緯35.3872000度 東経137.4374778度﻿ /35.3872000; 137.4374778","","明知鉄道","明知線","12.7 km（恵那起点）","","地上駅","1面1線","42人/日（降車客含まず）-2016年-","1959年（昭和34年）1月10日[1]","","","7","","","","","","",""
"飯森駅","飯森駅（いいもりえき）","https://ja.wikipedia.org/wiki/飯森駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県北安曇郡白馬村大字神城飯森[1]北緯36度40分14.43秒東経137度51分0.20秒﻿ / ﻿北緯36.6706750度 東経137.8500556度﻿ /36.6706750; 137.8500556座標:北緯36度40分14.43秒東経137度51分0.20秒﻿ / ﻿北緯36.6706750度 東経137.8500556度﻿ /36.6706750; 137.8500556","","東日本旅客鉄道（JR東日本）","■大糸線","56.7 km（松本起点）","イイ[1]","地上駅","1面1線[1]","20人/日（降車客含まず）-2011年-","1960年（昭和35年）7月20日[2]","無人駅[1]標高：719.6m[1]","","□14[報道 1]","","","","","","",""
"飯山駅","飯山駅（いいやまえき）","https://ja.wikipedia.org/wiki/飯山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県飯山市大字飯山字舛ノ浦770-3[1]*北緯36度50分42.7秒東経138度21分32.0秒﻿ / ﻿北緯36.845194度 東経138.358889度﻿ /36.845194; 138.358889座標:北緯36度50分42.7秒東経138度21分32.0秒﻿ / ﻿北緯36.845194度 東経138.358889度﻿ /36.845194; 138.358889","","東日本旅客鉄道（JR東日本）","北陸新幹線","147.3 km（高崎起点）東京から252.3 km","イヤ[2]","高架駅（新幹線）[3]地上駅（橋上駅）（在来線）","2面2線（新幹線）[3]1面2線（在来線）","961人/日（降車客含まず）-2019年-","1921年（大正10年）10月20日[4]","直営駅（管理駅）みどりの窓口有","","","","","","","","",""
"家城駅","家城駅（いえきえき）","https://ja.wikipedia.org/wiki/家城駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県津市白山町南家城874北緯34度37分32.57秒東経136度19分9.09秒﻿ / ﻿北緯34.6257139度 東経136.3191917度﻿ /34.6257139; 136.3191917座標:北緯34度37分32.57秒東経136度19分9.09秒﻿ / ﻿北緯34.6257139度 東経136.3191917度﻿ /34.6257139; 136.3191917","","東海旅客鉄道（JR東海）","名松線","25.8 km（松阪起点）","イエ","地上駅","2面2線","232人/日（降車客含まず）-2019年-","1931年（昭和6年）9月11日[1]","駅員配置駅JR全線きっぷうりば有","","","","","","","","",""
"家地川駅","家地川駅（いえぢがわえき）","https://ja.wikipedia.org/wiki/家地川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","高知県高岡郡四万十町家地川北緯33度9分41.23秒東経133度4分28.86秒﻿ / ﻿北緯33.1614528度 東経133.0746833度﻿ /33.1614528; 133.0746833座標:北緯33度9分41.23秒東経133度4分28.86秒﻿ / ﻿北緯33.1614528度 東経133.0746833度﻿ /33.1614528; 133.0746833","","四国旅客鉄道（JR四国）","■予土線","5.8 km（若井起点）","イエ","地上駅","1面1線","","1974年（昭和49年）3月1日","無人駅","2人/日-2018年-","○G28","","","","","","",""
"家中駅","家中駅（いえなかえき）","https://ja.wikipedia.org/wiki/家中駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","栃木県栃木市都賀町家中5897-9北緯36度25分45.58秒東経139度44分50.76秒﻿ / ﻿北緯36.4293278度 東経139.7474333度﻿ /36.4293278; 139.7474333﻿ (家中駅)座標:北緯36度25分45.58秒東経139度44分50.76秒﻿ / ﻿北緯36.4293278度 東経139.7474333度﻿ /36.4293278; 139.7474333﻿ (家中駅)","","東武鉄道","■日光線","52.4 km（東武動物公園起点）","イナ","地上駅","1面2線","","1929年（昭和4年）4月1日","無人駅","425人/日-2019年-","TN14","","","","","","",""
"家久駅","家久駅（いえひさえき）","https://ja.wikipedia.org/wiki/家久駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福井県越前市家久町北緯35度55分33秒東経136度10分13.5秒﻿ / ﻿北緯35.92583度 東経136.170417度﻿ /35.92583; 136.170417座標:北緯35度55分33秒東経136度10分13.5秒﻿ / ﻿北緯35.92583度 東経136.170417度﻿ /35.92583; 136.170417","","福井鉄道","福武線","2.4 km（越前武生駅起点）","","地上駅","1面2線","","1924年（大正13年）2月23日","無人駅","126人/日-2019年-","○F3","","","","","","",""
"家山駅","家山駅（いえやまえき）","https://ja.wikipedia.org/wiki/家山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県島田市川根町家山北緯34度56分26.28秒東経138度4分40.04秒﻿ / ﻿北緯34.9406333度 東経138.0777889度﻿ /34.9406333; 138.0777889座標:北緯34度56分26.28秒東経138度4分40.04秒﻿ / ﻿北緯34.9406333度 東経138.0777889度﻿ /34.9406333; 138.0777889","","大井川鐵道","大井川本線","17.1 km（金谷起点）","","地上駅","島式 1面2線","130人/日（降車客含まず）-2019年-","1929年（昭和4年）12月1日","","258人/日-2019年-","","","","","","","",""
