"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"植木駅","植木駅（うえきえき）","https://ja.wikipedia.org/wiki/植木駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度52分49.18秒東経130度40分52.88秒","■鹿児島本線[1]","184.6 km（門司港起点）","九州旅客鉄道（JR九州）[1]","1891年（明治24年）7月1日[2]","地上駅","熊本市北区植木町鐙田[2]北緯32度52分49.18秒東経130度40分52.88秒﻿ / ﻿北緯32.8803278度 東経130.6813556度﻿ /32.8803278; 130.6813556﻿ (植木駅)","2面3線[2]","簡易委託駅","ウエ","698人/日（降車客含まず）-2019年-","","","","","","","","",""
"ウェスパ椿山駅","ウェスパ椿山駅（ウェスパつばきやまえき）","https://ja.wikipedia.org/wiki/ウェスパ椿山駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■五能線","56.0 km（東能代起点）","東日本旅客鉄道（JR東日本）","2001年（平成13年）12月1日[1]","地上駅","","1面1線[1]","無人駅[1]（乗車駅証明書発行機 有）","ウハ","","","","","","","","","",""
"植田駅 (愛知県豊橋市)","植田駅 (愛知県豊橋市)（うえたえき・豊橋鉄道渥美線）","https://ja.wikipedia.org/wiki/植田駅_(愛知県豊橋市)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度42分39.3秒東経137度22分23秒","渥美線","6.3 km（新豊橋起点）","豊橋鉄道","1924年（大正13年）1月22日","地上駅","愛知県豊橋市植田町中畑北緯34度42分39.3秒東経137度22分23秒﻿ / ﻿北緯34.710917度 東経137.37306度﻿ /34.710917; 137.37306座標:北緯34度42分39.3秒東経137度22分23秒﻿ / ﻿北緯34.710917度 東経137.37306度﻿ /34.710917; 137.37306","2面2線","無人駅","","325人/日（降車客含まず）-2019年-"," 8 ","682人/日-2019年-","","","","","","",""
"上田駅","上田駅（うえだえき・東日本旅客鉄道北陸新幹線・しなの鉄道線・上田電鉄別所線）","https://ja.wikipedia.org/wiki/上田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）しなの鉄道（駅詳細）上田電鉄（駅詳細）","","","長野県上田市天神一丁目[1]","","","","","","","","","","","","",""
"植田駅 (名古屋市)","植田駅 (名古屋市)（うえだえき・名古屋市営地下鉄鶴舞線）","https://ja.wikipedia.org/wiki/植田駅_(名古屋市)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度7分42.7秒東経136度59分18秒","鶴舞線","17.6 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","1978年（昭和53年）10月1日","地下駅","名古屋市天白区植田三丁目1001北緯35度7分42.7秒東経136度59分18秒﻿ / ﻿北緯35.128528度 東経136.98833度﻿ /35.128528; 136.98833座標:北緯35度7分42.7秒東経136度59分18秒﻿ / ﻿北緯35.128528度 東経136.98833度﻿ /35.128528; 136.98833","2面2線","","","8,780人/日（降車客含まず）-2019年-","T17","17,694[1]人/日-2019年-","","","","","","",""
"植田駅 (福島県)","植田駅 (福島県)（うえだえき・東日本旅客鉄道常磐線）","https://ja.wikipedia.org/wiki/植田駅_(福島県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度55分14.38秒東経140度47分48.39秒","■常磐線","187.8 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）2月25日","地上駅","福島県いわき市植田町金畑15北緯36度55分14.38秒東経140度47分48.39秒座標:北緯36度55分14.38秒 東経140度47分48.39秒","2面2線","業務委託駅","ウタ","1,831人/日（降車客含まず）-2019年-","","","","","","","","",""
"植大駅","植大駅（うえだいえき）","https://ja.wikipedia.org/wiki/植大駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度55分3秒東経136度55分24秒","河和線","12.2 km（太田川起点）","名古屋鉄道","1931年（昭和6年）4月1日","地上駅","知多郡阿久比町植大大前田4-3北緯34度55分3秒東経136度55分24秒﻿ / ﻿北緯34.91750度 東経136.92333度﻿ /34.91750; 136.92333座標:北緯34度55分3秒東経136度55分24秒﻿ / ﻿北緯34.91750度 東経136.92333度﻿ /34.91750; 136.92333","2面2線","無人駅（駅集中管理システム導入駅）","","","KC  09 ","1,480人/日-2019年[1]-","","","","","","",""
"上田原駅","上田原駅（うえだはらえき）","https://ja.wikipedia.org/wiki/上田原駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度23分25.85秒東経138度13分17.8秒","別所線","2.9 km（上田起点）","上田電鉄","1921年（大正10年）6月17日[1]","地上駅","長野県上田市上田原字屋鋪田697-5北緯36度23分25.85秒東経138度13分17.8秒﻿ / ﻿北緯36.3905139度 東経138.221611度﻿ /36.3905139; 138.221611座標:北緯36度23分25.85秒東経138度13分17.8秒﻿ / ﻿北緯36.3905139度 東経138.221611度﻿ /36.3905139; 138.221611","島式1面2線[1]","無人駅（平日朝夕のみ駅員派遣）","","443人/日（降車客含まず）-2017年-","BE05","","","","","","","",""
"植苗駅","植苗駅（うえなええき）","https://ja.wikipedia.org/wiki/植苗駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯42度42分48.62秒東経141度44分6.07秒","■千歳線","6.4 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","1926年（大正15年）8月21日[1]","地上駅","北海道苫小牧市字植苗北緯42度42分48.62秒東経141度44分6.07秒﻿ / ﻿北緯42.7135056度 東経141.7350194度﻿ /42.7135056; 141.7350194﻿ (植苗駅)","2面2線","無人駅","ウナ","","○H16","60人/日-2014年-","","","","","","",""
"上野駅","上野駅（うえのえき）","https://ja.wikipedia.org/wiki/上野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","東京都台東区","","","","","","","京成上野駅（京成本線）","","","","","",""
