"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"笈川駅","笈川駅（おいかわえき）","https://ja.wikipedia.org/wiki/笈川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度34分44.07秒東経139度53分44.06秒","■磐越西線","73.2 km（郡山起点）","東日本旅客鉄道（JR東日本）","1934年（昭和9年）11月1日[1]","地上駅","1面1線[2]","福島県河沼郡湯川村大字湊字松前甲[1]北緯37度34分44.07秒東経139度53分44.06秒座標:北緯37度34分44.07秒 東経139度53分44.06秒","無人駅[2]","オイ←ヲイ","27人/日（降車客含まず）-2004年-","","","","","","","","",""
"大池遊園駅","大池遊園駅（おいけゆうえんえき）","https://ja.wikipedia.org/wiki/大池遊園駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度12分17.01秒東経135度17分7.64秒","貴志川線","11.3 km（和歌山起点）","和歌山電鐵","1933年（昭和8年）8月18日","地上駅","1面1線","和歌山県紀の川市貴志川町長山北緯34度12分17.01秒東経135度17分7.64秒座標:北緯34度12分17.01秒 東経135度17分7.64秒","無人駅","オイケ","","○11","195人/日-2019年-","","","","","","",""
"置賜駅","置賜駅（おいたまえき）","https://ja.wikipedia.org/wiki/置賜駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度57分15.57秒東経140度8分34.29秒","■奥羽本線（山形線）","45.6 km（福島起点）","東日本旅客鉄道（JR東日本）","1917年（大正6年）12月20日","地上駅","1面2線","山形県米沢市大字浅川字狐塚633北緯37度57分15.57秒東経140度8分34.29秒座標:北緯37度57分15.57秒 東経140度8分34.29秒","無人駅（乗車駅証明書発行機 有）","タマ","51人/日（降車客含まず）-2004年-","","","","","","","","",""
"老津駅","老津駅（おいつえき）","https://ja.wikipedia.org/wiki/老津駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分32.3秒東経137度20分6秒","渥美線","10.7 km（新豊橋起点）","豊橋鉄道","1924年（大正13年）1月22日","地上駅","2面2線","愛知県豊橋市老津町字西高縄北緯34度41分32.3秒東経137度20分6秒﻿ / ﻿北緯34.692306度 東経137.33500度﻿ /34.692306; 137.33500座標:北緯34度41分32.3秒東経137度20分6秒﻿ / ﻿北緯34.692306度 東経137.33500度﻿ /34.692306; 137.33500","駅員非配置駅","","322人/日（降車客含まず）-2019年-"," 11 ","635人/日-2019年-","","","","","","",""
"追良瀬駅","追良瀬駅（おいらせえき）","https://ja.wikipedia.org/wiki/追良瀬駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■五能線","72.9 km（東能代起点）","東日本旅客鉄道（JR東日本）","1934年（昭和9年）12月13日[1]","地上駅","1面1線[1]","","無人駅[1]","オラ←ヲラ","","","","","","","","","",""
"追分駅 (北海道)","追分駅 (北海道)（おいわけえき・北海道旅客鉄道室蘭本線・石勝線）","https://ja.wikipedia.org/wiki/追分駅_(北海道)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯42度52分23.74秒東経141度48分38.57秒","室蘭本線","170.8 km（長万部起点）","北海道旅客鉄道（JR北海道）","1892年（明治25年）8月1日","地上駅","2面4線","北海道勇払郡安平町追分中央北緯42度52分23.74秒東経141度48分38.57秒﻿ / ﻿北緯42.8732611度 東経141.8107139度﻿ /42.8732611; 141.8107139﻿ (追分駅)","直営駅（管理駅）みどりの窓口有","オイ←ヲイ","","○K15","492人/日-2018年-","","","","","","",""
"追分駅 (秋田県)","追分駅 (秋田県)（おいわけえき・東日本旅客鉄道奥羽本線・男鹿線）","https://ja.wikipedia.org/wiki/追分駅_(秋田県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■奥羽本線","311.7 km（福島起点）","東日本旅客鉄道（JR東日本）","1902年（明治35年）10月21日[1]","地上駅","2面3線","","業務委託駅","オヒ←ヲヒ","1,618人/日（降車客含まず）-2019年-","","","","","","","","",""
"追分駅 (三重県)","追分駅 (三重県)（おいわけえき・四日市あすなろう鉄道内部線）","https://ja.wikipedia.org/wiki/追分駅_(三重県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度56分3.25秒東経136度35分46.08秒","内部線","4.3 km（あすなろう四日市起点）","四日市あすなろう鉄道","1922年（大正11年）6月21日","地上駅","1面1線","三重県四日市市追分三丁目3-19北緯34度56分3.25秒東経136度35分46.08秒﻿ / ﻿北緯34.9342361度 東経136.5961333度﻿ /34.9342361; 136.5961333座標:北緯34度56分3.25秒東経136度35分46.08秒﻿ / ﻿北緯34.9342361度 東経136.5961333度﻿ /34.9342361; 136.5961333","無人駅（自動券売機 有）","オワケ","336人/日（降車客含まず）-2019年-","","617[1]人/日-2019年-","","","","","","",""
"追分駅 (滋賀県)","追分駅 (滋賀県)（おいわけえき・京阪京津線）","https://ja.wikipedia.org/wiki/追分駅_(滋賀県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度59分29.52秒東経135度50分13.91秒","▲京津線","3.4 km（御陵起点）","京阪電気鉄道","1912年（大正元年）8月15日","地上駅","2面2線","滋賀県大津市追分町6-26北緯34度59分29.52秒東経135度50分13.91秒﻿ / ﻿北緯34.9915333度 東経135.8371972度﻿ /34.9915333; 135.8371972座標:北緯34度59分29.52秒東経135度50分13.91秒﻿ / ﻿北緯34.9915333度 東経135.8371972度﻿ /34.9915333; 135.8371972","無人駅","","896人/日（降車客含まず）-2019年-","OT  33","1,683人/日-2019年-","","","","","","",""
"追分口駅","追分口駅（おいわけぐちえき）","https://ja.wikipedia.org/wiki/追分口駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度4分57秒東経136度15分41秒","■勝山永平寺線","4.4 km（福井起点）","えちぜん鉄道","1915年（大正4年）5月13日","地上駅","1面2線","福井県福井市上中町13-1-4北緯36度4分57秒東経136度15分41秒﻿ / ﻿北緯36.08250度 東経136.26139度﻿ /36.08250; 136.26139座標:北緯36度4分57秒東経136度15分41秒﻿ / ﻿北緯36.08250度 東経136.26139度﻿ /36.08250; 136.26139","無人駅","","","○E6","92人/日-2018年-","","","","","","",""
