"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"ガーラ湯沢駅","ガーラ湯沢駅（ガーラゆざわえき・臨時）","https://ja.wikipedia.org/wiki/ガーラ湯沢駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度57分3.2秒東経138度47分58.3秒","上越新幹線（正式には上越線支線）","1.8 km（越後湯沢起点）東京から201.0 km","東日本旅客鉄道（JR東日本）","1990年（平成2年）12月20日[1]","地上駅","1面2線","新潟県南魚沼郡湯沢町大字湯沢1039-2北緯36度57分3.2秒東経138度47分58.3秒﻿ / ﻿北緯36.950889度 東経138.799528度﻿ /36.950889; 138.799528﻿ (ガーラ湯沢駅)座標:北緯36度57分3.2秒東経138度47分58.3秒﻿ / ﻿北緯36.950889度 東経138.799528度﻿ /36.950889; 138.799528﻿ (ガーラ湯沢駅)","臨時駅みどりの窓口有","カラ","","779人/日（降車客含まず）-2019年-","","","","","","","",""
"甲斐岩間駅","甲斐岩間駅（かいいわまえき）","https://ja.wikipedia.org/wiki/甲斐岩間駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","CC身延線","60.3 km（富士起点）","東海旅客鉄道（JR東海）","1927年（昭和2年）12月17日[1]","地上駅","1面2線","","無人駅","ヒマ","","121人/日（降車客含まず）-2018年-","","","","","","","",""
"甲斐上野駅","甲斐上野駅（かいうえのえき）","https://ja.wikipedia.org/wiki/甲斐上野駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","","CC身延線","72.8 km（富士起点）","東海旅客鉄道（JR東海）","1928年（昭和3年）3月30日[1]","地上駅","1面2線","","無人駅","ウヘ","","72人/日（降車客含まず）-2018年-","","","","","","","",""
"外苑前駅","外苑前駅（がいえんまええき）","https://ja.wikipedia.org/wiki/外苑前駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度40分14秒東経139度43分4.3秒","●[1]銀座線","12.3 km（浅草起点）","東京地下鉄（東京メトロ）","1938年（昭和13年）11月18日[2]","地下駅","2面2線","東京都港区北青山二丁目7-16[2]北緯35度40分14秒東経139度43分4.3秒﻿ / ﻿北緯35.67056度 東経139.717861度﻿ /35.67056; 139.717861座標:北緯35度40分14秒東経139度43分4.3秒﻿ / ﻿北緯35.67056度 東経139.717861度﻿ /35.67056; 139.717861","","カイ","G03[1]","","82,336人/日-2019年-","","","","","","",""
"海王丸駅","海王丸駅（かいおうまるえき）","https://ja.wikipedia.org/wiki/海王丸駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯36度46分36.2秒東経137度6分19.2秒","新湊港線","0.7 km（越ノ潟起点）","万葉線","1932年（昭和7年）11月9日","地上駅","2面1線","富山県射水市越の潟町北緯36度46分36.2秒東経137度6分19.2秒﻿ / ﻿北緯36.776722度 東経137.105333度﻿ /36.776722; 137.105333﻿ (海王丸駅*)座標:北緯36度46分36.2秒東経137度6分19.2秒﻿ / ﻿北緯36.776722度 東経137.105333度﻿ /36.776722; 137.105333﻿ (海王丸駅*)","","","","","178人/日-2016年[1]-","","","","","","",""
"甲斐大泉駅","甲斐大泉駅（かいおおいずみえき）","https://ja.wikipedia.org/wiki/甲斐大泉駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度53分46.50秒東経138度24分34.66秒","■小海線","12.2 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1933年（昭和8年）7月27日[1]","地上駅","2面2線[1]","山梨県北杜市大泉町西井出[1]北緯35度53分46.50秒東経138度24分34.66秒﻿ / ﻿北緯35.8962500度 東経138.4096278度﻿ /35.8962500; 138.4096278座標:北緯35度53分46.50秒東経138度24分34.66秒﻿ / ﻿北緯35.8962500度 東経138.4096278度﻿ /35.8962500; 138.4096278","簡易委託駅標高：1,158m（JRグループ第3位）","カミ[1]","","41人/日（降車客含まず）-2019年-","","","","","","","",""
"甲斐大島駅","甲斐大島駅（かいおおしまえき）","https://ja.wikipedia.org/wiki/甲斐大島駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度19分41.51秒東経138度27分7.66秒","CC身延線","39.8 km（富士起点）","東海旅客鉄道（JR東海）","1919年（大正8年）4月8日[1]","地上駅","1面2線","山梨県南巨摩郡身延町大島北緯35度19分41.51秒東経138度27分7.66秒﻿ / ﻿北緯35.3281972度 東経138.4521278度﻿ /35.3281972; 138.4521278座標:北緯35度19分41.51秒東経138度27分7.66秒﻿ / ﻿北緯35.3281972度 東経138.4521278度﻿ /35.3281972; 138.4521278","無人駅","オシ←ヲシ","","4人/日（降車客含まず）-2018年-","","","","","","","",""
"海岸寺駅","海岸寺駅（かいがんじえき）","https://ja.wikipedia.org/wiki/海岸寺駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度15分14.16秒東経133度43分45.51秒","■予讃線","36.5 km（高松起点）","四国旅客鉄道（JR四国）","1913年（大正2年）10月20日","地上駅","1面2線","香川県仲多度郡多度津町大字西白方字川向北緯34度15分14.16秒東経133度43分45.51秒﻿ / ﻿北緯34.2539333度 東経133.7293083度﻿ /34.2539333; 133.7293083座標:北緯34度15分14.16秒東経133度43分45.51秒﻿ / ﻿北緯34.2539333度 東経133.7293083度﻿ /34.2539333; 133.7293083","無人駅","カイ","○Y13","","144[1]人/日-2019年-","","","","","","",""
"海岸通停留場","海岸通停留場（かいがんどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/海岸通停留場","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯34度21分19.78秒東経132度27分46.75秒","■宇品線","5.1 km（紙屋町起点）","広島電鉄","1935年（昭和10年）12月27日[2]","地上駅","2面2線","広島市南区宇品海岸二丁目北緯34度21分19.78秒東経132度27分46.75秒﻿ / ﻿北緯34.3554944度 東経132.4629861度﻿ /34.3554944; 132.4629861﻿ (海岸通停留場)座標:北緯34度21分19.78秒東経132度27分46.75秒﻿ / ﻿北緯34.3554944度 東経132.4629861度﻿ /34.3554944; 132.4629861﻿ (海岸通停留場)","","","●U16","","1,811[1]人/日-2019年-","","","","","","",""
"甲斐小泉駅","甲斐小泉駅（かいこいずみえき）","https://ja.wikipedia.org/wiki/甲斐小泉駅","日本の鉄道駅一覧_か","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_か","箇条書き,制限あり","北緯35度52分46.62秒東経138度21分34.99秒","■小海線","7.1 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1933年（昭和8年）7月27日[1]","地上駅","1面1線","山梨県北杜市長坂町小荒間[1]北緯35度52分46.62秒東経138度21分34.99秒﻿ / ﻿北緯35.8796167度 東経138.3597194度﻿ /35.8796167; 138.3597194座標:北緯35度52分46.62秒東経138度21分34.99秒﻿ / ﻿北緯35.8796167度 東経138.3597194度﻿ /35.8796167; 138.3597194","無人駅[1]標高：1,044 m[2]","カコ[1]","","22人/日（降車客含まず）-2010年-","","","","","","","",""
