"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"紀伊駅","紀伊駅（きいえき）","https://ja.wikipedia.org/wiki/紀伊駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度16分8.95秒東経135度14分48.13秒","R阪和線","53.3 km（天王寺起点）","西日本旅客鉄道（JR西日本）","1930年（昭和5年）6月16日","地上駅","2面4線","和歌山県和歌山市北野441北緯34度16分8.95秒東経135度14分48.13秒﻿ / ﻿北緯34.2691528度 東経135.2467028度﻿ /34.2691528; 135.2467028座標:北緯34度16分8.95秒東経135度14分48.13秒﻿ / ﻿北緯34.2691528度 東経135.2467028度﻿ /34.2691528; 135.2467028","直営駅みどりの窓口有","キイ","JR-R51","3,882人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊有田駅","紀伊有田駅（きいありたえき）","https://ja.wikipedia.org/wiki/紀伊有田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度29分27.11秒東経135度44分10.24秒","W紀勢本線（きのくに線）","227.6km（亀山起点）新宮から47.4 km","西日本旅客鉄道（JR西日本）","1940年（昭和15年）8月8日[1]","地上駅","1面2線","和歌山県東牟婁郡串本町有田469北緯33度29分27.11秒東経135度44分10.24秒","無人駅","キア","","6人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊井田駅","紀伊井田駅（きいいだえき）","https://ja.wikipedia.org/wiki/紀伊井田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度45分36.77秒東経136度1分26.35秒","紀勢本線","173.8 km（亀山起点）","東海旅客鉄道（JR東海）","1940年（昭和15年）8月8日[1]","地上駅","1面1線","三重県南牟婁郡紀宝町井田1444北緯33度45分36.77秒東経136度1分26.35秒","駅員無配置駅","イタ","","34人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊市木駅","紀伊市木駅（きいいちぎえき）","https://ja.wikipedia.org/wiki/紀伊市木駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","紀勢本線","165.6 km（亀山起点）","東海旅客鉄道（JR東海）","1940年（昭和15年）8月8日[1]","地上駅","1面1線","","駅員無配置駅","チキ","","43人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊内原駅","紀伊内原駅（きいうちはらえき）","https://ja.wikipedia.org/wiki/紀伊内原駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","W紀勢本線（きのくに線）","329.2km（亀山起点）新宮から149.0 km","西日本旅客鉄道（JR西日本）","1929年（昭和4年）4月21日[1]","地上駅","2面2線","","無人駅（自動券売機 有）","キウ","","198人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊浦神駅","紀伊浦神駅（きいうらがみえき）","https://ja.wikipedia.org/wiki/紀伊浦神駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","W紀勢本線（きのくに線）","205.0km（亀山起点）新宮から24.8 km","西日本旅客鉄道（JR西日本）","1936年（昭和11年）12月11日[1]","地上駅","1面2線","","無人駅","ウラ","","9人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊小倉駅","紀伊小倉駅（きいおぐらえき）","https://ja.wikipedia.org/wiki/紀伊小倉駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度14分46.77秒東経135度17分13.38秒","T和歌山線","77.6 km（王寺起点）","西日本旅客鉄道（JR西日本）","1938年（昭和13年）7月15日[1]","地上駅","1面1線","和歌山県和歌山市新庄482-1北緯34度14分46.77秒東経135度17分13.38秒﻿ / ﻿北緯34.2463250度 東経135.2870500度﻿ /34.2463250; 135.2870500座標:北緯34度14分46.77秒東経135度17分13.38秒﻿ / ﻿北緯34.2463250度 東経135.2870500度﻿ /34.2463250; 135.2870500","無人駅（自動券売機 有）","キオ","","614人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊勝浦駅","紀伊勝浦駅（きいかつうらえき）","https://ja.wikipedia.org/wiki/紀伊勝浦駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","W紀勢本線（きのくに線）","195.1km（亀山起点）新宮から14.9 km","西日本旅客鉄道（JR西日本）","1912年（大正元年）12月4日[1]","地上駅","2面3線","","業務委託駅みどりの券売機プラス設置駅*1934年に勝浦駅から改称。","カツ","","342人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊神谷駅","紀伊神谷駅（きいかみやえき）","https://ja.wikipedia.org/wiki/紀伊神谷駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度14分34.1秒東経135度34分16.05秒","■高野線","63.0km（汐見橋起点）難波から62.3 km","南海電気鉄道","1928年（昭和3年）6月18日","地上駅","1面2線","和歌山県伊都郡高野町大字西郷字神谷北緯34度14分34.1秒東経135度34分16.05秒﻿ / ﻿北緯34.242806度 東経135.5711250度﻿ /34.242806; 135.5711250座標:北緯34度14分34.1秒東経135度34分16.05秒﻿ / ﻿北緯34.242806度 東経135.5711250度﻿ /34.242806; 135.5711250","業務委託駅*1930年に神谷駅から改称","","NK 85","","13人/日-2019年-","","","","","","",""
"紀伊御坊駅","紀伊御坊駅（きいごぼうえき）","https://ja.wikipedia.org/wiki/紀伊御坊駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度53分39.68秒東経135度9分17.38秒","紀州鉄道線","1.8 km（御坊起点）","紀州鉄道","1931年（昭和6年）6月15日","地上駅","1面1線","和歌山県御坊市薗275北緯33度53分39.68秒東経135度9分17.38秒﻿ / ﻿北緯33.8943556度 東経135.1548278度﻿ /33.8943556; 135.1548278座標:北緯33度53分39.68秒東経135度9分17.38秒﻿ / ﻿北緯33.8943556度 東経135.1548278度﻿ /33.8943556; 135.1548278","終日駅員配置駅*開業後まもなく御坊町駅から改称","","","71人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊佐野駅","紀伊佐野駅（きいさのえき）","https://ja.wikipedia.org/wiki/紀伊佐野駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度40分48.02秒東経135度58分14.88秒","W紀勢本線（きのくに線）","186.6 km（亀山起点）新宮から6.4 km","西日本旅客鉄道（JR西日本）","1913年（大正2年）3月1日[1]","地上駅","1面2線","和歌山県新宮市佐野三丁目9-2北緯33度40分48.02秒東経135度58分14.88秒","無人駅（自動券売機 有）","キサ","","229人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊清水駅","紀伊清水駅（きいしみずえき）","https://ja.wikipedia.org/wiki/紀伊清水駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度18分26.4秒東経135度36分15.35秒","■高野線","47.8km（汐見橋起点）難波から47.1 km","南海電気鉄道","1925年（大正14年）3月15日","地上駅","2面2線","和歌山県橋本市清水558番地4北緯34度18分26.4秒東経135度36分15.35秒﻿ / ﻿北緯34.307333度 東経135.6042639度﻿ /34.307333; 135.6042639座標:北緯34度18分26.4秒東経135度36分15.35秒﻿ / ﻿北緯34.307333度 東経135.6042639度﻿ /34.307333; 135.6042639","無人駅*開業約1か月後に清水駅から改称","","NK 78","","251人/日-2019年-","","","","","","",""
"紀伊新庄駅","紀伊新庄駅（きいしんじょうえき）","https://ja.wikipedia.org/wiki/紀伊新庄駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度43分15.85秒東経135度24分7.54秒","W紀勢本線（きのくに線）","283.2km（亀山起点）新宮から103.0 km","西日本旅客鉄道（JR西日本）","1933年（昭和8年）12月20日[1]","地上駅","2面2線","和歌山県田辺市新庄町472-2北緯33度43分15.85秒東経135度24分7.54秒","無人駅","キセ","","40人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊田辺駅","紀伊田辺駅（きいたなべえき）","https://ja.wikipedia.org/wiki/紀伊田辺駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度43分59.06秒東経135度23分3.04秒","W紀勢本線（きのくに線）","285.4km（亀山起点）新宮から105.2 km","西日本旅客鉄道（JR西日本）","1932年（昭和7年）11月8日[1]","地上駅","2面3線","和歌山県田辺市湊1番24号北緯33度43分59.06秒東経135度23分3.04秒","直営駅（管理駅）みどりの窓口有","タヘ","","1,364人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊田原駅","紀伊田原駅（きいたはらえき）","https://ja.wikipedia.org/wiki/紀伊田原駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度32分11.55秒東経135度52分5.59秒","W紀勢本線（きのくに線）","209.0km（亀山起点）新宮から28.8 km","西日本旅客鉄道（JR西日本）","1936年（昭和11年）12月11日[1]","地上駅","2面3線","和歌山県東牟婁郡串本町田原219北緯33度32分11.55秒東経135度52分5.59秒﻿ / ﻿北緯33.5365417度 東経135.8682194度﻿ /33.5365417; 135.8682194座標:北緯33度32分11.55秒東経135度52分5.59秒﻿ / ﻿北緯33.5365417度 東経135.8682194度﻿ /33.5365417; 135.8682194","無人駅","キハ","","14人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊天満駅","紀伊天満駅（きいてんまえき）","https://ja.wikipedia.org/wiki/紀伊天満駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","W紀勢本線（きのくに線）","193.9km（亀山起点）新宮から13.7 km","西日本旅客鉄道（JR西日本）","1912年（大正元年）12月4日[1]","地上駅","1面1線","","無人駅","テマ","","42人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊富田駅","紀伊富田駅（きいとんだえき）","https://ja.wikipedia.org/wiki/紀伊富田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度39分9.94秒東経135度23分36.21秒","W紀勢本線（きのくに線）","272.5km（亀山起点）新宮から92.3 km","西日本旅客鉄道（JR西日本）","1933年（昭和8年）12月20日[1]","地上駅","2面2線","和歌山県西牟婁郡白浜町栄609-2北緯33度39分9.94秒東経135度23分36.21秒","無人駅","トタ","","47人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊長島駅","紀伊長島駅（きいながしまえき）","https://ja.wikipedia.org/wiki/紀伊長島駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","紀勢本線","98.4 km（亀山起点）","東海旅客鉄道（JR東海）","1930年（昭和5年）4月29日[1]","地上駅","2面3線","","駅長配置駅（管理駅）JR全線きっぷうりば有","キナ","","217人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊長田駅","紀伊長田駅（きいながたえき）","https://ja.wikipedia.org/wiki/紀伊長田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度16分5.43秒東経135度23分27.53秒","T和歌山線","67.2 km（王寺起点）","西日本旅客鉄道（JR西日本）","1903年（明治36年）3月7日[1]*","地上駅","1面1線","和歌山県紀の川市嶋23-2北緯34度16分5.43秒東経135度23分27.53秒﻿ / ﻿北緯34.2681750度 東経135.3909806度﻿ /34.2681750; 135.3909806座標:北緯34度16分5.43秒東経135度23分27.53秒﻿ / ﻿北緯34.2681750度 東経135.3909806度﻿ /34.2681750; 135.3909806","無人駅（自動券売機 有）","キカ","","100人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊中ノ島駅","紀伊中ノ島駅（きいなかのしまえき）","https://ja.wikipedia.org/wiki/紀伊中ノ島駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度14分32.92秒東経135度11分22.16秒","R阪和線","60.2 km（天王寺起点）","西日本旅客鉄道（JR西日本）","1932年（昭和7年）1月1日","高架駅","2面2線","和歌山県和歌山市中之島391-4北緯34度14分32.92秒東経135度11分22.16秒﻿ / ﻿北緯34.2424778度 東経135.1894889度﻿ /34.2424778; 135.1894889座標:北緯34度14分32.92秒東経135度11分22.16秒﻿ / ﻿北緯34.2424778度 東経135.1894889度﻿ /34.2424778; 135.1894889","無人駅（自動券売機 有）","ナシ","JR-R53","462人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊日置駅","紀伊日置駅（きいひきえき）","https://ja.wikipedia.org/wiki/紀伊日置駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度35分6.10秒東経135度27分28.89秒","W紀勢本線（きのくに線）","261.2km（亀山起点）新宮から81.0 km","西日本旅客鉄道（JR西日本）","1936年（昭和11年）10月30日[1]","地上駅","2面2線","和歌山県西牟婁郡白浜町矢田159北緯33度35分6.10秒東経135度27分28.89秒","無人駅","キヒ","","72人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊姫駅","紀伊姫駅（きいひめえき）","https://ja.wikipedia.org/wiki/紀伊姫駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度29分52.20秒東経135度47分47.22秒","W紀勢本線（きのくに線）","218.9km（亀山起点）新宮から38.7 km","西日本旅客鉄道（JR西日本）","1936年（昭和11年）12月11日[1]","地上駅","1面1線","和歌山県東牟婁郡串本町姫620-2北緯33度29分52.20秒東経135度47分47.22秒﻿ / ﻿北緯33.4978333度 東経135.7964500度﻿ /33.4978333; 135.7964500座標:北緯33度29分52.20秒東経135度47分47.22秒﻿ / ﻿北緯33.4978333度 東経135.7964500度﻿ /33.4978333; 135.7964500","無人駅","ヒメ","","7人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊細川駅","紀伊細川駅（きいほそかわえき）","https://ja.wikipedia.org/wiki/紀伊細川駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度14分8.6秒東経135度33分13.3秒","■高野線","60.6km（汐見橋起点）難波から59.9 km","南海電気鉄道","1928年（昭和3年）6月18日","地上駅","2面2線","和歌山県伊都郡高野町大字細川732番地北緯34度14分8.6秒東経135度33分13.3秒﻿ / ﻿北緯34.235722度 東経135.553694度﻿ /34.235722; 135.553694座標:北緯34度14分8.6秒東経135度33分13.3秒﻿ / ﻿北緯34.235722度 東経135.553694度﻿ /34.235722; 135.553694","業務委託駅*1930年に細川駅から改称","","NK 84","","20人/日-2019年-","","","","","","",""
"紀伊宮原駅","紀伊宮原駅（きいみやはらえき）","https://ja.wikipedia.org/wiki/紀伊宮原駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度4分39.99秒東経135度10分14.29秒","W紀勢本線（きのくに線）","351.2km（亀山起点）新宮から171.0 km","西日本旅客鉄道（JR西日本）","1925年（大正14年）12月11日[1]","地上駅","2面2線","和歌山県有田市宮原町滝川原336北緯34度4分39.99秒東経135度10分14.29秒","業務委託駅","ミヤ","","590人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊山田駅","紀伊山田駅（きいやまだえき）","https://ja.wikipedia.org/wiki/紀伊山田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度18分46.8秒東経135度35分2.54秒","T和歌山線","48.0 km（王寺起点）","西日本旅客鉄道（JR西日本）","1952年（昭和27年）10月1日[1]","地上駅（掘割上）","1面1線","和歌山県橋本市神野々378-1北緯34度18分46.8秒東経135度35分2.54秒﻿ / ﻿北緯34.313000度 東経135.5840389度﻿ /34.313000; 135.5840389座標:北緯34度18分46.8秒東経135度35分2.54秒﻿ / ﻿北緯34.313000度 東経135.5840389度﻿ /34.313000; 135.5840389","無人駅（自動券売機 有）","キヤ","","595人/日（降車客含まず）-2019年-","","","","","","","",""
"紀伊由良駅","紀伊由良駅（きいゆらえき）","https://ja.wikipedia.org/wiki/紀伊由良駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度58分8.89秒東経135度7分41.92秒","W紀勢本線（きのくに線）","334.5km（亀山起点）新宮から154.3 km","西日本旅客鉄道（JR西日本）","1928年（昭和3年）10月28日[1]","地上駅","2面3線","和歌山県日高郡由良町大字里466-2北緯33度58分8.89秒東経135度7分41.92秒","業務委託駅","ユラ","","308人/日（降車客含まず）-2019年-","","","","","","","",""
"喜入駅","喜入駅（きいれえき）","https://ja.wikipedia.org/wiki/喜入駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯31度22分17.27秒東経130度32分19.95秒","指宿枕崎線","26.6 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","1934年（昭和9年）5月20日","地上駅","2面2線","鹿児島県鹿児島市喜入町7108北緯31度22分17.27秒東経130度32分19.95秒","無人駅駅集中管理システム（Smart Support Station）採用[1]","キイ","","577人/日（降車客含まず）-2019年-","","","","","","","",""
"木下駅","木下駅（きおろしえき）","https://ja.wikipedia.org/wiki/木下駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度50分20.4秒東経140度8分53秒","■成田線（我孫子支線）","14.0 km（我孫子起点）","東日本旅客鉄道（JR東日本）","1901年（明治34年）4月1日[1]","地上駅（橋上駅）","2面2線","千葉県印西市木下1633北緯35度50分20.4秒東経140度8分53秒﻿ / ﻿北緯35.839000度 東経140.14806度﻿ /35.839000; 140.14806座標:北緯35度50分20.4秒東経140度8分53秒﻿ / ﻿北緯35.839000度 東経140.14806度﻿ /35.839000; 140.14806","業務委託駅みどりの窓口有","キオ←キヲ","","2,059人/日（降車客含まず）-2019年-","","","","","","","",""
"祇園駅 (千葉県)","祇園駅 (千葉県)（ぎおんえき・東日本旅客鉄道久留里線）","https://ja.wikipedia.org/wiki/祇園駅_(千葉県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度23分29.5秒東経139度56分53.8秒","■久留里線","2.6 km（木更津起点）","東日本旅客鉄道（JR東日本）","1961年（昭和36年）3月1日[1]","地上駅","1面1線","千葉県木更津市祇園473北緯35度23分29.5秒東経139度56分53.8秒座標:北緯35度23分29.5秒 東経139度56分53.8秒","無人駅（乗車駅証明書発行機 有）","キン","","319人/日（降車客含まず）-2006年-","","","","","","","",""
"祇園駅 (福岡県)","祇園駅 (福岡県)（ぎおんえき・福岡市地下鉄空港線）","https://ja.wikipedia.org/wiki/祇園駅_(福岡県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯33度35分38.56秒東経130度24分52.84秒","空港線","9.1 km（姪浜起点）","福岡市交通局","1983年（昭和58年）3月22日","地下駅","1面2線","福岡市博多区祇園町北緯33度35分38.56秒東経130度24分52.84秒﻿ / ﻿北緯33.5940444度 東経130.4146778度﻿ /33.5940444; 130.4146778座標:北緯33度35分38.56秒東経130度24分52.84秒﻿ / ﻿北緯33.5940444度 東経130.4146778度﻿ /33.5940444; 130.4146778","業務委託駅","","○K10","7,367人/日（降車客含まず）-2018年-","","","","","","","",""
"祇園四条駅","祇園四条駅（ぎおんしじょうえき）","https://ja.wikipedia.org/wiki/祇園四条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度0分14.3秒東経135度46分19.7秒","■京阪本線","48.6 km（淀屋橋起点）","京阪電気鉄道","1915年（大正4年）10月27日","地下駅","1面2線","京都市東山区四条大橋東詰[1]北緯35度0分14.3秒東経135度46分19.7秒﻿ / ﻿北緯35.003972度 東経135.772139度﻿ /35.003972; 135.772139﻿ (祇園四条駅*)座標:北緯35度0分14.3秒東経135度46分19.7秒﻿ / ﻿北緯35.003972度 東経135.772139度﻿ /35.003972; 135.772139﻿ (祇園四条駅*)","*2008年（平成20年）に四条駅から改称[3]** 通常、乗り換え駅としては案内されていない。","四（駅名略称方式）","KH  39","","49,825人/日-2019年-","京都河原町駅（阪急京都線）[2]**","","","","","",""
