"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"杭瀬駅","杭瀬駅（くいせえき）","https://ja.wikipedia.org/wiki/杭瀬駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度43分6.14秒東経135度26分19.96秒","本線","6.8 km（大阪梅田起点）","阪神電気鉄道","高架駅[1]","1905年（明治38年）4月12日[1]","兵庫県尼崎市杭瀬本町一丁目1-1北緯34度43分6.14秒東経135度26分19.96秒﻿ / ﻿北緯34.7183722度 東経135.4388778度﻿ /34.7183722; 135.4388778﻿ (杭瀬駅)座標:北緯34度43分6.14秒東経135度26分19.96秒﻿ / ﻿北緯34.7183722度 東経135.4388778度﻿ /34.7183722; 135.4388778﻿ (杭瀬駅)","2面2線[1]","○HS 07","","","","","","","","","","",""
"くいな橋駅","くいな橋駅（くいなばしえき）","https://ja.wikipedia.org/wiki/くいな橋駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度57分45.62秒東経135度45分26.78秒","烏丸線","13.0 km（国際会館起点）","京都市交通局（京都市営地下鉄）","地下駅","1988年（昭和63年）6月11日","京都市伏見区竹田中島町北緯34度57分45.62秒東経135度45分26.78秒﻿ / ﻿北緯34.9626722度 東経135.7574389度﻿ /34.9626722; 135.7574389座標:北緯34度57分45.62秒東経135度45分26.78秒﻿ / ﻿北緯34.9626722度 東経135.7574389度﻿ /34.9626722; 135.7574389","1面2線","●K14","","","6,021人/日-2019年-","","","","","","","",""
"空港第2ビル駅","空港第2ビル駅（くうこうだいにビルえき）","https://ja.wikipedia.org/wiki/空港第2ビル駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度46分24.6秒東経140度23分17.9秒","■JR成田線（空港支線）","9.8 km（成田起点）千葉から39.0 km東京から78.2 km","東日本旅客鉄道（JR東日本）*京成電鉄（京成）","地下駅","1992年（平成4年）12月3日[1]","千葉県成田市古込1-1北緯35度46分24.6秒東経140度23分17.9秒﻿ / ﻿北緯35.773500度 東経140.388306度﻿ /35.773500; 140.388306座標:北緯35度46分24.6秒東経140度23分17.9秒﻿ / ﻿北緯35.773500度 東経140.388306度﻿ /35.773500; 140.388306","1面1線（JR東日本）1面2線（京成）","JO36[報道 2]","JR東日本業務委託駅みどりの窓口有京成電鉄直営駅","クニ（JR東日本）","（京成電鉄）30,082人/日-2019年-","（JR東日本）5,629人/日（降車客含まず）-2019年-","KS44東成田駅（京成東成田線・芝山鉄道線）","","","","","",""
"空港通り駅","空港通り駅（くうこうどおりえき）","https://ja.wikipedia.org/wiki/空港通り駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■琴平線","9.0 km（高松築港起点）","高松琴平電気鉄道","地上駅","2006年（平成18年）7月29日","","単式ホーム1面1線"," K07 ","無人駅","","1,330人/日-2018年-","","","","","","","",""
"身延山","久遠寺駅（くおんじえき）","https://ja.wikipedia.org/wiki/身延山#身延山ロープウェイ","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度23分51秒東経138度24分59秒","","","","","","山梨県南巨摩郡身延町・早川町","","","","","","","","","","","","",""
"玖珂駅","玖珂駅（くがえき）","https://ja.wikipedia.org/wiki/玖珂駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度5分49.47秒東経132度4分55.83秒","■岩徳線","17.1 km（岩国起点）","西日本旅客鉄道（JR西日本）","地上駅","1934年（昭和9年）12月1日","山口県岩国市玖珂町581-3北緯34度5分49.47秒東経132度4分55.83秒﻿ / ﻿北緯34.0970750度 東経132.0821750度﻿ /34.0970750; 132.0821750座標:北緯34度5分49.47秒東経132度4分55.83秒﻿ / ﻿北緯34.0970750度 東経132.0821750度﻿ /34.0970750; 132.0821750","1面1線","","簡易委託駅POS端末設置","クカ","","366人/日（降車客含まず）-2019年-","","","","","","",""
"久が原駅","久が原駅（くがはらえき・東急池上線）","https://ja.wikipedia.org/wiki/久が原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度34分47.4秒東経139度41分7.2秒","■池上線","7.1 km（五反田起点）","東急電鉄","地上駅","1923年（大正12年）5月4日[1]","東京都大田区南久が原二丁目6番10号北緯35度34分47.4秒東経139度41分7.2秒﻿ / ﻿北緯35.579833度 東経139.685333度﻿ /35.579833; 139.685333座標:北緯35度34分47.4秒東経139度41分7.2秒﻿ / ﻿北緯35.579833度 東経139.685333度﻿ /35.579833; 139.685333","2面2線","IK11","","","12,146人/日-2020年-","","","","","","","",""
"久我原駅","久我原駅（くがはらえき・いすみ鉄道いすみ線）","https://ja.wikipedia.org/wiki/久我原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度15分1.0秒東経140度14分51.7秒","いすみ線","20.8 km（大原起点）","いすみ鉄道","地上駅","1960年（昭和35年）6月20日","千葉県夷隅郡大多喜町久我原1026北緯35度15分1.0秒東経140度14分51.7秒座標:北緯35度15分1.0秒 東経140度14分51.7秒","1面1線","","無人駅","クカ","","3人/日（降車客含まず）-2018年-","","","","","","",""
"久我山駅","久我山駅（くがやまえき）","https://ja.wikipedia.org/wiki/久我山駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度41分16.1秒東経139度35分59秒","■井の頭線","10.2 km（渋谷起点）","京王電鉄","地上駅（橋上駅）","1933年（昭和8年）8月1日","東京都杉並区久我山四丁目1番11号北緯35度41分16.1秒東経139度35分59秒﻿ / ﻿北緯35.687806度 東経139.59972度﻿ /35.687806; 139.59972座標:北緯35度41分16.1秒東経139度35分59秒﻿ / ﻿北緯35.687806度 東経139.59972度﻿ /35.687806; 139.59972","1面2線","IN14","","","40,879人/日-2019年-","","","","","","","",""
"久喜駅","久喜駅（くきえき・東日本旅客鉄道東北本線・東武伊勢崎線）","https://ja.wikipedia.org/wiki/久喜駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東武鉄道（駅詳細）","","","埼玉県久喜市久喜中央二丁目","","","","","","","","","","","","",""
"九鬼駅","九鬼駅（くきえき・東海旅客鉄道紀勢本線）","https://ja.wikipedia.org/wiki/九鬼駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度1分0.04秒東経136度14分34.86秒","紀勢本線","134.4 km（亀山起点）","東海旅客鉄道（JR東海）","地上駅","1957年（昭和32年）1月12日[1]","三重県尾鷲市九鬼町914北緯34度1分0.04秒東経136度14分34.86秒﻿ / ﻿北緯34.0166778度 東経136.2430167度﻿ /34.0166778; 136.2430167座標:北緯34度1分0.04秒東経136度14分34.86秒﻿ / ﻿北緯34.0166778度 東経136.2430167度﻿ /34.0166778; 136.2430167","1面2線","","駅員無配置駅","クキ","","17人/日（降車客含まず）-2019年-","","","","","","",""
"久々野駅","久々野駅（くぐのえき）","https://ja.wikipedia.org/wiki/久々野駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度3分8.07秒東経137度16分36.51秒","CG高山本線","123.2 km（岐阜起点）","東海旅客鉄道（JR東海）","地上駅","1934年（昭和9年）10月25日[1]","岐阜県高山市久々野町久々野北緯36度3分8.07秒東経137度16分36.51秒","2面3線[1]","","駅員無配置駅[1]","クク","","53人/日（降車客含まず）-2019年-","","","","","","",""
"久々原駅","久々原駅（くぐはらえき）","https://ja.wikipedia.org/wiki/久々原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度35分31.79秒東経133度49分40.53秒","L宇野線（宇野みなと線）（M瀬戸大橋線含む）","13.2 km（岡山起点）","西日本旅客鉄道（JR西日本）","地上駅","1952年（昭和27年）3月20日","岡山県都窪郡早島町前潟913番地7北緯34度35分31.79秒東経133度49分40.53秒﻿ / ﻿北緯34.5921639度 東経133.8279250度﻿ /34.5921639; 133.8279250座標:北緯34度35分31.79秒東経133度49分40.53秒﻿ / ﻿北緯34.5921639度 東経133.8279250度﻿ /34.5921639; 133.8279250","2面2線","JR-L07（宇野みなと線）JR-M07（瀬戸大橋線）","無人駅（自動券売機 有）","クク","","75人/日（降車客含まず）-2019年-","","","","","","",""
"久下田駅","久下田駅（くげたえき）","https://ja.wikipedia.org/wiki/久下田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度22分33.01秒東経139度58分17.36秒","■真岡線","8.5 km（下館起点）","真岡鐵道","地上駅","1912年（明治45年）4月1日[1]","栃木県真岡市久下田800-4北緯36度22分33.01秒東経139度58分17.36秒﻿ / ﻿北緯36.3758361度 東経139.9714889度﻿ /36.3758361; 139.9714889﻿ (久下田駅)座標:北緯36度22分33.01秒東経139度58分17.36秒﻿ / ﻿北緯36.3758361度 東経139.9714889度﻿ /36.3758361; 139.9714889﻿ (久下田駅)","2面2線[1]","","","クケ","","112人/日（降車客含まず）-2019年-","","","","","","",""
"鵠沼駅","鵠沼駅（くげぬまえき）","https://ja.wikipedia.org/wiki/鵠沼駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","江ノ島電鉄線","1.9 km（藤沢起点）","江ノ島電鉄","地上駅","1902年（明治35年）9月1日","","1面2線","EN04","","","4,278人/日-2019年-","","","","","","","",""
"鵠沼海岸駅","鵠沼海岸駅（くげぬまかいがんえき）","https://ja.wikipedia.org/wiki/鵠沼海岸駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度19分15秒東経139度28分16秒","江ノ島線","25.9 km（相模大野起点）新宿から58.2 km","小田急電鉄","地上駅","1929年（昭和4年）4月1日","神奈川県藤沢市鵠沼海岸二丁目4番10号北緯35度19分15秒東経139度28分16秒﻿ / ﻿北緯35.32083度 東経139.47111度﻿ /35.32083; 139.47111座標:北緯35度19分15秒東経139度28分16秒﻿ / ﻿北緯35.32083度 東経139.47111度﻿ /35.32083; 139.47111","2面2線","OE15","","","19,859人/日-2019年-","","","","","","","",""
"久下村駅","久下村駅（くげむらえき）","https://ja.wikipedia.org/wiki/久下村駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度4分31.86秒東経135度1分49.33秒","I加古川線","46.3 km（加古川起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1924年（大正13年）12月27日[1]","兵庫県丹波市山南町谷川字弓貫3[1]北緯35度4分31.86秒東経135度1分49.33秒﻿ / ﻿北緯35.0755167度 東経135.0303694度﻿ /35.0755167; 135.0303694﻿ (久下村駅)","1面1線[1]","","無人駅[1]","クケ","","6人/日（降車客含まず）-2019年-","","","","","","",""
"草江駅","草江駅（くさええき）","https://ja.wikipedia.org/wiki/草江駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度56分12.17秒東経131度16分27.11秒","■宇部線","22.5 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1923年（大正12年）8月1日","山口県宇部市草江四丁目1-37北緯33度56分12.17秒東経131度16分27.11秒﻿ / ﻿北緯33.9367139度 東経131.2741972度﻿ /33.9367139; 131.2741972座標:北緯33度56分12.17秒東経131度16分27.11秒﻿ / ﻿北緯33.9367139度 東経131.2741972度﻿ /33.9367139; 131.2741972","1面1線","","無人駅山口宇部空港最寄駅（徒歩8分）","サエ","","85人/日（降車客含まず）-2019年-","","","","","","",""
"日下駅","日下駅（くさかえき）","https://ja.wikipedia.org/wiki/日下駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度32分0.34秒東経133度22分16.56秒","■土讃線","143.7 km（多度津起点）","四国旅客鉄道（JR四国）","地上駅","1924年（大正13年）3月30日","高知県高岡郡日高村本郷北緯33度32分0.34秒東経133度22分16.56秒","2面2線","○K09","無人駅","クサ","296[1]人/日-2019年-","","","","","","","",""
"区界駅","区界駅（くざかいえき）","https://ja.wikipedia.org/wiki/区界駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯39度39分6.3秒東経141度21分5.3秒","■山田線","35.6 km（盛岡起点）","東日本旅客鉄道（JR東日本）","地上駅","1928年（昭和3年）9月25日[1]","岩手県宮古市区界1-1009北緯39度39分6.3秒東経141度21分5.3秒﻿ / ﻿北緯39.651750度 東経141.351472度﻿ /39.651750; 141.351472﻿ (区界駅)座標:北緯39度39分6.3秒東経141度21分5.3秒﻿ / ﻿北緯39.651750度 東経141.351472度﻿ /39.651750; 141.351472﻿ (区界駅)","1面1線","","無人駅","クヒ","","1人/日（降車客含まず）-2017年-","","","","","","",""
"久崎駅","久崎駅（くざきえき）","https://ja.wikipedia.org/wiki/久崎駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度57分37.98秒東経134度20分38.85秒","智頭線","12.2 km（上郡起点）","智頭急行","高架駅[1]","1994年（平成6年）12月3日[1]","兵庫県佐用郡佐用町久崎104-2[1]北緯34度57分37.98秒東経134度20分38.85秒﻿ / ﻿北緯34.9605500度 東経134.3441250度﻿ /34.9605500; 134.3441250座標:北緯34度57分37.98秒東経134度20分38.85秒﻿ / ﻿北緯34.9605500度 東経134.3441250度﻿ /34.9605500; 134.3441250","2面2線[1]","","無人駅[1]","クサ","80人/日-2018年-","","","","","","","",""
"草津駅 (滋賀県)","草津駅 (滋賀県)（くさつえき・西日本旅客鉄道東海道本線・草津線）","https://ja.wikipedia.org/wiki/草津駅_(滋賀県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度1分22.49秒東経135度57分45.88秒","A東海道本線（琵琶湖線）","491.4km（東京起点）米原から45.5 km","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1889年（明治22年）7月1日","滋賀県草津市渋川一丁目1-16北緯35度1分22.49秒東経135度57分45.88秒﻿ / ﻿北緯35.0229139度 東経135.9627444度﻿ /35.0229139; 135.9627444座標:北緯35度1分22.49秒東経135度57分45.88秒﻿ / ﻿北緯35.0229139度 東経135.9627444度﻿ /35.0229139; 135.9627444","3面6線","JR-A24","直営駅（管理駅）みどりの窓口有","クサ","","29,569人/日（降車客含まず）-2019年-","","","","","","",""
