"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"小網町停留場","小網町停留場（こあみちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/小網町停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度23分40.04秒東経132度26分39.66秒","■本線","3.6 km（広島駅起点）","広島電鉄","地上駅","1912年（大正元年）12月8日","2面2線","広島市中区堺町二丁目北緯34度23分40.04秒東経132度26分39.66秒﻿ / ﻿北緯34.3944556度 東経132.4443500度﻿ /34.3944556; 132.4443500﻿ (小網町停留場)座標:北緯34度23分40.04秒東経132度26分39.66秒﻿ / ﻿北緯34.3944556度 東経132.4443500度﻿ /34.3944556; 132.4443500﻿ (小網町停留場)","","●M14","","","961[1]人/日-2019年-","","","","","","",""
"五井駅","五井駅（ごいえき）","https://ja.wikipedia.org/wiki/五井駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■内房線（JR東日本）","9.3 km（蘇我起点）千葉から13.1 km","東日本旅客鉄道（JR東日本）小湊鐵道","地上駅（橋上駅）","1912年（明治45年）3月28日（JR東日本）1925年（大正14年）3月7日（小湊鐵道）","2面4線[注釈 1]","","共同使用駅（JR東日本の管轄駅）JR東日本：直営駅（管理駅）JR東日本：みどりの窓口有","","コイ←コヰ","（JR東日本）-2019年-18,745人/日（降車客含まず）（小湊鐵道）-2018年-1,281人/日（降車客含まず）","","","","","","","",""
"恋ヶ窪駅","恋ヶ窪駅（こいがくぼえき）","https://ja.wikipedia.org/wiki/恋ヶ窪駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度42分39.4秒東経139度27分51秒","■国分寺線","2.1 km（国分寺起点）","西武鉄道","地上駅","1955年（昭和30年）2月10日","2面2線","東京都国分寺市戸倉一丁目1-4北緯35度42分39.4秒東経139度27分51秒﻿ / ﻿北緯35.710944度 東経139.46417度﻿ /35.710944; 139.46417座標:北緯35度42分39.4秒東経139度27分51秒﻿ / ﻿北緯35.710944度 東経139.46417度﻿ /35.710944; 139.46417","","SK02","","","12,851人/日-2019年-","","","","","","",""
"鯉川駅","鯉川駅（こいかわえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/鯉川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯39度59分47.08秒東経140度4分38.87秒","■奥羽本線","333.0 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1950年（昭和25年）2月1日[1]","2面2線[1]","秋田県山本郡三種町鯉川字大深根[1]北緯39度59分47.08秒東経140度4分38.87秒座標:北緯39度59分47.08秒 東経140度4分38.87秒","無人駅[1]（乗車駅証明書発行機 有）","","コヒ","","","","","","","","",""
"小井川駅","小井川駅（こいかわえき・東海旅客鉄道身延線）","https://ja.wikipedia.org/wiki/小井川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度36分17.64秒東経138度31分42.74秒","CC身延線","77.5 km（富士起点）","東海旅客鉄道（JR東海）","地上駅","1929年（昭和4年）8月15日[1]","1面1線","山梨県中央市上三條北緯35度36分17.64秒東経138度31分42.74秒﻿ / ﻿北緯35.6049000度 東経138.5285389度﻿ /35.6049000; 138.5285389座標:北緯35度36分17.64秒東経138度31分42.74秒﻿ / ﻿北緯35.6049000度 東経138.5285389度﻿ /35.6049000; 138.5285389","無人駅","","コカ","228人/日（降車客含まず）-2018年-","","","","","","","",""
"小池駅","小池駅（こいけえき）","https://ja.wikipedia.org/wiki/小池駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度44分55.47秒東経137度23分16.39秒","渥美線","1.7 km（新豊橋起点）","豊橋鉄道","地上駅","1925年（大正14年）5月1日","2面2線","愛知県豊橋市小池町字原下58番地3北緯34度44分55.47秒東経137度23分16.39秒﻿ / ﻿北緯34.7487417度 東経137.3878861度﻿ /34.7487417; 137.3878861座標:北緯34度44分55.47秒東経137度23分16.39秒﻿ / ﻿北緯34.7487417度 東経137.3878861度﻿ /34.7487417; 137.3878861","無人駅"," 3 ","","494人/日（降車客含まず）-2019年-","947人/日-2019年-","","","","","","",""
"碁石海岸口駅","碁石海岸口駅（ごいしかいがんぐちえき）","https://ja.wikipedia.org/wiki/碁石海岸口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯39度0分10秒東経141度42分39.6秒","■大船渡線BRT","33.4km（気仙沼起点）一ノ関から95.4 km","東日本旅客鉄道（JR東日本）","地上駅","2013年（平成25年）9月28日","","岩手県大船渡市末崎町大田[1]北緯39度0分10秒東経141度42分39.6秒﻿ / ﻿北緯39.00278度 東経141.711000度﻿ /39.00278; 141.711000﻿ (碁石海岸口駅)","無人駅","","","28人/日（降車客含まず）-2019年-","","","","","","","",""
"恋し浜駅","恋し浜駅（こいしはまえき）","https://ja.wikipedia.org/wiki/恋し浜駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","リアス線","12.0 km（盛起点）","三陸鉄道","地上駅","1985年（昭和60年）10月16日","1面1線","","無人駅","","コシ","4人/日（降車客含まず）-2017年-","","","","","","","",""
"漕代駅","漕代駅（こいしろえき）","https://ja.wikipedia.org/wiki/漕代駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度32分26.68秒東経136度36分4.95秒","M山田線","15.8 km（伊勢中川起点）","近畿日本鉄道（近鉄）","地上駅","1943年（昭和18年）10月23日","2面2線","三重県松阪市稲木町1108-5北緯34度32分26.68秒東経136度36分4.95秒﻿ / ﻿北緯34.5407444度 東経136.6013750度﻿ /34.5407444; 136.6013750座標:北緯34度32分26.68秒東経136度36分4.95秒﻿ / ﻿北緯34.5407444度 東経136.6013750度﻿ /34.5407444; 136.6013750","無人駅（乗車駅証明書発行機 有）"," M67 ","コイシ","189人/日（降車客含まず）-2019年-","","","","","","","",""
"小泉駅","小泉駅（こいずみえき・東海旅客鉄道太多線）","https://ja.wikipedia.org/wiki/小泉駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度20分56.817秒東経137度6分0.975秒","CI太多線","3.2 km（多治見起点）","東海旅客鉄道（JR東海）","地上駅","1928年（昭和3年）10月1日","2面2線","岐阜県多治見市小泉町一丁目北緯35度20分56.817秒東経137度6分0.975秒﻿ / ﻿北緯35.34911583度 東経137.10027083度﻿ /35.34911583; 137.10027083座標:北緯35度20分56.817秒東経137度6分0.975秒﻿ / ﻿北緯35.34911583度 東経137.10027083度﻿ /35.34911583; 137.10027083","業務委託駅（夜間無人駅）JR全線きっぷうりば有","CI  06 ","コツ","1,309人/日（降車客含まず）-2019年-","","","","","","","",""
