"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"西院駅","西院駅（さいえき・京福電気鉄道嵐山本線、さいいんえき・阪急京都本線）","https://ja.wikipedia.org/wiki/西院駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","阪急電鉄（駅詳細）京福電気鉄道（駅詳細）","京都市右京区（阪急電鉄）・中京区（京福電気鉄道）","","","","","","","","","","","","","","",""
"犀潟駅","犀潟駅（さいがたえき）","https://ja.wikipedia.org/wiki/犀潟駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度12分37.18秒東経138度18分18.75秒","■信越本線（JR東日本）","7.1 km（直江津起点）","東日本旅客鉄道（JR東日本）北越急行","新潟県上越市大潟区犀潟[1]600番地1北緯37度12分37.18秒東経138度18分18.75秒座標:北緯37度12分37.18秒 東経138度18分18.75秒","1897年（明治30年）5月13日[1]","地上駅","2面3線[1]","共同使用駅（JR東日本の管轄駅）業務委託駅みどりの窓口有[1]","","サタ","706人/日（降車客含まず）-2019年-","","","","","","","",""
"西金駅","西金駅（さいがねえき）","https://ja.wikipedia.org/wiki/西金駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度41分43.8秒東経140度23分11.3秒","■水郡線","44.1 km（水戸起点）","東日本旅客鉄道（JR東日本）","茨城県久慈郡大子町大字西金381-1北緯36度41分43.8秒東経140度23分11.3秒","1926年（大正15年）3月21日","地上駅","1面1線","無人駅（乗車駅証明書発行機 有）","","サイ","62人/日（降車客含まず）-2005年-","","","","","","","",""
"犀川駅","犀川駅（さいがわえき）","https://ja.wikipedia.org/wiki/犀川駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度39分2.48秒東経130度56分21.61秒","■田川線","9.7 km（行橋起点）","■平成筑豊鉄道","福岡県京都郡みやこ町犀川本庄323-2北緯33度39分2.48秒東経130度56分21.61秒座標:北緯33度39分2.48秒 東経130度56分21.61秒","1897年（明治30年）4月20日","地上駅","2面2線","","HC24","サワ","","","","","","","","",""
"佐伯駅","佐伯駅（さいきえき）","https://ja.wikipedia.org/wiki/佐伯駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度58分21.19秒東経131度54分7.28秒","■日豊本線","197.8 km（小倉起点）","九州旅客鉄道（JR九州）","大分県佐伯市駅前二丁目6-35[1][2]北緯32度58分21.19秒東経131度54分7.28秒﻿ / ﻿北緯32.9725528度 東経131.9020222度﻿ /32.9725528; 131.9020222座標:北緯32度58分21.19秒東経131度54分7.28秒﻿ / ﻿北緯32.9725528度 東経131.9020222度﻿ /32.9725528; 131.9020222","1916年（大正5年）10月25日[1]","地上駅","2面3線[1]","直営駅みどりの窓口有[1]","","ヘキ","728[3]人/日（降車客含まず）-2019年-","","","","","","","",""
"斎宮駅","斎宮駅（さいくうえき）","https://ja.wikipedia.org/wiki/斎宮駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","M山田線","17.1 km（伊勢中川起点）","近畿日本鉄道（近鉄）","","1930年（昭和5年）3月27日","地上駅","2面2線","無人駅[1][2]（自動券売機 有）"," M68 ","サイク","850人/日（降車客含まず）-2019年-","","","","","","","",""
"西郷駅","西郷駅（さいごうえき）","https://ja.wikipedia.org/wiki/西郷駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度52分22.03秒東経130度14分38.18秒","■島原鉄道線","23.0 km（諫早起点）","島原鉄道","長崎県雲仙市瑞穂町伊古北緯32度52分22.03秒東経130度14分38.18秒﻿ / ﻿北緯32.8727861度 東経130.2439389度﻿ /32.8727861; 130.2439389﻿ (西郷駅)","1912年（大正元年）10月10日","地上駅","2面2線","* 年間乗車人員を日数で除算","","","*76人/日（降車客含まず）-2017年-","150人/日-2017年-","","","","","","",""
"財光寺駅","財光寺駅（ざいこうじえき）","https://ja.wikipedia.org/wiki/財光寺駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度24分19.59秒東経131度37分39.71秒","■日豊本線","278.9 km（小倉起点）","九州旅客鉄道（JR九州）","宮崎県日向市大字財光寺[1]北緯32度24分19.59秒東経131度37分39.71秒","1989年（平成元年）3月11日[1]","地上駅","1面1線[1][2]","簡易委託駅[1]","","サコ","265人/日（降車客含まず）-2015年-","","","","","","","",""
"再春医療センター前駅","再春医療センター前駅（さいしゅんいりょうセンターまええき）","https://ja.wikipedia.org/wiki/再春医療センター前駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度52分51.5秒東経130度44分52.5秒","■菊池線","10.3km（上熊本起点）藤崎宮前から9.2 km","熊本電気鉄道","熊本県合志市須屋字大窪2662-5北緯32度52分51.5秒東経130度44分52.5秒﻿ / ﻿北緯32.880972度 東経130.747917度﻿ /32.880972; 130.747917座標:北緯32度52分51.5秒東経130度44分52.5秒﻿ / ﻿北緯32.880972度 東経130.747917度﻿ /32.880972; 130.747917","1965年（昭和40年）10月16日","地上駅","1面1線","地上駅","KD18","","","125人/日-2018年-","","","","","","",""
"西条駅 (広島県)","西条駅 (広島県)（さいじょうえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/西条駅_(広島県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度25分52.8秒東経132度44分37.1秒","G山陽本線","272.9 km（神戸起点）","西日本旅客鉄道（JR西日本）","広島県東広島市西条本町12-3北緯34度25分52.8秒東経132度44分37.1秒﻿ / ﻿北緯34.431333度 東経132.743639度﻿ /34.431333; 132.743639座標:北緯34度25分52.8秒東経132度44分37.1秒﻿ / ﻿北緯34.431333度 東経132.743639度﻿ /34.431333; 132.743639","1894年（明治27年）6月10日","地上駅（橋上駅）","2面3線","直営駅（管理駅）みどりの窓口有","JR-G10","サセ","9,488人/日（降車客含まず）-2019年-","","","","","","","",""
