"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"関西電力黒部専用鉄道","志合谷駅（しあいだにえき）","https://ja.wikipedia.org/wiki/関西電力黒部専用鉄道","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"思案橋停留場","思案橋停留場（しあんばしていりゅうじょう）","https://ja.wikipedia.org/wiki/思案橋停留場","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯32度44分33.83秒東経129度52分48.8秒","本線（■1号系統・■4号系統）","6.8km（住吉起点）赤迫から7.0 km","長崎電気軌道","1921年（大正10年）4月30日","地上駅","長崎県長崎市油屋町1番1号先北緯32度44分33.83秒東経129度52分48.8秒﻿ / ﻿北緯32.7427306度 東経129.880222度﻿ /32.7427306; 129.880222﻿ (思案橋停留場)","2面2線","","","","34","1,600人/日-2015年-","","","","","","",""
"志井駅 (JR九州)","志井駅 (JR九州)（しいえき・九州旅客鉄道日田彦山線）","https://ja.wikipedia.org/wiki/志井駅_(JR九州)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度48分12.77秒東経130度52分28.87秒","JI日田彦山線","6.8 km（城野起点）","九州旅客鉄道（JR九州）","1943年（昭和18年）2月25日[1]","地上駅","北九州市小倉南区大字志井[1]北緯33度48分12.77秒東経130度52分28.87秒","","無人駅[1]北九州市内駅","シイ","83人/日（降車客含まず）-2016年-","JI  07 ","165人/日-2016年-","","","","","","",""
"志井駅 (北九州高速鉄道)","志井駅 (北九州高速鉄道)（しいえき・北九州高速鉄道小倉線）","https://ja.wikipedia.org/wiki/志井駅_(北九州高速鉄道)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度49分21.3秒東経130度52分16.7秒","■小倉線","8.2 km（小倉起点）","北九州高速鉄道（モノレール）","1985年（昭和60年）1月9日[1]","高架駅","北九州市小倉南区志井四丁目北緯33度49分21.3秒東経130度52分16.7秒","2面2線","","","","12","2,335人/日-2019年-","","","","","","",""
"志井公園駅","志井公園駅（しいこうえんえき）","https://ja.wikipedia.org/wiki/志井公園駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度49分6.56秒東経130度52分47.06秒","JI日田彦山線","5.1 km（城野起点）","九州旅客鉄道（JR九州）","1989年（平成元年）3月11日[1]","地上駅[1]","北九州市小倉南区志井[1]六丁目55-1北緯33度49分6.56秒東経130度52分47.06秒","1面1線[1]","業務委託駅[2]北九州市内駅","イコ","860人/日（降車客含まず）-2019年-","JI  06 ","","企救丘駅（北九州高速鉄道小倉線）","","","","","",""
"志比堺駅","志比堺駅（しいざかいえき）","https://ja.wikipedia.org/wiki/志比堺駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度5分52.5秒東経136度18分40秒","■勝山永平寺線","9.3 km（福井起点）","えちぜん鉄道","1914年（大正3年）2月11日","地上駅","福井県吉田郡永平寺町松岡志比堺12-32北緯36度5分52.5秒東経136度18分40秒﻿ / ﻿北緯36.097917度 東経136.31111度﻿ /36.097917; 136.31111座標:北緯36度5分52.5秒東経136度18分40秒﻿ / ﻿北緯36.097917度 東経136.31111度﻿ /36.097917; 136.31111","1面1線","無人駅","","","○E11","35人/日-2019年-","","","","","","",""
"椎柴駅","椎柴駅（しいしばえき）","https://ja.wikipedia.org/wiki/椎柴駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度45分55.13秒東経140度45分31.68秒","■成田線","71.0 km（佐倉起点）千葉から87.1 km","東日本旅客鉄道（JR東日本）","1933年（昭和8年）3月11日[1]","地上駅","千葉県銚子市野尻町169北緯35度45分55.13秒東経140度45分31.68秒座標:北緯35度45分55.13秒 東経140度45分31.68秒","2面2線","無人駅（乗車駅証明書発行機 有）","シイ","511人/日（降車客含まず）-2006年-","","","","","","","","",""
"椎田駅","椎田駅（しいだえき）","https://ja.wikipedia.org/wiki/椎田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度39分12.33秒東経131度3分28.62秒","■日豊本線","36.9 km（小倉起点）","九州旅客鉄道（JR九州）","1897年（明治30年）9月25日[1]","地上駅","福岡県築上郡築上町大字椎田[1]959-1北緯33度39分12.33秒東経131度3分28.62秒","2面2線[1]","業務委託駅","シタ","826人/日（降車客含まず）-2019年-","","","","","","","","",""
"椎津駅","椎津駅（しいづえき）","https://ja.wikipedia.org/wiki/椎津駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度28分24.0秒東経140度1分42.8秒","■臨海本線","17.7 km（蘇我起点）","京葉臨海鉄道","1965年（昭和40年）6月1日","地上駅","千葉県市原市姉崎海岸北緯35度28分24.0秒東経140度1分42.8秒﻿ / ﻿北緯35.473333度 東経140.028556度﻿ /35.473333; 140.028556座標:北緯35度28分24.0秒東経140度1分42.8秒﻿ / ﻿北緯35.473333度 東経140.028556度﻿ /35.473333; 140.028556","","","","","","","","","","","","",""
"椎名町駅","椎名町駅（しいなまちえき）","https://ja.wikipedia.org/wiki/椎名町駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度43分35.7秒東経139度41分41.4秒","■池袋線（■豊島線直通含む）","1.9 km（池袋起点）","西武鉄道","1924年（大正13年）6月11日[1]","地上駅","東京都豊島区長崎一丁目1番22号[1]北緯35度43分35.7秒東経139度41分41.4秒﻿ / ﻿北緯35.726583度 東経139.694833度﻿ /35.726583; 139.694833座標:北緯35度43分35.7秒東経139度41分41.4秒﻿ / ﻿北緯35.726583度 東経139.694833度﻿ /35.726583; 139.694833","2面2線","","","","SI02","20,649人/日-2019年-","","","","","","",""
"JR淡路駅","JR淡路駅（じぇいあーるあわじえき）","https://ja.wikipedia.org/wiki/JR淡路駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度44分26.5秒東経135度31分11.5秒","Fおおさか東線","3.3 km（新大阪起点）","西日本旅客鉄道（JR西日本）（大阪外環状鉄道）","2019年（平成31年）3月16日[1]","高架駅","大阪市東淀川区菅原五丁目11-14北緯34度44分26.5秒東経135度31分11.5秒﻿ / ﻿北緯34.740694度 東経135.519861度﻿ /34.740694; 135.519861﻿ (JR淡路駅)座標:北緯34度44分26.5秒東経135度31分11.5秒﻿ / ﻿北緯34.740694度 東経135.519861度﻿ /34.740694; 135.519861﻿ (JR淡路駅)","2面2線","業務委託駅みどりの券売機設置駅大阪市内駅[2]","アワ","6,487人/日（降車客含まず）-2019年-","JR-F04","","阪急京都本線・阪急千里線（淡路駅）","","","","","",""
"JR小倉駅","JR小倉駅（じぇいあーるおぐらえき）","https://ja.wikipedia.org/wiki/JR小倉駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度53分21.14秒東経135度47分9.36秒","D奈良線","18.4 km（木津起点）","西日本旅客鉄道（JR西日本）","2001年（平成13年）3月3日[1]","地上駅","京都府宇治市小倉町中畑48-1北緯34度53分21.14秒東経135度47分9.36秒﻿ / ﻿北緯34.8892056度 東経135.7859333度﻿ /34.8892056; 135.7859333座標:北緯34度53分21.14秒東経135度47分9.36秒﻿ / ﻿北緯34.8892056度 東経135.7859333度﻿ /34.8892056; 135.7859333","2面2線[1]","業務委託駅みどりの窓口有","オク","1,850人/日（降車客含まず）-2019年-","JR-D10","","","","","","","",""
"JR河内永和駅","JR河内永和駅（じぇいあーるかわちえいわえき）","https://ja.wikipedia.org/wiki/JR河内永和駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度39分50.96秒東経135度34分20.45秒","Fおおさか東線","14.3 km（新大阪起点）","西日本旅客鉄道（JR西日本）（大阪外環状鉄道）","2008年（平成20年）3月15日","高架駅","大阪府東大阪市永和一丁目1-21北緯34度39分50.96秒東経135度34分20.45秒﻿ / ﻿北緯34.6641556度 東経135.5723472度﻿ /34.6641556; 135.5723472座標:北緯34度39分50.96秒東経135度34分20.45秒﻿ / ﻿北緯34.6641556度 東経135.5723472度﻿ /34.6641556; 135.5723472","1面2線","業務委託駅みどりの券売機設置駅大阪市内駅","エイ","8,629人/日（降車客含まず）-2019年-","JR-F10","","河内永和駅（近鉄奈良線）","","","","","",""
"JR五位堂駅","JR五位堂駅（じぇいあーるごいどうえき）","https://ja.wikipedia.org/wiki/JR五位堂駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度31分39.45秒東経135度43分6.35秒","T和歌山線","8.7 km（王寺起点）","西日本旅客鉄道（JR西日本）","2004年（平成16年）3月13日[1]","地上駅","奈良県香芝市五位堂六丁目55北緯34度31分39.45秒東経135度43分6.35秒﻿ / ﻿北緯34.5276250度 東経135.7184306度﻿ /34.5276250; 135.7184306座標:北緯34度31分39.45秒東経135度43分6.35秒﻿ / ﻿北緯34.5276250度 東経135.7184306度﻿ /34.5276250; 135.7184306","2面2線","業務委託駅みどりの窓口有","コイ","788人/日（降車客含まず）-2018年-","","","","","","","","",""
"JR俊徳道駅","JR俊徳道駅（じぇいあーるしゅんとくみちえき）","https://ja.wikipedia.org/wiki/JR俊徳道駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度39分30.41秒東経135度34分20.92秒","Fおおさか東線","14.9 km（新大阪起点）","西日本旅客鉄道（JR西日本）（大阪外環状鉄道）","2008年（平成20年）3月15日","高架駅","大阪府東大阪市永和一丁目24-15北緯34度39分30.41秒東経135度34分20.92秒﻿ / ﻿北緯34.6584472度 東経135.5724778度﻿ /34.6584472; 135.5724778座標:北緯34度39分30.41秒東経135度34分20.92秒﻿ / ﻿北緯34.6584472度 東経135.5724778度﻿ /34.6584472; 135.5724778","1面2線","業務委託駅みどりの券売機設置駅大阪市内駅","シト","5,201人/日（降車客含まず）-2019年-","JR-F11","","俊徳道駅（近鉄大阪線）","","","","","",""
"JR総持寺駅","JR総持寺駅（じぇいあーるそうじじえき）","https://ja.wikipedia.org/wiki/JR総持寺駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度49分43秒東経135度34分40秒","A東海道本線（JR京都線）","539.8km（東京起点）京都から26.2 km","西日本旅客鉄道（JR西日本）","2018年（平成30年）3月17日[1]","地上駅","大阪府茨木市庄一丁目28番55号北緯34度49分43秒東経135度34分40秒﻿ / ﻿北緯34.82861度 東経135.57778度﻿ /34.82861; 135.57778﻿ (JR総持寺駅)座標:北緯34度49分43秒東経135度34分40秒﻿ / ﻿北緯34.82861度 東経135.57778度﻿ /34.82861; 135.57778﻿ (JR総持寺駅)","1面2線","直営駅みどりの券売機プラス設置駅","ソシ","7,543人/日（降車客含まず）-2019年-","JR-A40","","","","","","","",""
"JR長瀬駅","JR長瀬駅（じぇいあーるながせえき）","https://ja.wikipedia.org/wiki/JR長瀬駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度39分0.16秒東経135度34分13.16秒","Fおおさか東線","15.9 km（新大阪起点）","西日本旅客鉄道（JR西日本）（大阪外環状鉄道）","2008年（平成20年）3月15日","高架駅","大阪府東大阪市長瀬町三丁目8-41北緯34度39分0.16秒東経135度34分13.16秒﻿ / ﻿北緯34.6500444度 東経135.5703222度﻿ /34.6500444; 135.5703222座標:北緯34度39分0.16秒東経135度34分13.16秒﻿ / ﻿北緯34.6500444度 東経135.5703222度﻿ /34.6500444; 135.5703222","1面2線","業務委託駅みどりの券売機設置駅大阪市内駅","ナセ","3,282人/日（降車客含まず）-2019年-","JR-F12","","","","","","","",""
"JR難波駅","JR難波駅（じぇいあーるなんばえき）","https://ja.wikipedia.org/wiki/JR難波駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度39分59.1秒東経135度29分43.2秒","Q関西本線（大和路線）","174.9 km（名古屋起点）加茂から54.0 km","西日本旅客鉄道（JR西日本）","1889年（明治22年）5月14日","地下駅","大阪市浪速区湊町一丁目4-1北緯34度39分59.1秒東経135度29分43.2秒﻿ / ﻿北緯34.666417度 東経135.495333度﻿ /34.666417; 135.495333﻿ (JR難波駅)座標:北緯34度39分59.1秒東経135度29分43.2秒﻿ / ﻿北緯34.666417度 東経135.495333度﻿ /34.666417; 135.495333﻿ (JR難波駅)","2面4線","直営駅みどりの窓口有大阪市内駅*1994年に湊町駅から改称[1]。","ナハ","23,944人/日（降車客含まず）-2019年-","JR-Q17","","南海電気鉄道（難波駅）Osaka Metro（難波駅）近畿日本鉄道・阪神電気鉄道（大阪難波駅）","","","","","",""
"JR野江駅","JR野江駅（じぇいあーるのええき）","https://ja.wikipedia.org/wiki/JR野江駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度42分25秒東経135度32分29秒","Fおおさか東線","7.6 km（新大阪起点）","西日本旅客鉄道（JR西日本）（大阪外環状鉄道）","2019年（平成31年）3月16日[1]","高架駅","大阪市城東区野江三丁目29-22北緯34度42分25秒東経135度32分29秒﻿ / ﻿北緯34.70694度 東経135.54139度﻿ /34.70694; 135.54139﻿ (JR野江駅)座標:北緯34度42分25秒東経135度32分29秒﻿ / ﻿北緯34.70694度 東経135.54139度﻿ /34.70694; 135.54139﻿ (JR野江駅)","2面2線","業務委託駅みどりの券売機設置駅大阪市内駅[2]","ノエ","4,217人/日（降車客含まず）-2019年-","JR-F06","","京阪本線（野江駅）・Osaka Metro谷町線（野江内代駅）","","","","","",""
"JR藤森駅","JR藤森駅（じぇいあーるふじのもりえき）","https://ja.wikipedia.org/wiki/JR藤森駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度56分53.79秒東経135度46分32.53秒","D奈良線","29.7 km（木津起点）","西日本旅客鉄道（JR西日本）","1997年（平成9年）3月8日[1]","地上駅（橋上駅、掘割構造）","京都市伏見区深草大亀谷大山町99北緯34度56分53.79秒東経135度46分32.53秒﻿ / ﻿北緯34.9482750度 東経135.7757028度﻿ /34.9482750; 135.7757028座標:北緯34度56分53.79秒東経135度46分32.53秒﻿ / ﻿北緯34.9482750度 東経135.7757028度﻿ /34.9482750; 135.7757028","2面2線[1]","業務委託駅京都市内駅","フモ","3,167人/日（降車客含まず）-2019年-","JR-D04","","","","","","","",""
"松山駅 (愛媛県)","JR松山駅前停留場（じぇいあーるまつやまえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/松山駅_(愛媛県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","四国旅客鉄道（JR四国・駅詳細）伊予鉄道（駅詳細）","","","愛媛県松山市南江戸・宮田町","","","","","","","","","","","","",""
"JR三山木駅","JR三山木駅（じぇいあーるみやまきえき）","https://ja.wikipedia.org/wiki/JR三山木駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度47分53.90秒東経135度47分4.43秒","H片町線（学研都市線）","9.4 km（木津起点）","西日本旅客鉄道（JR西日本）","1952年（昭和27年）12月1日","高架駅","京都府京田辺市三山木高飛4北緯34度47分53.90秒東経135度47分4.43秒﻿ / ﻿北緯34.7983056度 東経135.7845639度﻿ /34.7983056; 135.7845639座標:北緯34度47分53.90秒東経135度47分4.43秒﻿ / ﻿北緯34.7983056度 東経135.7845639度﻿ /34.7983056; 135.7845639","1面2線","無人駅（自動券売機 有）*1997年に上田辺駅から改称[1]。","ミマ","1,068人/日（降車客含まず）-2019年-","JR-H22","","三山木駅（近鉄京都線）","","","","","",""
