"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"石神井公園駅","石神井公園駅（しゃくじいこうえんえき）","https://ja.wikipedia.org/wiki/石神井公園駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度44分36.8秒東経139度36分25.3秒","■池袋線","10.6km（池袋起点）小竹向原から7.2 km","西武鉄道","東京都練馬区石神井町三丁目23番10号北緯35度44分36.8秒東経139度36分25.3秒﻿ / ﻿北緯35.743556度 東経139.607028度﻿ /35.743556; 139.607028座標:北緯35度44分36.8秒東経139度36分25.3秒﻿ / ﻿北緯35.743556度 東経139.607028度﻿ /35.743556; 139.607028","高架駅","1915年（大正4年）4月15日","2面4線","SI10","","","","82,902人/日-2019年-","","","","","","",""
"市役所駅","市役所駅（しやくしょえき）","https://ja.wikipedia.org/wiki/市役所駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度10分54秒東経136度54分19秒","名城線","4.8 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市中区三の丸三丁目1番1号北緯35度10分54秒東経136度54分19秒﻿ / ﻿北緯35.18167度 東経136.90528度﻿ /35.18167; 136.90528座標:北緯35度10分54秒東経136度54分19秒﻿ / ﻿北緯35.18167度 東経136.90528度﻿ /35.18167; 136.90528","地下駅","1965年（昭和40年）10月15日[2]","1面2線","M07","","","21,659人/日（降車客含まず）-2019年-","43,485[1]人/日-2019年-","","","","","","",""
"市役所前停留場 (北海道)","市役所前停留場 (北海道)（しやくしょまえていりゅうじょう・函館市企業局交通部本線）","https://ja.wikipedia.org/wiki/市役所前停留場_(北海道)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯41度46分9.62秒東経140度43分31.45秒","函館市電本線","0.3km（函館駅前起点）湯の川より6.8 km","函館市企業局交通部","北海道函館市大手町12-9先、18-9先北緯41度46分9.62秒東経140度43分31.45秒﻿ / ﻿北緯41.7693389度 東経140.7254028度﻿ /41.7693389; 140.7254028﻿ (市役所前停留場)座標:北緯41度46分9.62秒東経140度43分31.45秒﻿ / ﻿北緯41.7693389度 東経140.7254028度﻿ /41.7693389; 140.7254028﻿ (市役所前停留場)","地上駅（停留場）","1913年10月30日","2面2線","DY18","","","","377[1]人/日-2019年-","","","","","","",""
"市役所前駅 (千葉県)","市役所前駅 (千葉県)（しやくしょまええき・千葉都市モノレール1号線）","https://ja.wikipedia.org/wiki/市役所前駅_(千葉県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度36分25.9秒東経140度6分28秒","■1号線（■2号線直通含む）","0.7 km（千葉みなと起点）","千葉都市モノレール","千葉市中央区千葉港地先道路北緯35度36分25.9秒東経140度6分28秒﻿ / ﻿北緯35.607194度 東経140.10778度﻿ /35.607194; 140.10778座標:北緯35度36分25.9秒東経140度6分28秒﻿ / ﻿北緯35.607194度 東経140.10778度﻿ /35.607194; 140.10778","高架駅","1995年（平成7年）8月1日[1]","相対式、2面2線","CM02","無人駅","","2,460人/日（降車客含まず）-2018年-","","","","","","","",""
"市役所前駅 (長野県)","市役所前駅 (長野県)（しやくしょまええき・長野電鉄長野線）","https://ja.wikipedia.org/wiki/市役所前駅_(長野県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","長野線","0.4 km（長野起点）","長野電鉄","","地下駅[2]","1928年（昭和3年）6月24日[2][1]","2面2線[2]","N2","","シヤ","588人/日（降車客含まず）-2018年-","","","","","","","",""
"市役所前停留場 (愛知県)","市役所前停留場 (愛知県)（しやくしょまえていりゅうじょう・豊橋鉄道東田本線）","https://ja.wikipedia.org/wiki/市役所前停留場_(愛知県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度46分2.16秒東経137度23分33.87秒","東田本線","1.4 km（駅前起点）","豊橋鉄道","愛知県豊橋市八町通三丁目北緯34度46分2.16秒東経137度23分33.87秒﻿ / ﻿北緯34.7672667度 東経137.3927417度﻿ /34.7672667; 137.3927417座標:北緯34度46分2.16秒東経137度23分33.87秒﻿ / ﻿北緯34.7672667度 東経137.3927417度﻿ /34.7672667; 137.3927417","地上駅","1925年（昭和元年）頃","2面2線"," 5 ","営門前駅として開業。","","","","","","","","","",""
"市役所前駅 (和歌山県)","市役所前駅 (和歌山県)（しやくしょまええき・紀州鉄道線）","https://ja.wikipedia.org/wiki/市役所前駅_(和歌山県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度53分24.14秒東経135度9分10.88秒","紀州鉄道線","2.4 km（御坊起点）","紀州鉄道","和歌山県御坊市薗351-2北緯33度53分24.14秒東経135度9分10.88秒﻿ / ﻿北緯33.8900389度 東経135.1530222度﻿ /33.8900389; 135.1530222座標:北緯33度53分24.14秒東経135度9分10.88秒﻿ / ﻿北緯33.8900389度 東経135.1530222度﻿ /33.8900389; 135.1530222","地上駅","1967年（昭和42年）8月30日[1]","1面1線","","無人駅","","8人/日（降車客含まず）-2019年-","","","","","","","",""
"市役所前停留場 (広島県)","市役所前停留場 (広島県)（しやくしょまえていりゅうじょう・広島電鉄宇品線）","https://ja.wikipedia.org/wiki/市役所前停留場_(広島県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度23分8.84秒東経132度27分16秒","■宇品線","1.1 km（紙屋町起点）","広島電鉄","広島市中区国泰寺町1丁目北緯34度23分8.84秒東経132度27分16秒﻿ / ﻿北緯34.3857889度 東経132.45444度﻿ /34.3857889; 132.45444﻿ (市役所前停留場)座標:北緯34度23分8.84秒東経132度27分16秒﻿ / ﻿北緯34.3857889度 東経132.45444度﻿ /34.3857889; 132.45444﻿ (市役所前停留場)","地上駅","1912年（大正元年）11月23日","2面2線","●U4","","","","3,545[1]人/日-2019年-","","","","","","",""
"市役所前停留場 (愛媛県)","市役所前停留場 (愛媛県)（しやくしょまえていりゅうじょう・伊予鉄道城南線）","https://ja.wikipedia.org/wiki/市役所前停留場_(愛媛県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度50分24.12秒東経132度45分53.77秒","城南線","2.8 km（道後温泉起点）","伊予鉄道","愛媛県松山市二番町四丁目北緯33度50分24.12秒東経132度45分53.77秒﻿ / ﻿北緯33.8400333度 東経132.7649361度﻿ /33.8400333; 132.7649361﻿ (市役所前電停)","地上駅","1911年（明治44年）9月1日（八股電停として）","2面2線","21","* 1944年に八股停留場より改称","","","801[1]人/日-2015年-","","","","","","",""
"市役所前停留場 (鹿児島県)","市役所前停留場 (鹿児島県)（しやくしょまえていりゅうじょう・鹿児島市電第一期線）","https://ja.wikipedia.org/wiki/市役所前停留場_(鹿児島県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯31度35分48.45秒東経130度33分28.46秒","鹿児島市電第一期線（1系統・2系統）","2.4km（武之橋起点）鹿児島駅前から0.6 km","鹿児島市交通局","鹿児島県鹿児島市山下町北緯31度35分48.45秒東経130度33分28.46秒﻿ / ﻿北緯31.5967917度 東経130.5579056度﻿ /31.5967917; 130.5579056﻿ (市役所前停留場)","地上駅","1914年10月3日","2面2線","●I04●N04","","","","1,378人/日-2015年-","","","","","","",""
