"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"水郷駅","水郷駅（すいごうえき）","https://ja.wikipedia.org/wiki/水郷駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度53分10.6秒東経140度34分11.1秒","■成田線","47.5 km（佐倉起点）千葉から63.6 km","東日本旅客鉄道（JR東日本）","1931年（昭和6年）11月10日[1]","地上駅","1面2線","千葉県香取市一ノ分目1120北緯35度53分10.6秒東経140度34分11.1秒座標:北緯35度53分10.6秒 東経140度34分11.1秒","無人駅（乗車駅証明書発行機 有）","","スコ","185人/日（降車客含まず）-2006年-","","","","","","","",""
"瑞光四丁目駅","瑞光四丁目駅（ずいこうよんちょうめえき）","https://ja.wikipedia.org/wiki/瑞光四丁目駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度45分8.33秒東経135度32分40.61秒","●今里筋線","0.9 km（井高野起点）","大阪市高速電気軌道(Osaka Metro)","2006年（平成18年）12月24日","地下駅","1面2線 ホームドア有り","大阪市東淀川区瑞光四丁目北緯34度45分8.33秒東経135度32分40.61秒﻿ / ﻿北緯34.7523139度 東経135.5446139度﻿ /34.7523139; 135.5446139座標:北緯34度45分8.33秒東経135度32分40.61秒﻿ / ﻿北緯34.7523139度 東経135.5446139度﻿ /34.7523139; 135.5446139",""," I12 ","","3,087人/日（降車客含まず）-2020年-","6,070人/日-2020年-","","","","","","",""
"水前寺駅","水前寺駅（すいぜんじえき）","https://ja.wikipedia.org/wiki/水前寺駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度47分49.57秒東経130度43分48.65秒","■豊肥本線","142.2 km（大分起点）","九州旅客鉄道（JR九州）","1914年（大正3年）6月21日[2]","地上駅（橋上駅）[1]","1面2線[1]","熊本市中央区水前寺[1]北緯32度47分49.57秒東経130度43分48.65秒","業務委託駅みどりの窓口有[1]","","スイ","3,466人/日（降車客含まず）-2019年-","","","","","","","",""
"水前寺公園停留場","水前寺公園停留場（すいぜんじこうえんていりゅうじょう）","https://ja.wikipedia.org/wiki/水前寺公園停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","水前寺線**（■A系統・■B系統）","2.5km（水道町起点）田崎橋から6.2 km","熊本市交通局","1945年（昭和20年）5月6日","地上駅","2面2線","","","□18","","","1,510人/日-2015年-","","","","","","",""
"水族館口停留場","水族館口停留場（すいぞくかんぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/水族館口停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯31度35分56.73秒東経130度33分35.40秒","鹿児島市電第一期線（1系統・2系統）","2.6km（武之橋起点）鹿児島駅前から0.4 km","鹿児島市交通局","1914年12月20日","地上駅","2面2線","鹿児島県鹿児島市易居町北緯31度35分56.73秒東経130度33分35.40秒﻿ / ﻿北緯31.5990917度 東経130.5598333度﻿ /31.5990917; 130.5598333﻿ (水族館口停留場)","","●I03●N03","","","1,109人/日-2015年-","","","","","","",""
"吹田駅 (JR西日本)","吹田駅 (JR西日本)（すいたえき・西日本旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/吹田駅_(JR西日本)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度45分47.43秒東経135度31分25.21秒","A東海道本線（JR京都線）","548.8km （東京起点）京都から35.2 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","1876年（明治9年）8月9日","地上駅","2面4線（乗降は2面2線のみ）","大阪府吹田市朝日町1-1北緯34度45分47.43秒東経135度31分25.21秒﻿ / ﻿北緯34.7631750度 東経135.5236694度﻿ /34.7631750; 135.5236694座標:北緯34度45分47.43秒東経135度31分25.21秒﻿ / ﻿北緯34.7631750度 東経135.5236694度﻿ /34.7631750; 135.5236694","直営駅みどりの窓口みどりの券売機プラス設置駅","JR-A44","スイ","22,896人/日（降車客含まず）-2019年-","","","","","","","",""
"吹田駅 (阪急)","吹田駅 (阪急)（すいたえき・阪急千里線）","https://ja.wikipedia.org/wiki/吹田駅_(阪急)","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度45分36.58秒東経135度30分59.81秒","■千里線","6.0 km（天神橋筋六丁目起点）大阪梅田から9.1 km","阪急電鉄","1964年（昭和39年）4月10日*","地上駅","2面2線","大阪府吹田市西の庄町12番21号[1]北緯34度45分36.58秒東経135度30分59.81秒﻿ / ﻿北緯34.7601611度 東経135.5166139度﻿ /34.7601611; 135.5166139座標:北緯34度45分36.58秒東経135度30分59.81秒﻿ / ﻿北緯34.7601611度 東経135.5166139度﻿ /34.7601611; 135.5166139","","HK89","","","（特定日）17,008人/日-2019年-","","（全日）18,566人/日-2016年-","","","","",""
"吹田貨物ターミナル駅","吹田貨物ターミナル駅（すいたかもつターミナルえき）","https://ja.wikipedia.org/wiki/吹田貨物ターミナル駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度46分19.8秒東経135度32分3.1秒","東海道本線","547.3km（東京起点）京都から33.7 km","日本貨物鉄道（JR貨物）","2013年（平成25年）3月16日**","地上駅","","大阪府吹田市芝田町一丁目21北緯34度46分19.8秒東経135度32分3.1秒﻿ / ﻿北緯34.772167度 東経135.534194度﻿ /34.772167; 135.534194座標:北緯34度46分19.8秒東経135度32分3.1秒﻿ / ﻿北緯34.772167度 東経135.534194度﻿ /34.772167; 135.534194","貨物専用駅","","スタ","","","","","","","","",""
"水天宮前駅","水天宮前駅（すいてんぐうまええき）","https://ja.wikipedia.org/wiki/水天宮前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","●[1]半蔵門線","10.8 km（渋谷起点）","東京地下鉄（東京メトロ）","1990年（平成2年）11月28日[2]","地下駅","1面2線","","","Z10[1]","スイ","","84,016人/日-2019年-","H14[1]A14[1]人形町駅（東京メトロ日比谷線・都営浅草線）","","","","","",""
"水道町停留場","水道町停留場（すいどうちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/水道町停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度48分8.65秒東経130度42分44.70秒","幹線（■A系統・■B系統）","3.3km（熊本駅前起点）田崎橋から3.8 km","熊本市交通局","1924年（大正13年）8月1日","地上駅","2面2線","熊本市中央区水道町・手取本町北緯32度48分8.65秒東経130度42分44.70秒﻿ / ﻿北緯32.8024028度 東経130.7124167度﻿ /32.8024028; 130.7124167座標:北緯32度48分8.65秒東経130度42分44.70秒﻿ / ﻿北緯32.8024028度 東経130.7124167度﻿ /32.8024028; 130.7124167","* 全列車が直通","□12","","","3,796人/日-2015年-","","","","","","",""
