"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"大安駅 (三重県)","大安駅（だいあんえき）","https://ja.wikipedia.org/wiki/大安駅_(三重県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度5分31.06秒東経136度32分43.33秒","三岐線","15.3 km（富田起点）","三岐鉄道","1931年（昭和6年）7月23日[1]","地上駅","三重県いなべ市大安町大井田1305北緯35度5分31.06秒東経136度32分43.33秒﻿ / ﻿北緯35.0919611度 東経136.5453694度﻿ /35.0919611; 136.5453694座標:北緯35度5分31.06秒東経136度32分43.33秒﻿ / ﻿北緯35.0919611度 東経136.5453694度﻿ /35.0919611; 136.5453694","1面1線","*1986年に大井田駅から改称[1]。","","ダイ","403人/日（降車客含まず）-2019年-","","","","","","","",""
"大安寺駅","大安寺駅（だいあんじえき）","https://ja.wikipedia.org/wiki/大安寺駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度39分46.87秒東経133度53分13.37秒","U吉備線（桃太郎線）","3.3 km（岡山起点）","西日本旅客鉄道（JR西日本）","1914年（大正3年）2月25日*","地上駅","岡山市北区大安寺中町5-29北緯34度39分46.87秒東経133度53分13.37秒﻿ / ﻿北緯34.6630194度 東経133.8870472度﻿ /34.6630194; 133.8870472﻿ (大安寺駅)","1面2線","無人駅（自動券売機 有）","JR-U03","タア","345人/日（降車客含まず）-2019年-","","","","","","","",""
"第一通り駅","第一通り駅（だいいちどおりえき）","https://ja.wikipedia.org/wiki/第一通り駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度42分26.06秒東経137度43分57.62秒","鉄道線","0.5 km（新浜松駅起点）","遠州鉄道","1985年（昭和60年）12月1日","高架駅","浜松市中区田町230-28北緯34度42分26.06秒東経137度43分57.62秒﻿ / ﻿北緯34.7072389度 東経137.7326722度﻿ /34.7072389; 137.7326722座標:北緯34度42分26.06秒東経137度43分57.62秒﻿ / ﻿北緯34.7072389度 東経137.7326722度﻿ /34.7072389; 137.7326722","1面1線","* 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。"," 02 ","","*1,462人/日（降車客含まず）-2019年-","*3,174人/日-2019年-","","","","","","",""
"大雲寺前停留場","大雲寺前停留場（だいうんじまえていりゅうじょう）","https://ja.wikipedia.org/wiki/大雲寺前停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度39分23.99秒東経133度55分34.5秒","■清輝橋線","1.1km（柳川起点）岡山駅前から1.6 km","岡山電気軌道","1928年（昭和3年）3月18日","地上駅","岡山市北区中央町・表町三丁目北緯34度39分23.99秒東経133度55分34.5秒﻿ / ﻿北緯34.6566639度 東経133.926250度﻿ /34.6566639; 133.926250﻿ (大雲寺前停留場 *)","1面2線","","○S07","","","","","","","","","",""
"大開駅","大開駅（だいかいえき）","https://ja.wikipedia.org/wiki/大開駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度40分16.24秒東経135度9分42.15秒","神戸高速線（東西線）","1.9km（西代起点*）大阪梅田から35.2 km","阪神電気鉄道（神戸高速鉄道）","1968年（昭和43年）4月7日[1]","地下駅[1]","神戸市兵庫区水木通七丁目1B-1[1]北緯34度40分16.24秒東経135度9分42.15秒﻿ / ﻿北緯34.6711778度 東経135.1617083度﻿ /34.6711778; 135.1617083﻿ (大開駅)座標:北緯34度40分16.24秒東経135度9分42.15秒﻿ / ﻿北緯34.6711778度 東経135.1617083度﻿ /34.6711778; 135.1617083﻿ (大開駅)","2面2線[1]","* 起点→終点の方向が上り","HS37","","3,112人/日（降車客含まず）-2019年-","","","","","","","",""
"大学駅","大学駅（だいがくえき）","https://ja.wikipedia.org/wiki/大学駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度11分21.50秒東経129度40分1.32秒","■西九州線","80.9 km（有田起点）","松浦鉄道","1991年（平成3年）3月16日","高架駅","長崎県佐世保市川下町北緯33度11分21.50秒東経129度40分1.32秒","1面1線","","","","","1,083人/日-2018年-","","","","","","",""
"大学病院停留場","大学病院停留場（だいがくびょういんていりゅうじょう）","https://ja.wikipedia.org/wiki/大学病院停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度46分8.56秒東経129度51分51.06秒","本線（■1号系統・□2号系統・■3号系統）","2.8km（住吉起点）赤迫から3.0 km","長崎電気軌道","1947年（昭和22年）5月16日*","地上駅","長崎県長崎市浜口町2番5号先北緯32度46分8.56秒東経129度51分51.06秒﻿ / ﻿北緯32.7690444度 東経129.8641833度﻿ /32.7690444; 129.8641833﻿ (大学病院停留場)","2面2線","* 前身となる停留場は1915年開業","21","","","2,800人/日-2015年-","","","","","","",""
"大学前駅 (長野県)","大学前駅 (長野県)（だいがくまええき・上田電鉄別所線）","https://ja.wikipedia.org/wiki/大学前駅_(長野県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度22分15.39秒東経138度12分54.66秒","別所線","5.2 km（上田起点）","上田電鉄","1921年（大正10年）6月17日[1]","地上駅","長野県上田市下之郷字上迎284-5北緯36度22分15.39秒東経138度12分54.66秒﻿ / ﻿北緯36.3709417度 東経138.2151833度﻿ /36.3709417; 138.2151833座標:北緯36度22分15.39秒東経138度12分54.66秒﻿ / ﻿北緯36.3709417度 東経138.2151833度﻿ /36.3709417; 138.2151833","単式1面1線[1]","無人駅[1]（多客期駅員派遣）","BE08","","393人/日（降車客含まず）-2017年-","","","","","","","",""
"大学前駅 (滋賀県)","大学前駅 (滋賀県)（だいがくまええき・近江鉄道本線）","https://ja.wikipedia.org/wiki/大学前駅_(滋賀県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度5分15.84秒東経136度11分4.84秒","■本線（水口・蒲生野線）","28.4 km（米原起点）","近江鉄道","1990年（平成2年）3月29日[1]","地上駅","滋賀県東近江市布施町29-2北緯35度5分15.84秒東経136度11分4.84秒﻿ / ﻿北緯35.0877333度 東経136.1846778度﻿ /35.0877333; 136.1846778座標:北緯35度5分15.84秒東経136度11分4.84秒﻿ / ﻿北緯35.0877333度 東経136.1846778度﻿ /35.0877333; 136.1846778","片式1面1線","無人駅布引グリーンスタジアムへ徒歩10分","OR27","","83人/日（降車客含まず）-2016年-","","","","","","","",""
"代官町駅","代官町駅（だいかんちょうえき）","https://ja.wikipedia.org/wiki/代官町駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度50分7.75秒東経138度7分33.95秒","大井川本線","3.8 km（金谷起点）","大井川鐵道","1965年（昭和40年）9月16日","地上駅","静岡県島田市金谷代官町北緯34度50分7.75秒東経138度7分33.95秒﻿ / ﻿北緯34.8354861度 東経138.1260972度﻿ /34.8354861; 138.1260972座標:北緯34度50分7.75秒東経138度7分33.95秒﻿ / ﻿北緯34.8354861度 東経138.1260972度﻿ /34.8354861; 138.1260972","単式 1面1線","","","","18人/日（降車客含まず）-2019年-","38人/日-2019年-","","","","","","",""
