"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"智恵文駅","智恵文駅（ちえぶんえき）","https://ja.wikipedia.org/wiki/智恵文駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯44度27分19秒東経142度24分53秒","■宗谷本線","91.2 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道名寄市智恵文十一線北緯44度27分19秒東経142度24分53秒","地上駅","1911年（明治44年）11月3日","1面1線","無人駅","○W51","チフ","","10人/日-2014年-","","","","","","",""
"近川駅","近川駅（ちかがわえき）","https://ja.wikipedia.org/wiki/近川駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯41度11分28.83秒東経141度16分45.20秒","■大湊線","42.7 km（野辺地起点）","東日本旅客鉄道（JR東日本）","青森県むつ市大字奥内字近川北緯41度11分28.83秒東経141度16分45.20秒座標:北緯41度11分28.83秒 東経141度16分45.20秒","地上駅","1921年（大正10年）9月25日","1面1線","無人駅","","チカ","","","","","","","","",""
"千垣駅","千垣駅（ちがきえき）","https://ja.wikipedia.org/wiki/千垣駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度34分25.39秒東経137度22分25.87秒","■立山線","17.3 km（寺田起点）","富山地方鉄道","富山県中新川郡立山町千垣156北緯36度34分25.39秒東経137度22分25.87秒﻿ / ﻿北緯36.5737194度 東経137.3738528度﻿ /36.5737194; 137.3738528﻿ (千垣駅)座標:北緯36度34分25.39秒東経137度22分25.87秒﻿ / ﻿北緯36.5737194度 東経137.3738528度﻿ /36.5737194; 137.3738528﻿ (千垣駅)","地上駅","1923年（大正12年）4月20日","単式1面1線","","T53","","","118人/日-2019年-","","","","","","",""
"茅ケ崎駅","茅ケ崎駅（ちがさきえき）","https://ja.wikipedia.org/wiki/茅ケ崎駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度19分49秒東経139度24分25秒","■東海道本線","58.6 km（東京起点）","東日本旅客鉄道（JR東日本）","神奈川県茅ヶ崎市元町1-1北緯35度19分49秒東経139度24分25秒﻿ / ﻿北緯35.33028度 東経139.40694度﻿ /35.33028; 139.40694座標:北緯35度19分49秒東経139度24分25秒﻿ / ﻿北緯35.33028度 東経139.40694度﻿ /35.33028; 139.40694","地上駅（橋上駅）","1898年（明治31年）6月15日","3面6線","直営駅（管理駅）みどりの窓口有","JT10","チサ","55,778人/日（降車客含まず）-2019年-","","","","","","","",""
"近田駅","近田駅（ちかたえき）","https://ja.wikipedia.org/wiki/近田駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度32分46.63秒東経133度18分39.45秒","Z福塩線","16.0 km（福山起点）","西日本旅客鉄道（JR西日本）","広島県福山市駅家町大字近田547-7北緯34度32分46.63秒東経133度18分39.45秒﻿ / ﻿北緯34.5462861度 東経133.3109583度﻿ /34.5462861; 133.3109583﻿ (近田駅)","地上駅","1914年（大正3年）7月21日","1面1線","無人駅（自動券売機 有）","","チカ","219人/日（降車客含まず）-2018年-","","","","","","","",""
"近津駅","近津駅（ちかつえき）","https://ja.wikipedia.org/wiki/近津駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","■水郡線","86.4 km（水戸起点）","東日本旅客鉄道（JR東日本）","","地上駅","1932年（昭和7年）11月11日","1面1線","無人駅","","チツ","30人/日（降車客含まず）-2004年-","","","","","","","",""
"地下鉄赤塚駅","地下鉄赤塚駅（ちかてつあかつかえき）","https://ja.wikipedia.org/wiki/地下鉄赤塚駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度46分11.9秒東経139度38分38.5秒","●[2]有楽町線[※ 2]●[2]副都心線[※ 2]","3.6 km（和光市起点）","東京地下鉄（東京メトロ）","東京都練馬区北町八丁目37-16北緯35度46分11.9秒東経139度38分38.5秒﻿ / ﻿北緯35.769972度 東経139.644028度﻿ /35.769972; 139.644028座標:北緯35度46分11.9秒東経139度38分38.5秒﻿ / ﻿北緯35.769972度 東経139.644028度﻿ /35.769972; 139.644028","地下駅","1983年（昭和58年）6月24日","1面2線","業務委託駅（メトロコマース）","Y03[2]F03[2]","チア","","40,635人/日-2019年-","","","","","","",""
"地下鉄成増駅","地下鉄成増駅（ちかてつなりますえき）","https://ja.wikipedia.org/wiki/地下鉄成増駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度46分35.5秒東経139度37分53.5秒","●[2]有楽町線[※ 2]●[2]副都心線[※ 2]","2.2 km（和光市起点）","東京地下鉄（東京メトロ）","東京都板橋区成増二丁目11-3北緯35度46分35.5秒東経139度37分53.5秒﻿ / ﻿北緯35.776528度 東経139.631528度﻿ /35.776528; 139.631528﻿ (地下鉄成増駅[※ 1])座標:北緯35度46分35.5秒東経139度37分53.5秒﻿ / ﻿北緯35.776528度 東経139.631528度﻿ /35.776528; 139.631528﻿ (地下鉄成増駅[※ 1])","地下駅","1983年（昭和58年）6月24日","1面2線","","Y02[2]F02[2]","チナ","","53,700人/日-2019年-","","","","","","",""
"近永駅","近永駅（ちかながえき）","https://ja.wikipedia.org/wiki/近永駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度15分20.34秒東経132度40分35.48秒","■予土線","60.4 km（若井起点）","四国旅客鉄道（JR四国）","愛媛県北宇和郡鬼北町近永北緯33度15分20.34秒東経132度40分35.48秒﻿ / ﻿北緯33.2556500度 東経132.6765222度﻿ /33.2556500; 132.6765222座標:北緯33度15分20.34秒東経132度40分35.48秒﻿ / ﻿北緯33.2556500度 東経132.6765222度﻿ /33.2556500; 132.6765222","地上駅","1914年（大正3年）10月18日","1面2線","簡易委託駅","○G40","チナ","","334人/日-2018年-","","","","","","",""
"近文駅","近文駅（ちかぶみえき）","https://ja.wikipedia.org/wiki/近文駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度47分22.2秒東経142度19分32.2秒","■函館本線","419.1 km（函館起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*","北海道旭川市近文町20丁目北緯43度47分22.2秒東経142度19分32.2秒座標:北緯43度47分22.2秒 東経142度19分32.2秒","地上駅","1911年（明治44年）1月11日","1面2線","無人駅","○A27","フミ","193人/日（降車客含まず）-2012年-","","","","","","","",""
