"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"土合駅","土合駅（どあいえき）","https://ja.wikipedia.org/wiki/土合駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■上越線","69.3 km（高崎起点）","東日本旅客鉄道（JR東日本）","","地上駅（上り線）、地下駅（下り線）","1936年（昭和11年）12月19日**","計2面2線（上下別）","無人駅","トイ","","","19人/日（降車客含まず）-2013年-","","","","","","",""
"谷川岳ロープウェイ","土合口駅（どあいぐちえき）","https://ja.wikipedia.org/wiki/谷川岳ロープウェイ#駅一覧","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","","","","","","","","","","","","","http://www.tanigawadake-rw.com/","株式会社","非上場","日本〒131-0045東京都墨田区押上2-18-12","1959年9月15日"
"遠浅駅","遠浅駅（とあさえき）","https://ja.wikipedia.org/wiki/遠浅駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯42度43分45.72秒東経141度46分9.92秒","室蘭本線","152.9 km（長万部起点）","北海道旅客鉄道（JR北海道）","北海道勇払郡安平町遠浅北緯42度43分45.72秒東経141度46分9.92秒﻿ / ﻿北緯42.7293667度 東経141.7694222度﻿ /42.7293667; 141.7694222﻿ (遠浅駅)","地上駅","1902年（明治35年）9月21日","2面2線","無人駅","トサ","","","","","","","","","",""
"土井駅","土井駅（どいえき・九州旅客鉄道香椎線）","https://ja.wikipedia.org/wiki/土井駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度38分5.98秒東経130度27分57.95秒","JD香椎線","16.4 km（西戸崎起点）","九州旅客鉄道（JR九州）","福岡市東区土井三丁目23-1北緯33度38分5.98秒東経130度27分57.95秒﻿ / ﻿北緯33.6349944度 東経130.4660972度﻿ /33.6349944; 130.4660972座標:北緯33度38分5.98秒東経130度27分57.95秒﻿ / ﻿北緯33.6349944度 東経130.4660972度﻿ /33.6349944; 130.4660972","地上駅","1904年（明治37年）1月1日[1]","2面2線[要出典]","無人駅[2]駅集中管理システム（Smart Support Station）採用福岡市内駅","トイ","JD  09 ","","1,555人/日（降車客含まず）-2019年-","","","","","","",""
"土居駅","土居駅（どいえき・京阪電鉄京阪本線）","https://ja.wikipedia.org/wiki/土居駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度43分50.94秒東経135度33分36.74秒","■京阪本線","7.6 km（淀屋橋起点）","京阪電気鉄道","大阪府守口市文園町4番5号北緯34度43分50.94秒東経135度33分36.74秒﻿ / ﻿北緯34.7308167度 東経135.5602056度﻿ /34.7308167; 135.5602056﻿ (土居駅)座標:北緯34度43分50.94秒東経135度33分36.74秒﻿ / ﻿北緯34.7308167度 東経135.5602056度﻿ /34.7308167; 135.5602056﻿ (土居駅)","地上駅（盛土）","1932年（昭和7年）6月14日","2面2線*","* この間に通過線2本あり無人駅（自動券売機有）","土（駅名略称方式）","KH  10","5,677人/日-2019年-","","","","","","","",""
"問寒別駅","問寒別駅（といかんべつえき）","https://ja.wikipedia.org/wiki/問寒別駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯44度54分44.9秒東経142度1分31.9秒","■宗谷本線","175.8 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道天塩郡幌延町字問寒別北緯44度54分44.9秒東経142度1分31.9秒","地上駅","1923年（大正12年）11月10日","1面1線","無人駅","トヒ","○W66","2人/日-2014年-","","","","","","","",""
"土居田駅","土居田駅（どいだえき）","https://ja.wikipedia.org/wiki/土居田駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度49分26.04秒東経132度44分37.59秒","郡中線","2.2 km（松山市起点）","伊予鉄道","愛媛県松山市土居田町北緯33度49分26.04秒東経132度44分37.59秒﻿ / ﻿北緯33.8239000度 東経132.7437750度﻿ /33.8239000; 132.7437750﻿ (土居田駅)","地上駅","1930年3月6日","島式 1面2線","","","●IY26","2,429[1]人/日-2019年-","","","","","","","",""
"土市駅","土市駅（どいちえき）","https://ja.wikipedia.org/wiki/土市駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度5分50.7秒東経138度43分46.22秒","■飯山線","70.4 km（豊野起点）","東日本旅客鉄道（JR東日本）","新潟県十日町市新宮[1]北緯37度5分50.7秒東経138度43分46.22秒﻿ / ﻿北緯37.097417度 東経138.7295056度﻿ /37.097417; 138.7295056﻿ (土市駅)座標:北緯37度5分50.7秒東経138度43分46.22秒﻿ / ﻿北緯37.097417度 東経138.7295056度﻿ /37.097417; 138.7295056﻿ (土市駅)","地上駅","1929年（昭和4年）9月1日[1]","1面1線[1]","無人駅[1]","トイ","","","","","","","","","",""
"戸出駅","戸出駅（といでえき）","https://ja.wikipedia.org/wiki/戸出駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度41分2.56秒東経136度59分1.41秒","■城端線","7.3 km（高岡起点）","西日本旅客鉄道（JR西日本）","富山県高岡市戸出町二丁目4-1北緯36度41分2.56秒東経136度59分1.41秒﻿ / ﻿北緯36.6840444度 東経136.9837250度﻿ /36.6840444; 136.9837250座標:北緯36度41分2.56秒東経136度59分1.41秒﻿ / ﻿北緯36.6840444度 東経136.9837250度﻿ /36.6840444; 136.9837250","地上駅","1897年（明治30年）5月4日","2面2線","簡易委託駅POS端末設置","トイ","","","852人/日（降車客含まず）-2019年-","","","","","","",""
"東員駅","東員駅（とういんえき）","https://ja.wikipedia.org/wiki/東員駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度4分39.98秒東経136度35分15.08秒","■北勢線","9.7 km（西桑名起点）","三岐鉄道","三重県員弁郡東員町大字山田1953-1北緯35度4分39.98秒東経136度35分15.08秒﻿ / ﻿北緯35.0777722度 東経136.5875222度﻿ /35.0777722; 136.5875222座標:北緯35度4分39.98秒東経136度35分15.08秒﻿ / ﻿北緯35.0777722度 東経136.5875222度﻿ /35.0777722; 136.5875222","地上駅","2005年（平成17年）3月26日","1面2線","","トイン","","","504人/日（降車客含まず）-2019年-","","","","","","",""
