"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"奈井江駅","奈井江駅（ないええき）","https://ja.wikipedia.org/wiki/奈井江駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯43度25分25秒東経141度53分20.2秒","■函館本線","354.3 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1891年（明治24年）7月5日","2面3線","北海道空知郡奈井江町本町北緯43度25分25秒東経141度53分20.2秒","簡易委託駅[1][2]","ナイ","","○A18","478人/日-2018年-","","","","","","",""
"撫牛子駅","撫牛子駅（ないじょうしえき）","https://ja.wikipedia.org/wiki/撫牛子駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■奥羽本線（■五能線直通含む）","449.8 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1935年（昭和10年）4月15日[1]","2面2線[1]","","無人駅（自動券売機 有）[1]","ナヨ","","","","","","","","","",""
"苗穂駅","苗穂駅（なえぼえき）","https://ja.wikipedia.org/wiki/苗穂駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯43度04分06.8874秒東経141度22分23.9262秒","■函館本線","288.2 km（函館起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）","地上駅（橋上駅）","1910年（明治43年）5月16日","2面4線","札幌市中央区北3条東11丁目[注釈 1]北緯43度04分06.8874秒東経141度22分23.9262秒﻿ / ﻿北緯43.068579833度 東経141.373312833度﻿ /43.068579833; 141.373312833﻿ (苗穂駅)","札幌市内駅直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1]","ナホ","5,200人/日（降車客含まず）-2019年-","○H02","","","","","","","",""
"直江駅","直江駅（なおええき）","https://ja.wikipedia.org/wiki/直江駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度23分1.73秒東経132度48分27.5秒","D山陰本線","379.1 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1910年（明治43年）10月10日","2面3線","島根県出雲市斐川町上直江1100北緯35度23分1.73秒東経132度48分27.5秒﻿ / ﻿北緯35.3838139度 東経132.807639度﻿ /35.3838139; 132.807639﻿ (直江駅)","無人駅（自動券売機 有）","ナオ","432人/日（降車客含まず）-2018年-","","","","","","","","",""
"直江津駅","直江津駅（なおえつえき）","https://ja.wikipedia.org/wiki/直江津駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯37度10分15.80秒東経138度14分35.17秒","■妙高はねうまライン","37.7km（妙高高原起点）長野から75.0 km","えちごトキめき鉄道東日本旅客鉄道（JR東日本）","地上駅[1]（橋上駅）","1886年（明治19年）8月15日[1]","3面6線[1]","新潟県上越市東町[1]1-1北緯37度10分15.80秒東経138度14分35.17秒﻿ / ﻿北緯37.1710556度 東経138.2431028度﻿ /37.1710556; 138.2431028座標:北緯37度10分15.80秒東経138度14分35.17秒﻿ / ﻿北緯37.1710556度 東経138.2431028度﻿ /37.1710556; 138.2431028","共同使用駅（えちごトキめき鉄道の管轄駅）直営駅（管理駅）ただし、JR東日本は業務委託駅みどりの窓口有","ナホ","（JR東日本）-2019年-2,054人/日（降車客含まず）（えちごトキめき鉄道）-2019年-1,518人/日（降車客含まず）","","","","","","","","",""
"直川駅","直川駅（なおかわえき）","https://ja.wikipedia.org/wiki/直川駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度53分55.55秒東経131度46分46.58秒","■日豊本線","213.6 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1920年（大正9年）11月20日[1]","1面2線[1]","大分県佐伯市直川大字上直見[1]北緯32度53分55.55秒東経131度46分46.58秒","無人駅[1]","ナカコル（神原駅時代）","15人/日（降車客含まず）-2015年-","","31人/日-2015年-","","","","","","",""
"直見駅","直見駅（なおみえき）","https://ja.wikipedia.org/wiki/直見駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯32度55分41.53秒東経131度48分27.64秒","■日豊本線","208.8 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1920年（大正9年）11月20日[1]","1面2線[1]","大分県佐伯市直川大字下直見[1]北緯32度55分41.53秒東経131度48分27.64秒","無人駅[1]","ナミ","4人/日（降車客含まず）-2015年-","","9人/日-2015年-","","","","","","",""
"那加駅","那加駅（なかえき）","https://ja.wikipedia.org/wiki/那加駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度24分2秒東経136度50分9秒","CG高山本線","7.2 km（岐阜起点）","東海旅客鉄道（JR東海）","地上駅","1920年（大正9年）11月1日[1]","2面2線[1]","岐阜県各務原市那加本町49-1北緯35度24分2秒東経136度50分9秒","無人駅[1]","ナカ","1,277人/日（降車客含まず）-2019年-","CG  02 ","","新那加駅（名鉄各務原線）","","","","","",""
"中愛別駅","中愛別駅（なかあいべつえき）","https://ja.wikipedia.org/wiki/中愛別駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯43度53分46.26秒東経142度39分19.75秒","■石北本線","32.0 km（新旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1923年（大正12年）11月15日","2面2線","北海道上川郡愛別町字中央北緯43度53分46.26秒東経142度39分19.75秒","無人駅","ナア","","○A39","16人/日-2014年-","","","","","","",""
"中荒井駅","中荒井駅（なかあらいえき）","https://ja.wikipedia.org/wiki/中荒井駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","会津線","45.8 km（西若松起点）","会津鉄道","地上駅","1947年（昭和22年）12月12日[1]","1面1線","","","ナア","11人/日（降車客含まず）-2015年-","","","","","","","","",""
"中井駅","中井駅（なかいえき）","https://ja.wikipedia.org/wiki/中井駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","西武鉄道（駅詳細）東京都交通局（駅詳細）","","","","東京都新宿区","","","","","","","","","","","",""
"長井駅","長井駅（ながいえき・山形鉄道フラワー長井線）","https://ja.wikipedia.org/wiki/長井駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度6分25秒東経140度2分1.6秒","フラワー長井線","18.3 km（赤湯起点）","山形鉄道","地上駅","1914年（大正3年）11月15日","1面2線","山形県長井市栄町北緯38度6分25秒東経140度2分1.6秒座標:北緯38度6分25秒 東経140度2分1.6秒","","ナイ←ナヰ","268人/日（降車客含まず）-2017年-","","","","","","","","",""
