"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"新井駅 (兵庫県)","新井駅 (兵庫県)（にいえき・西日本旅客鉄道播但線）","https://ja.wikipedia.org/wiki/新井駅_(兵庫県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度14分11.89秒東経134度47分42.65秒","J播但線","51.9 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1901年（明治34年）8月29日[1]","兵庫県朝来市新井字中川原588-2[1]北緯35度14分11.89秒東経134度47分42.65秒﻿ / ﻿北緯35.2366361度 東経134.7951806度﻿ /35.2366361; 134.7951806座標:北緯35度14分11.89秒東経134度47分42.65秒﻿ / ﻿北緯35.2366361度 東経134.7951806度﻿ /35.2366361; 134.7951806","2面2線[1]","簡易委託駅[1]","","ニイ","132人/日（降車客含まず）-2016年-","","","","","","","",""
"新居駅","新居駅（にいえき・伊賀鉄道伊賀線）","https://ja.wikipedia.org/wiki/新居駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度47分12.54秒東経136度6分57.72秒","伊賀線","0.8 km（伊賀上野起点）","伊賀鉄道","地上駅","1916年（大正5年）8月8日","三重県伊賀市東高倉北緯34度47分12.54秒東経136度6分57.72秒﻿ / ﻿北緯34.7868167度 東経136.1160333度﻿ /34.7868167; 136.1160333座標:北緯34度47分12.54秒東経136度6分57.72秒﻿ / ﻿北緯34.7868167度 東経136.1160333度﻿ /34.7868167; 136.1160333","1面1線","","","","50人/日（降車客含まず）-2019年-","","","","","","","",""
"新潟駅","新潟駅（にいがたえき）","https://ja.wikipedia.org/wiki/新潟駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度54分43.3秒東経139度3分42.8秒","上越新幹線","303.6 km（大宮起点）東京から333.9 km","東日本旅客鉄道（JR東日本）","高架駅（新幹線・在来線2 - 5番ホーム）地上駅*（在来線8・9番ホーム）","1904年（明治37年）5月3日[1]","新潟市中央区花園一丁目1-1北緯37度54分43.3秒東経139度3分42.8秒﻿ / ﻿北緯37.912028度 東経139.061889度﻿ /37.912028; 139.061889座標:北緯37度54分43.3秒東経139度3分42.8秒﻿ / ﻿北緯37.912028度 東経139.061889度﻿ /37.912028; 139.061889","高架 5面8線**地上 1面2線※新幹線 3面4線、在来線 4面6線（地上1面2線、高架3面4線）","直営駅（管理駅）みどりの窓口有","","ニイ","36,398人/日（降車客含まず）-2019年-","","","","","","","",""
"新潟貨物ターミナル駅","新潟貨物ターミナル駅（にいがたかもつターミナルえき）","https://ja.wikipedia.org/wiki/新潟貨物ターミナル駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度54分36.4秒東経139度6分28.6秒","白新線","5.0 km（新潟起点）","日本貨物鉄道（JR貨物）","地上駅","1987年（昭和62年）3月31日","新潟市東区中島字八反田401-1北緯37度54分36.4秒東経139度6分28.6秒﻿ / ﻿北緯37.910111度 東経139.107944度﻿ /37.910111; 139.107944座標:北緯37度54分36.4秒東経139度6分28.6秒﻿ / ﻿北緯37.910111度 東経139.107944度﻿ /37.910111; 139.107944","","貨物専用駅","","ニソ","","","","","","","","",""
"新潟大学前駅","新潟大学前駅（にいがただいがくまええき）","https://ja.wikipedia.org/wiki/新潟大学前駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度52分9.45秒東経138度57分16.96秒","■越後線","72.3 km（柏崎起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1984年（昭和59年）4月8日[1]","新潟市西区坂井砂山[1]四丁目15-20北緯37度52分9.45秒東経138度57分16.96秒座標:北緯37度52分9.45秒 東経138度57分16.96秒","1面1線[1]","業務委託駅","","シン","3,034人/日（降車客含まず）-2019年-","","","","","","","",""
"新座駅","新座駅（にいざえき）","https://ja.wikipedia.org/wiki/新座駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度48分13.85秒東経139度33分22.91秒","■武蔵野線","48.5 km（鶴見起点）府中本町から19.7 km","東日本旅客鉄道（JR東日本）","高架駅","1973年（昭和48年）4月1日[1]","埼玉県新座市野火止五丁目[1]3-11北緯35度48分13.85秒東経139度33分22.91秒﻿ / ﻿北緯35.8038472度 東経139.5563639度﻿ /35.8038472; 139.5563639﻿ (新座駅)","2面2線","業務委託駅","JM29","イサ","21,213人/日（降車客含まず）-2019年-","","","","","","","",""
"新座貨物ターミナル駅","新座貨物ターミナル駅（にいざかもつターミナルえき）","https://ja.wikipedia.org/wiki/新座貨物ターミナル駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度48分12.41秒東経139度33分12.16秒","武蔵野線","48.2 km（鶴見起点）","日本貨物鉄道（JR貨物）","地上駅","1973年（昭和48年）4月1日","埼玉県新座市大和田2丁目1-9東京都清瀬市北緯35度48分12.41秒東経139度33分12.16秒﻿ / ﻿北緯35.8034472度 東経139.5533778度﻿ /35.8034472; 139.5533778﻿ (新座貨物ターミナル駅)座標:北緯35度48分12.41秒東経139度33分12.16秒﻿ / ﻿北緯35.8034472度 東経139.5533778度﻿ /35.8034472; 139.5533778﻿ (新座貨物ターミナル駅)","","貨物専用駅","","イタ","","","","","","","","",""
"新崎駅","新崎駅（にいざきえき）","https://ja.wikipedia.org/wiki/新崎駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度55分21.2秒東経139度9分29.7秒","■白新線","9.6 km（新潟起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅（橋上駅）[1]","1956年（昭和31年）4月15日[1]","新潟市北区新崎[1]一丁目12-38北緯37度55分21.2秒東経139度9分29.7秒座標:北緯37度55分21.2秒 東経139度9分29.7秒","2面3線[1]","業務委託駅みどりの窓口有[1]","","ニサ","1,280人/日（降車客含まず）-2019年-","","","","","","","",""
"新里駅 (群馬県)","新里駅 (群馬県)（にいさとえき・上毛電気鉄道上毛線）","https://ja.wikipedia.org/wiki/新里駅_(群馬県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度25分6.92秒東経139度14分15.82秒","■上毛線","15.8 km（中央前橋起点）","上毛電気鉄道","地上駅","1928年（昭和3年）11月10日","群馬県桐生市新里町小林126-1北緯36度25分6.92秒東経139度14分15.82秒﻿ / ﻿北緯36.4185889度 東経139.2377278度﻿ /36.4185889; 139.2377278﻿ (新里駅)座標:北緯36度25分6.92秒東経139度14分15.82秒﻿ / ﻿北緯36.4185889度 東経139.2377278度﻿ /36.4185889; 139.2377278﻿ (新里駅)","2面2線","1948年（昭和23年） 現在地に移転武井駅から改称","","","","371人/日-2019年（令和元年）-","","","","","","",""
"新郷駅 (岡山県)","新郷駅 (岡山県)（にいざとえき・西日本旅客鉄道伯備線）","https://ja.wikipedia.org/wiki/新郷駅_(岡山県)","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度4分55.51秒東経133度22分4.03秒","V伯備線","82.8km（倉敷起点）岡山から98.7 km","西日本旅客鉄道（JR西日本）","地上駅（盛土上）","1953年（昭和28年）12月15日","岡山県新見市神郷釜村696-2北緯35度4分55.51秒東経133度22分4.03秒﻿ / ﻿北緯35.0820861度 東経133.3677861度﻿ /35.0820861; 133.3677861﻿ (新郷駅)","2面2線","無人駅","","ニサ","6人/日（降車客含まず）-2019年-","","","","","","","",""
