"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","種類","本社所在地","設立","業種","法人番号","事業内容"
"糠沢駅","糠沢駅（ぬかざわえき）","https://ja.wikipedia.org/wiki/糠沢駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯40度15分3.93秒東経140度23分52.17秒","■奥羽本線","388.1 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）12月3日[1]","2面2線[1]","秋田県北秋田市綴子字下谷地[1]北緯40度15分3.93秒東経140度23分52.17秒座標:北緯40度15分3.93秒 東経140度23分52.17秒","無人駅[1]","ヌサ","","","","","","","","","",""
"額住宅前駅","額住宅前駅（ぬかじゅうたくまええき）","https://ja.wikipedia.org/wiki/額住宅前駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度31分5.92秒東経136度37分8.03秒","■石川線","6.1 km（野町起点）","北陸鉄道","地上駅","1915年（大正4年）6月22日","島式 1面2線","石川県金沢市額新町1丁目20北緯36度31分5.92秒東経136度37分8.03秒﻿ / ﻿北緯36.5183111度 東経136.6188972度﻿ /36.5183111; 136.6188972座標:北緯36度31分5.92秒東経136度37分8.03秒﻿ / ﻿北緯36.5183111度 東経136.6188972度﻿ /36.5183111; 136.6188972","","","","○I08","357人/日-2017年-","","","","","","",""
"額田駅 (大阪府)","額田駅 (大阪府)（ぬかたえき・近畿日本鉄道奈良線）","https://ja.wikipedia.org/wiki/額田駅_(大阪府)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度40分32.45秒東経135度39分4.89秒","A奈良線","9.0km（布施起点）大阪難波から15.1 km","近畿日本鉄道（近鉄）","地上駅","1920年（大正9年）7月13日","2面2線","大阪府東大阪市山手町2-10北緯34度40分32.45秒東経135度39分4.89秒﻿ / ﻿北緯34.6756806度 東経135.6513583度﻿ /34.6756806; 135.6513583座標:北緯34度40分32.45秒東経135度39分4.89秒﻿ / ﻿北緯34.6756806度 東経135.6513583度﻿ /34.6756806; 135.6513583","","ヌカタ",""," A15 ","3,490人/日-2018年-","","","","","","",""
"額田駅 (茨城県)","額田駅 (茨城県)（ぬかだえき・東日本旅客鉄道水郡線）","https://ja.wikipedia.org/wiki/額田駅_(茨城県)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■水郡線（常陸太田支線）","3.6 km（上菅谷起点）水戸から13.7 km","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）11月16日","1面1線","","無人駅","ヌカ","","","","","","","","","",""
"糠南駅","糠南駅（ぬかなんえき）","https://ja.wikipedia.org/wiki/糠南駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯44度55分14.3秒東経142度0分2.8秒","■宗谷本線","178.0 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1955年（昭和30年）12月2日","1面1線","北海道天塩郡幌延町字問寒別北緯44度55分14.3秒東経142度0分2.8秒﻿ / ﻿北緯44.920639度 東経142.000778度﻿ /44.920639; 142.000778﻿ (糠南駅)座標:北緯44度55分14.3秒東経142度0分2.8秒﻿ / ﻿北緯44.920639度 東経142.000778度﻿ /44.920639; 142.000778﻿ (糠南駅)","無人駅","ヌナ","","○W67","","","","","","","",""
"温田駅","温田駅（ぬくたえき）","https://ja.wikipedia.org/wiki/温田駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度20分11.20秒東経137度50分28.98秒","CD飯田線","102.2 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1935年（昭和10年）11月15日[1]","1面2線[1]","長野県下伊那郡泰阜村温田[1]北緯35度20分11.20秒東経137度50分28.98秒﻿ / ﻿北緯35.3364444度 東経137.8413833度﻿ /35.3364444; 137.8413833座標:北緯35度20分11.20秒東経137度50分28.98秒﻿ / ﻿北緯35.3364444度 東経137.8413833度﻿ /35.3364444; 137.8413833","駅員無配置駅[1]標高：340m[1]","ヌク[1]","225人/日（降車客含まず）-2018年-","","","","","","","","",""
"生見駅","生見駅（ぬくみえき）","https://ja.wikipedia.org/wiki/生見駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯31度18分25.97秒東経130度34分39.85秒","指宿枕崎線","35.0 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","地上駅","1934年（昭和9年）12月19日","1面2線","鹿児島県鹿児島市喜入生見町2797北緯31度18分25.97秒東経130度34分39.85秒","無人駅","ヌク","69人/日（降車客含まず）-2015年-","","144人/日-2015年-","","","","","","",""
"抜里駅","抜里駅（ぬくりえき）","https://ja.wikipedia.org/wiki/抜里駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度57分12.21秒東経138度5分15.58秒","大井川本線","18.8 km（金谷起点）","大井川鐵道","地上駅","1930年（昭和5年）7月16日","単式 1面1線","静岡県島田市川根町抜里北緯34度57分12.21秒東経138度5分15.58秒﻿ / ﻿北緯34.9533917度 東経138.0876611度﻿ /34.9533917; 138.0876611座標:北緯34度57分12.21秒東経138度5分15.58秒﻿ / ﻿北緯34.9533917度 東経138.0876611度﻿ /34.9533917; 138.0876611","無人駅","","9人/日（降車客含まず）-2019年-","","19人/日-2019年-","","","","","","",""
"布市駅","布市駅（ぬのいちえき）","https://ja.wikipedia.org/wiki/布市駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度38分43.3秒東経137度14分7.3秒","■上滝線","3.2 km（南富山起点）","富山地方鉄道","地上駅","1921年（大正10年）4月25日","単式1面1線","富山県富山市布市747北緯36度38分43.3秒東経137度14分7.3秒﻿ / ﻿北緯36.645361度 東経137.235361度﻿ /36.645361; 137.235361﻿ (布市駅)座標:北緯36度38分43.3秒東経137度14分7.3秒﻿ / ﻿北緯36.645361度 東経137.235361度﻿ /36.645361; 137.235361﻿ (布市駅)","無人駅","","124人/日（降車客含まず）-2019年-","T65","256人/日-2019年-","","","","","","",""
"布崎駅","布崎駅（ぬのざきえき）","https://ja.wikipedia.org/wiki/布崎駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度27分0.89秒東経132度51分18秒","北松江線","14.5 km（電鉄出雲市起点）","一畑電車","地上駅","1915年（大正4年）2月4日","1面1線","島根県出雲市園町北緯35度27分0.89秒東経132度51分18秒座標:北緯35度27分0.89秒 東経132度51分18秒","無人駅","","65人/日（降車客含まず）-2018年-","10","139人/日-2018年-","","","","","","",""
