"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"獅子吼高原","パーク獅子吼駅（パークししくえき）","https://ja.wikipedia.org/wiki/獅子吼高原#パーク獅子吼","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","石川県白山市八幡町","","","","","","","","600 m - 535 m","65 m","350 m","13度","2本"
"ハーバーランド駅","ハーバーランド駅","https://ja.wikipedia.org/wiki/ハーバーランド駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度40分42.73秒東経135度10分43.36秒","海岸線","5.6 km（新長田起点）","神戸市交通局（神戸市営地下鉄）","地下駅[1]","2001年（平成13年）7月7日[1]","1面2線[1]","神戸市中央区東川崎町一丁目[1]北緯34度40分42.73秒東経135度10分43.36秒﻿ / ﻿北緯34.6785361度 東経135.1787111度﻿ /34.6785361; 135.1787111﻿ (ハーバーランド駅)座標:北緯34度40分42.73秒東経135度10分43.36秒﻿ / ﻿北緯34.6785361度 東経135.1787111度﻿ /34.6785361; 135.1787111﻿ (ハーバーランド駅)",""," K04 ","","7,951人/日（降車客含まず）-2019年-","","西日本旅客鉄道（JR西日本）神戸駅[1]阪神電気鉄道・阪急電鉄高速神戸駅[1]","","","","","",""
"神戸布引ロープウェイ","ハーブ園山頂駅（ハーブえんさんちょうえき）","https://ja.wikipedia.org/wiki/神戸布引ロープウェイ","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神戸布引ロープウェイ","ハーブ園山麓駅（ハーブえんさんろくえき）","https://ja.wikipedia.org/wiki/神戸布引ロープウェイ","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ハーモニーホール駅","ハーモニーホール駅","https://ja.wikipedia.org/wiki/ハーモニーホール駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度0分50秒東経136度12分19秒","福武線","13.8 km（越前武生駅起点）","福井鉄道","地上駅","1997年（平成9年）9月20日[1][2][3]","1面1線","福井県福井市今市町37字板取16北緯36度0分50秒東経136度12分19秒﻿ / ﻿北緯36.01389度 東経136.20528度﻿ /36.01389; 136.20528座標:北緯36度0分50秒東経136度12分19秒﻿ / ﻿北緯36.01389度 東経136.20528度﻿ /36.01389; 136.20528","無人駅","○F13","","","51人/日-2019年-","","","","","","",""
"早岐駅","早岐駅（はいきえき）","https://ja.wikipedia.org/wiki/早岐駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度8分0.19秒東経129度47分56.54秒","■佐世保線","39.9 km（肥前山口起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1897年（明治30年）7月10日","2面4線","長崎県佐世保市早岐一丁目93北緯33度8分0.19秒東経129度47分56.54秒﻿ / ﻿北緯33.1333861度 東経129.7990389度﻿ /33.1333861; 129.7990389﻿ (早岐駅)","直営駅みどりの窓口有","","ハイ","1,685人/日（降車客含まず）-2019年-","","","","","","","",""
"拝島駅","拝島駅（はいじまえき）","https://ja.wikipedia.org/wiki/拝島駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）日本貨物鉄道（JR貨物）西武鉄道（駅詳細）","","","","東京都昭島市","","","","","","","","","","","",""
"梅津寺駅","梅津寺駅（ばいしんじえき）","https://ja.wikipedia.org/wiki/梅津寺駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度52分29.91秒東経132度42分26.76秒","高浜線","1.2 km（高浜起点）","伊予鉄道","地上駅","1899年（明治32年）7月6日（臨時駅として）1931年（昭和6年）5月1日（常設化）","2面2線","愛媛県松山市梅津寺町北緯33度52分29.91秒東経132度42分26.76秒﻿ / ﻿北緯33.8749750度 東経132.7074333度﻿ /33.8749750; 132.7074333﻿ (梅津寺駅)","","●IY02","","","337[1]人/日-2019年-","","","","","","",""
"羽犬塚駅","羽犬塚駅（はいぬづかえき）","https://ja.wikipedia.org/wiki/羽犬塚駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度12分37.28秒東経130度29分53.11秒","JB鹿児島本線","126.1 km（門司港起点）","九州旅客鉄道（JR九州）","地上駅","1891年（明治24年）4月1日[1]","2面3線[1]","福岡県筑後市大字山ノ井178-3[1][2]北緯33度12分37.28秒東経130度29分53.11秒﻿ / ﻿北緯33.2103556度 東経130.4980861度﻿ /33.2103556; 130.4980861﻿ (羽犬塚駅)","業務委託駅[2]みどりの窓口有[1]","JB  20 ","ハヌ","2,955人/日（降車客含まず）-2019年-","","","","","","","",""
"榛原駅","榛原駅（はいばらえき）","https://ja.wikipedia.org/wiki/榛原駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度31分47.55秒東経135度57分16.98秒","D大阪線","50.1 km（大阪上本町起点）","近畿日本鉄道（近鉄）","地上駅（橋上駅）","1930年（昭和5年）2月21日","3面5線","奈良県宇陀市榛原萩原2426北緯34度31分47.55秒東経135度57分16.98秒﻿ / ﻿北緯34.5298750度 東経135.9547167度﻿ /34.5298750; 135.9547167座標:北緯34度31分47.55秒東経135度57分16.98秒﻿ / ﻿北緯34.5298750度 東経135.9547167度﻿ /34.5298750; 135.9547167",""," D45 ","ハイ","4,899人/日（降車客含まず）-2018年-","","","","","","","",""
