"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗車人員,-統計年次-","乗降人員,-統計年次-","住所","公式サイト","所有者","総支配人"
"日宇駅","日宇駅（ひうえき）","https://ja.wikipedia.org/wiki/日宇駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯33度9分26.57秒東経129度45分29.03秒","■佐世保線（■大村線直通含む）","45.5 km（肥前山口起点）","九州旅客鉄道（JR九州）","1910年（明治43年）12月26日","地上駅","1面2線","長崎県佐世保市日宇町682-7北緯33度9分26.57秒東経129度45分29.03秒﻿ / ﻿北緯33.1573806度 東経129.7580639度﻿ /33.1573806; 129.7580639﻿ (日宇駅)","無人駅（自動券売機 有）","ヒウ","419人/日（降車客含まず）-2019年-","","","","","","","","",""
"緋牛内駅","緋牛内駅（ひうしないえき）","https://ja.wikipedia.org/wiki/緋牛内駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯43度52分49.95秒東経143度59分58.38秒","■石北本線","194.6 km（新旭川起点）","北海道旅客鉄道（JR北海道）","1912年（大正元年）10月5日","地上駅","2面2線","北海道北見市端野町緋牛内北緯43度52分49.95秒東経143度59分58.38秒","無人駅","ヒウ","","○A64","12人/日-2014年-","","","","","","",""
"比延駅","比延駅（ひええき）","https://ja.wikipedia.org/wiki/比延駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度59分18.44秒東経134度59分44.66秒","I加古川線","34.6 km（加古川起点）","西日本旅客鉄道（JR西日本）","1924年（大正13年）12月27日","地上駅","1面1線","兵庫県西脇市鹿野町189北緯34度59分18.44秒東経134度59分44.66秒﻿ / ﻿北緯34.9884556度 東経134.9957389度﻿ /34.9884556; 134.9957389﻿ (比延駅)","無人駅","ヒエ","13人/日（降車客含まず）-2019年-","","","","","","","","",""
"美瑛駅","美瑛駅（びえいえき）","https://ja.wikipedia.org/wiki/美瑛駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯43度35分27.78秒東経142度27分42.41秒","■富良野線","23.8 km（旭川起点）","北海道旅客鉄道（JR北海道）","1899年（明治32年）9月1日","地上駅","2面2線","北海道上川郡美瑛町本町1丁目1北緯43度35分27.78秒東経142度27分42.41秒﻿ / ﻿北緯43.5910500度 東経142.4617806度﻿ /43.5910500; 142.4617806﻿ (美瑛駅)","社員配置駅みどりの窓口 有","ヒイ","473人/日（降車客含まず）-2019年-","○F37","","","","","","","",""
"比叡山坂本駅","比叡山坂本駅（ひえいざんさかもとえき）","https://ja.wikipedia.org/wiki/比叡山坂本駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯35度4分13.66秒東経135度52分41.76秒","B湖西線","11.1km（山科起点）京都から16.6 km","西日本旅客鉄道（JR西日本）","1974年（昭和49年）7月20日","高架駅","1面2線","滋賀県大津市坂本三丁目31-47北緯35度4分13.66秒東経135度52分41.76秒﻿ / ﻿北緯35.0704611度 東経135.8782667度﻿ /35.0704611; 135.8782667座標:北緯35度4分13.66秒東経135度52分41.76秒﻿ / ﻿北緯35.0704611度 東経135.8782667度﻿ /35.0704611; 135.8782667","業務委託駅みどりの券売機プラス設置駅*1994年に叡山駅から改称。","エサ","5,630人/日（降車客含まず）-2019年-","JR-B27","","","","","","","",""
"叡山ロープウェイ","比叡山頂駅（ひえいさんちょうえき）","https://ja.wikipedia.org/wiki/叡山ロープウェイ","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日岡駅","日岡駅（ひおかえき）","https://ja.wikipedia.org/wiki/日岡駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度46分43.31秒東経134度51分26.62秒","I加古川線","2.3 km（加古川起点）","西日本旅客鉄道（JR西日本）","1913年（大正2年）4月1日","地上駅","2面2線","兵庫県加古川市加古川町大野1185北緯34度46分43.31秒東経134度51分26.62秒﻿ / ﻿北緯34.7786972度 東経134.8573944度﻿ /34.7786972; 134.8573944﻿ (日岡駅)","無人駅（自動券売機 有）","ヒオ","635人/日（降車客含まず）-2019年-","","","","","","","","",""
"東相内駅","東相内駅（ひがしあいのないえき）","https://ja.wikipedia.org/wiki/東相内駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯43度48分19.65秒東経143度48分36.58秒","■石北本線","173.7 km（新旭川起点）","北海道旅客鉄道（JR北海道）","1912年（大正元年）11月18日","地上駅","2面2線","北海道北見市東相内町北緯43度48分19.65秒東経143度48分36.58秒","無人駅","ヒノ","","○A58","256人/日-2014年-","","","","","","",""
"東青原駅","東青原駅（ひがしあおはらえき）","https://ja.wikipedia.org/wiki/東青原駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯34度35分6.09秒東経131度47分50.62秒","■山口線","80.6 km（新山口起点）","西日本旅客鉄道（JR西日本）","1961年（昭和36年）4月1日","地上駅","1面1線","島根県鹿足郡津和野町添谷北緯34度35分6.09秒東経131度47分50.62秒﻿ / ﻿北緯34.5850250度 東経131.7973944度﻿ /34.5850250; 131.7973944座標:北緯34度35分6.09秒東経131度47分50.62秒﻿ / ﻿北緯34.5850250度 東経131.7973944度﻿ /34.5850250; 131.7973944","無人駅","ヒア","12人/日（降車客含まず）-2018年-","","","","","","","","",""
"東青森駅","東青森駅（ひがしあおもりえき）","https://ja.wikipedia.org/wiki/東青森駅","日本の鉄道駅一覧_ひ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ひ","箇条書き,制限あり","北緯40度48分37.25秒東経140度46分55.70秒","■青い森鉄道線","116.1km（目時起点）東京から733.4 km","青い森鉄道日本貨物鉄道（JR貨物）","1968年（昭和43年）7月21日","地上駅","1面2線","青森県青森市大字古館14-3北緯40度48分37.25秒東経140度46分55.70秒座標:北緯40度48分37.25秒 東経140度46分55.70秒","無人駅（自動券売機有）JR貨物:駅長、助役配置","ヒア","-2016年- 536人/日（降車客含まず）","","-2017年- 1,314人/日","","","","","","",""
