"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"ファミリー公園前駅","ファミリー公園前駅（ファミリーこうえんまええき）","https://ja.wikipedia.org/wiki/ファミリー公園前駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度35分52.92秒東経135度47分5.54秒","B橿原線","10.9km（大和西大寺起点）京都から45.5 km","近畿日本鉄道（近鉄）","地上駅（盛土上）","1979年（昭和54年）7月1日","2面2線","奈良県大和郡山市宮堂字毘沙門339-2北緯34度35分52.92秒東経135度47分5.54秒﻿ / ﻿北緯34.5980333度 東経135.7848722度﻿ /34.5980333; 135.7848722座標:北緯34度35分52.92秒東経135度47分5.54秒﻿ / ﻿北緯34.5980333度 東経135.7848722度﻿ /34.5980333; 135.7848722","無人駅"," B33 ","フアミ","338人/日（降車客含まず）-2018年-","","","","","","","",""
"風連駅","風連駅（ふうれんえき）","https://ja.wikipedia.org/wiki/風連駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯44度17分32秒東経142度25分17秒","■宗谷本線","68.1 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）9月3日","2面2線","北海道名寄市風連町本町北緯44度17分32秒東経142度25分17秒","無人駅","○W46","フレ","","42人/日-2014年-","","","","","","",""
"フェリーターミナル駅","フェリーターミナル駅","https://ja.wikipedia.org/wiki/フェリーターミナル駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度37分9.68秒東経135度26分5.61秒","●南港ポートタウン線（ニュートラム）","4.0 km（コスモスクエア起点）","大阪市高速電気軌道(Osaka Metro)","高架駅","1981年（昭和56年）3月16日","1面2線","大阪市住之江区南港東4丁目8-52北緯34度37分9.68秒東経135度26分5.61秒﻿ / ﻿北緯34.6193556度 東経135.4348917度﻿ /34.6193556; 135.4348917座標:北緯34度37分9.68秒東経135度26分5.61秒﻿ / ﻿北緯34.6193556度 東経135.4348917度﻿ /34.6193556; 135.4348917",""," P14 ","","1,523人/日（降車客含まず）-2020年-","3,188人/日-2020年-","","","","","","",""
"深井駅","深井駅（ふかいえき）","https://ja.wikipedia.org/wiki/深井駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度31分48.9秒東経135度29分50.8秒","■泉北高速鉄道線","3.7km（中百舌鳥起点）難波から17.1 km","泉北高速鉄道","高架駅","1971年（昭和46年）4月1日","島式 1面2線","堺市中区深井沢町3290北緯34度31分48.9秒東経135度29分50.8秒﻿ / ﻿北緯34.530250度 東経135.497444度﻿ /34.530250; 135.497444座標:北緯34度31分48.9秒東経135度29分50.8秒﻿ / ﻿北緯34.530250度 東経135.497444度﻿ /34.530250; 135.497444","","SB 02","フカ","","","","26,156人/日-2019年-","","","","",""
"深浦駅","深浦駅（ふかうらえき）","https://ja.wikipedia.org/wiki/深浦駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■五能線","66.9 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）12月13日","1面2線","","業務委託駅みどりの窓口有","","フウ","58人/日（降車客含まず）-2019年-","","","","","","","",""
"深江駅 (兵庫県)","深江駅（ふかええき）","https://ja.wikipedia.org/wiki/深江駅_(兵庫県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","本線","21.5 km（大阪梅田起点）","阪神電気鉄道","高架駅","1905年（明治38年）4月12日[1]","2面2線[1]","","","HS21","","（全日）8,984人/日（降車客含まず）（11月平均）9,098人/日（降車客含まず）-2019年-","（11月平均）18,277人/日-2019年-","","","","","","",""
"深江橋駅","深江橋駅（ふかえばしえき）","https://ja.wikipedia.org/wiki/深江橋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度40分44.73秒東経135度33分25.87秒","●中央線","14.7 km（コスモスクエア起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1968年（昭和43年）7月29日","2面2線","大阪市東成区深江北一丁目1-21北緯34度40分44.73秒東経135度33分25.87秒﻿ / ﻿北緯34.6790917度 東経135.5571861度﻿ /34.6790917; 135.5571861﻿ (深江橋駅)座標:北緯34度40分44.73秒東経135度33分25.87秒﻿ / ﻿北緯34.6790917度 東経135.5571861度﻿ /34.6790917; 135.5571861﻿ (深江橋駅)",""," C21 ","","10,464人/日（降車客含まず）-2020年-","20,405人/日-2020年-","","","","","","",""
"深川駅","深川駅（ふかがわえき）","https://ja.wikipedia.org/wiki/深川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度43分16秒東経142度2分30秒","■函館本線","392.9 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1898年（明治31年）7月16日","3面4線","北海道深川市1条9番4号北緯43度43分16秒東経142度2分30秒","直営駅（管理駅）みどりの窓口有","○A24","フカ","1,041人/日（降車客含まず）-2019年-","","","","","","","",""
"深田駅","深田駅（ふかたえき）","https://ja.wikipedia.org/wiki/深田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度16分3.60秒東経132度39分37.59秒","■予土線","62.5 km（若井起点）","四国旅客鉄道（JR四国）","地上駅","1914年（大正3年）10月18日","1面1線","愛媛県北宇和郡鬼北町内深田北緯33度16分3.60秒東経132度39分37.59秒﻿ / ﻿北緯33.2676667度 東経132.6604417度﻿ /33.2676667; 132.6604417座標:北緯33度16分3.60秒東経132度39分37.59秒﻿ / ﻿北緯33.2676667度 東経132.6604417度﻿ /33.2676667; 132.6604417","無人駅","○G41","フカ","","12人/日-2018年-","","","","","","",""
"深戸駅","深戸駅（ふかどえき）","https://ja.wikipedia.org/wiki/深戸駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度41分10.95秒東経136度57分45.55秒","越美南線","38.5 km（美濃太田起点）","長良川鉄道","地上駅","1928年5月6日[1]","1面1線","岐阜県郡上市美並町三戸北緯35度41分10.95秒東経136度57分45.55秒﻿ / ﻿北緯35.6863750度 東経136.9626528度﻿ /35.6863750; 136.9626528座標:北緯35度41分10.95秒東経136度57分45.55秒﻿ / ﻿北緯35.6863750度 東経136.9626528度﻿ /35.6863750; 136.9626528","無人駅","23","フカ","11人/日（降車客含まず）-2015年-","","","","","","","",""
