"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","正式名称","愛称","専門分野"
"Wikipedia:ウィキプロジェクト 鉄道","駅の記事のフォーマットについては、ウィキプロジェクト 鉄道をご覧になるか、すでに投稿されている記事を参考にして下さい。","https://ja.wikipedia.org/wiki/Wikipedia:ウィキプロジェクト_鉄道","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","","","","","","","","","","","","","JY","","","",""
"舞岡駅","舞岡駅（まいおかえき）","https://ja.wikipedia.org/wiki/舞岡駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度24分9.3秒東経139度33分5.5秒","■ブルーライン（1号線）","9.0 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","横浜市戸塚区舞岡町771番地[1]北緯35度24分9.3秒東経139度33分5.5秒﻿ / ﻿北緯35.402583度 東経139.551528度﻿ /35.402583; 139.551528﻿ (舞岡駅)座標:北緯35度24分9.3秒東経139度33分5.5秒﻿ / ﻿北緯35.402583度 東経139.551528度﻿ /35.402583; 139.551528﻿ (舞岡駅)","地下駅","1985年（昭和60年）3月14日","2面2線","業務委託駅（京王設備サービス）","","B07","2,893人/日（降車客含まず）-2019年-","5,667人/日-2019年-","","","","","","",""
"舞子駅","舞子駅（まいこえき）","https://ja.wikipedia.org/wiki/舞子駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度38分0.54秒東経135度2分1.58秒","A山陽本線（JR神戸線）","15.1km（神戸起点）大阪から48.2 km","西日本旅客鉄道（JR西日本）","神戸市垂水区東舞子町3-1[1]北緯34度38分0.54秒東経135度2分1.58秒﻿ / ﻿北緯34.6334833度 東経135.0337722度﻿ /34.6334833; 135.0337722座標:北緯34度38分0.54秒東経135度2分1.58秒﻿ / ﻿北緯34.6334833度 東経135.0337722度﻿ /34.6334833; 135.0337722","地上駅（橋上駅）[1]","1896年（明治29年）7月1日**[1]","1面2線[1]","直営駅[1]みどりの窓口有神戸市内駅*1899年までの名称は「舞子公園」","マコ","JR-A71","18,856人/日（降車客含まず）-2019年-","","舞子公園駅（山陽電気鉄道本線）","","","","","",""
"舞子公園駅","舞子公園駅（まいここうえんえき）","https://ja.wikipedia.org/wiki/舞子公園駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度38分2.79秒東経135度2分3.49秒","本線","11.5km（西代起点）梅田から48.6 km","山陽電気鉄道","神戸市垂水区舞子台二丁目1-1[1]北緯34度38分2.79秒東経135度2分3.49秒﻿ / ﻿北緯34.6341083度 東経135.0343028度﻿ /34.6341083; 135.0343028﻿ (舞子公園駅*)座標:北緯34度38分2.79秒東経135度2分3.49秒﻿ / ﻿北緯34.6341083度 東経135.0343028度﻿ /34.6341083; 135.0343028﻿ (舞子公園駅*)","地上駅（橋上駅）[1]","1917年（大正6年）4月12日[1][2]","2面2線[1]","無人駅高速舞子バス停最寄り駅*1935年に舞子駅から改称[1][2]","","●SY 13","2,479人/日（降車客含まず）-2017年-","","舞子駅（JR神戸線）","","","","","",""
"舞阪駅","舞阪駅（まいさかえき）","https://ja.wikipedia.org/wiki/舞阪駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度41分8.51秒東経137度37分37.11秒","CA東海道本線（静岡地区）","267.5 km（東京起点）","東海旅客鉄道（JR東海）","浜松市西区馬郡町325-9北緯34度41分8.51秒東経137度37分37.11秒","地上駅（橋上駅）","1888年（明治21年）9月1日[1]","2面3線","業務委託駅JR全線きっぷうりば有","マカ","CA  36 ","2,682人/日（降車客含まず）-2019年-","","","","","","","",""
"蒔田駅","蒔田駅（まいたえき・横浜市営地下鉄ブルーライン）","https://ja.wikipedia.org/wiki/蒔田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度25分48秒東経139度36分36.2秒","■ブルーライン（1号線）","16.5 km（湘南台起点）","横浜市交通局（横浜市営地下鉄）","横浜市南区宮元町3丁目46番地[1]北緯35度25分48秒東経139度36分36.2秒﻿ / ﻿北緯35.43000度 東経139.610056度﻿ /35.43000; 139.610056﻿ (蒔田駅)座標:北緯35度25分48秒東経139度36分36.2秒﻿ / ﻿北緯35.43000度 東経139.610056度﻿ /35.43000; 139.610056﻿ (蒔田駅)","地下駅","1972年（昭和47年）12月16日","2面2線","業務委託駅（京王設備サービス）","","B13","11,529人/日（降車客含まず）-2019年-","22,959人/日-2019年-","","","","","","",""
"舞田駅","舞田駅（まいたえき・上田電鉄別所線）","https://ja.wikipedia.org/wiki/舞田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度21分35.1秒東経138度10分59.37秒","別所線","9.4 km（上田起点）","上田電鉄","長野県上田市舞田字柳堂44-6北緯36度21分35.1秒東経138度10分59.37秒﻿ / ﻿北緯36.359750度 東経138.1831583度﻿ /36.359750; 138.1831583座標:北緯36度21分35.1秒東経138度10分59.37秒﻿ / ﻿北緯36.359750度 東経138.1831583度﻿ /36.359750; 138.1831583","地上駅","1921年（大正10年）6月17日[1]","単式1面1線[1]","無人駅[1]","","BE13","25人/日（降車客含まず）-2017年-","","","","","","","",""
"馬出九大病院前駅","馬出九大病院前駅（まいだしきゅうだいびょういんまええき）","https://ja.wikipedia.org/wiki/馬出九大病院前駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度36分33.17秒東経130度25分9.54秒","箱崎線","2.10km（中洲川端起点）姪浜から10.2 km","福岡市交通局","福岡市東区馬出二丁目北緯33度36分33.17秒東経130度25分9.54秒﻿ / ﻿北緯33.6092139度 東経130.4193167度﻿ /33.6092139; 130.4193167座標:北緯33度36分33.17秒東経130度25分9.54秒﻿ / ﻿北緯33.6092139度 東経130.4193167度﻿ /33.6092139; 130.4193167","地下駅","1984年（昭和59年）4月27日","1面2線","","","○H04","6,360人/日（降車客含まず）-2018年-","","","","","","","",""
"舞浜駅","舞浜駅（まいはまえき）","https://ja.wikipedia.org/wiki/舞浜駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度38分10.7秒東経139度53分0秒","■京葉線（■武蔵野線直通含む）","12.7 km（東京起点）","東日本旅客鉄道（JR東日本）","千葉県浦安市舞浜26-5北緯35度38分10.7秒東経139度53分0秒﻿ / ﻿北緯35.636306度 東経139.88333度﻿ /35.636306; 139.88333﻿ (舞浜駅)","高架駅","1988年（昭和63年）12月1日[新聞 1][新聞 2]","1面2線","直営駅みどりの窓口有","マハ","JE07","78,811人/日（降車客含まず）-2019年-","","リゾートゲートウェイ・ステーション駅（ディズニーリゾートライン）","","","","","",""
"米原駅","米原駅（まいばらえき）","https://ja.wikipedia.org/wiki/米原駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）日本貨物鉄道（JR貨物）近江鉄道（駅詳細）","滋賀県米原市米原","","","","","","","","","","","","","","",""
