"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","乗車人員,-統計年度-","電報略号","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"美合駅","美合駅（みあいえき）","https://ja.wikipedia.org/wiki/美合駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯34度55分25.8秒東経137度11分47秒","名古屋本線","25.6 km（豊橋起点）","名古屋鉄道","地上駅（橋上駅）","1926年（大正15年）4月1日","2面4線","愛知県岡崎市美合町一ノ久保1-64北緯34度55分25.8秒東経137度11分47秒﻿ / ﻿北緯34.923833度 東経137.19639度﻿ /34.923833; 137.19639座標:北緯34度55分25.8秒東経137度11分47秒﻿ / ﻿北緯34.923833度 東経137.19639度﻿ /34.923833; 137.19639","","","","NH  11 ","7,441人/日-2019年[1]-","","","","","","",""
"御井駅","御井駅（みいえき）","https://ja.wikipedia.org/wiki/御井駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯33度18分45.94秒東経130度33分44.58秒","■久大本線","8.0 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1928年（昭和3年）12月24日[1]","2面2線","福岡県久留米市御井旗崎五丁目10北緯33度18分45.94秒東経130度33分44.58秒","無人駅","266人/日（降車客含まず）-2016年-","ミイ←ミヰ","","","","","","","","",""
"三井寺駅","三井寺駅（みいでらえき）","https://ja.wikipedia.org/wiki/三井寺駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度0分46.87秒東経135度51分34.29秒","▼石山坂本線","7.2 km（石山寺起点）","京阪電気鉄道","地上駅","1922年（大正11年）5月7日","2面2線","滋賀県大津市浜大津三丁目6-12北緯35度0分46.87秒東経135度51分34.29秒﻿ / ﻿北緯35.0130194度 東経135.8595250度﻿ /35.0130194; 135.8595250座標:北緯35度0分46.87秒東経135度51分34.29秒﻿ / ﻿北緯35.0130194度 東経135.8595250度﻿ /35.0130194; 135.8595250","","926人/日（降車客含まず）-2019年-","","OT  13","1,738人/日-2019年-","","","","","","",""
"三井野原駅","三井野原駅（みいのはらえき）","https://ja.wikipedia.org/wiki/三井野原駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度5分28.65秒東経133度6分58.74秒","E木次線","69.7 km（宍道起点）","西日本旅客鉄道（JR西日本）","地上駅","1949年（昭和24年）12月24日*","1面1線","島根県仁多郡奥出雲町八川3109北緯35度5分28.65秒東経133度6分58.74秒﻿ / ﻿北緯35.0912917度 東経133.1163167度﻿ /35.0912917; 133.1163167座標:北緯35度5分28.65秒東経133度6分58.74秒﻿ / ﻿北緯35.0912917度 東経133.1163167度﻿ /35.0912917; 133.1163167","無人駅","3人/日（降車客含まず）-2018年-","ミノ","","","","","","","","",""
"三浦駅","三浦駅（みうらえき）","https://ja.wikipedia.org/wiki/三浦駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度8分30.06秒東経134度4分40.92秒","B因美線","59.3 km（鳥取起点）","西日本旅客鉄道（JR西日本）","地上駅（盛土上）","1963年（昭和38年）4月1日","1面1線","岡山県津山市三浦79北緯35度8分30.06秒東経134度4分40.92秒","無人駅","14人/日（降車客含まず）-2019年-","ミラ","","","","","","","","",""
"三浦海岸駅","三浦海岸駅（みうらかいがんえき）","https://ja.wikipedia.org/wiki/三浦海岸駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度11分17.1秒東経139度39分12.1秒","■久里浜線","11.2km（堀ノ内起点）品川から63.5 km","京浜急行電鉄","高架駅","1966年（昭和41年）7月7日[1]","2面2線","神奈川県三浦市南下浦町上宮田1497[1]北緯35度11分17.1秒東経139度39分12.1秒﻿ / ﻿北緯35.188083度 東経139.653361度﻿ /35.188083; 139.653361﻿ (三浦海岸駅)座標:北緯35度11分17.1秒東経139度39分12.1秒﻿ / ﻿北緯35.188083度 東経139.653361度﻿ /35.188083; 139.653361﻿ (三浦海岸駅)","","","","KK71","10,981人/日-2019年-","","","","","","",""
"三会駅","三会駅（みええき）","https://ja.wikipedia.org/wiki/三会駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯32度48分54.23秒東経130度21分25.96秒","■島原鉄道線","37.5 km（諫早起点）","島原鉄道","地上駅","1913年（大正2年）9月24日","1面2線","長崎県島原市大手原町北緯32度48分54.23秒東経130度21分25.96秒﻿ / ﻿北緯32.8150639度 東経130.3572111度﻿ /32.8150639; 130.3572111﻿ (三会駅)","* 年間乗車人員を日数で除算","*24人/日（降車客含まず）-2017年-","","","58人/日-2017年-","","","","","","",""
"美江寺駅","美江寺駅（みえじえき）","https://ja.wikipedia.org/wiki/美江寺駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯35度24分47.97秒東経136度39分40.87秒","樽見線","7.5 km（大垣起点）","樽見鉄道","地上駅","1956年（昭和31年）3月20日","1面1線","岐阜県瑞穂市美江寺北緯35度24分47.97秒東経136度39分40.87秒﻿ / ﻿北緯35.4133250度 東経136.6613528度﻿ /35.4133250; 136.6613528座標:北緯35度24分47.97秒東経136度39分40.87秒﻿ / ﻿北緯35.4133250度 東経136.6613528度﻿ /35.4133250; 136.6613528","","","","","90人/日-2018年[瑞穂市統計 1]-","","","","","","",""
"美栄橋駅","美栄橋駅（みえばしえき）","https://ja.wikipedia.org/wiki/美栄橋駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯26度13分9.26秒東経127度41分3.85秒","■沖縄都市モノレール線（ゆいレール）","6.7 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日[1][2]","1面2線","沖縄県那覇市牧志一丁目965北緯26度13分9.26秒東経127度41分3.85秒﻿ / ﻿北緯26.2192389度 東経127.6844028度﻿ /26.2192389; 127.6844028座標:北緯26度13分9.26秒東経127度41分3.85秒﻿ / ﻿北緯26.2192389度 東経127.6844028度﻿ /26.2192389; 127.6844028","","1,592人/日（降車客含まず）-2020年-","","8","","","","","","","",""
"三重町駅","三重町駅（みえまちえき）","https://ja.wikipedia.org/wiki/三重町駅","日本の鉄道駅一覧_み","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_み","箇条書き,制限あり","北緯32度59分1.14秒東経131度35分3.79秒","■豊肥本線","36.1 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1921年（大正10年）3月27日[3]","2面3線[1]","大分県豊後大野市三重町赤嶺[1]北緯32度59分1.14秒東経131度35分3.79秒","業務委託駅[4]みどりの窓口有[1]","832人/日（降車客含まず）-2019年[2]-","ミヘ","","","","","","","","",""
