"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"六日町駅","六日町駅（むいかまちえき）","https://ja.wikipedia.org/wiki/六日町駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯37度4分1.41秒東経138度52分33.16秒","■上越線（JR東日本）","111.8 km（高崎起点）","東日本旅客鉄道（JR東日本）北越急行","地上駅（橋上駅）","1923年（大正12年）11月18日","新潟県南魚沼市六日町140番地2北緯37度4分1.41秒東経138度52分33.16秒﻿ / ﻿北緯37.0670583度 東経138.8758778度﻿ /37.0670583; 138.8758778﻿ (六日町駅)座標:北緯37度4分1.41秒東経138度52分33.16秒﻿ / ﻿北緯37.0670583度 東経138.8758778度﻿ /37.0670583; 138.8758778﻿ (六日町駅)","3面5線","共同使用駅（JR東日本の管轄駅）業務委託駅みどりの窓口有","","ムマ","1,738人/日（降車客含まず）-2019年-","","","","","","","",""
"向河原駅","向河原駅（むかいがわらえき）","https://ja.wikipedia.org/wiki/向河原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度34分22.4秒東経139度40分2秒","■南武線","6.6 km（川崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1927年（昭和2年）3月9日[1]","川崎市中原区下沼部字玉川向1757北緯35度34分22.4秒東経139度40分2秒﻿ / ﻿北緯35.572889度 東経139.66722度﻿ /35.572889; 139.66722座標:北緯35度34分22.4秒東経139度40分2秒﻿ / ﻿北緯35.572889度 東経139.66722度﻿ /35.572889; 139.66722","2面2線","業務委託駅","JN06","カヒ","12,385人/日（降車客含まず）-2019年-","","","","","","","",""
"向島駅","向島駅（むかいじまえき）","https://ja.wikipedia.org/wiki/向島駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度54分53.88秒東経135度46分10.25秒","B京都線","8.6 km（京都起点）","近畿日本鉄道（近鉄）","地上駅（橋上駅）","1979年（昭和54年）3月30日","京都市伏見区向島東定請11北緯34度54分53.88秒東経135度46分10.25秒﻿ / ﻿北緯34.9149667度 東経135.7695139度﻿ /34.9149667; 135.7695139座標:北緯34度54分53.88秒東経135度46分10.25秒﻿ / ﻿北緯34.9149667度 東経135.7695139度﻿ /34.9149667; 135.7695139","2面4線",""," B09 ","ムカイ","","（全日）17,538人/日-2019年-","","","","","","",""
"向瀬上駅","向瀬上駅（むかいせのうええき）","https://ja.wikipedia.org/wiki/向瀬上駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯37度48分23.32秒東経140度30分36.10秒","■阿武隈急行線","8.6 km（福島起点）","阿武隈急行","地上駅","1988年（昭和63年）7月1日","福島県福島市瀬上町字南岩川原北緯37度48分23.32秒東経140度30分36.10秒﻿ / ﻿北緯37.8064778度 東経140.5100278度﻿ /37.8064778; 140.5100278座標:北緯37度48分23.32秒東経140度30分36.10秒﻿ / ﻿北緯37.8064778度 東経140.5100278度﻿ /37.8064778; 140.5100278","1面1線","無人駅","","","27人/日（降車客含まず）-2016年-","","","","","","","",""
"向市場駅","向市場駅（むかいちばえき）","https://ja.wikipedia.org/wiki/向市場駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度9分15.49秒東経137度52分10.28秒","CD飯田線","73.3 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1955年（昭和30年）11月11日[1]","浜松市天竜区水窪町地頭方[1]230北緯35度9分15.49秒東経137度52分10.28秒﻿ / ﻿北緯35.1543028度 東経137.8695222度﻿ /35.1543028; 137.8695222座標:北緯35度9分15.49秒東経137度52分10.28秒﻿ / ﻿北緯35.1543028度 東経137.8695222度﻿ /35.1543028; 137.8695222","1面1線[1]","駅員無配置駅[1]","","ムカ","5人/日（降車客含まず）-2019年-","","","","","","","",""
"向洋駅","向洋駅（むかいなだえき）","https://ja.wikipedia.org/wiki/向洋駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度22分35.7秒東経132度30分21.2秒","G山陽本線（Y呉線直通含む）","300.6km（神戸起点）三原から呉線経由で89.3 km","西日本旅客鉄道（JR西日本）","地上駅","1920年（大正9年）8月1日","広島県安芸郡府中町青崎南4-18北緯34度22分35.7秒東経132度30分21.2秒﻿ / ﻿北緯34.376583度 東経132.505889度﻿ /34.376583; 132.505889座標:北緯34度22分35.7秒東経132度30分21.2秒﻿ / ﻿北緯34.376583度 東経132.505889度﻿ /34.376583; 132.505889","2面2線","業務委託駅みどりの券売機プラス設置駅広島市内駅","JR-G03（山陽本線）JR-Y03（呉線）","ナタ","11,976人/日（降車客含まず）-2019年-","","","","","","","",""
"向能代駅","向能代駅（むかいのしろえき）","https://ja.wikipedia.org/wiki/向能代駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯40度13分32.8秒東経140度2分21.4秒","■五能線","6.1 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1952年（昭和27年）1月25日[1]","秋田県能代市落合字下小野[1]70-7北緯40度13分32.8秒東経140度2分21.4秒座標:北緯40度13分32.8秒 東経140度2分21.4秒","1面1線[1]","無人駅[2]","","ムロ","30人/日（降車客含まず）-2019年-","","","","","","","",""
"向之原駅","向之原駅（むかいのはるえき）","https://ja.wikipedia.org/wiki/向之原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度11分48.36秒東経131度30分50.26秒","■久大本線","127.7 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1915年（大正4年）10月30日[3]","大分県由布市挾間町向原188-2[1][2]北緯33度11分48.36秒東経131度30分50.26秒","2面2線[1]","業務委託駅[2]","","ムカ","645人/日（降車客含まず）-2019年-","","","","","","","",""
"向原駅","向原駅（むかいはらえき・西日本旅客鉄道芸備線）","https://ja.wikipedia.org/wiki/向原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度36分54.77秒東経132度43分11.58秒","P芸備線","116.1km（備中神代起点）三次から25.8 km","西日本旅客鉄道（JR西日本）","地上駅","1915年（大正4年）4月28日","広島県安芸高田市向原町坂73北緯34度36分54.77秒東経132度43分11.58秒﻿ / ﻿北緯34.6152139度 東経132.7198833度﻿ /34.6152139; 132.7198833座標:北緯34度36分54.77秒東経132度43分11.58秒﻿ / ﻿北緯34.6152139度 東経132.7198833度﻿ /34.6152139; 132.7198833","1面2線","業務委託駅みどりの窓口有","","ムハ","308人/日（降車客含まず）-2017年-","","","","","","","",""
"向井原駅","向井原駅（むかいばらえき）","https://ja.wikipedia.org/wiki/向井原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度44分9.70秒東経132度41分44.97秒","■予讃線（愛ある伊予灘線）","208.5 km（高松起点）","四国旅客鉄道（JR四国）","高架駅","1963年（昭和38年）10月1日","愛媛県伊予市市場北緯33度44分9.70秒東経132度41分44.97秒﻿ / ﻿北緯33.7360278度 東経132.6958250度﻿ /33.7360278; 132.6958250座標:北緯33度44分9.70秒東経132度41分44.97秒﻿ / ﻿北緯33.7360278度 東経132.6958250度﻿ /33.7360278; 132.6958250","1面1線","無人駅","○S06","ムカ","","90[1]人/日-2019年-","","","","","","",""
