"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"Wikipedia:ウィキプロジェクト 鉄道","駅の記事のフォーマットについては、ウィキプロジェクト 鉄道をご覧になるか、すでに投稿されている記事を参考にして下さい。","https://ja.wikipedia.org/wiki/Wikipedia:ウィキプロジェクト_鉄道","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","","","","","","","","","","","","","","","JY","","","",""
"矢板駅","矢板駅（やいたえき）","https://ja.wikipedia.org/wiki/矢板駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度48分24.58秒東経139度55分58.69秒","■東北本線（宇都宮線）","141.8km（東京起点）東京から尾久経由で142.0 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）*","1886年（明治19年）10月1日","地上駅","2面3線","栃木県矢板市扇町一丁目1-1北緯36度48分24.58秒東経139度55分58.69秒座標:北緯36度48分24.58秒 東経139度55分58.69秒","業務委託駅","ヤイ","2,728人/日（降車客含まず）-2019年-","","","","","","","","",""
"焼津駅","焼津駅（やいづえき）","https://ja.wikipedia.org/wiki/焼津駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度52分19.94秒東経138度19分5.69秒","CA東海道本線（静岡地区）","193.7 km（東京起点）","東海旅客鉄道（JR東海）","1889年（明治22年）4月16日","地上駅（橋上駅）","1面2線","静岡県焼津市栄町一丁目1-1北緯34度52分19.94秒東経138度19分5.69秒","駅長配置駅（管理駅）JR全線きっぷうりば有","ヤツ","8,868人/日（降車客含まず）-2019年-","CA  20 ","","","","","","","",""
"八色駅","八色駅（やいろえき）","https://ja.wikipedia.org/wiki/八色駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度11分30.29秒東経138度56分5.47秒","■上越線","127.0 km（高崎起点）","東日本旅客鉄道（JR東日本）","1965年（昭和40年）1月15日","地上駅","2面2線","新潟県南魚沼市五箇北緯37度11分30.29秒東経138度56分5.47秒﻿ / ﻿北緯37.1917472度 東経138.9348528度﻿ /37.1917472; 138.9348528﻿ (八色駅)座標:北緯37度11分30.29秒東経138度56分5.47秒﻿ / ﻿北緯37.1917472度 東経138.9348528度﻿ /37.1917472; 138.9348528﻿ (八色駅)","無人駅","ヤイ","","","","","","","","","",""
"八戸ノ里駅","八戸ノ里駅（やえのさとえき）","https://ja.wikipedia.org/wiki/八戸ノ里駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度39分49.22秒東経135度35分22.3秒","A奈良線","2.4km（布施起点）大阪難波から8.5 km","近畿日本鉄道（近鉄）","1936年（昭和11年）11月19日","高架駅","2面4線","大阪府東大阪市小阪三丁目1-1北緯34度39分49.22秒東経135度35分22.3秒﻿ / ﻿北緯34.6636722度 東経135.589528度﻿ /34.6636722; 135.589528座標:北緯34度39分49.22秒東経135度35分22.3秒﻿ / ﻿北緯34.6636722度 東経135.589528度﻿ /34.6636722; 135.589528","","ヤエ",""," A09 ","27,151人/日-2018年-","","","","","","",""
"八尾駅","八尾駅（やおえき）","https://ja.wikipedia.org/wiki/八尾駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度37分1.52秒東経135度35分49.11秒","Q関西本線（大和路線）","163.1km（名古屋起点）加茂から42.2 km","西日本旅客鉄道（JR西日本）","1889年（明治22年）5月14日","地上駅","2面2線","大阪府八尾市安中町三丁目9-15北緯34度37分1.52秒東経135度35分49.11秒﻿ / ﻿北緯34.6170889度 東経135.5969750度﻿ /34.6170889; 135.5969750座標:北緯34度37分1.52秒東経135度35分49.11秒﻿ / ﻿北緯34.6170889度 東経135.5969750度﻿ /34.6170889; 135.5969750","直営駅（管理駅）みどりの窓口有","ヤオ","13,165人/日（降車客含まず）-2019年-","JR-Q25","","","","","","","",""
"八乙女駅","八乙女駅（やおとめえき）","https://ja.wikipedia.org/wiki/八乙女駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯38度18分46.4秒東経140度53分2.6秒","■南北線","1.2 km（泉中央起点）","仙台市交通局(仙台市地下鉄)","1987年（昭和62年）7月15日","高架駅","1面2線","仙台市泉区八乙女中央一丁目4-10北緯38度18分46.4秒東経140度53分2.6秒﻿ / ﻿北緯38.312889度 東経140.884056度﻿ /38.312889; 140.884056﻿ (八乙女駅)座標:北緯38度18分46.4秒東経140度53分2.6秒﻿ / ﻿北緯38.312889度 東経140.884056度﻿ /38.312889; 140.884056﻿ (八乙女駅)","","","8,295人/日（降車客含まず）-2019年-","○N02","16,810[1]人/日-2019年-","","","","","","",""
"八尾南駅","八尾南駅（やおみなみえき）","https://ja.wikipedia.org/wiki/八尾南駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度35分50.60秒東経135度34分57.25秒","●谷町線","28.3 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","1980年（昭和55年）11月27日","地上駅（橋上駅）","島式 1面2線","大阪府八尾市若林町一丁目59北緯34度35分50.60秒東経135度34分57.25秒﻿ / ﻿北緯34.5973889度 東経135.5825694度﻿ /34.5973889; 135.5825694﻿ (八尾南駅)","* 公式サイト等の表記ではハイフンが挿入されているが、実際の駅名標ではハイフン無しで「Yaominami」と表記されている。","","5,241人/日（降車客含まず）-2020年-"," T36 ","10,404人/日-2020年-","","","","","","",""
"八家駅","八家駅（やかえき）","https://ja.wikipedia.org/wiki/八家駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度47分2.92秒東経134度43分18.79秒","本線","46.2 km（西代起点）","山陽電気鉄道","1923年（大正12年）8月19日[1][2]","地上駅[1]","2面2線[1]","兵庫県姫路市八家前浜1276-2[1]北緯34度47分2.92秒東経134度43分18.79秒﻿ / ﻿北緯34.7841444度 東経134.7218861度﻿ /34.7841444; 134.7218861﻿ (八家駅)座標:北緯34度47分2.92秒東経134度43分18.79秒﻿ / ﻿北緯34.7841444度 東経134.7218861度﻿ /34.7841444; 134.7218861﻿ (八家駅)","無人駅[1]","","1,490人/日（降車客含まず）-2017年-","●SY 37","","","","","","","",""
"谷峨駅","谷峨駅（やがえき・東海旅客鉄道御殿場線）","https://ja.wikipedia.org/wiki/谷峨駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度21分56秒東経139度2分18.7秒","CB御殿場線","20.0 km（国府津起点）","東海旅客鉄道（JR東海）","1947年（昭和22年）7月15日[1]","地上駅","2面2線","神奈川県足柄上郡山北町谷ケ北緯35度21分56秒東経139度2分18.7秒﻿ / ﻿北緯35.36556度 東経139.038528度﻿ /35.36556; 139.038528﻿ (谷峨駅)座標:北緯35度21分56秒東経139度2分18.7秒﻿ / ﻿北緯35.36556度 東経139.038528度﻿ /35.36556; 139.038528﻿ (谷峨駅)","駅員無配置駅","ヤカ","104人/日（降車客含まず）-2018年-","CB  07 ","","","","","","","",""
"矢賀駅","矢賀駅（やがえき・西日本旅客鉄道芸備線）","https://ja.wikipedia.org/wiki/矢賀駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度23分56.1秒東経132度29分50.13秒","P芸備線","156.9km（備中神代起点）三次から66.6 km","西日本旅客鉄道（JR西日本）","1929年（昭和4年）3月20日","地上駅","1面2線","広島市東区矢賀五丁目80北緯34度23分56.1秒東経132度29分50.13秒﻿ / ﻿北緯34.398917度 東経132.4972583度﻿ /34.398917; 132.4972583座標:北緯34度23分56.1秒東経132度29分50.13秒﻿ / ﻿北緯34.398917度 東経132.4972583度﻿ /34.398917; 132.4972583","業務委託駅みどりの窓口有広島市内駅","ヤカ","981人/日（降車客含まず）-2019年-","JR-P02","","","","","","","",""
"矢掛駅","矢掛駅（やかげえき）","https://ja.wikipedia.org/wiki/矢掛駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度37分45.32秒東経133度35分23.60秒","井原線","18.2 km（総社起点）","井原鉄道","1999年（平成11年）1月11日[1]","高架駅[1]","1面2線","岡山県小田郡矢掛町矢掛北緯34度37分45.32秒東経133度35分23.60秒","簡易委託駅","ヤケ","","","733人/日-2018年-","","","","","","",""
"矢加部駅","矢加部駅（やかべえき）","https://ja.wikipedia.org/wiki/矢加部駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度10分26.53秒東経130度24分56.43秒","■天神大牟田線","57.3 km（西鉄福岡（天神）起点）","西日本鉄道","1937年（昭和12年）10月1日","高架駅","1面1線","福岡県柳川市三橋町柳河北緯33度10分26.53秒東経130度24分56.43秒﻿ / ﻿北緯33.1740361度 東経130.4156750度﻿ /33.1740361; 130.4156750座標:北緯33度10分26.53秒東経130度24分56.43秒﻿ / ﻿北緯33.1740361度 東経130.4156750度﻿ /33.1740361; 130.4156750","無人駅","","","T  38 ","183人/日-2019年-","","","","","","",""
