"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"Category:日本の銀行","[Category:日本の銀行Category:都市銀行Category:地方銀行Category:第二地方銀行Category:新たな形態の銀行Category:信託銀行Category:政策金融機関（政府系金融機関）]","https://ja.wikipedia.org/wiki/Category:日本の銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:都市銀行","[Category:都市銀行]","https://ja.wikipedia.org/wiki/Category:都市銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:地方銀行","[Category:地方銀行]","https://ja.wikipedia.org/wiki/Category:地方銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:第二地方銀行","[Category:第二地方銀行]","https://ja.wikipedia.org/wiki/Category:第二地方銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:新たな形態の銀行","[Category:新たな形態の銀行]","https://ja.wikipedia.org/wiki/Category:新たな形態の銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:信託銀行","[Category:信託銀行]","https://ja.wikipedia.org/wiki/Category:信託銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:政策金融機関","[Category:政策金融機関（政府系金融機関）]","https://ja.wikipedia.org/wiki/Category:政策金融機関","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"Category:かつて存在した日本の銀行","[Category:かつて存在した日本の銀行]","https://ja.wikipedia.org/wiki/Category:かつて存在した日本の銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日本銀行","[0000　日本銀行- 日銀]","https://ja.wikipedia.org/wiki/日本銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"みずほ銀行","[0001　みずほ銀行- MHBK]","https://ja.wikipedia.org/wiki/みずほ銀行","日本の銀行一覧","https://ja.wikipedia.org/wiki/日本の銀行一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
