"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最高峰","最新噴火","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"ニセイカウシュッペ山"," ニセイカウシュッペ山 （ニセイカウシュッペやま）は、 北海道 上川郡 上川町 にある 標高 1,883 m の 火山 である。","https://ja.wikipedia.org/wiki/ニセイカウシュッペ山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯43度46分48秒東経142度59分07秒","日本北海道上川郡上川町","北緯43度46分48秒東経142度59分07秒﻿ / ﻿北緯43.78000度 東経142.98528度﻿ /43.78000; 142.98528座標:北緯43度46分48秒東経142度59分07秒﻿ / ﻿北緯43.78000度 東経142.98528度﻿ /43.78000; 142.98528","1,883m","石狩山地、北大雪火山群","成層火山","","","","","","","","","","","","","",""
"オプタテシケ山"," オプタテシケ山 （オプタテシケやま）は 北海道 上川郡 美瑛町 と 新得町 の境界に位置する 標高 2,013mの山である   。 三等三角点 の名称は「 美瑛岳 」と記されている。","https://ja.wikipedia.org/wiki/オプタテシケ山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯43度28分13秒東経142度45分05秒","日本北海道上川総合振興局上川郡美瑛町・十勝総合振興局上川郡新得町","北緯43度28分13秒東経142度45分05秒﻿ / ﻿北緯43.47028度 東経142.75139度﻿ /43.47028; 142.75139座標:北緯43度28分13秒東経142度45分05秒﻿ / ﻿北緯43.47028度 東経142.75139度﻿ /43.47028; 142.75139","2,012.48m","石狩山地（十勝岳連峰）","","","","","","","","","","","","","","",""
"神威岳 (大樹町・浦河町)"," 神威岳 （かむいだけ）は、 北海道 広尾郡 大樹町 と 浦河郡 浦河町 とにまたがる 標高 1,600 mの 山 。 日高山脈 南部にあり、 日高山脈襟裳国定公園 に属する。威風堂々とした山容で  、 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/神威岳_(大樹町・浦河町)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯42度25分42秒東経142度54分25秒","日本北海道広尾郡大樹町・浦河郡浦河町","北緯42度25分42秒東経142度54分25秒﻿ / ﻿北緯42.42833度 東経142.90694度﻿ /42.42833; 142.90694座標:北緯42度25分42秒東経142度54分25秒﻿ / ﻿北緯42.42833度 東経142.90694度﻿ /42.42833; 142.90694","1,600.2m","日高山脈","褶曲山脈","柴崎芳太郎（1913年）","","","","","","","","","","","","",""
"余市岳"," 余市岳 （よいちだけ）は、 北海道 余市郡 赤井川村 と 札幌市 南区 とにまたがる 標高 1,488mの山である。","https://ja.wikipedia.org/wiki/余市岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯43度1分58秒東経141度1分10秒","日本北海道札幌市南区・余市郡赤井川村","北緯43度1分58秒東経141度1分10秒﻿ / ﻿北緯43.03278度 東経141.01944度﻿ /43.03278; 141.01944座標:北緯43度1分58秒東経141度1分10秒﻿ / ﻿北緯43.03278度 東経141.01944度﻿ /43.03278; 141.01944","1,488m","","","","","","","","","","","","","","","",""
"ニセコアンヌプリ"," ニセコアンヌプリ は、 北海道 後志総合振興局 かつ ニセコ積丹小樽海岸国定公園 内にある標高1,308.2mの 火山  。ニセコ火山群  に属し ニセコ連峰 の主峰である。世界の4大スキー場の一つに数えられ、西側には イワオヌプリ 、 ニトヌプリ 、 チセヌプリ などの山々、北側にはワイスホルンがある。 尻別川 を挟んで 羊蹄山 の向かいにあり、世界的なスキー場のある山としても有名である。 日本三百名山 である。山頂には 一等三角点 （点名「似古安岳」）が設置されている。","https://ja.wikipedia.org/wiki/ニセコアンヌプリ","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯42度52分30秒東経140度39分32秒","日本北海道ニセコ町・倶知安町","北緯42度52分30秒東経140度39分32秒﻿ / ﻿北緯42.87500度 東経140.65889度﻿ /42.87500; 140.65889座標:北緯42度52分30秒東経140度39分32秒﻿ / ﻿北緯42.87500度 東経140.65889度﻿ /42.87500; 140.65889","1,308.2m","ニセコ連峰","成層火山","正木照信（1898年）","","","","","","","","","","","","",""
"狩場山"," 狩場山 （かりばやま）は、 狩場茂津多道立自然公園 に指定されていて 北海道 せたな町 、 島牧村 にまたがる第四紀火山である。標高は1,519.9mで 一等三角点 （点名「狩場岳」）の山。 狩場山地 の主峰で、 道南 の最高峰でもある。 アイヌ語 の「Karinpa（桜皮）us（が群生する）nupuri（山）」に由来する  。","https://ja.wikipedia.org/wiki/狩場山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯42度36分48秒東経139度56分26秒","日本北海道檜山振興局久遠郡せたな町後志総合振興局島牧郡島牧村","北緯42度36分48秒東経139度56分26秒﻿ / ﻿北緯42.61333度 東経139.94056度﻿ /42.61333; 139.94056座標:北緯42度36分48秒東経139度56分26秒﻿ / ﻿北緯42.61333度 東経139.94056度﻿ /42.61333; 139.94056","1,519.9m","狩場山地","成層火山","","","","","","","","","","","","","",""
"大千軒岳"," 大千軒岳 （だいせんげんだけ）は、 北海道 渡島半島 の南西部、 松前郡 松前町 と 上ノ国町 との境にある 山 である。 標高 1,072m。 1896年 （明治29年）、北海道で最初に 一等三角点 が設置された山である。","https://ja.wikipedia.org/wiki/大千軒岳","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯41度34分46秒東経140度9分39秒","北海道松前郡松前町・上ノ国町","北緯41度34分46秒東経140度9分39秒﻿ / ﻿北緯41.57944度 東経140.16083度﻿ /41.57944; 140.16083座標:北緯41度34分46秒東経140度9分39秒﻿ / ﻿北緯41.57944度 東経140.16083度﻿ /41.57944; 140.16083","1,071.87m","","","","","","","","","","","","","","","",""
"五葉山"," 五葉山 （ごようざん）は、 東北地方 太平洋 側にある 北上山地 南部の 山 。 標高 は1,351mで、 三陸 沿岸の最高峰である。 日本三百名山 に選定されている。","https://ja.wikipedia.org/wiki/五葉山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯39度12分14秒東経141度43分44秒","日本岩手県：住田町、大船渡市、釜石市","北緯39度12分14秒東経141度43分44秒﻿ / ﻿北緯39.20389度 東経141.72889度﻿ /39.20389; 141.72889","1,351m","北上山地","","","","","","","","","","","","","","",""
"乳頭山"," 乳頭山 （にゅうとうさん）とは、 秋田県 仙北市 と 岩手県 岩手郡 雫石町 にまたがる山である。 十和田八幡平国立公園 の中に位置する。","https://ja.wikipedia.org/wiki/乳頭山","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯39度48分18.00秒東経140度50分19.40秒","秋田県仙北市・岩手県岩手郡雫石町","北緯39度48分18.00秒東経140度50分19.40秒﻿ / ﻿北緯39.8050000度 東経140.8387222度﻿ /39.8050000; 140.8387222","1478m","奥羽山脈","","","","","","","","","","","","","","",""
"太平山 (秋田県)"," 太平山 （たいへいざん）とは、 秋田県 中央部、 秋田市 と 上小阿仁村 とにまたがる山である。 太平山地 の主峰。標高1170メートル。太平山を中心として 太平山県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/太平山_(秋田県)","日本三百名山","https://ja.wikipedia.org/wiki/日本三百名山","グループ形式","北緯39度47分49秒東経140度18分39秒","日本秋田県秋田市・北秋田郡上小阿仁村","北緯39度47分49秒東経140度18分39秒﻿ / ﻿北緯39.79694度 東経140.31083度﻿ /39.79694; 140.31083座標:北緯39度47分49秒東経140度18分39秒﻿ / ﻿北緯39.79694度 東経140.31083度﻿ /39.79694; 140.31083","1,170m","","","","","","","","","","","","","","","",""
