"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"天塩岳"," 天塩岳 （てしおだけ）は、 北海道 士別市 と 紋別郡 滝上町 にまたがる 標高 1,558mの 山 。","https://ja.wikipedia.org/wiki/天塩岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯43度57分51秒東経142度53分16秒","日本北海道士別市・紋別郡滝上町","北緯43度57分51秒東経142度53分16秒﻿ / ﻿北緯43.96417度 東経142.88778度﻿ /43.96417; 142.88778座標:北緯43度57分51秒東経142度53分16秒﻿ / ﻿北緯43.96417度 東経142.88778度﻿ /43.96417; 142.88778","1,557.6m","","","","","","","","","","","","","","","",""
"石狩岳"," 石狩岳 （いしかりだけ）は、 北海道 中央部、 石狩山地 にある 標高 1,967 m の 山 。山頂は 上川町 （ 石狩国 ）と 上士幌町 （ 十勝国 ）の境にある。名称は 石狩川 の水源であることから付けられた。 大雪山国立公園 に属している  。","https://ja.wikipedia.org/wiki/石狩岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯43度32分48秒東経143度01分20秒","日本北海道上川郡上川町河東郡上士幌町","北緯43度32分48秒東経143度01分20秒﻿ / ﻿北緯43.54667度 東経143.02222度﻿ /43.54667; 143.02222座標:北緯43度32分48秒東経143度01分20秒﻿ / ﻿北緯43.54667度 東経143.02222度﻿ /43.54667; 143.02222","1,967m","石狩山地","褶曲山脈","松本十郎（1876年）","","","","","","","","","","","","",""
"ニペソツ山"," ニペソツ山 （ニペソツやま）は、 北海道 の 東大雪 にある 標高 2,013 m の 山 。 北海道 十勝総合振興局 管内 新得町 と 上士幌町 の境にあり、標高2,000mを超える山としては国内で最も東に位置する。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/ニペソツ山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯43度27分21秒東経143度01分56秒","北海道十勝総合振興局上川郡新得町河東郡上士幌町","北緯43度27分21秒東経143度01分56秒﻿ / ﻿北緯43.45583度 東経143.03222度﻿ /43.45583; 143.03222座標:北緯43度27分21秒東経143度01分56秒﻿ / ﻿北緯43.45583度 東経143.03222度﻿ /43.45583; 143.03222","2,012.88m","石狩山地","成層火山","","","","","","","","","","","","","",""
"カムイエクウチカウシ山"," カムイエクウチカウシ山 （カムイエクウチカウシやま）は、 北海道 日高山脈 に属する 山 である。 日本二百名山 の一つに数えられる。名称は アイヌ語 の「熊（神）の転げ落ちる山」に由来する。登山家の間ではしばしば カムエク と略して呼ばれる  。","https://ja.wikipedia.org/wiki/カムイエクウチカウシ山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯42度37分30秒東経142度45分59秒","北海道日高郡新ひだか町・河西郡中札内村","北緯42度37分30秒東経142度45分59秒﻿ / ﻿北緯42.62500度 東経142.76639度﻿ /42.62500; 142.76639座標:北緯42度37分30秒東経142度45分59秒﻿ / ﻿北緯42.62500度 東経142.76639度﻿ /42.62500; 142.76639","1,979.5m","日高山脈","氷食尖峰","正木照信（1900年）","","","","","","","","","","","","",""
"ペテガリ岳"," ペテガリ岳 （ペテガリだけ）は、 北海道 の 日高山脈 中部に位置し、 日高郡 新ひだか町 と 広尾郡 大樹町 にまたがる 標高 1,736 m の山である。 日高山脈襟裳国定公園 に含まれ、山頂には 二等三角点  （点名「辺天狩岳」）がある。 日本二百名山 の一つ。A・B・Cの三つの カール を持つ。","https://ja.wikipedia.org/wiki/ペテガリ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯42度29分58秒東経142度52分16秒","日本北海道日高郡新ひだか町・広尾郡大樹町","北緯42度29分58秒東経142度52分16秒﻿ / ﻿北緯42.49944度 東経142.87111度﻿ /42.49944; 142.87111座標:北緯42度29分58秒東経142度52分16秒﻿ / ﻿北緯42.49944度 東経142.87111度﻿ /42.49944; 142.87111","1,736.2m","日高山脈","褶曲山脈","柴崎芳太郎（1913年）","","","","","","","","","","","","",""
"芦別岳"," 芦別岳 （あしべつだけ）は、 北海道 ・ 夕張山地 のほぼ中央に位置し、 富良野市 ・ 芦別市 ・ 南富良野町 にまたがる標高1,726 m  の 山 。山頂は、富良野市と南富良野町との境界にある。 日本二百名山  、および 北海道百名山 と 北海道の百名山 に選定されている。","https://ja.wikipedia.org/wiki/芦別岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯43度14分09秒東経142度17分01秒","日本北海道富良野市・空知郡南富良野町・芦別市","北緯43度14分09秒東経142度17分01秒﻿ / ﻿北緯43.23583度 東経142.28361度﻿ /43.23583; 142.28361座標:北緯43度14分09秒東経142度17分01秒﻿ / ﻿北緯43.23583度 東経142.28361度﻿ /43.23583; 142.28361","1,726.14m","夕張山地","","","","","","","","","","","","","","",""
"夕張岳"," 夕張岳 （ゆうばりだけ）は、 北海道 の中央部を南北に走る 夕張山地 の南端に位置する 標高 1,668 m の 山 。 夕張市 と 空知郡 南富良野町 にまたがり、山域は北側の 芦別岳 と共に「 富良野芦別道立自然公園 」に指定されている  。","https://ja.wikipedia.org/wiki/夕張岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯43度05分59秒東経142度15分04秒","日本北海道夕張市・空知郡南富良野町","北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111座標:北緯43度05分59秒東経142度15分04秒﻿ / ﻿北緯43.09972度 東経142.25111度﻿ /43.09972; 142.25111","1,667.72m","夕張山地","","","","","","","","","","","","","","",""
"暑寒別岳"," 暑寒別岳 （しょかんべつだけ）とは、 北海道 空知総合振興局 西部と、 留萌振興局 東部の3郡4町にまたがる、標高1492mの山。","https://ja.wikipedia.org/wiki/暑寒別岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯43度43分0秒東経141度31分20秒","北海道増毛郡増毛町雨竜郡雨竜町・北竜町樺戸郡新十津川町","北緯43度43分0秒東経141度31分20秒﻿ / ﻿北緯43.71667度 東経141.52222度﻿ /43.71667; 141.52222","1,491.62m","増毛山地","","","","","","","","","","","","","","",""
"樽前山"," 樽前山 （たるまえさん、たるまえざん、たるまいさん、たるまいざん）は、 北海道 南西部にある 支笏湖 の南側、 苫小牧市 の北西部に位置する 活火山 。 標高 は最高点の樽前ドームで1,041m、 一等三角点 （点名「樽前岳」）の東山で1,022m、 三等三角点 （点名「樽前山」）の西山で994m。 支笏洞爺国立公園 に属する。 風不死岳 、 恵庭岳 とともに支笏三山の一つに数えられる。","https://ja.wikipedia.org/wiki/樽前山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯42度41分26秒東経141度22分36秒","北海道苫小牧市・千歳市","北緯42度41分26秒東経141度22分36秒﻿ / ﻿北緯42.69056度 東経141.37667度﻿ /42.69056; 141.37667座標:北緯42度41分26秒東経141度22分36秒﻿ / ﻿北緯42.69056度 東経141.37667度﻿ /42.69056; 141.37667","1,041m","支笏カルデラ","火砕丘、溶岩ドーム(活火山ランクA)","","","","","","","","","","","","","",""
"北海道駒ヶ岳"," 北海道駒ヶ岳 （ほっかいどうこまがたけ）は、 北海道 森町 、 鹿部町 、 七飯町 にまたがる標高1,131 m の 活火山 （ 成層火山 ）である。 渡島国 ・ 渡島半島 の ランドマーク となっている。 蝦夷駒ヶ岳 （えぞこまがたけ）、 渡島駒ヶ岳 （おしまこまがたけ）とも呼ばれる。江戸時代の旧称は 内浦岳 。 富士山 型の紡錘状の山容から 谷元旦 が描いた絵画が 渡島富士 （おしまふじ）と呼ばれ、 郷土富士 となっている。「北海道」を冠するのは 全国に多数存在する同名の山 と区別するためであり、地元・北海道では単に 駒ヶ岳 と呼ばれる  。","https://ja.wikipedia.org/wiki/北海道駒ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯42度03分48秒東経140度40分38秒","日本北海道森町、鹿部町、七飯町","北緯42度03分48秒東経140度40分38秒﻿ / ﻿北緯42.06333度 東経140.67722度﻿ /42.06333; 140.67722座標:北緯42度03分48秒東経140度40分38秒﻿ / ﻿北緯42.06333度 東経140.67722度﻿ /42.06333; 140.67722","1,131m","独立峰","成層火山（活火山ランクA）","","","","","","","","","","","","","",""
