"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","法人番号","文化財","宗派","創建年","本尊","山号","面積","開基","札所等","正式名","寺格","分類","別称","運営者","公式サイト","開山","公式HP"
"十和田湖","[十和田湖および奥入瀬渓流（青森県十和田市・秋田県鹿角郡小坂町）] 十和田湖 （とわだこ）は、 青森県 十和田市 と 秋田県 鹿角郡 小坂町 にまたがる 湖 。日本の湖沼としては、最大水深は326.8mで第3位  、面積では12番目  。東岸には、十和田湖の水が唯一流れ出る 奥入瀬川 があり、北東に約14kmにわたり 奥入瀬渓流 が延びる。約20km北には 八甲田山 が位置する。","https://ja.wikipedia.org/wiki/十和田湖","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯40度27分53秒東経140度52分38秒","日本青森県十和田市秋田県鹿角郡小坂町","北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722座標:北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ /40.46472; 140.87722","","","","","","","61.11km2","","","","","","","","","",""
"富士山 (代表的なトピック)","[富士山（山梨県・静岡県）] 富士山 （ふじさん、 英語 : Mount Fuji ）は、 山梨県 （ 富士吉田市 、 南都留郡 鳴沢村 ）と、 静岡県 （ 富士宮市 、 裾野市 、 富士市 、 御殿場市 、 駿東郡 小山町 ）に跨る 活火山 である  。 標高 3776.12 m 、 日本最高峰 （ 剣ヶ峰 ）  の 独立峰 で、その優美な風貌は日本国外でも 日本 の 象徴 として広く知られている。数多くの芸術作品の題材とされ芸術面のみならず、気候や地層など地質学的にも社会的に大きな影響を与えている。懸垂曲線の山容を有した玄武岩質成層火山で構成され、その山体は 駿河湾 の海岸まで及ぶ。","https://ja.wikipedia.org/wiki/富士山_(代表的なトピック)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度21分45秒東経138度43分50秒","日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村","北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306座標:北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ /35.3625; 138.7306","","","","","","","","","","","","","","","","",""
"瀞八丁","[瀞八丁（和歌山県新宮市・奈良県吉野郡十津川村）] 瀞八丁 （どろはっちょう）は、 和歌山県 新宮市 と 奈良県 吉野郡 十津川村 、 三重県 熊野市 の三県の境界を成す 峡谷 。 瀞峡 の下流である下瀞の上流にあたり、 熊野川 水系 北山川 上流の玉置口・洞天門から田戸までの区域をいう。","https://ja.wikipedia.org/wiki/瀞八丁","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三波石峡","[三波石峡（群馬県藤岡市・埼玉県児玉郡神川町）] 三波石峡 （さんばせききょう   、さんばせっきょう  ）は、 神流川 上流に位置し、 群馬県 と 埼玉県 に跨る景勝地である。国の 史蹟名勝天然記念物 （ 名勝 ・ 天然記念物 ）に指定されている   。","https://ja.wikipedia.org/wiki/三波石峡","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"草加松原","[草加松原-埼玉県草加市] 草加松原 （そうかまつばら）は、 埼玉県 草加市 にある国指定の 名勝  。","https://ja.wikipedia.org/wiki/草加松原","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"慈雲寺 (日光市) (存在しないページ)","[ガンマンガ淵（慈雲寺境内） -栃木県日光市]","https://ja.wikipedia.org/w/index.php?title=慈雲寺_(日光市)&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那須神社","[八幡宮（那須神社境内）- 栃木県大田原市] 那須神社 （なすじんじゃ）は、 栃木県 大田原市 にある 神社 。","https://ja.wikipedia.org/wiki/那須神社","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯36度51分50.9秒東経140度5分16.3秒","栃木県大田原市南金丸1628","北緯36度51分50.9秒東経140度5分16.3秒﻿ / ﻿北緯36.864139度 東経140.087861度﻿ /36.864139; 140.087861﻿ (那須神社)座標:北緯36度51分50.9秒東経140度5分16.3秒﻿ / ﻿北緯36.864139度 東経140.087861度﻿ /36.864139; 140.087861﻿ (那須神社)","","","","","","","","","","","","","","","","",""
"殺生石","[殺生石- 栃木県那須郡那須町] 殺生石 （せっしょうせき）は、 栃木県 那須町 の 那須湯本温泉 付近に存在する 溶岩 である。付近一帯に火山性ガスが噴出し、昔の人々が「生き物を殺す石」だと信じたことからその名がある。","https://ja.wikipedia.org/wiki/殺生石","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒塚","[黒塚の岩屋-福島県二本松市] 黒塚 （くろづか）は、 福島県 二本松市 （旧 安達郡 大平村 ）にある 鬼婆 の墓、及びその鬼婆にまつわる伝説。 安達ヶ原 （ 阿武隈川 東岸の称。 安達太良山 東麓とも）に棲み、人を喰らっていたという「 安達ヶ原の鬼婆 （あだちがはらのおにばば）」として伝えられている。","https://ja.wikipedia.org/wiki/黒塚","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宮城県","[武隈の松 -宮城県岩沼市] ","https://ja.wikipedia.org/wiki/宮城県","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯38度16分6.9秒東経140度52分19.3秒","〒980-8570宮城県仙台市青葉区本町3丁目8番1号北緯38度16分6.9秒東経140度52分19.3秒﻿ / ﻿北緯38.268583度 東経140.872028度﻿ /38.268583; 140.872028","","8000020040002","","","","","","7,282.22km2（境界未定部分あり）","","","","","","","","","",""
"榴岡公園","[つゝじが岡及び天神の御社 - 宮城県仙台市] 榴岡公園 （つつじがおかこうえん）は、 宮城県 仙台市 宮城野区 の丘陵地  にある 都市公園 である。躑躅岡（つつじがおか）は古くから 歌枕 として詠まれていた地名であり、また 江戸時代 に 仙台藩 主 伊達綱村 がこの地に桜を植樹して民衆に開放したことから、当時から現在に至るまで 花見 の名所でもある。","https://ja.wikipedia.org/wiki/榴岡公園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯38度15分38.2秒東経140度53分49.1秒","日本宮城県仙台市宮城野区榴ヶ岡、五輪1丁目、宮城野1丁目","","","","","","","","11.2ha","","","","","都市公園> 基幹公園 > 都市基幹公園 >総合公園","","仙台市","","",""
