"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","文化財","法人番号","山号","創建年","宗派","本尊","開基","寺格","正式名","札所等","公式HP","面積","分類","開山","公式サイト","運営者","駐車場"
"兼六園","[兼六園（石川県金沢市）] 兼六園 （けんろくえん）は、 石川県 金沢市 に存在する 日本庭園 である。国の 特別名勝 に指定されている。広さは約11.7 ヘクタール 。","https://ja.wikipedia.org/wiki/兼六園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯36度33分43.7秒東経136度39分45.0秒","日本石川県金沢市","","","","","","","","","","","","","総面積 11.7ヘクタール","池泉回遊式日本庭園","","兼六園（石川県）","","554台（兼六駐車場）"
"後楽園","[後楽園（岡山県岡山市北区）] 後楽園 （こうらくえん）は、 岡山県 岡山市 北区 後楽園にある 日本庭園 （ 大名庭園 ）で、 日本三名園 のひとつである。","https://ja.wikipedia.org/wiki/後楽園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度40分5.25秒 東経133度56分6.5秒","","","","","","","","","","","","","","","","","","",""
"偕楽園","[偕楽園（茨城県水戸市）] 偕楽園 （かいらくえん）は、 日本 の 茨城県 水戸市 にある 日本庭園 である。国の 史跡 及び 名勝 に指定されている（指定名称は「常磐公園」  ）。 伝統 的に、 後楽園 （ 岡山県 岡山市 ）や 兼六園 （ 石川県 金沢市 ）と並んで 日本三名園 の一つに数えられている。","https://ja.wikipedia.org/wiki/偕楽園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯36度22分23秒東経140度27分22秒","日本茨城県水戸市見川","","","","","","","","","","","","","13ha（拡張部を合わせると300ha）","都市公園（広域公園）","","公式ウェブサイト","茨城県",""
"毛越寺","[毛越寺庭園 （岩手県西磐井郡平泉町）] 毛越寺 （もうつうじ）は、 岩手県 西磐井郡 平泉町 （創建時は 陸奥国 磐井郡 平泉 ）に所在する、 天台宗 の寺院。現在の 本尊 は  薬師如来 立像（ 平安時代 後期の作。脇侍は 日光菩薩 ・ 月光菩薩 ）。建築は平安様式。","https://ja.wikipedia.org/wiki/毛越寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯38度59分14秒東経141度6分27秒","岩手県西磐井郡平泉町字大沢58","北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)座標:北緯38度59分14秒東経141度6分27秒﻿ / ﻿北緯38.98722度 東経141.10750度﻿ /38.98722; 141.10750﻿ (毛越寺本堂)","特別史跡特別名勝","8400505000257","医王山（いおうざん）","（伝）嘉祥3年（850年）","","薬師如来","（伝）円仁（慈覚大師）","別格本山","","奥州三十三観音霊場番外札所四寺廻廊札所","天台宗 別格本山 毛越寺","","","","","",""
"旧観自在王院庭園","[旧観自在王院庭園（岩手県西磐井郡平泉町）] 観自在王院跡 （かんじざいおういんあと）とは、 岩手県 の 平泉 に 藤原基衡 の妻  が建設した寺院跡。","https://ja.wikipedia.org/wiki/旧観自在王院庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯38度59分17秒 東経141度6分37秒","","","","","","","","","","","","","","","","","","",""
"光前寺","[光前寺（長野県駒ヶ根市）] 光前寺 （こうぜんじ）は、 長野県 駒ヶ根市 赤穂 にある 天台宗 の別格本山の寺院である。山号は宝積山（ほうしゃくさん）。院号は無動院。本尊は 不動明王 で秘仏。天台宗信濃五山（ 戸隠山 の 顕光寺 ・ 善光寺 ・ 更科八幡 神宮寺 ・ 津金寺 ・光前寺）のひとつに数えられた。 1967年 （ 昭和 42年）、庭園が国の 名勝 に指定された  。また、霊犬早太郎説話でも知られている。","https://ja.wikipedia.org/wiki/光前寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度44分5.45秒東経137度53分43.58秒","長野県駒ヶ根市赤穂29番地","北緯35度44分5.45秒東経137度53分43.58秒﻿ / ﻿北緯35.7348472度 東経137.8954389度﻿ /35.7348472; 137.8954389座標:北緯35度44分5.45秒東経137度53分43.58秒﻿ / ﻿北緯35.7348472度 東経137.8954389度﻿ /35.7348472; 137.8954389","弁天堂（国の重要文化財）国の名勝","6100005009054","宝積山","貞観2年（860年）","天台宗","不動明王","本聖","別格本山","宝積山 無動院 光前寺","信濃五大寺伊那七福神（弁財天）","","","","","","",""
"一乗谷朝倉氏遺跡","[一乗谷朝倉氏庭園（福井県福井市）] 一乗谷朝倉氏遺跡 （いちじょうだに あさくらし いせき）は、 福井県 福井市 城戸ノ内町にある 戦国時代 の 遺跡 （ 日本の城 ）である。戦国時代に 一乗谷城 を中心に 越前国 を支配した戦国大名 朝倉氏 の遺跡。一乗谷城（ 山城 ）と山麓の 城下町 （朝倉氏および家臣の居館）からなる。","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度59分58.17秒東経136度17分44.03秒","","北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639座標:北緯35度59分58.17秒東経136度17分44.03秒﻿ / ﻿北緯35.9994917度 東経136.2955639度﻿ /35.9994917; 136.2955639","","","","","","","","","","","","","","","","",""
"西芳寺","[西芳寺（苔寺） （京都府京都市西京区）] 西芳寺 （さいほうじ）は、 京都市 西京区 松尾にある 臨済宗 の 仏教 寺院 。 天龍寺 の境外 塔頭 だったが、現在は離脱して 単立 寺院。 庭園 は約120種の 苔 に覆われ、 苔寺 （こけでら）の通称で知られる  。 山号 を洪隠山と称する。 本尊 は 阿弥陀如来 、 開山 は 行基 と伝え、中興開山は 夢窓疎石 である。「 古都京都の文化財 」としてユネスコ 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/西芳寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度59分31.06秒東経135度40分59.93秒","京都府京都市西京区松尾神ヶ谷町56","北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139座標:北緯34度59分31.06秒東経135度40分59.93秒﻿ / ﻿北緯34.9919611度 東経135.6833139度﻿ /34.9919611; 135.6833139","湘南亭・夢窓国師画像（重要文化財）庭園（特別名勝、史跡）世界遺産","6130005001735","洪隠山","(伝)天平年間（729年-749年）中興：暦応2年（1339年）","臨済宗系単立","阿弥陀如来","(伝)行基中興：夢窓疎石","","","","","","","","","",""
"龍安寺","[龍安寺方丈石庭 （京都府京都市右京区）] 龍安寺 （りょうあんじ）は、 京都市 右京区 龍安寺御陵下町にある 臨済宗妙心寺派 の 寺院 。 妙心寺 の境外 塔頭 である   。 山号 は大雲山と号し、石庭で知られる。本尊は 釈迦如来 、開基（創建者）は 細川勝元 、 開山 （初代住職）は 義天玄承 である。「 古都京都の文化財 」として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/龍安寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度2分4.18秒東経135度43分5.71秒","京都府京都市右京区龍安寺御陵下町13","北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ /35.0344944; 135.7182528座標:北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ /35.0344944; 135.7182528","方丈、太平記12冊（重要文化財）方丈庭園（史跡・特別名勝）庭園（名勝）世界遺産","3130005001201","大雲山","宝徳2年（1450年）","臨済宗妙心寺派","釈迦如来","細川勝元","妙心寺境外塔頭","","","大雲山 龍安寺","","","義天玄承","","",""
"恵林寺","[恵林寺国指定名勝庭園（山梨県甲州市）] 恵林寺 （えりんじ）は、 山梨県 甲州市 塩山小屋敷にある 寺院 。山号は乾徳山（けんとくさん）。 臨済宗妙心寺派 に属する寺院である。甲斐武田氏の菩提寺として知られる。","https://ja.wikipedia.org/wiki/恵林寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度43分47.9秒東経138度42分49.8秒","山梨県甲州市塩山小屋敷2280","北緯35度43分47.9秒東経138度42分49.8秒﻿ / ﻿北緯35.729972度 東経138.713833度﻿ /35.729972; 138.713833座標:北緯35度43分47.9秒東経138度42分49.8秒﻿ / ﻿北緯35.729972度 東経138.713833度﻿ /35.729972; 138.713833","四脚門ほか（重要文化財）庭園（名勝）","8090005003825","乾徳山","元徳2年（1330年）","臨済宗妙心寺派","釈迦如来","夢窓疎石","","","甲斐百八霊場9番","","","","","","",""
