"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","通過路","山系","位置","国","種類","教派","献堂日","地方","団体コード","ISO 3166-2:JP","面積","総人口","人口密度","隣接都道府県","県の木","県の花","県の鳥"
"石北峠","[1石北峠せきほく北海道上川郡上川町・北見市] 石北峠 （せきほくとうげ）は、 北海道 の 上川郡 上川町 と 北見市 （旧 留辺蘂町 ）の境にある 国道39号 の 峠 。","https://ja.wikipedia.org/wiki/石北峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯43度38分54秒東経143度09分32秒","北海道上川郡上川町・北見市","1,050m","国道39号","石狩山地","","","","","","","","","","","","","","",""
"美幌峠","[2美幌峠びほろ北海道網走郡美幌町・川上郡弟子屈町] 美幌峠 （びほろとうげ）は、 北海道 網走郡 美幌町 と 川上郡 弟子屈町 の境にある 国道243号 の 峠 。 オホーツク総合振興局 と 釧路総合振興局 の境界にもなっている。","https://ja.wikipedia.org/wiki/美幌峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯43度38分55秒東経144度14分53秒","日本北海道網走郡美幌町・川上郡弟子屈町","493m","国道243号","屈斜路カルデラ外輪山","","","","","","","","","","","","","","",""
"狩勝峠","[3狩勝峠かりかち北海道空知郡南富良野町・上川郡新得町] 狩勝峠 （かりかちとうげ）とは、 北海道 空知郡 南富良野町 と 上川郡 新得町 の境界にある 峠 。道路の峠の標高は644m。峠の西側は 石狩川 水系、東側は 十勝川 水系で、 日本海 側と 太平洋 側の 分水界 である。","https://ja.wikipedia.org/wiki/狩勝峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯43度8分7.6秒東経142度45分52秒","北海道空知郡南富良野町・上川郡新得町","644m","根室本線（新狩勝トンネル）国道38号道東自動車道（狩勝第一トンネル）","日高山脈","","","","","","","","","","","","","","",""
"発荷峠","[4発荷峠はっか秋田県鹿角市・鹿角郡小坂町] 発荷峠 （はっかとうげ）は、 秋田県 鹿角市 と 秋田県 小坂町 の境にある 峠 。標高 631m","https://ja.wikipedia.org/wiki/発荷峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯40度24分30.31秒東経140度51分51.17秒","秋田県鹿角市・小坂町","631m","国道103号","奥羽山脈","","","","","","","","","","","","","","",""
"矢立峠","[5矢立峠やたて青森県平川市・秋田県大館市] 矢立峠 （やたてとうげ）は、 秋田県 大館市 と 青森県 平川市 の 県境 にある 峠 である。標高は258m。","https://ja.wikipedia.org/wiki/矢立峠","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯40度25分16秒東経140度37分35秒","秋田県大館市・青森県平川市","258m","国道7号奥羽本線（矢立トンネル）","奥羽山脈","","","","","","","","","","","","","","",""
"八幡平","[6八幡平はちまんたい岩手県八幡平市・秋田県鹿角市・仙北市] 八幡平 （はちまんたい）は、 秋田県 と 岩手県 にまたがる 標高 1,614 m の山及びその周囲の高原台地  。 深田久弥 の 日本百名山 に挙げられている   。山域は 1956年 （昭和31年）に 十和田八幡平国立公園 に指定されている。","https://ja.wikipedia.org/wiki/八幡平","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯39度57分28秒東経140度51分15秒","日本岩手県八幡平市秋田県仙北市・鹿角市","1,613.50m","","奥羽山脈","北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417座標:北緯39度57分28秒東経140度51分15秒﻿ / ﻿北緯39.95778度 東経140.85417度﻿ /39.95778; 140.85417","","成層火山","","","","","","","","","","","",""
"国見峠 (岩手県・秋田県)","[7国見峠くにみ岩手県岩手郡雫石町・秋田県仙北市] 国見峠 （くにみとうげ）は、 岩手県 岩手郡 雫石町 と 秋田県 仙北市 を結ぶ 奥羽山脈 上の 峠 である。 笹森山 の南稜線上にあり、標高は940m  。","https://ja.wikipedia.org/wiki/国見峠_(岩手県・秋田県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯39度43分11秒東経140度47分18秒","岩手県岩手郡雫石町・秋田県仙北市","940m","","奥羽山脈","","","","","","","","","","","","","","",""
"笛吹峠 (岩手県)","[8笛吹峠ふえふき岩手県遠野市・釜石市] 笛吹峠 （ふえふきとうげ）は 岩手県 遠野市 と同 釜石市 を結ぶ 岩手県道35号釜石遠野線 の峠。標高は867m。","https://ja.wikipedia.org/wiki/笛吹峠_(岩手県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯39度20分39秒東経141度39分36秒","岩手県遠野市・釜石市","867m","岩手県道35号釜石遠野線","北上山地","","","","","","","","","","","","","","",""
"五輪峠 (岩手県)","[9五輪峠ごりん岩手県花巻市・遠野市・奥州市] 五輪峠 （ごりんとうげ）は、 岩手県 花巻市 、同県 遠野市 、 奥州市 の境界となっている峠。 岩手県道174号小友米里線 が経由している。標高は556m。","https://ja.wikipedia.org/wiki/五輪峠_(岩手県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯39度15分37秒東経141度21分25秒","岩手県花巻市・遠野市・奥州市","556m","岩手県道174号小友米里線","北上山地","","","","","","","","","","","","","","",""
"仙人峠 (岩手県)","[10仙人峠せんにん岩手県遠野市・釜石市] 仙人峠 （せんにんとうげ）は、 岩手県 遠野市 と 釜石市 の境界の 北上山地 中にある標高887 メートルの 峠 である。 北上川 支流の 猿ヶ石川 の支流 早瀬川 と、 甲子川 の 分水界 となっている。","https://ja.wikipedia.org/wiki/仙人峠_(岩手県)","日本百名峠","https://ja.wikipedia.org/wiki/日本百名峠","表形式","北緯39度16分35秒東経141度41分49秒","岩手県遠野市・釜石市","887m","国道283号仙人峠道路（新仙人トンネル）国道283号（仙人トンネル）釜石線","北上山地","","","","","","","","","","","","","","",""
