"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","地方","都道府県","市町村コード","総人口","隣接自治体","外部リンク","法人番号","人口密度","市の木","市の花","市長","種類","標高","位置","最新噴火","分類"
"黒曜石","[町内、赤石山（1172m）の山頂付近（800m）から無尽蔵（推定60億トンともいわれる）ともいえる黒曜石を採取し、山の上から、粗砕き（700m）を行い、分業で、簡易加工（500m）して各地に運ばれている。採石場の活用は6千年間に及ぶといわれている。白滝の黒曜石は、北海道内はもとよりサハリンやシベリア、縄文時代の青森県三内丸山遺跡にまで及んでいる。白滝遺跡群は90ヶ所以上ある。] 化学 組成上は 流紋岩 （まれに デイサイト ）で、 石基 はほぼ ガラス 質で少量の 斑晶 を含むことがある。流紋岩質 マグマ が水中などの特殊な条件下で噴出し、急激に冷やされることで生じると考えられている。同じくガラス質で丸い割れ目の多数あるものは パーライト （真珠岩）という。 二酸化珪素 が約70%から80%で 酸化アルミニウム が10%強、その他に 酸化ナトリウム 、 酸化カリウム 、 酸化鉄 、 酸化カルシウム 等を含む。外縁部と内側では構造が異なる。また、内部に結晶が認められるものもある。","https://ja.wikipedia.org/wiki/黒曜石","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","","火山ガラス"
"恵庭岳","[恵庭岳が約1万8千年前に噴火したとき飛んできた火山灰よりも下の地層から見つかっている上士幌町嶋木遺跡は約1万9千年前と考えられている。石刃などの打製石器が発見されている。] 恵庭岳 （えにわだけ、アイヌ語: e-en-iwa）は、 北海道 の 支笏洞爺国立公園 にある 第四紀 火山 である。標高は1,320 mで、1991年に 気象庁 より 活火山 に指定されている。山名は アイヌ語 の「エエンイワ  」（頭が・尖っている・山）に由来する  。","https://ja.wikipedia.org/wiki/恵庭岳","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯42度47分35秒東経141度17分07秒","日本北海道千歳市・恵庭市","","","","","","","","","","","","","","活火山","1,320m","北緯42度47分35秒東経141度17分07秒﻿ / ﻿北緯42.79306度 東経141.28528度﻿ /42.79306; 141.28528座標:北緯42度47分35秒東経141度17分07秒﻿ / ﻿北緯42.79306度 東経141.28528度﻿ /42.79306; 141.28528","200年前",""
"豊里遺跡 (存在しないページ)","[網走支庁（旧女満別町）大空町豊里遺跡]","https://ja.wikipedia.org/w/index.php?title=豊里遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"オホーツク海","[オホーツク海沿岸に沿って展開する遺跡、旧石器文化から縄文文化（早期・前期・中期・後期・晩期）、続縄文文化、オホーツク文化、擦文文化、アイヌ文化まで幅広い年代・多期にわたっていることも大きな特長である。] 太平洋 の 縁海 であり、カムチャツカ半島・千島列島によって 太平洋 と、また、樺太・北海道によって 日本海 と隔てられている。","https://ja.wikipedia.org/wiki/オホーツク海","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三内丸山遺跡","[三内丸山遺跡（青森市）] 三内丸山遺跡 （さんないまるやまいせき）は、 青森県 青森市 大字三内字丸山にある、 縄文時代 前期中頃から中期末葉（約5900-4200年前  ）の大規模集落跡。 沖館川 右岸の 河岸段丘 上に立地する。 1997年 3月5日  、国の 特別史跡 に指定。遺跡には住居群、倉庫群のほか、シンボル的な3層の 掘立柱建物 が再現されており、資料や出土品の展示施設「 縄文時遊館 」もある  。青森県 教育庁 文化財保護課三内丸山遺跡保存活用推進室が 発掘調査 を行っている。","https://ja.wikipedia.org/wiki/三内丸山遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","北緯40度48分41秒東経140度41分48秒","青森県青森市大字三内字丸山","","","","","","","","","","","","","","遺跡","","","",""
"早坂平遺跡 (存在しないページ)","[早坂平遺跡（久慈市）]","https://ja.wikipedia.org/w/index.php?title=早坂平遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金取遺跡","[金取遺跡（遠野市）] 金取遺跡 （かなどりいせき）は、 岩手県 遠野市 宮守町に所在し、中期 旧石器時代 に属する 日本列島 の遺跡である。","https://ja.wikipedia.org/wiki/金取遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花泉遺跡","[花泉遺跡（一関市）] 花泉遺跡 （はないずみいせき）は、 岩手県 一関市 花泉町 金森に所在する 後期旧石器時代 の遺跡で、 金森遺跡 ともいう。","https://ja.wikipedia.org/wiki/花泉遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"米ヶ森遺跡 (存在しないページ)","[米ヶ森遺跡（大仙市）]","https://ja.wikipedia.org/w/index.php?title=米ヶ森遺跡&amp;action=edit&amp;redlink=1","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高瀬山遺跡","[高瀬山遺跡（寒河江市）] 高瀬山遺跡 （たかせやまいせき）は、 山形県 寒河江市 の高瀬山一帯に広がる旧石器時代から中世にかけての遺跡群である。遺跡内には 高瀬山古墳 （C遺跡）や4基の経塚が発見されたE遺跡などがある。","https://ja.wikipedia.org/wiki/高瀬山遺跡","旧石器時代の遺跡一覧","https://ja.wikipedia.org/wiki/旧石器時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
