"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","標高","山系","種類","最新噴火","最高峰","延長","幅","上位山系","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"縫道石山","[1ぬいどういしやま縫道石山青森県626地理院地図Googleマップ.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯41度18分47秒東経140度50分49秒﻿ / ﻿北緯41.313144度 東経140.846889度﻿ /41.313144; 140.846889﻿ (縫道石山)] 縫道石山 （ぬいどういしやま）は、 下北半島 にある 標高 626mの山である。山頂部はわずかに佐井村に入っている。 東北百名山 に選ばれている。","https://ja.wikipedia.org/wiki/縫道石山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯41度18分47.3秒東経140度50分48.8秒","北緯41度18分47.3秒東経140度50分48.8秒﻿ / ﻿北緯41.313139度 東経140.846889度﻿ /41.313139; 140.846889座標:北緯41度18分47.3秒東経140度50分48.8秒﻿ / ﻿北緯41.313139度 東経140.846889度﻿ /41.313139; 140.846889","青森県佐井村・むつ市","626m","","岩頸","","","","","","","","","","","","","",""
"吹越烏帽子","[2ふっこしえぼし吹越烏帽子青森県507.7地理院地図Googleマップ北緯41度02分15秒東経141度19分02秒﻿ / ﻿北緯41.037447度 東経141.317137度﻿ /41.037447; 141.317137﻿ (吹越烏帽子)] 吹越烏帽子 （ふっこしえぼし）は、 下北半島 にある 標高 507.8mの山である。","https://ja.wikipedia.org/wiki/吹越烏帽子","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯41度02分15秒東経141度19分02秒","北緯41度02分15秒東経141度19分02秒﻿ / ﻿北緯41.03750度 東経141.31722度﻿ /41.03750; 141.31722座標:北緯41度02分15秒東経141度19分02秒﻿ / ﻿北緯41.03750度 東経141.31722度﻿ /41.03750; 141.31722","日本青森県横浜町・六ヶ所村","507.8m","","","","","","","","","","","","","","","",""
"袴腰岳 (青森県むつ市) (存在しないページ)","[3画 像 募 集 中はかまごしだけ袴腰岳青森県707地理院地図Googleマップ北緯41度10分05秒東経140度34分46秒﻿ / ﻿北緯41.168014度 東経140.579325度﻿ /41.168014; 140.579325﻿ (袴腰岳)]","https://ja.wikipedia.org/w/index.php?title=袴腰岳_(青森県むつ市)&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天狗岳 (青森県)","[4てんぐだけ天狗岳青森県957.9地理院地図Googleマップ北緯40度31分38秒東経140度05分04秒﻿ / ﻿北緯40.527140度 東経140.084343度﻿ /40.527140; 140.084343﻿ (天狗岳)白神山地] 天狗岳 （てんぐだけ）は、 青森県 西津軽郡 深浦町 にある 白神山地 の山である。 標高 957.6m。","https://ja.wikipedia.org/wiki/天狗岳_(青森県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度31分38秒東経140度05分04秒","北緯40度31分38秒東経140度05分04秒﻿ / ﻿北緯40.52722度 東経140.08444度﻿ /40.52722; 140.08444座標:北緯40度31分38秒東経140度05分04秒﻿ / ﻿北緯40.52722度 東経140.08444度﻿ /40.52722; 140.08444","日本青森県西津軽郡深浦町","957.6m","白神山地","","","","","","","","","","","","","","",""
"白神岳","[5しらかみだけ白神岳青森県1,235地理院地図Googleマップ北緯40度30分13秒東経140度01分07秒﻿ / ﻿北緯40.503644度 東経140.018665度﻿ /40.503644; 140.018665﻿ (白神岳)日本二百名山新日本百名山世界遺産白神山地] 白神岳 （しらかみだけ）は、 青森県 にある 山 。標高1,235m。一等 三角点 の標高は1,231.9m。 世界遺産 登録の 白神山地 にある。 日本二百名山 の一つである。","https://ja.wikipedia.org/wiki/白神岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度30分27秒東経140度01分06秒","北緯40度30分27秒東経140度01分06秒﻿ / ﻿北緯40.50750度 東経140.01833度﻿ /40.50750; 140.01833座標:北緯40度30分27秒東経140度01分06秒﻿ / ﻿北緯40.50750度 東経140.01833度﻿ /40.50750; 140.01833","日本青森県西津軽郡深浦町","1,235m","白神山地","","","","","","","","","","","","","","",""
"岩木山","[6いわきさん岩木山青森県1,624.7地理院地図Googleマップ北緯40度39分21秒東経140度18分11秒﻿ / ﻿北緯40.655920度 東経140.303069度﻿ /40.655920; 140.303069﻿ (岩木山)日本百名山新日本百名山青森県最高峰津軽富士] 岩木山 （いわきさん）は 青森県 弘前市 および 西津軽郡 鰺ヶ沢町 に位置する 火山 である。 標高 は1,625 m で、 青森県の最高峰 である。 日本百名山  および 新日本百名山  に選定されている。その山容から津軽富士とも呼ばれるほか、しばしば「お」をつけて「お岩木（山）」あるいは「お岩木様」とも呼ばれる  。","https://ja.wikipedia.org/wiki/岩木山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度39分20秒東経140度18分13秒","北緯40度39分20秒東経140度18分13秒﻿ / ﻿北緯40.65556度 東経140.30361度﻿ /40.65556; 140.30361座標:北緯40度39分20秒東経140度18分13秒﻿ / ﻿北緯40.65556度 東経140.30361度﻿ /40.65556; 140.30361","日本青森県弘前市・西津軽郡鰺ヶ沢町","1,624.62m","独立峰","成層火山","1863年","","","","","","","","","","","","",""
"八甲田山","[7きたはっこうだ・おおだけ北八甲田・大岳青森県1,584.6地理院地図Googleマップ北緯40度39分32秒東経140度52分38秒﻿ / ﻿北緯40.658912度 東経140.877243度﻿ /40.658912; 140.877243﻿ (北八甲田・大岳)日本百名山（八甲田連峰全体を指す）新日本百名山新・花の百名山大岳] 八甲田山 （はっこうださん）は、 青森市 の南側にそびえる大岳（標高1,585m）を主峰とする18の山々からなる複数 火山 の総称  。 日本百名山 の一つ  。","https://ja.wikipedia.org/wiki/八甲田山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度39分31秒東経140度52分38秒","北緯40度39分31秒東経140度52分38秒﻿ / ﻿北緯40.65861度 東経140.87722度﻿ /40.65861; 140.87722座標:北緯40度39分31秒東経140度52分38秒﻿ / ﻿北緯40.65861度 東経140.87722度﻿ /40.65861; 140.87722（大岳）","青森県青森市・十和田市","大岳: 1,584m","奥羽山脈","複成火山（成層火山や溶岩ドームの火山群）","","","","","","","","","","","","","",""
"櫛ヶ峯","[8みなみはっこうだ・くしがみね南八甲田・櫛ヶ峯青森県1,516.7地理院地図Googleマップ北緯40度36分11秒東経140度50分33秒﻿ / ﻿北緯40.603179度 東経140.842569度﻿ /40.603179; 140.842569﻿ (南八甲田・櫛ヶ峯)上岳] 櫛ヶ峯 （くしがみね）は、 青森県 の南八甲田山系にある火山である。南八甲田山系の最高峰である。「櫛ヶ峰」や「櫛ガ峰」と記述されることもある。また、隣の下岳 (1342m) の関係から「上岳」と呼ばれることもある。 東北百名山 に選ばれている。駒ケ峰など東側から望むと、山の形が“柘植の櫛”のように見える。","https://ja.wikipedia.org/wiki/櫛ヶ峯","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度36分11.4秒東経140度50分33.2秒","北緯40度36分11.4秒東経140度50分33.2秒﻿ / ﻿北緯40.603167度 東経140.842556度﻿ /40.603167; 140.842556座標:北緯40度36分11.4秒東経140度50分33.2秒﻿ / ﻿北緯40.603167度 東経140.842556度﻿ /40.603167; 140.842556","日本青森県平川市・黒石市","1,517m","南八甲田山系","火山","","","","","","","","","","","","","",""
"戸来岳","[9へらいだけ戸来岳青森県1,159.5地理院地図Googleマップ北緯40度27分11秒東経141度00分05秒﻿ / ﻿北緯40.452932度 東経141.001496度﻿ /40.452932; 141.001496﻿ (戸来岳)三ツ岳大駒ヶ岳十和田湖東の外輪山] 戸来岳 （へらいだけ）は、 青森県 新郷村 と 十和田市 の境にある山である。最高峰の三ツ岳（みつだけ 1,159m   ）と大駒ヶ岳（おおこまがたけ 1,144m)を総称して戸来岳と言う。 一部のガイドブックはこれに大文字山（だいもんじやま 1,014m）を加えている。三ツ岳は、十和田湖方面から見ると、正三角形のように見えるが、十和田市方面から見ると、ピークが三つ（三ツ岳、大駒ヶ岳、大文字山）に見える。これが三ツ岳の山名の由来とみられる。","https://ja.wikipedia.org/wiki/戸来岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度27分11秒東経141度00分05秒","北緯40度27分11秒東経141度00分05秒﻿ / ﻿北緯40.45306度 東経141.00139度﻿ /40.45306; 141.00139座標:北緯40度27分11秒東経141度00分05秒﻿ / ﻿北緯40.45306度 東経141.00139度﻿ /40.45306; 141.00139","日本青森県新郷村・十和田市","1159.5m","","","","","","","","","","","","","","","",""
"十和利山","[10とわりさん十和利山青森県秋田県990.9地理院地図Googleマップ北緯40度25分37秒東経140度59分06秒﻿ / ﻿北緯40.426930度 東経140.985135度﻿ /40.426930; 140.985135﻿ (十和利山)十和田湖東の外輪山] 十和利山 （とわりさん）は、 青森県 十和田市 ・ 新郷村 と 秋田県 鹿角市 との境界に位置する 山 である。","https://ja.wikipedia.org/wiki/十和利山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯40度25分37.0秒東経140度59分06.5秒","北緯40度25分37.0秒東経140度59分06.5秒﻿ / ﻿北緯40.426944度 東経140.985139度﻿ /40.426944; 140.985139座標:北緯40度25分37.0秒東経140度59分06.5秒﻿ / ﻿北緯40.426944度 東経140.985139度﻿ /40.426944; 140.985139","日本秋田県鹿角市青森県十和田市・三戸郡新郷村","990.9m","","","","","","","","","","","","","","","",""
