"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","面積","駐車場","分類","運営者","公式サイト","種類","開園","事務所所在地","水系","事務所","アクセス","落差","備考","所在海域","最高標高"
"野幌森林公園","[野幌森林公園（北海道札幌市）] 道立自然公園野幌森林公園 （どうりつしぜんこうえんのっぽろしんりんこうえん）は、 北海道 札幌市 ・ 江別市 ・ 北広島市 にある 公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/野幌森林公園","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯43度03分09秒東経141度30分02秒","日本札幌市厚別区・江別市・北広島市","","","","2,053ヘクタール","","自然公園","北海道","道立自然公園野幌森林公園","","1968年","札幌市厚別区厚別町小野幌53-2","","北海道博物館総務課","#交通アクセス参照","","公園内への動物・植物などの持ち込みは禁止（一部遊歩道では犬の散歩ができる）広域避難場所","",""
"函館山","[函館山（北海道函館市）] 函館山 （はこだてやま）は、 北海道 函館市 の市街地西端にある 山 であり 陸繋島 でもある。陸繋島として表す場合でも「函館島」「函館山島」といった表現をすることは稀である。 標高 334m、周囲約9km。牛が寝そべるような外観から 臥牛山 （がぎゅうざん）とも呼ばれる  。","https://ja.wikipedia.org/wiki/函館山","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯41度45分33秒東経140度42分16秒","日本北海道函館市","北緯41度45分33秒東経140度42分16秒﻿ / ﻿北緯41.75917度 東経140.70444度﻿ /41.75917; 140.70444﻿ (函館山)座標:北緯41度45分33秒東経140度42分16秒﻿ / ﻿北緯41.75917度 東経140.70444度﻿ /41.75917; 140.70444﻿ (函館山)","334m","","","","","","","成層火山","","","","","","","","",""
"利尻島","[利尻島自然休養林 （北海道利尻郡利尻町）] 利尻島 （りしりとう）は、 北海道 の北部、 日本海 上に存在するほぼ円形の 島 である。面積182.11 km 2 。 日本の島嶼部 で18番目に広い面積を有している  。島内には 利尻富士町 と 利尻町 の自治体があり、『平成22年住民台帳人口・世帯数』における島の総人口は約5,400人である  。北には 礼文水道 を挟み 礼文島 を望む。","https://ja.wikipedia.org/wiki/利尻島","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","北緯45度10分東経141度15分","日本(北海道)","","","","182.11km²","","","","","","","","","","","","","日本海","1,721m"
"網走自然休養林 (存在しないページ)","[網走自然休養林（北海道網走市）]","https://ja.wikipedia.org/w/index.php?title=網走自然休養林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浅虫生活環境保全林 (存在しないページ)","[浅虫生活環境保全林（青森県青森市）]","https://ja.wikipedia.org/w/index.php?title=浅虫生活環境保全林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"十二湖","[十二湖自然休養林] 十二湖 （じゅうにこ）は、 青森県 西津軽郡 深浦町 にある複数の 湖 の総称である。 白神山地 の一角で、 津軽国定公園 内にある。","https://ja.wikipedia.org/wiki/十二湖","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安比高原ブナ林 (存在しないページ)","[安比高原ブナ林（岩手県八幡平市）]","https://ja.wikipedia.org/w/index.php?title=安比高原ブナ林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"耗山国有林 (存在しないページ)","[耗山国有林、十二神自然観察教育林（岩手県宮古市）]","https://ja.wikipedia.org/w/index.php?title=耗山国有林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高田松原","[高田松原（岩手県陸前高田市）] 高田松原 （たかたまつばら）は、 岩手県 陸前高田市 気仙町 の 太平洋 岸にある 松原 で、かつては約7万本が2キロメートルの 砂浜 に茂っていたが、 東日本大震災 （2011年）による 津波 で 奇跡の一本松 を残して倒壊した。その後、4万本を目指して 植樹 による再生が進められ  、2021年5月18日に完了した  。このうち600本は、震災前年に クリスマス の飾り物用に地元の女性が高田松原で拾い集めて保管していた 松ぼっくり を 森林総合研究所 材木育種センター 東北 育種場に寄託し、その種から育てた苗木が使われた  。","https://ja.wikipedia.org/wiki/高田松原","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"仙台自然休養林 (存在しないページ)","[仙台自然休養林（宮城県仙台市）]","https://ja.wikipedia.org/w/index.php?title=仙台自然休養林&amp;action=edit&amp;redlink=1","森林浴の森100選","https://ja.wikipedia.org/wiki/森林浴の森100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
