"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","ウェブサイト","所在地","正式名称","略称","設立年月日","英語名称","組織形態","前身","法人番号","所長","上位組織","人数","所管","本部所在地","予算","設置者","設立","研究科","学校種別"
"国連大学サステイナビリティと平和研究所","[国連大学サステイナビリティと平和研究所] UUNU-ISPでは、国連が取り組む課題の中で最も喫緊である「地球変動とサステイナビリティ」、「平和と安全保障」そして「国際協力と開発」という3つの分野横断的な課題をテーマとし、教育、研究・研修事業、知識普及活動に学際的なアプローチで取り組んでいる。","https://ja.wikipedia.org/wiki/国連大学サステイナビリティと平和研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","UNU-ISP","","","","","","","","","","","","","","",""
"国連訓練調査研究所 (存在しないページ)","[国連訓練調査研究所(UNITAR)]","https://ja.wikipedia.org/w/index.php?title=国連訓練調査研究所&amp;action=edit&amp;redlink=1","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国連軍縮研究所 (存在しないページ)","[国連軍縮研究所(UNIDIR)]","https://ja.wikipedia.org/w/index.php?title=国連軍縮研究所&amp;action=edit&amp;redlink=1","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国連社会開発研究所 (存在しないページ)","[国連社会開発研究所(UNRISD)]","https://ja.wikipedia.org/w/index.php?title=国連社会開発研究所&amp;action=edit&amp;redlink=1","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国連地域間犯罪司法研究所 (存在しないページ)","[国連地域間犯罪司法研究所(UNICRI)]","https://ja.wikipedia.org/w/index.php?title=国連地域間犯罪司法研究所&amp;action=edit&amp;redlink=1","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"キャヴェンディッシュ研究所","[キャヴェンディッシュ研究所] キャヴェンディッシュ研究所 （キャヴェンディッシュけんきゅうじょ、Cavendish Laboratory）は、 ケンブリッジ大学 に所属する イギリス の 物理学 研究所 および 教育機関 。 核物理学 のメッカとも呼ばれる。","https://ja.wikipedia.org/wiki/キャヴェンディッシュ研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","http://www.phy.cam.ac.uk/","イギリス","Cavendish Laboratory","","","","","","","","","","","","","","","",""
"COMARE","[COMARE] COMARE (Committee on Medical Aspects of Radiation in the Environment, 環境における放射線の医学的側面に関する委員会) は英国政府によって 1985年 に設立された諮問委員会である。 ","https://ja.wikipedia.org/wiki/COMARE","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"イギリス国立物理学研究所","[イギリス国立物理学研究所] NPLは 計測 学と 物質科学 において、国際的に評価されている中核的研究機関である。 1900年 に ブッシーハウス （ 英語版 ） を所在地として選んで以来、国家の計量標準の開発と保守を行ってきた。今では、 ビジネス・イノベーション・職業技能省 からの予算で National Measurement System の科学面を支えている。産業界における計測に関する問題に科学的支援を行う営利サービスも行っており、 MSF 標準電波 局を管理している。","https://ja.wikipedia.org/wiki/イギリス国立物理学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","http://www.npl.co.uk/","イギリスロンドン","National Physical Laboratory","NPL","","","","","","","","","ビジネス・イノベーション・職業技能省","","","","","",""
"ウォーバーグ研究所","[ウォーバーグ研究所] ウォーバーグ研究所 （ウォーバーグけんきゅうじょ、The Warburg Institute）は、 人文科学 を専門とする ロンドン大学 の付属 研究所 で、高名な 美術史 研究者だった アビ・ヴァールブルク によって設立された  。 ルネサンス 期の 文化史 ・ 精神史 に関する研究で知られ、とくに20世紀の美術史学に大きな影響を与えた。","https://ja.wikipedia.org/wiki/ウォーバーグ研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","英国ロンドン座標:北緯51度31分24秒西経0度07分48秒﻿ / ﻿北緯51.52331度 西経0.13013度﻿ /51.52331; -0.13013","","","","","","","","","","","","","","","","",""
"英国地質調査所","[英国地質調査所] 英国地質調査所 （えいこくちしつちょうさしょ、British Geological Survey ：略称：BGS）または 英国地質研究所 （えいこくちしつけんきゅうしょ）は、 イギリス とその 大陸棚 の調査、監視、研究をおこなう 研究所 である。本部は ノッティンガムシャー の Keyworth にあるが、 エディンバラ 、 ウォリンフォード ( Wallingford )、 カーディフ 、 エクセター 、 ロンドン にも支所がある。","https://ja.wikipedia.org/wiki/英国地質調査所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
