"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","主祭神","位置","社格,等","例祭","創建","本殿の,様式","地図","主な神事","別名","札所等","神体","法人番号","国","地方","面積","総人口","人口密度","外部リンク"
"敢國神社","[敢國神社（三重県伊賀市）（あえくに）] 敢國神社 （あえくにじんじゃ）は、 三重県 伊賀市 一之宮にある 神社 。 式内社 （大社）、 伊賀国 一宮 。 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/敢國神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度47分14.52秒東経136度09分50.18秒","三重県伊賀市一之宮877","大彦命","北緯34度47分14.52秒東経136度09分50.18秒﻿ / ﻿北緯34.7873667度 東経136.1639389度﻿ /34.7873667; 136.1639389﻿ (敢國神社)座標:北緯34度47分14.52秒東経136度09分50.18秒﻿ / ﻿北緯34.7873667度 東経136.1639389度﻿ /34.7873667; 136.1639389﻿ (敢國神社)","式内社（大）伊賀国一宮旧国幣中社別表神社","12月5日","（伝）斉明天皇4年（658年）","流造","敢國神社","獅子神楽舞初祭（1月3日）獅子神楽舞上祭（4月17日）","","","","","","","","","",""
"赤城神社 (前橋市富士見町赤城山)","[元宮：赤城神社 (前橋市富士見町赤城山)（群馬県前橋市）] 赤城神社 （あかぎじんじゃ）は、 群馬県 前橋市 富士見町赤城山にある 神社 。 式内社 （ 名神大社 ） 論社 、 上野国 二宮 論社。 旧社格 は 郷社 。","https://ja.wikipedia.org/wiki/赤城神社_(前橋市富士見町赤城山)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度33分10.10秒東経139度11分0.56秒","群馬県前橋市富士見町赤城山4-2","赤城大明神大国主命磐筒男神磐筒女神経津主神豊城入彦命","北緯36度33分10.10秒東経139度11分0.56秒﻿ / ﻿北緯36.5528056度 東経139.1834889度﻿ /36.5528056; 139.1834889﻿ (赤城神社)座標:北緯36度33分10.10秒東経139度11分0.56秒﻿ / ﻿北緯36.5528056度 東経139.1834889度﻿ /36.5528056; 139.1834889﻿ (赤城神社)","式内社（名神大）論社上野国二宮論社旧郷社","5月8日","不詳","","赤城神社","卯月八日祭湖水祭流鏑馬","大洞赤城神社","","赤城山（神体山）","","","","","","",""
"二宮赤城神社","[里宮：二宮赤城神社（群馬県前橋市）] 二宮赤城神社 （にのみやあかぎじんじゃ）は、 群馬県 前橋市 二之宮町 にある 神社 。 式内社 （ 名神大社 ） 論社 、 上野国 二宮 論社。 旧社格 は 郷社 。","https://ja.wikipedia.org/wiki/二宮赤城神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度22分02.08秒東経139度10分03.56秒","群馬県前橋市二之宮町886","豊城入彦命大己貴尊ほか数柱","北緯36度22分02.08秒東経139度10分03.56秒﻿ / ﻿北緯36.3672444度 東経139.1676556度﻿ /36.3672444; 139.1676556﻿ (二宮赤城神社)座標:北緯36度22分02.08秒東経139度10分03.56秒﻿ / ﻿北緯36.3672444度 東経139.1676556度﻿ /36.3672444; 139.1676556﻿ (二宮赤城神社)","式内社（名神大）論社上野国二宮論社旧郷社","4月15日","不詳","","","","","","赤城山（神体山）","","","","","","",""
"赤城神社 (前橋市三夜沢町)","[論社：赤城神社 (前橋市三夜沢町)（群馬県前橋市）赤城神社 (新宿区)（東京都新宿区）元赤城神社 (新宿区)（東京都新宿区）赤城神社 (足立区)（東京都足立区）] 赤城神社 （あかぎじんじゃ）は、 群馬県 前橋市 三夜沢町にある 神社 。 式内社 （ 名神大社 ） 論社 、 上野国 二宮 論社。 旧社格 は 県社 。","https://ja.wikipedia.org/wiki/赤城神社_(前橋市三夜沢町)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度29分02.6秒東経139度10分39.7秒","群馬県前橋市三夜沢町114番地","大己貴命豊城入彦命","北緯36度29分02.6秒東経139度10分39.7秒﻿ / ﻿北緯36.484056度 東経139.177694度﻿ /36.484056; 139.177694﻿ (赤城神社)座標:北緯36度29分02.6秒東経139度10分39.7秒﻿ / ﻿北緯36.484056度 東経139.177694度﻿ /36.484056; 139.177694﻿ (赤城神社)","式内社（名神大）論社上野国二宮論社旧県社","5月5日","不詳","神明造","赤城神社群馬県の地図を表示赤城神社日本の地図を表示","","三夜沢赤城神社","","赤城山（神体山）","","","","","","",""
"赤間神宮","[赤間神宮（山口県下関市）] 赤間神宮 （あかまじんぐう）は、 山口県 下関市 にある 神社 である。旧 社格 は 官幣大社 。 壇ノ浦の戦い において幼くして亡くなった 安徳天皇 を祀る。","https://ja.wikipedia.org/wiki/赤間神宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度57分35.0秒東経130度56分54.5秒","山口県下関市阿弥陀寺町4-1","安徳天皇","北緯33度57分35.0秒東経130度56分54.5秒﻿ / ﻿北緯33.959722度 東経130.948472度﻿ /33.959722; 130.948472﻿ (赤間神宮)座標:北緯33度57分35.0秒東経130度56分54.5秒﻿ / ﻿北緯33.959722度 東経130.948472度﻿ /33.959722; 130.948472﻿ (赤間神宮)","旧官幣大社別表神社","5月2日-4日（先帝祭）10月7日","貞観2年（859年）","","赤間神宮","","","","","","","","","","",""
"秋田諏訪宮","[秋田諏訪宮（秋田県美郷町）] 秋田諏訪宮 （あきたすわぐう）は、 秋田県 仙北郡 美郷町 にある 神社 。 旧社格 は県社。現神社本庁別表神社。","https://ja.wikipedia.org/wiki/秋田諏訪宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯39度25分25秒東経140度32分34秒","秋田県仙北郡美郷町六郷字本道町19","建御名方富命、八坂刀女命","北緯39度25分25秒東経140度32分34秒﻿ / ﻿北緯39.42361度 東経140.54278度﻿ /39.42361; 140.54278﻿ (秋田諏訪宮)座標:北緯39度25分25秒東経140度32分34秒﻿ / ﻿北緯39.42361度 東経140.54278度﻿ /39.42361; 140.54278﻿ (秋田諏訪宮)","県社・別表神社","8月24日","伝802年（延暦21年）","","秋田諏訪宮","","","","","","","","","","",""
"秋葉山本宮秋葉神社","[本社：秋葉山本宮秋葉神社（静岡県浜松市）] 秋葉山本宮秋葉神社 （あきはさんほんぐうあきはじんじゃ）は、 静岡県 浜松市 天竜区 春野町領家の 赤石山脈 の南端に位置する、標高866mの 秋葉山 の山頂付近にある 神社 。日本全国に存在する 秋葉神社 （ 神社本庁 傘下だけで約400社）、秋葉大権現および秋葉寺のほとんどについてその事実上の信仰の起源となった神社であり、もう一方の日本二社（総本廟）秋葉大権現の越後栃尾秋葉山『古来の根本』秋葉三尺坊大権現と並び、 『今の根本』 と言われる  。","https://ja.wikipedia.org/wiki/秋葉山本宮秋葉神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度58分52.44秒東経137度51分56.81秒","静岡県浜松市天竜区春野町領家841","火之迦具土大神（江戸時代以前は秋葉大権現）","北緯34度58分52.44秒東経137度51分56.81秒﻿ / ﻿北緯34.9812333度 東経137.8657806度﻿ /34.9812333; 137.8657806﻿ (秋葉山本宮秋葉神社)座標:北緯34度58分52.44秒東経137度51分56.81秒﻿ / ﻿北緯34.9812333度 東経137.8657806度﻿ /34.9812333; 137.8657806﻿ (秋葉山本宮秋葉神社)","県社、別表神社","12月16日","和銅2年（709年）","","秋葉山本宮秋葉神社","","","","","","","","","","",""
"開口神社","[開口神社（大阪府堺市堺区）（あぐち）] 開口神社 （あぐちじんじゃ）は、 大阪府 堺市 堺区 にある 神社 。通称「 大寺 」（おおてら）。地元では「大寺さん」とよばれ親しまれている。堺南組（ 大小路 以南）の 氏神社 。 式内社 で、 旧社格 は 府社 。","https://ja.wikipedia.org/wiki/開口神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度34分36.7秒東経135度28分28.5秒","大阪府堺市堺区甲斐町東2丁1-29","塩土老翁神素盞嗚神生国魂神","北緯34度34分36.7秒東経135度28分28.5秒﻿ / ﻿北緯34.576861度 東経135.474583度﻿ /34.576861; 135.474583座標:北緯34度34分36.7秒東経135度28分28.5秒﻿ / ﻿北緯34.576861度 東経135.474583度﻿ /34.576861; 135.474583","式内社（小）旧府社","9月12日に近い金 - 日曜日（八朔祭）","","","","","密乘山念佛寺大寺","","","","","","","","",""
"旦椋神社 (宇治市)","[旦椋神社（京都府）] 旦椋神社 （あさくらじんじゃ）は、 京都府 宇治市 大久保町北ノ山にある 神社 。 式内小社 で、旧 社格 は旧 村社 。","https://ja.wikipedia.org/wiki/旦椋神社_(宇治市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度52分21.1秒東経135度46分29.7秒","京都府宇治市大久保町北ノ山109","高皇産霊神神皇産霊神菅原道真","北緯34度52分21.1秒東経135度46分29.7秒﻿ / ﻿北緯34.872528度 東経135.774917度﻿ /34.872528; 135.774917﻿ (旦椋神社 (宇治市))座標:北緯34度52分21.1秒東経135度46分29.7秒﻿ / ﻿北緯34.872528度 東経135.774917度﻿ /34.872528; 135.774917﻿ (旦椋神社 (宇治市))","式内社（小）旧村社","10月8日","不詳","二間社流造","旦椋神社","","","","","","","","","","",""
"安積国造神社","[安積国造神社（福島県郡山市）] 安積国造神社 （あさかくにつこじんじゃ）は 福島県 郡山市 にある 神社 である。 旧社格 は県社。","https://ja.wikipedia.org/wiki/安積国造神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯37度23分55.61秒東経140度22分55.19秒","福島県郡山市清水台1丁目6番23号","和久産巣日神・天湯津彦命・比止禰命・誉田別命・倉稲魂命","北緯37度23分55.61秒東経140度22分55.19秒﻿ / ﻿北緯37.3987806度 東経140.3819972度﻿ /37.3987806; 140.3819972","県社","春季例大祭4月15日秋季例大祭9月27日-9月29日","伝・成務天皇5年（135年）頃","","","","","","","","","","","","",""
