"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","時代","面積","文化財指定","外部リンク","国","都道府県","標高","分類","運営者","公式サイト","一般公開","地方","市町村コード","法人番号","総人口","人口密度","隣接自治体"
"船泊遺跡 (存在しないページ)","[船泊遺跡（礼文町）]","https://ja.wikipedia.org/w/index.php?title=船泊遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"戸井貝塚 (存在しないページ)","[戸井貝塚（函館市）]","https://ja.wikipedia.org/w/index.php?title=戸井貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"著保内野遺跡","[著保内野遺跡（函館市）] 著保内野遺跡 （ちょぼないのいせき）は、 北海道 函館市 尾札部町（旧 茅部郡 南茅部町 ）に所在する 縄文時代 後期後半（約3200～3500年前）頃の集団墓の 遺跡 である。出土 遺物 の 中空土偶 は 2007年 （ 平成19年 ）に北海道初の 国宝 に指定されている   。","https://ja.wikipedia.org/wiki/著保内野遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯41度53分52.3秒 東経140度59分40.9秒","","","","","","","","","","","","","","","","","","",""
"垣ノ島遺跡","[垣ノ島遺跡（函館市）] 垣ノ島遺跡 （かきのしまいせき）は、 北海道 函館市 に所在する 縄文時代 の 遺跡 。道内での同時代の遺跡として最大規模であり、縄文時代早期前半（約9000年前）の墓制、 駒ヶ岳 噴火による集落断絶、後期初頭の盛土遺構から後期後半（約3500年前）に至るまでの縄文集落の変遷と生活痕跡が確認できる。 2011年 （ 平成 23年）2月7日に国の 史跡 に指定された  。 北海道・北東北を中心とした縄文遺跡群 を構成する遺跡の一つ  。","https://ja.wikipedia.org/wiki/垣ノ島遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯41度55分43.9秒 東経140度56分51.0秒","","","","","","","","","","","","","","","","","","",""
"大船遺跡","[大船遺跡（函館市）] 大船遺跡 （おおふねいせき）は、 北海道 函館市 に所在する 縄文時代 の 遺跡 である  。","https://ja.wikipedia.org/wiki/大船遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯41度57分27.7秒 東経140度55分31.6秒","","","","","","","","","","","","","","","","","","",""
"サイベ沢遺跡","[サイベ沢遺跡（函館市）] サイベ沢遺跡 （サイベさわいせき）は、 北海道 函館市 桔梗町に所在する 縄文時代 前期初頭から中期末葉にかけての大規模集落 遺跡 である。出土遺物は 1971年 （ 昭和46年 ） 3月5日 、 北海道指定有形文化財 に指定されている  。","https://ja.wikipedia.org/wiki/サイベ沢遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中野A遺跡 (存在しないページ)","[中野A遺跡（函館市）]","https://ja.wikipedia.org/w/index.php?title=中野A遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中野B遺跡 (存在しないページ)","[中野B遺跡（函館市）]","https://ja.wikipedia.org/w/index.php?title=中野B遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"コタン温泉遺跡 (存在しないページ)","[コタン温泉遺跡（八雲町）]","https://ja.wikipedia.org/w/index.php?title=コタン温泉遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鷲ノ木遺跡","[鷲ノ木遺跡（森町）] 鷲ノ木遺跡 （わしのきいせき）は、 北海道 茅部郡 森町 鷲ノ木町に所在する 縄文時代 の 遺跡 である  。","https://ja.wikipedia.org/wiki/鷲ノ木遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯42度6分57.0秒 東経140度31分33.0秒","","","","","","","","","","","","","","","","","","",""
