"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開館","位置","外部リンク","専門分野","正式名称","管理運営","事業主体","延床面積","館長","建物設計","収蔵作品数","来館者数","アクセス","愛称","前身","閉館","学芸員","公式サイト"
"東京国立博物館","[東京国立博物館（東京都）] 東京国立博物館 （とうきょうこくりつはくぶつかん）は、 日本 と 東洋 の文化財（ 美術品 、考古遺物など）の収集保管、展示公開、調査研究、普及などを目的として 独立行政法人 国立文化財機構 が運営する 博物館 である。館長は 銭谷真美 。","https://ja.wikipedia.org/wiki/東京国立博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度43分8.6秒東経139度46分36秒","〒110-8712東京都台東区上野公園13番9号","1872年（明治5年）","北緯35度43分8.6秒東経139度46分36秒﻿ / ﻿北緯35.719056度 東経139.77667度﻿ /35.719056; 139.77667座標:北緯35度43分8.6秒東経139度46分36秒﻿ / ﻿北緯35.719056度 東経139.77667度﻿ /35.719056; 139.77667","www.tnm.jp","日本と東洋の文化財","東京国立博物館","独立行政法人国立文化財機構","","","","本館 -渡辺仁東洋館 -谷口吉郎表慶館 -片山東熊法隆寺宝物館 -谷口吉生黒田記念館 -岡田信一郎","","","JR・東京メトロ上野駅京成本線京成上野駅より徒歩","東博、トーハク","文部省博物館、帝室博物館","","",""
"京都国立博物館","[京都国立博物館（京都府）] 京都国立博物館 （きょうとこくりつはくぶつかん）は、 独立行政法人 国立文化財機構 が運営する 博物館 。 1897年 （明治30年）5月に開館した。現館長は 松本伸之  。","https://ja.wikipedia.org/wiki/京都国立博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度59分23.8秒東経135度46分23.2秒","〒605-0931京都府京都市東山区茶屋町527","1897年（明治30年）5月","北緯34度59分23.8秒東経135度46分23.2秒﻿ / ﻿北緯34.989944度 東経135.773111度﻿ /34.989944; 135.773111座標:北緯34度59分23.8秒東経135度46分23.2秒﻿ / ﻿北緯34.989944度 東経135.773111度﻿ /34.989944; 135.773111","京都国立博物館","京都を中心とした日本・東洋の文化財","京都国立博物館","独立行政法人国立文化財機構","","25,275m2","","明治古都館 -片山東熊平成知新館 -谷口吉生","","","最寄駅：京阪本線七条駅","京博、キョーハク","帝国京都博物館京都帝室博物館恩賜京都博物館","","",""
"奈良国立博物館","[奈良国立博物館（奈良県）] 奈良国立博物館 （ならこくりつはくぶつかん）は、 奈良県 奈良市 登大路町にある、 独立行政法人 国立文化財機構 が運営する 博物館 である。館長は井上洋一。2020年3月31日時点で、 国宝 13件、 重要文化財 114件を含む収蔵品の総数は1,911件  。これとは別に、国宝52件、重要文化財306件を含む総数1,974件の寄託品を収蔵している  。2019年度の平常展の展示替え件数は239件、展示総件数は461件  。同年度の来館者数は約61万人で  、平常展来場者は約16万人  。","https://ja.wikipedia.org/wiki/奈良国立博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分1.32秒東経135度50分11.04秒","〒630-8213奈良県奈良市登大路町50","1895年（明治28年）","北緯34度41分1.32秒東経135度50分11.04秒﻿ / ﻿北緯34.6837000度 東経135.8364000度﻿ /34.6837000; 135.8364000座標:北緯34度41分1.32秒東経135度50分11.04秒﻿ / ﻿北緯34.6837000度 東経135.8364000度﻿ /34.6837000; 135.8364000","奈良国立博物館","仏教美術","","独立行政法人国立文化財機構","","19,539m2（展示館部分）","","","","","","奈良博、ならはく","帝国奈良博物館奈良帝室博物館","","",""
"九州国立博物館","[九州国立博物館（福岡県）] 九州国立博物館 （きゅうしゅうこくりつはくぶつかん）は、 福岡県 太宰府市 石坂にある歴史系の 博物館 。 独立行政法人 国立文化財機構 が運営する博物館の1つで、 2005年 10月16日 に開館。 太宰府天満宮 裏で、同宮所有の 丘陵 地に建設された。通称「九博」（きゅうはく）「九国」（きゅうこく）。館長は島谷弘幸。2020年3月31日時点で、 国宝 4件、 重要文化財 42件を含む収蔵品の総数は1,279件  。これとは別に、国宝2件、重要文化財12件を含む総数1,300件の寄託品を収蔵している  。2019年度の平常展の展示替え件数は1,641件、展示総件数は1,894件  。同年度の来館者数は約67万人で  、平常展来場者は約35万人  。","https://ja.wikipedia.org/wiki/九州国立博物館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯33度31分6.08秒東経130度32分17.87秒","〒818-0118福岡県太宰府市石坂4-7-2","2005年10月16日","北緯33度31分6.08秒東経130度32分17.87秒﻿ / ﻿北緯33.5183556度 東経130.5382972度﻿ /33.5183556; 130.5382972座標:北緯33度31分6.08秒東経130度32分17.87秒﻿ / ﻿北緯33.5183556度 東経130.5382972度﻿ /33.5183556; 130.5382972","九州国立博物館","日本とアジアの歴史","","独立行政法人国立文化財機構","","","","","","","","九博、キューハク、九国、キューコク","","","",""
"国立西洋美術館","[国立西洋美術館（東京都）] 2020年10月19日より2022年春（予定）まで、館内施設整備のため、 全館休館  。","https://ja.wikipedia.org/wiki/国立西洋美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度42分56秒東経139度46分33秒","〒110-0007東京都台東区上野公園7番7号","1959年（昭和34年)6月10日","北緯35度42分56秒東経139度46分33秒﻿ / ﻿北緯35.71556度 東経139.77583度﻿ /35.71556; 139.77583座標:北緯35度42分56秒東経139度46分33秒﻿ / ﻿北緯35.71556度 東経139.77583度﻿ /35.71556; 139.77583","https://www.nmwa.go.jp/","20世紀初頭までの西洋美術","","独立行政法人国立美術館","","17,369m2","馬渕明子:2013年（平成25年）8月 -2021年（令和3年）3月31日田中正之：2021年（令和3）年4月1日就任","本文を参照","5,772点、寄託作品数 319点（平成28年度末現在）","1,162,345人(2016年)","JR・東京メトロ上野駅京成本線京成上野駅より徒歩","","","","",""
"国立国際美術館","[国立国際美術館（大阪府）] 国立国際美術館 （こくりつこくさいびじゅつかん）は、 大阪市 北区 中之島 にある、 独立行政法人 国立美術館 が管轄する 美術館 である。収蔵品は 第二次世界大戦 以後の国内外の 現代美術 が中心だが、現代美術以外の企画展なども開催している。設立は 1977年 （ 昭和 52年）。当初は 大阪府 吹田市 の 万博記念公園 にあったが、 2004年 （ 平成 16年）に現在地へ移転した。","https://ja.wikipedia.org/wiki/国立国際美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯34度41分30.43秒東経135度29分31.28秒","〒530-0005大阪市北区中之島4-2-55","1977年10月15日","北緯34度41分30.43秒東経135度29分31.28秒﻿ / ﻿北緯34.6917861度 東経135.4920222度﻿ /34.6917861; 135.4920222座標:北緯34度41分30.43秒東経135度29分31.28秒﻿ / ﻿北緯34.6917861度 東経135.4920222度﻿ /34.6917861; 135.4920222","国立国際美術館","現代美術","","独立行政法人国立美術館","","","","","","","","国際美、NMAO","","","",""
"東京国立近代美術館","[東京国立近代美術館（東京都）] 東京国立近代美術館 （とうきょうこくりつきんだいびじゅつかん、英語：The National Museum of Modern Art, Tokyo、英略称：MoMAT）は、 独立行政法人 国立美術館  が運営する 美術館 である。","https://ja.wikipedia.org/wiki/東京国立近代美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度41分25.83秒東経139度45分16.75秒","〒102-0091東京都千代田区北の丸公園3番1号","","北緯35度41分25.83秒東経139度45分16.75秒﻿ / ﻿北緯35.6905083度 東経139.7546528度﻿ /35.6905083; 139.7546528座標:北緯35度41分25.83秒東経139度45分16.75秒﻿ / ﻿北緯35.6905083度 東経139.7546528度﻿ /35.6905083; 139.7546528","www.momat.go.jp","","","独立行政法人国立美術館","","14,439m2","加藤敬","谷口吉郎","","","","東近美、MoMAT","","","",""
"京都国立近代美術館","[京都国立近代美術館（京都府）] 京都国立近代美術館 （きょうとこくりつきんだいびじゅつかん）は、 京都市 左京区 岡崎 の 岡崎公園 内にある、 独立行政法人 国立美術館 が運営する 美術館 である。","https://ja.wikipedia.org/wiki/京都国立近代美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度0分44.6秒東経135度46分55秒","〒606-8344京都府京都市左京区岡崎円勝寺町26番地1","","北緯35度0分44.6秒東経135度46分55秒﻿ / ﻿北緯35.012389度 東経135.78194度﻿ /35.012389; 135.78194座標:北緯35度0分44.6秒東経135度46分55秒﻿ / ﻿北緯35.012389度 東経135.78194度﻿ /35.012389; 135.78194","京都国立近代美術館","","京都国立近代美術館（英語表記）The National Museum of Modern Art, Kyoto (MoMAK)","独立行政法人国立美術館","","9,983m2","柳原正樹","槇文彦","","","京都市営地下鉄東西線東山駅徒歩約10分京都市営バス岡崎公園 美術館・平安神宮前 徒歩すぐ京都市営バス 岡崎公園 ロームシアター京都・みやこめっせ前 徒歩約5分京都市営バス東山二条・岡崎公園口 徒歩約10分","京近美、MoMAK","","","",""
"国立新美術館","[国立新美術館（東京都）] 文化庁 国立新美術館設立準備室と 独立行政法人 国立美術館 が主体となって 東京大学 生産技術研究所 跡地  に建設された 美術館 である。","https://ja.wikipedia.org/wiki/国立新美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度39分54秒東経139度43分35秒","〒106-8558東京都港区六本木七丁目22番2号","2007年（平成19年）1月21日","北緯35度39分54秒東経139度43分35秒﻿ / ﻿北緯35.66500度 東経139.72639度﻿ /35.66500; 139.72639座標:北緯35度39分54秒東経139度43分35秒﻿ / ﻿北緯35.66500度 東経139.72639度﻿ /35.66500; 139.72639","www.nact.jp","美術","","独立行政法人国立美術館","","約49,830m2","","黒川紀章・日本設計","","2,623,156人（2016年）日本第1位、世界第20位","千代田線乃木坂駅青山霊園方面改札6出口（美術館直結）日比谷線・都営大江戸線六本木駅7出口から徒歩約4分","","","","",""
"三の丸尚蔵館","[三の丸尚蔵館（東京都）] 昭和天皇 の死後の 1989年 （ 平成 元年）6月に遺族の 明仁 と 香淳皇后  から寄贈され 国庫 に帰属した 美術品 を保存、研究、公開するための施設として、 1992年 （平成4年）9月に皇居東御苑内に建設され、 1993年 （平成5年） 11月3日 に開館した  。開館以後も皇族からの寄贈により収蔵品が度々追加されており、現在の収蔵点数は9,800点  。","https://ja.wikipedia.org/wiki/三の丸尚蔵館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度41分11秒東経139度45分33秒","〒100-0001東京都千代田区千代田1-1皇居東御苑内","1993年（平成5年）11月3日","北緯35度41分11秒東経139度45分33秒﻿ / ﻿北緯35.68639度 東経139.75917度﻿ /35.68639; 139.75917座標:北緯35度41分11秒東経139度45分33秒﻿ / ﻿北緯35.68639度 東経139.75917度﻿ /35.68639; 139.75917","三の丸尚蔵館","天皇・皇族から国庫に寄付された美術品等","","宮内庁","","","","","","","","","","","",""
"北海道立近代美術館","[北海道立近代美術館（北海道）] 北海道立近代美術館 （ほっかいどうりつきんだいびじゅつかん、英称：The Hokkaido Museum of Modern Art）は、 北海道 札幌市 中央区 にある、 道立 の 美術館 である。","https://ja.wikipedia.org/wiki/北海道立近代美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯43度3分37秒東経141度19分49.4秒","北海道札幌市中央区北1条西17丁目","1977年（昭和52年）7月20日","北緯43度3分37秒東経141度19分49.4秒﻿ / ﻿北緯43.06028度 東経141.330389度﻿ /43.06028; 141.330389座標:北緯43度3分37秒東経141度19分49.4秒﻿ / ﻿北緯43.06028度 東経141.330389度﻿ /43.06028; 141.330389","","美術館","","","北海道","","","","","","","","","","",""
