"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","初登頂","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"高尾山","[1高尾山たかおさん599m東京都フクジュソウ地理院地図Google Map年間登山者数世界一ミシュランガイド三ツ星の観光地] 高尾山 （たかおさん  ）は、 東京都 八王子市 にある 標高 599 メートル （m）の 山 。 明治の森高尾国定公園 及び 東京都立高尾陣場自然公園 に位置  。東京 都心 から近く、年間を通じて多くの 観光 客や 登山 者が訪れる。古くから 修験道 の 霊山 とされた。","https://ja.wikipedia.org/wiki/高尾山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度37分31秒東経139度14分37秒","日本東京都八王子市高尾町","599.3m","北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ /35.62528; 139.24361座標:北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ /35.62528; 139.24361","関東山地（秩父山地）","","","","","","","","","","","","","","",""
"大楠山","[2大楠山おおぐすやま241m神奈川県フユノハナワラビ地理院地図Google Map三浦半島最高峰] 大楠山 （おおぐすやま）は、 神奈川県 横須賀市 西部にある海抜241.3mの 山 である。 三浦丘陵 の一角をなし、 三浦半島 最高峰として知られる。関東100名山の第100番目でもある。","https://ja.wikipedia.org/wiki/大楠山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度15分00秒東経139度37分41秒","神奈川県横須賀市","241.3m","北緯35度15分00秒東経139度37分41秒﻿ / ﻿北緯35.25000度 東経139.62806度﻿ /35.25000; 139.62806","三浦丘陵","","","","","","","","","","","","","","",""
"御前山","[3御前山ごぜんやま1,405m東京都カタクリ地理院地図Google Map奥多摩三山] 御前山 （ごぜんやま）は、 東京都 西多摩郡 奥多摩町 、 檜原村 の境界、奥多摩山域にある 標高 1405mの 山 。","https://ja.wikipedia.org/wiki/御前山_(東京都)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度46分13秒東経139度4分50秒","日本東京都西多摩郡奥多摩町、檜原村","1,405m","北緯35度46分13秒東経139度4分50秒﻿ / ﻿北緯35.77028度 東経139.08056度﻿ /35.77028; 139.08056座標:北緯35度46分13秒東経139度4分50秒﻿ / ﻿北緯35.77028度 東経139.08056度﻿ /35.77028; 139.08056","奥多摩","","","","","","","","","","","","","","",""
"三頭山","[4三頭山みとうさん1,531m東京都ハシリドコロ地理院地図Google Map日本三百名山] 三頭山 （みとうさん）は、 東京都 西多摩郡 奥多摩町 ・ 檜原村 、 山梨県 上野原市 、 北都留郡 小菅村 にまたがる 標高 1,531mの 山 。 日本三百名山 、 山梨百名山 の一つに選定されている。古くは山の神々が集まる場所で鹿妻山と呼ばれていた。","https://ja.wikipedia.org/wiki/三頭山_(東京都)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度44分19秒東経139度00分51秒","日本東京都西多摩郡奥多摩町、檜原村山梨県上野原市、北都留郡小菅村","1,531m","北緯35度44分19秒東経139度00分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ /35.73861; 139.01417座標:北緯35度44分19秒東経139度00分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ /35.73861; 139.01417","奥多摩","","","","","","","","","","","","","","",""
"幕山","[5幕山まくやま625m神奈川県タツナミソウ地理院地図Google Map湯河原] 幕山 （まくやま）は、 神奈川県 湯河原町 にある山である。山体は大型の 火山 である 箱根山 の 側火山 として約15万年前  に形成された 溶岩ドーム  である。 柱状節理 の岩壁が山腹を取り囲み、それを 歌舞伎 の幕に例えたことが名称の由来と言われている  。","https://ja.wikipedia.org/wiki/幕山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度10分23秒東経139度5分29秒","神奈川県湯河原町","626m","北緯35度10分23秒東経139度5分29秒﻿ / ﻿北緯35.17306度 東経139.09139度﻿ /35.17306; 139.09139座標:北緯35度10分23秒東経139度5分29秒﻿ / ﻿北緯35.17306度 東経139.09139度﻿ /35.17306; 139.09139","箱根山","溶岩ドーム","約15万年前","","","","","","","","","","","","",""
"武甲山","[6武甲山ぶこうさん1,304m埼玉県セツブンソウ地理院地図Google Map日本二百名山] 武甲山 （ぶこうざん・ぶこうさん）は、 埼玉県 秩父地方 の 秩父市 と 横瀬町 の境界に位置する山である。 秩父盆地 の南側にあり、 標高 は1,304 メートル  。 日本二百名山 の一つに数えられる。","https://ja.wikipedia.org/wiki/武甲山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度57分06秒東経139度05分52秒","埼玉県秩父市、秩父郡横瀬町","1,304m","北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ /35.95167; 139.09778座標:北緯35度57分06秒東経139度05分52秒﻿ / ﻿北緯35.95167度 東経139.09778度﻿ /35.95167; 139.09778","秩父山地","","","","","","","","","","","","","","",""
"高鈴山","[7高鈴山たかすずさん623m茨城県センブリ地理院地図Google Map一等三角点電波塔] 高鈴山 （たかすずやま）は、 茨城県 日立市 と 常陸太田市 の境に位置し、 標高 623 m 。","https://ja.wikipedia.org/wiki/高鈴山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度37分16秒東経140度35分16秒","日本茨城県日立市・常陸太田市","623.3m","北緯36度37分16秒東経140度35分16秒﻿ / ﻿北緯36.62111度 東経140.58778度﻿ /36.62111; 140.58778座標:北緯36度37分16秒東経140度35分16秒﻿ / ﻿北緯36.62111度 東経140.58778度﻿ /36.62111; 140.58778","阿武隈高地","","","","","","","","","","","","","","",""
"天城山","[8天城山あまぎさん1,405m静岡県ヒメシャラ地理院地図Google Map富士箱根伊豆国立公園日本百名山新日本百名山] 天城山 （あまぎさん）は、 静岡県 の 伊豆半島 中央部の東西に広がる山。天城山は連山の総称で、 天城連山 や 天城山脈 と称されることもある。 日本百名山 の一つ。","https://ja.wikipedia.org/wiki/天城山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯34度51分46秒東経139度00分06秒","静岡県伊豆市・伊東市・賀茂郡東伊豆町・賀茂郡河津町","万三郎岳 1,406m","北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.86278度 東経139.00167度﻿ /34.86278; 139.00167﻿ (万三郎岳)座標:北緯34度51分46秒東経139度00分06秒﻿ / ﻿北緯34.86278度 東経139.00167度﻿ /34.86278; 139.00167﻿ (万三郎岳)","伊豆半島","成層火山","","","","","","","","","","","","","",""
"三筋山","[9三筋山みすじやま812m静岡県ホソバコガク[[Image:画像募集中|128px]]地理院地図Google Map伊豆半島]","https://ja.wikipedia.org/w/index.php?title=三筋山&amp;action=edit&amp;redlink=1","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大山","[10大山おおやま1,252m神奈川県ウラシマソウ地理院地図Google Map丹沢の山日本三百名山] 大山 （おおやま）は、 神奈川県 伊勢原市 ・ 秦野市 ・ 厚木市 境にある標高1,252 m の 山 である。 丹沢山 などの 丹沢 の山々とともに 丹沢大山国定公園 に属し、神奈川県有数の 観光地 のひとつである。 日本三百名山 や関東百名山のひとつでもある。","https://ja.wikipedia.org/wiki/大山_(神奈川県)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度26分27秒東経139度13分52秒","神奈川県伊勢原市、秦野市、厚木市","1,252m","北緯35度26分27秒東経139度13分52秒﻿ / ﻿北緯35.44083度 東経139.23111度﻿ /35.44083; 139.23111","丹沢山地","","","","","","","","","","","","","","",""
