"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"本居宣長旧宅","[本居宣長旧宅 同 宅跡（もとおりのりながきゅうたく どう たくあと）〔松阪市〕1922年3月8日] 本居宣長旧宅の建物は 1691年 （元禄4年）に本居宣長の祖父小津三四右衛門定治が隠居所として建てたものである。最初建物は松坂職人町に建てられ、後に松坂魚町に移築された。本居宣長の先祖は代々 伊勢国 の 北畠家 の家臣であり、本居家初代の本居武秀は 蒲生氏郷 に仕えた武将であった。その子七右衛門の代から氏を小津と改めて松坂に住み、小津家は 木綿問屋 を営んで江戸店持ちの豪商として栄えていた。","https://ja.wikipedia.org/wiki/本居宣長旧宅","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度34分30.9秒 東経136度31分33.0秒","","","","","","","","","","","","","","","","","","",""
"久留倍官衙遺跡","[久留倍官衙遺跡（くるべかんがいせき）〔四日市市〕] 久留倍官衙遺跡 （くるべかんがいせき）は、 三重県 四日市市 大矢知町にある 官衙 遺跡 。 2006年 （平成18年）7月28日に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/久留倍官衙遺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度00分53秒 東経136度38分00秒","","","","","","","","","","","","","","","","","","",""
"伊勢国府跡","[伊勢国府跡（いせこくふあと）〔鈴鹿市〕2002年3月19日] 伊勢国 （いせのくに）は、かつて 日本 の地方行政区分だった 令制国 の一つ。 東海道 に属する。","https://ja.wikipedia.org/wiki/伊勢国府跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","東海道",""
"伊勢国分寺跡","[伊勢国分寺跡（いせこくぶんじあと）〔鈴鹿市〕1922年10月12日] 伊勢国分寺跡 （いせこくぶんじあと）は、 三重県 鈴鹿市 国分町にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/伊勢国分寺跡","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"正法寺山荘跡 (存在しないページ)","[正法寺山荘跡（しょうぼうじさんそうあと）〔亀山市〕]","https://ja.wikipedia.org/w/index.php?title=正法寺山荘跡&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"野村一里塚","[野村一里塚（のむらいちりづか）〔亀山市〕1934年1月22日] 野村一里塚 （のむらいちりづか）は、 三重県 亀山市 野村町にある一里塚である。1934年1月22日、国史跡に指定された。","https://ja.wikipedia.org/wiki/野村一里塚","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度51分26秒 東経136度26分14秒","","","","","","","","","","","","","","","","","","",""
"明合古墳","[明合古墳（あけあいこふん）〔津市〕] 明合古墳 （あけあいこふん）は、 三重県 津市 安濃町田端上野にある 古墳 。形状は 方墳 （または双方中方墳）。明合古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/明合古墳","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度46分2.65秒東経136度26分23.22秒","北緯34度46分2.65秒東経136度26分23.22秒﻿ / ﻿北緯34.7674028度 東経136.4397833度﻿ /34.7674028; 136.4397833座標:北緯34度46分2.65秒東経136度26分23.22秒﻿ / ﻿北緯34.7674028度 東経136.4397833度﻿ /34.7674028; 136.4397833","三重県津市安濃町田端上野（明合古墳歴史公園内）","明合古墳","5世紀前半","方墳（または双方中方墳）","国の史跡「明合古墳」","一辺60m（墳丘長81m）高さ10m","埴輪・須恵器","不明","","","","","","","","","明合古墳群",""
"北畠神社","[北畠氏館跡（きたばたけしやかたあと） -北畠神社] 北畠神社 （きたばたけじんじゃ）は、 三重県 津市 美杉町上多気にある 神社 。国の 史跡 「多気北畠氏城館跡」に鎮座し、初代 伊勢国司 として 南朝 奉護に尽くした 北畠顕能 を主祭神とする。 建武中興十五社 で唯一、 近世 以来の由緒を持つ。","https://ja.wikipedia.org/wiki/北畠神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度31分06.86秒東経136度17分55.93秒","北緯34度31分06.86秒東経136度17分55.93秒﻿ / ﻿北緯34.5185722度 東経136.2988694度﻿ /34.5185722; 136.2988694﻿ (北畠神社)座標:北緯34度31分06.86秒東経136度17分55.93秒﻿ / ﻿北緯34.5185722度 東経136.2988694度﻿ /34.5185722; 136.2988694﻿ (北畠神社)","三重県津市美杉町上多気1148","北畠神社","","","","","","","","","","","","国司さん","","","",""
"霧山城","[霧山城跡（きりやまじょうあと）] 霧山城 （きりやまじょう）または 多気城 （たげじょう）は、 伊勢国 一志郡 多気（現在の 三重県 津市 美杉町上多気および美杉町下多気  ）にかつて存在した 日本の城 。城跡は 国 の 史跡 に指定されている（史跡「多気北畠氏城館跡」のうち）  。","https://ja.wikipedia.org/wiki/霧山城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度31分23.5秒東経136度17分21.7秒","北緯34度31分23.5秒東経136度17分21.7秒﻿ / ﻿北緯34.523194度 東経136.289361度﻿ /34.523194; 136.289361","","霧山城","","","","","","","","","","","","多気城・霧山御所","","","",""
"谷川士清旧宅 (存在しないページ)","[谷川士清旧宅（たにがわことすがきゅうたく）〔津市〕1967年6月22日]","https://ja.wikipedia.org/w/index.php?title=谷川士清旧宅&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"谷川士清墓 (存在しないページ)","[谷川士清墓（たにがわことすがのはか）〔津市〕]","https://ja.wikipedia.org/w/index.php?title=谷川士清墓&amp;action=edit&amp;redlink=1","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿坂城","[阿坂城跡 附 高城跡 枳城跡（あざかじょうあと つけたり たかんじょうあと からたちじょうあと）〔松阪市〕] 阿坂城 （あざかじょう）は、 伊勢国 一志郡 阿坂（現在の 三重県 松阪市 大阿坂町）にかつて存在した 日本の城 。 白米城 （はくまいじょう）・ 椎之木城 （しいのきじょう）とも称する。 1982年 （昭和57年）に 阿坂城跡 附 高城跡 枳城跡 （あざかじょうあと つけたり たかんじょうあと からたちじょうあと）の名称で 国 の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/阿坂城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯34度35分37.2秒東経136度27分15.8秒","北緯34度35分37.2秒東経136度27分15.8秒﻿ / ﻿北緯34.593667度 東経136.454389度﻿ /34.593667; 136.454389座標:北緯34度35分37.2秒東経136度27分15.8秒﻿ / ﻿北緯34.593667度 東経136.454389度﻿ /34.593667; 136.454389","","阿坂城","","","","","","","","","","","","白米城、椎之木城","","","",""
