"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","管理運営","位置","面積","事業主体","前身","愛称","閉園","キャッチコピー","来園者数","運営者","テーマ","所有者","分類","外部リンク","住所","開業"
"サッポロテイネ","[テイネオリンピア遊園地01北海道20062010年より休業中] 夏季4月末から10月初旬までの土曜・日曜・祝祭日と夏休み期間中毎日に営業。HBC・三菱マテリアル時代は入場無料・回数券方式で営業していたが  、加森観光による買収後は入場券方式によるフリーパス制とした  。2010年度より休園となり営業を終了している。","https://ja.wikipedia.org/wiki/サッポロテイネ","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度05分53秒東経141度12分37秒","〒006-0029札幌市手稲区手稲本町593","","サッポロテイネ","","","","","","","","","","","","","","","",""
"北海道グリーンランド","[北海道グリーンランド01北海道1986旧・いわみざわ 三井グリーンランド] 北海道グリーンランド （ほっかいどうグリーンランド）は 北海道 岩見沢市 にある 遊園地 。 いわみざわ公園 内にある。","https://ja.wikipedia.org/wiki/北海道グリーンランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯43度09分57秒東経141度46分48秒","〒864-0033北海道岩見沢市志文町1015番地","1986年6月","http://www.h-greenland.com/","空知リゾートシティ","北緯43度09分57秒東経141度46分48秒﻿ / ﻿北緯43.16583度 東経141.78000度﻿ /43.16583; 141.78000座標:北緯43度09分57秒東経141度46分48秒﻿ / ﻿北緯43.16583度 東経141.78000度﻿ /43.16583; 141.78000","33万平方メートル","空知リゾートシティ","北海道21世紀博覧会プレイランド・ゾーン（1986年）三井グリーンランド（1987-2007年）","グリーンランド","","ココロを「みどり」でいっぱいに。","約22.7万人（2019年）","","","","","","",""
"ルスツリゾート","[ルスツリゾート01北海道1983旧・遊園地カントリーランド] ルスツリゾート （英：RUSUTSU RESORT）は、 北海道 虻田郡 留寿都村 （ゴルフ場コースの一部は 喜茂別町 ）にあるリゾート施設。","https://ja.wikipedia.org/wiki/ルスツリゾート","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯42度44分51秒東経140度53分47秒","日本北海道虻田郡留寿都村","","ルスツリゾート公式サイト","","","","","","","","be Happy!山は友達","","","","加森観光","","","字泉川13番地","1983年6月"
"八戸公園","[八戸公園02青森1981旧・八戸市児童遊園地] 八戸公園 （はちのへこうえん）とは、 青森県 八戸市 にある 総合公園 。八戸植物公園、こどもの国から構成される。","https://ja.wikipedia.org/wiki/八戸公園","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯40度28分33秒東経141度30分47.5秒","青森県八戸市","","","","","3.0 ha","","","","","","","八戸市","","","都市公園（近隣公園）","","",""
"ラピア","[ファンタジードームはちのへ02青森1990] ラピア （ LAPIA ）とは、 青森県 八戸市 江陽 二丁目に所在する、八戸ショッピングセンター開発が運営・管理する 複合商業施設 。 長崎屋 八戸店を中心とした テナント が入居しているほか、 バスターミナル も併設されている。","https://ja.wikipedia.org/wiki/ラピア","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯40度31分18.9秒東経141度30分12.1秒","〒031-8585青森県八戸市江陽二丁目14番1号","","","","","","","","","","","","","","","","http://www.sc-lapia.co.jp/","",""
"岩山パークランド","[岩山パークランド03岩手1972] 岩山パークランド （いわやまパークランド）は、 岩手県 盛岡市 の東部丘陵地帯 岩山 にある 遊園地 である。","https://ja.wikipedia.org/wiki/岩山パークランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","〒020-0803岩手県盛岡市新庄岩山公園","1972年","http://iwayamapark.net/","平和観光開発株式会社","","","","","","","","","","","","","","",""
"大森山ゆうえんちアニパ (存在しないページ)","[大森山ゆうえんちアニパ05秋田2008旧・大森山遊園地（2007.6休園）]","https://ja.wikipedia.org/w/index.php?title=大森山ゆうえんちアニパ&amp;action=edit&amp;redlink=1","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","","","","","","","","","","","","","","","","","","","",""
"チャチャワールドいしこし","[チャチャワールドいしこし04宮城1995] チャチャワールドいしこし とは 宮城県 登米市 にある 遊園地 である。 1995年 、旧 石越町 が町おこしのために整備した 施設 で、同年 4月29日 に開園した  。","https://ja.wikipedia.org/wiki/チャチャワールドいしこし","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度45分38.69秒東経141度10分18.04秒","宮城県登米市","","公式サイト","","","24ha","","","","","","","","","登米市","","","宮城県登米市石越町南郷字高森100","1995年（平成7年）4月29日リニューアルオープン:2019年4月3日"
"八木山ベニーランド","[八木山ベニーランド04宮城1968] 八木山ベニーランド （やぎやまベニーランド）は、 宮城県 仙台市 太白区 にある 遊園地 である。市民からは「ベニーランド」と呼ばれる。運営会社は株式会社 エイトリー である。","https://ja.wikipedia.org/wiki/八木山ベニーランド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度14分48秒東経140度50分55秒","宮城県仙台市","","benyland.com","","","7.9ha","","","","","","","","","株式会社エイトリー","","","太白区長町字越路19番地1","1968年（昭和43年）4月14日"
"リナワールド","[リナワールド06山形1969旧・山交ランド] リナワールド （LINA WORLD）は、 山形県 上山市 にある ヤマコー 系列の 遊園地 。山形県で唯一の遊園地で、年間の入場者は15万人か16万人ほど  。『東北三大遊園地』の一つとされる。冬の期間は営業を休止（11月下旬から翌3月中旬まで）する。","https://ja.wikipedia.org/wiki/リナワールド","遊園地","https://ja.wikipedia.org/wiki/遊園地","表形式","北緯38度10分34.1秒東経140度18分30.4秒","〒999-3101山形県上山市金瓶字水上108-1","1969年","リナワールド","株式会社リナワールド","北緯38度10分34.1秒東経140度18分30.4秒﻿ / ﻿北緯38.176139度 東経140.308444度﻿ /38.176139; 140.308444座標:北緯38度10分34.1秒東経140度18分30.4秒﻿ / ﻿北緯38.176139度 東経140.308444度﻿ /38.176139; 140.308444","","","山交ランド","リナワールド","","東北最大級の遊園地","","","","","","","",""
