"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録回","登録日","外部リンク","開駅日","登録路線","営業時間","所属路線","起点からの距離","供用開始日","備考","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"三笠","[みかさ三笠（みかさ）道央三笠市国道12号北海道-001] 道の駅三笠 （みちのえき みかさ）は、 北海道 三笠市 岡山の 国道12号 と 北海道道30号三笠栗山線 との交点にある 道の駅 。","https://ja.wikipedia.org/wiki/道の駅三笠","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度14分48秒東経141度48分16秒","〒068-2165北海道三笠市岡山1056-1","第1回（01001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道12号","9:00 - 18:00（4-9月）9:00 - 17:00（10-3月）","","","","","","","","","","","",""
"スタープラザ芦別","[すたーぷらざあしべつスタープラザ芦別（スタープラザあしべつ）道央芦別市国道38号北海道-002] 道の駅スタープラザ芦別 （みちのえき スタープラザあしべつ）は、 北海道 芦別市 にある 国道38号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅スタープラザ芦別","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度31分33秒東経142度11分21秒","〒075-0014北海道芦別市北4条東1丁目1","第1回（01002）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道38号","9:00～19:00（5～10月）9:00～18:00（11～4月）","","","","","","","","","","","",""
"南ふらの","[みなみふらの南ふらの（みなみふらの）道北空知郡南富良野町国道38号北海道-003] 道の駅南ふらの （みちのえき みなみふらの）は、 北海道 空知郡 南富良野町 にある 国道38号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅南ふらの","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度10分11秒東経142度34分21秒","〒079-2400北海道空知郡南富良野町字幾寅687-1","第1回（01003）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道38号","9:00～17:00（10月～5月）9:00 - 19:00（6月～9月）","","","","","","","","","","","",""
"しらぬか恋問","[しらぬか恋問（しらぬかこいとい）釧路・根室白糠郡白糠町国道38号北海道-004] 道の駅しらぬか恋問 （みちのえき しらぬかこいとい）は、 北海道 白糠郡 白糠町 にある 国道38号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅しらぬか恋問","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度59分34秒東経144度11分53秒","〒088-0562北海道白糠郡白糠町恋問3丁目3番地1","第1回（01004）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道38号","8:30～18:30（5～8月）9:00～18:30（9～4月）","","","","","","","","","","","",""
"びふか","[びふか道北中川郡美深町国道40号北海道-005] 道の駅びふか （みちのえき びふか）は、 北海道 中川郡 美深町 にある 国道40号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅びふか","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度33分32秒東経142度19分12秒","〒098-2362北海道中川郡美深町字大手307-1","第1回（01005）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1993年4月22日","国道40号","9:00 - 17:30（11-4月）9:00 - 19:00（7月下旬-8月中旬の土日祝）9:00 - 18:00（その他の期間）","","","","","","","","","","","",""
"江差","[えさし江差（えさし）道南檜山郡江差町国道227号北海道-006] 道の駅江差 （みちのえき えさし）は、 北海道 檜山郡 江差町 にある 国道227号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅江差","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度53分40秒東経140度08分22秒","〒043-0024北海道檜山郡江差町字尾山町1","第1回（01006）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道227号","9:00 - 17:00（4月-11月）10:00 - 16:00（12月-3月）","","","","","","","","","","","",""
"望羊中山","[ぼうようなかやま望羊中山（ぼうようなかやま）道央虻田郡喜茂別町国道230号北海道-007] 道の駅望羊中山 （みちのえき ぼうようなかやま）は、 北海道 虻田郡 喜茂別町 にある 国道230号 の 道の駅 である  。 札幌市 との境界付近、 中山峠 の頂上に立地しており、 羊蹄山 を望むビューポイントとなっている。名物の「 あげいも 」を販売している。","https://ja.wikipedia.org/wiki/道の駅望羊中山","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度51分21秒東経141度05分48秒","〒044-0223北海道虻田郡喜茂別町字川上345","（01007）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","","国道230号","8:30 - 17:30","","","","","","","","","","","",""
"えんべつ富士見","[えんべつふじみえんべつ富士見（えんべつふじみ）道北天塩郡遠別町国道232号北海道-008旧名「富士見」] 道の駅えんべつ富士見 （みちのえき えんべつふじみ）は、 北海道 天塩郡 遠別町 にある 国道232号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅えんべつ富士見","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","","〒098-3534北海道天塩郡遠別町字富士見46-21","第1回（01008）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道232号","10:00 - 18:00","","","","","","","","","","","",""
"忠類","[ちゅうるい忠類（ちゅうるい）十勝中川郡幕別町国道236号北海道-009帯広広尾自動車道忠類ICに隣接] 道の駅忠類 （みちのえき ちゅうるい）は、 北海道 中川郡 幕別町 にある 国道236号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅忠類","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度33分32秒東経143度17分57秒","〒089-1701北海道中川郡幕別町忠類白銀町384-12","第1回（01009）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道236号","9:00 - 18:00","","","","","","","","","","","",""
"足寄湖","[あしょろこ足寄湖（あしょろこ）十勝足寄郡足寄町国道241号北海道-010] 道の駅足寄湖 （みちのえき あしょろこ）は、 北海道 足寄郡 足寄町 にある 国道241号 の 道の駅 。","https://ja.wikipedia.org/wiki/道の駅足寄湖","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度15分08秒東経143度28分50秒","〒089-3873北海道足寄郡足寄町中矢673-4","第1回（01010）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","1993年4月22日","国道241号","レストラン・売店　休止中（無人駅）スタンプは24時間可能","","","","","","","","","","","",""
