"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","外部リンク","登録路線","登録回","登録日","開駅日","営業時間","国","地方","都道府県","市町村コード","法人番号","面積","総人口","人口密度","隣接自治体","市の木","市の花","市の鳥,市の魚"
"道の駅豊栄","とよさか豊栄（とよさか）新潟市北区国道7号新新バイパス新潟-01 ","https://ja.wikipedia.org/wiki/道の駅豊栄","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度57分29秒東経139度13分23秒","〒950-3304新潟県新潟市北区木崎3644-乙","国土交通省案内ページ全国道の駅連絡会ページ","国道7号","第1回（15001）","1993年4月22日","1988年11月10日","7:00-19:00","","","","","","","","","","","",""
"道の駅加治川","かじかわ加治川（かじかわ）新発田市国道7号新潟-02 ","https://ja.wikipedia.org/wiki/道の駅加治川","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度00分08秒東経139度22分21秒","〒959-2411新潟県新発田市横岡1147","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道7号","第1回（15002）","1993年4月22日","不明","9:00-18:00","","","","","","","","","","","",""
"道の駅神林","かみはやし神林（かみはやし）村上市国道7号新潟-03 ","https://ja.wikipedia.org/wiki/道の駅神林","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度10分21秒東経139度27分38秒","〒959-3423新潟県村上市九日市809","国土交通省案内ページ全国道の駅連絡会ページ","国道7号","第1回（15003）","1993年4月22日","1993年","8:30-16:15","","","","","","","","","","","",""
"道の駅朝日","あさひ朝日（あさひ）村上市国道7号新潟-04 ","https://ja.wikipedia.org/wiki/道の駅朝日","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度16分56秒東経139度31分21秒","〒958-0261新潟県村上市猿沢1212","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道7号","第1回（15004）","1993年4月22日","不明","9:00-17:00","","","","","","","","","","","",""
"道の駅新潟ふるさと村","にいがたふるさとむら新潟ふるさと村（にいがたふるさとむら）新潟市西区国道8号新潟-05 ","https://ja.wikipedia.org/wiki/道の駅新潟ふるさと村","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度51分58.9秒東経139度1分12.6秒","〒950-1101新潟県新潟市西区山田2307","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第1回（15005）","1993年4月22日","1991年7月[1]","9:30-17:30","","","","","","","","","","","",""
"道の駅能生","のう能生（のう）糸魚川市国道8号新潟-06 ","https://ja.wikipedia.org/wiki/道の駅能生","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度06分50秒東経138度00分15秒","〒949-1351新潟県糸魚川市大字能生小泊3596-2","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道8号","第1回（15006）","1993年4月22日","不明","9:00-18:00","","","","","","","","","","","",""
"道の駅みかわ (新潟県)","みかわ東蒲原郡阿賀町国道49号新潟-07 ","https://ja.wikipedia.org/wiki/道の駅みかわ_(新潟県)","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度43分03秒東経139度21分37秒","〒959-4627新潟県東蒲原郡阿賀町岩谷2865","国土交通省案内ページ全国道の駅連絡会ページ","国道49号","第1回（15007）","1993年4月22日","不明","11:00 - 17:00","","","","","","","","","","","",""
"道の駅関川","せきかわ関川（せきかわ）岩船郡関川村国道113号新潟-08 ","https://ja.wikipedia.org/wiki/道の駅関川","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯38度05分31秒東経139度33分59秒","〒959-3264新潟県岩船郡関川村上関1252-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道113号","第1回（15008）","1993年4月22日","不明","9:00-16:30","","","","","","","","","","","",""
"道の駅ちぢみの里おぢや","ちぢみの里おぢや（ちぢみのさとおぢや）小千谷市国道17号新潟-09 ","https://ja.wikipedia.org/wiki/道の駅ちぢみの里おぢや","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度18分18秒東経138度49分22秒","〒947-0003新潟県小千谷市大字薭生甲1670-1","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道17号","第5回（15009）","1994年4月26日","不明","10:00-21:00","","","","","","","","","","","",""
"道の駅阿賀の里","あがのさと阿賀の里（あがのさと）東蒲原郡阿賀町国道49号新潟-10 ","https://ja.wikipedia.org/wiki/道の駅阿賀の里","道の駅一覧_北陸地方","https://ja.wikipedia.org/wiki/道の駅一覧_北陸地方","表形式","北緯37度44分17秒東経139度18分26秒","〒959-4636新潟県東蒲原郡阿賀町石間4301","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","国道49号","第5回（15010）","1994年4月26日","不明","9:00-18:00（4-11月）9:00-17:00（12-3月）","","","","","","","","","","","",""
