"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","公式サイト","分類","運営者","前身","テーマ","キャッチコピー","面積","来園者数","開園","位置","Hidden","Hidden"
"道の駅貞光ゆうゆう館","さだみつゆうゆうかん貞光ゆうゆう館（さだみつゆうゆうかん）美馬郡つるぎ町国道192号徳島-01 ","https://ja.wikipedia.org/wiki/道の駅貞光ゆうゆう館","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度2分33.5秒東経134度3分36.1秒","〒779-4101徳島県美馬郡つるぎ町貞光字大須賀11番地1","国道192号","第5回（36001）","1994年4月26日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1995年11月1日","9:00 - 20:00","","","","","","","","","","","",""
"道の駅鷲の里","わしのさと鷲の里（わしのさと）那賀郡那賀町県道19号阿南鷲敷日和佐線徳島-02EVスポット","https://ja.wikipedia.org/wiki/道の駅鷲の里","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度51分47秒東経134度30分08秒","〒771-5201徳島県那賀郡那賀町和喰字田野89","徳島県道19号阿南鷲敷日和佐線","第8回（36002）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","1995年","7:10 - 17:40（3月 - 11月）8:00 - 17:20（12月 - 2月）","","","","","","","","","","","",""
"道の駅宍喰温泉","ししくいおんせん宍喰温泉（ししくいおんせん）海部郡海陽町国道55号徳島-03 ","https://ja.wikipedia.org/wiki/道の駅宍喰温泉","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度34分09秒東経134度18分26秒","〒775-0501徳島県海部郡海陽町大字久保字板取219-6","国道55号","第10回（36003）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年4月12日","8:00 - 20:00","","","","","","","","","","","",""
"道の駅どなり","どなり阿波市国道318号徳島-04","https://ja.wikipedia.org/wiki/道の駅どなり","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度09分03秒東経134度21分09秒","〒771-1508徳島県阿波市土成町宮川内字平間28-2","国道318号","第10回（36004）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1993年2月23日","10:00 - 17:00","","","","","","","","","","","",""
"道の駅にしいや","にしいや三好市県道45号西祖谷山山城線徳島-05 ","https://ja.wikipedia.org/wiki/道の駅にしいや","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度53分21秒東経133度48分41秒","〒778-0101徳島県三好市西祖谷山村尾井ノ内348-2","徳島県道45号","第13回（36005）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ","1998年8月","9:00 - 17:00（4月 - 11月）10:00 - 15:00（12月 - 3月）","","","","","","","","","","","",""
"道の駅わじき","わじき那賀郡那賀町国道195号徳島-06 ","https://ja.wikipedia.org/wiki/道の駅わじき","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度52分08秒東経134度33分17秒","〒771-5204徳島県那賀郡那賀町中山字関ヶ原34-56","国道195号","第14回（36006）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","1998年4月","9:00 - 17:00","","","","","","","","","","","",""
"道の駅公方の郷なかがわ","くぼうのさとなかがわ公方の郷なかがわ（くぼうのさとなかがわ）阿南市国道55号徳島-07旧々名称「公方の郷なかがわ」旧名称「阿南市那賀川」","https://ja.wikipedia.org/wiki/道の駅公方の郷なかがわ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度57分11秒東経134度40分04秒","〒779-1236徳島県阿南市那賀川町工地803番地","国道55号","第15回（36007）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年12月9日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅もみじ川温泉","もみじ川温泉（もみじがわおんせん）那賀郡那賀町国道195号徳島-08 ","https://ja.wikipedia.org/wiki/道の駅もみじ川温泉","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度47分52秒東経134度26分47秒","〒771-5410徳島県那賀郡那賀町大久保西納野4-7","国道195号","第16回（36008）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年8月18日","10:00 - 22:00","","","","","","","","","","","",""
"道の駅温泉の里神山","おんせんのさとかみやま温泉の里神山（おんせんのさとかみやま）名西郡神山町国道438号徳島-09 ","https://ja.wikipedia.org/wiki/道の駅温泉の里神山","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度58分25秒東経134度22分04秒","〒771-3310徳島県名西郡神山町神領字西上角151-1","国道438号","第17回（36009）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年8月","9:00 - 18:00（3月 - 10月）9:00 - 17:00（11月 - 2月）","","","","","","","","","","","",""
"道の駅藍ランドうだつ","あいランドうだつ藍ランドうだつ（あいランドうだつ）美馬市県道12号鳴門池田線徳島-10 ","https://ja.wikipedia.org/wiki/道の駅藍ランドうだつ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度04分01秒東経134度08分47秒","〒779-3610徳島県美馬市脇町大字脇町55","徳島県道12号","第18回（36010）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","2002年12月9日","9:00 - 18:00","","","","","","","","","","","",""
