"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","施工","建築主","事業主体","管理運営","構造形式","建築面積","延床面積","階数","高さ","着工","竣工","開館開所"
"道の駅しちのへ","しちのへ上北郡七戸町国道4号青森-01 ","https://ja.wikipedia.org/wiki/道の駅しちのへ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度43分01秒東経141度09分18秒","〒039-2501青森県上北郡七戸町字荒熊内67-94","国道4号","第1回（02001）","1993年4月22日","1994年3月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅はしかみ","はしかみ三戸郡階上町国道45号青森-02 ","https://ja.wikipedia.org/wiki/道の駅はしかみ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度27分31秒東経141度36分30秒","〒039-1201青森県三戸郡階上町大字道仏字耳ヶ吠3-3","国道45号","第1回（02002）","1993年4月22日","1994年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00（4月 - 12月）9:00 - 18:00（1月 - 3月）","","","","","","","","","","","",""
"道の駅虹の湖","にじのこ虹の湖（にじのこ）黒石市国道102号青森-03 ","https://ja.wikipedia.org/wiki/道の駅虹の湖","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度34分51秒東経140度41分15秒","〒036-0402青森県黒石市大字沖浦字山神1-5","国道102号","第1回（02003）","1993年4月22日","1989年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅わきのさわ","わきのさわむつ市国道338号青森-04 ","https://ja.wikipedia.org/wiki/道の駅わきのさわ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度10分05秒東経140度48分17秒","〒039-5323青森県むつ市脇野沢七引201-5","国道338号","第5回（02004）","1994年4月26日","1987年4月","国土交通省案内ページ全国道の駅連絡会ページ","8:30-17:00","","","","","","","","","","","",""
"道の駅かわうち湖","かわうち湖（かわうちこ）むつ市県道253号長後川内線青森-05 ","https://ja.wikipedia.org/wiki/道の駅かわうち湖","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度16分13秒東経140度53分17秒","〒039-4701青森県むつ市川内町福浦山314","青森県道253号","第5回（02005）","1994年4月26日","1994年9月","国土交通省案内ページ全国道の駅連絡会ページ","9:00-17:00","","","","","","","","","","","",""
"道の駅しんごう","しんごう三戸郡新郷村国道454号青森-06 ","https://ja.wikipedia.org/wiki/道の駅しんごう","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度25分54秒東経141度04分28秒","〒039-1801青森県三戸郡新郷村大字戸来字雨池11-2","国道454号","第5回（02006）","1994年4月26日","1994年5月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-17:00","","","","","","","","","","","",""
"道の駅ひろさき","ひろさき弘前市国道7号青森-07 ","https://ja.wikipedia.org/wiki/道の駅ひろさき","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度33分19秒東経140度32分57秒","〒036-8124青森県弘前市大字石川字泉田62-1","国道7号","第8回（02007）","1995年4月11日","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:309:00-17:30（冬季）","","","","","","","","","","","",""
"道の駅奥入瀬","おいらせ奥入瀬（おいらせ）十和田市国道102号青森-08 ","https://ja.wikipedia.org/wiki/道の駅奥入瀬","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度35分07秒東経141度07分03秒","〒034-0301青森県十和田市奥瀬字堰道39-1","国道102号","第8回（02008）","1995年4月11日","1995年7月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:00","","","","","","","","","","","",""
"道の駅さんのへ","さんのへ三戸郡三戸町国道4号青森-09 ","https://ja.wikipedia.org/wiki/道の駅さんのへ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度23分16秒東経141度15分19秒","〒039-0141青森県三戸郡三戸町大字川守田字西張渡39-1","国道4号","第10回（02009）","1996年4月16日","1996年11月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:009:00 - 18:30（8月）","","","","","","","","","","","",""
"道の駅なみおか","なみおか青森市国道7号青森-10 ","https://ja.wikipedia.org/wiki/道の駅なみおか","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度43分06秒東経140度34分49秒","〒038-1331青森県青森市浪岡大字女鹿沢字野尻2-3","国道7号","第10回（02010）","1996年4月16日","1996年7月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:00（3月16日 - 11月15日）9:00 - 18:00（11月16日 - 3月15日）","","","","","","","","","","","",""
"道の駅十三湖高原","じゅうさんここうげん十三湖高原（じゅうさんここうげん）五所川原市国道339号青森-11 ","https://ja.wikipedia.org/wiki/道の駅十三湖高原","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度02分45秒東経140度23分02秒","〒037-0401青森県五所川原市相内実取287-1058","国道339号","第12回（02011）","1997年4月11日","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00（4月-10月）9:00-17:00（11月-3月）","","","","","","","","","","","",""
"道の駅いまべつ","いまべつ東津軽郡今別町県道14号今別蟹田線青森-12津軽二股駅併設","https://ja.wikipedia.org/wiki/道の駅いまべつ","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度08分44秒東経140度30分51秒","〒030-1505青森県東津軽郡今別町大字大川平字清川87-16","青森県道14号","第12回（02012）","1997年4月11日","1997年4月","国土交通省案内ページ全国道の駅連絡会ページ","9:00 - 18:00（4月 - 10月）9:30 - 15:00（11月 - 3月）","","","","","","","","","","","",""
"道の駅なんごう (青森県)","なんごう八戸市県道42号名川階上線青森-13 ","https://ja.wikipedia.org/wiki/道の駅なんごう_(青森県)","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度24分21秒東経141度25分53秒","〒031-0114青森県八戸市南郷大字中野字舘野4-4","青森県道42号","第12回（02013）","1997年4月11日","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:009:00 - 18:00（冬季）","","","","","","","","","","","",""
"道の駅もりた","もりたつがる市国道101号青森-14 ","https://ja.wikipedia.org/wiki/道の駅もりた","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度47分04秒東経140度19分20秒","〒038-2817青森県つがる市森田町床舞稚桜4-1","国道101号","第14回（02014）","1998年4月17日","1998年11月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00","","","","","","","","","","","",""
"道の駅浅虫温泉","あさむしおんせん浅虫温泉（あさむしおんせん）青森市国道4号青森-15 ","https://ja.wikipedia.org/wiki/道の駅浅虫温泉","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度53分30秒東経140度51分41秒","〒039-3501青森県青森市大字浅虫字螢谷341-19","国道4号","第15回（02015）","1999年8月27日","2000年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-19:009:00-21:00（7・8月）9:00-18:00（12月-3月）","","","","","","","","","","","",""
"道の駅いかりがせき","いかりがせき平川市国道7号青森-16 ","https://ja.wikipedia.org/wiki/道の駅いかりがせき","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度28分54秒東経140度37分23秒","〒038-0101青森県平川市碇ヶ関碇石13-1","国道7号","第15回（02016）","1999年8月27日","2000年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-20:00（4月 - 11月）9:00-19:00（12月 - 3月）","","","","","","","","","","","",""
"道の駅いなかだて","いなかだて南津軽郡田舎館村国道102号青森-17 ","https://ja.wikipedia.org/wiki/道の駅いなかだて","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯40度38分01秒東経140度34分40秒","〒038-1111青森県南津軽郡田舎館村大字高樋字八幡10","国道102号","第15回（02017）","1999年8月27日","1999年8月","国土交通省案内ページ全国道の駅連絡会ページ","8:30 - 18:00（4月 - 11月）8:30 - 17:30（12月 - 3月）","","","","","","","","","","","",""
"道の駅よこはま","よこはま上北郡横浜町国道279号青森-18 ","https://ja.wikipedia.org/wiki/道の駅よこはま","道の駅一覧_東北地方","https://ja.wikipedia.org/wiki/道の駅一覧_東北地方","表形式","北緯41度05分01秒東経141度15分25秒","〒039-4143青森県上北郡横浜町字林ノ脇79-12","国道279号","第15回（02018）","1999年8月27日","1999年4月","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:00-20:00（5-8月）9:00-17:30（11-3月）8:00-18:00（上記以外）","","","","","","","","","","","",""
