"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","開駅日","外部リンク","営業時間","所属路線","本線標識の表記","供用開始日","起点からの距離","接続する一般道","通行台数","備考","専門分野","管理運営","開館","位置","アクセス"
"道の駅河野","こうの河野（こうの）南条郡南越前町国道8号福井-01 ","https://ja.wikipedia.org/wiki/道の駅河野","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度47分48秒東経136度05分31秒","〒915-1103福井県南条郡南越前町大谷86-1-6","国道8号","第5回（18001）","1994年4月26日","不明","国土交通省案内ページ全国道の駅連絡会ページ","8:30 - 19:00","","","","","","","","","","","",""
"道の駅九頭竜","くずりゅう九頭竜（くずりゅう）大野市国道158号福井-02 ","https://ja.wikipedia.org/wiki/道の駅九頭竜","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度54分15秒東経136度39分41秒","〒912-0205福井県大野市朝日26-30-1","国道158号","第5回（18002）","1994年4月26日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","8:30 - 17:00（生産物直売所・ふれあい会館）6:00 - 22:00（ファミリーマート）","","","","","","","","","","","",""
"道の駅パークイン丹生ケ丘","ぱーくいんにゅうがおかパークイン丹生ヶ丘（パークインにゅうがおか）丹生郡越前町国道417号福井-03 ","https://ja.wikipedia.org/wiki/道の駅パークイン丹生ケ丘","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度58分10秒東経136度07分10秒","〒916-0142福井県丹生郡越前町上川去45-1-7","国道417号","第10回（18003）","1996年4月16日","不明","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 19:00（4月 - 9月）10:00 - 18:00（10月 - 3月）","","","","","","","","","","","",""
"道の駅名田庄","なたしょう名田庄（なたしょう）大飯郡おおい町国道162号福井-04 ","https://ja.wikipedia.org/wiki/道の駅名田庄","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度23分40秒東経135度35分03秒","〒917-0375福井県大飯郡おおい町名田庄納田終109-4-1","国道162号","第14回（18004）","1998年4月17日","1998年4月17日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 18:30（4月 - 11月）10:00 - 17:30（12月 - 2月）9:00 - 18:00（3月）","","","","","","","","","","","",""
"道の駅みくに","みくに坂井市国道305号福井-05 ","https://ja.wikipedia.org/wiki/道の駅みくに","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯36度11分23秒東経136度08分21秒","〒913-0032福井県坂井市三国町山岸67-3-1","国道305号","第14回（18005）","1998年4月17日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 17:00","","","","","","","","","","","",""
"道の駅若狭熊川宿","わかさくまがわじゅく若狭熊川宿（わかさくまがわじゅく）三方上中郡若狭町国道303号福井-06 ","https://ja.wikipedia.org/wiki/道の駅若狭熊川宿","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度26分26秒東経135度54分22秒","〒919-1532福井県三方上中郡若狭町熊川11-1-1","国道303号","第14回（18006）","1998年4月17日","不明","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:00 - 18:30","","","","","","","","","","","",""
"道の駅さかい (福井県)","さかい坂井市県道29号福井金津線福井-07 ","https://ja.wikipedia.org/wiki/道の駅さかい_(福井県)","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯36度10分15秒東経136度13分19秒","〒919-0542福井県坂井市坂井町蔵垣内第34号14番地1[1]","福井県道29号","第16回（18007）","2000年8月18日","2001年6月15日[2]","国土交通省案内ページ全国道の駅連絡会ページ","10:00 - 18:00","","","","","","","","","","","",""
"道の駅シーサイド高浜","しーさいどたかはまシーサイド高浜（シーサイドたかはま）大飯郡高浜町国道27号福井-08 ","https://ja.wikipedia.org/wiki/道の駅シーサイド高浜","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度29分20秒東経135度35分45秒","〒919-2205福井県大飯郡高浜町下車持46-10","国道27号","第17回（18008）","2001年8月21日","2002年4月29日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","10:00 - 21:30","","","","","","","","","","","",""
"道の駅若狭おばま","わかさおばま若狭おばま（わかさおばま）小浜市県道24号小浜上中線福井-09 ","https://ja.wikipedia.org/wiki/道の駅若狭おばま","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度29分31秒東経135度45分47秒","〒917-0027福井県小浜市和久里第24号45番2[1]","福井県道24号","第35回（18009）","2011年3月3日","2011年3月12日[2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00 - 19:30","","","","","","","","","","","",""
"道の駅うみんぴあ大飯","うみんぴあ大飯（うみんぴあおおい）大飯郡おおい町国道27号福井-10 ","https://ja.wikipedia.org/wiki/道の駅うみんぴあ大飯","道の駅一覧_近畿地方","https://ja.wikipedia.org/wiki/道の駅一覧_近畿地方","表形式","北緯35度28分53秒東経135度37分48秒","〒919-2107福井県大飯郡おおい町成海1-1-2","国道27号","第38回（18010）","2012年9月14日","2013年5月30日[1][2]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","9:00-18:00","","","","","","","","","","","",""
