"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","タイプ","分野","使用言語","閲覧","登録","ライセンス","運営元","設立","設立者","分類","面積","開園"
"道の駅かつら","かつら東茨城郡城里町国道123号茨城-01 ","https://ja.wikipedia.org/wiki/道の駅かつら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度32分42秒東経140度19分59秒","〒311-4341茨城県東茨城郡城里町大字御前山37","国道123号","第1回（08001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1992年4月[1]","9:30 - 18:00（4-9月）9:30 - 17:00（10-3月）","","","","","","","","","","","",""
"道の駅みわ","みわ常陸大宮市国道293号茨城-02 ","https://ja.wikipedia.org/wiki/道の駅みわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度39分21秒東経140度16分48秒","〒319-2603茨城県常陸大宮市鷲子272","国道293号","第7回（08002）","1995年1月30日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅さとみ","さとみ常陸太田市国道349号茨城-03 ","https://ja.wikipedia.org/wiki/道の駅さとみ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度42分21秒東経140度30分35秒","〒311-0507茨城県常陸太田市小菅町694-3","国道349号","第8回（08003）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1995年6月1日[1]","9:00 - 17:00","","","","","","","","","","","",""
"道の駅さかい (茨城県)","さかい猿島郡境町国道354号茨城-04 ","https://ja.wikipedia.org/wiki/道の駅さかい_(茨城県)","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度06分10秒東経139度47分43秒","〒306-0433茨城県猿島郡境町1341-1","国道354号","第10回（08004）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅奥久慈だいご","おくくじだいご奥久慈だいご（おくくじだいご）久慈郡大子町国道118号茨城-05 ","https://ja.wikipedia.org/wiki/道の駅奥久慈だいご","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度46分07秒東経140度21分33秒","〒319-3551茨城県久慈郡大子町大字池田2830-1","国道118号","第14回（08005）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年10月23日[1]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅しもつま","しもつま下妻市国道294号常総バイパス茨城-06 ","https://ja.wikipedia.org/wiki/道の駅しもつま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度12分59秒東経139度59分13秒","〒304-0016茨城県下妻市数須140","国道294号","第15回（08006）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年9月2日","6:00 - 22:00（10-3月：- 21:00）","","","","","","","","","","","",""
"道の駅たまつくり","たまつくり行方市国道354号茨城-07 ","https://ja.wikipedia.org/wiki/道の駅たまつくり","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度05分47秒東経140度24分13秒","〒311-3512茨城県行方市玉造甲1962","国道354号","第16回（08007）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年3月28日[1]","9:00 - 19:00（10月 - 3月：9:00 - 18:00）","","","","","","","","","","","",""
"道の駅いたこ","いたこ潮来市県道101号潮来佐原線茨城-08 ","https://ja.wikipedia.org/wiki/道の駅いたこ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度56分47秒東経140度35分21秒","〒311-2416茨城県潮来市前川1326-1","茨城県道101号潮来佐原線","第17回（08008）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年4月25日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅ごか","ごか猿島郡五霞町国道4号春日部古河バイパス茨城-09 ","https://ja.wikipedia.org/wiki/道の駅ごか","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度05分43秒東経139度45分30秒","〒306-0304茨城県猿島郡五霞町ごかみらい13-3","国道4号","第20回（08009）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年4月23日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅まくらがの里こが","まくらがの里こが（まくらがのさとこが）古河市国道4号古河小山バイパス茨城-10 ","https://ja.wikipedia.org/wiki/道の駅まくらがの里こが","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度11分30秒東経139度47分23秒","〒306-0111茨城県古河市大和田2623","国道4号","第39回（08010）","2013年3月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2013年7月7日[1]","9:00 - 20:00","","","","","","","","","","","",""
"道の駅日立おさかなセンター","ひたちおさかなセンター日立おさかなセンター（ひたちおさかなセンター）日立市国道245号茨城-11 ","https://ja.wikipedia.org/wiki/道の駅日立おさかなセンター","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度29分33秒東経140度36分56秒","〒319-1223茨城県日立市みなと町5779-24","国道245号","第41回（08011）","2014年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年9月21日（開業:1992年）","9:00-18:00","","","","","","","","","","","",""
"道の駅常陸大宮","ひたちおおみや常陸大宮（ひたちおおみや）常陸大宮市国道118号茨城-12 ","https://ja.wikipedia.org/wiki/道の駅常陸大宮","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度35分49秒東経140度24分37秒","〒319-2211茨城県常陸大宮市岩崎717-1","国道118号","第44回（08012）","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年3月25日[2][3]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅ひたちおおた","ひたちおおた常陸太田市国道349号茨城-13 ","https://ja.wikipedia.org/wiki/道の駅ひたちおおた","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度30分36秒東経140度31分31秒","〒313-0044茨城県常陸太田市下河合町1016-1","国道349号","第44回（08013）","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年7月21日[1][2]","9:00 - 19:00","","","","","","","","","","","",""
"道の駅グランテラス筑西","グランテラス筑西（グランテラスちくせい）筑西市国道50号茨城-14 ","https://ja.wikipedia.org/wiki/道の駅グランテラス筑西","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度19分23.2秒東経139度59分36.5秒","〒308-0801茨城県筑西市川澄1850","国道50号","第51回（08014）","2019年6月19日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2019年7月11日[2][3][4]","9:00 - 19:00","","","","","","","","","","","",""
"道の駅かさま (存在しないページ)","かさま笠間市国道355号茨城-152021年9月16日オープン予定[1][2]","https://ja.wikipedia.org/w/index.php?title=道の駅かさま&amp;action=edit&amp;redlink=1","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","","","","","","","","","","","","","","","","","","","",""
"道の駅もてぎ","もてぎ芳賀郡茂木町国道123号栃木-01 ","https://ja.wikipedia.org/wiki/道の駅もてぎ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度31分40秒東経140度10分22秒","〒321-3531栃木県芳賀郡茂木町大字茂木1090-1","国道123号","第10回（09001）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年7月13日","10:00 - 19:00（10-3月：10:00 - 18:00）","","","","","","","","","","","",""
"道の駅にのみや","にのみや真岡市国道294号栃木-02 ","https://ja.wikipedia.org/wiki/道の駅にのみや","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度22分02秒東経139度57分54秒","〒321-4521栃木県真岡市久下田2204-2","国道294号","第12回（09002）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年11月1日","10:00 - 19:00（10-3月：10:00 - 18:00）","","","","","","","","","","","",""
"道の駅湯の香しおばら","ゆのかしおばら湯の香しおばら（ゆのかしおばら）那須塩原市国道400号栃木-03 ","https://ja.wikipedia.org/wiki/道の駅湯の香しおばら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度57分21秒東経139度53分57秒","〒329-2801栃木県那須塩原市関谷442","国道400号","第12回（09003）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年11月20日","9:00-17:00","","","","","","","","","","","",""
"道の駅那須高原友愛の森","なすこうげんゆうあいのもり那須高原友愛の森（なすこうげんゆうあいのもり）那須郡那須町県道17号那須高原線栃木-04 ","https://ja.wikipedia.org/wiki/道の駅那須高原友愛の森","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯37度02分27秒東経140度00分50秒","〒325-0303栃木県那須郡那須町大字高久乙593-8","栃木県道17号","第12回（09004）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1988年8月22日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅明治の森・黒磯","めいじのもりくろいそ明治の森・黒磯（めいじのもりくろいそ）那須塩原市県道369号黒磯田島線栃木-05 ","https://ja.wikipedia.org/wiki/道の駅明治の森・黒磯","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯37度00分04秒東経139度59分06秒","〒325-0103栃木県那須塩原市青木27","栃木県道369号黒磯田島線","第12回（09005）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年4月27日","9:00-18:00（4-9月）9:00-16:30（10-3月）","","","","","","","","","","","",""
"道の駅ばとう","ばとう那須郡那珂川町国道293号栃木-06 ","https://ja.wikipedia.org/wiki/道の駅ばとう","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度44分51秒東経140度09分00秒","〒324-0617栃木県那須郡那珂川町北向田183-1","国道293号","第14回（09006）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年9月2日","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"道の駅東山道伊王野","とうさんどういおうの東山道伊王野（とうさんどういおうの）那須郡那須町国道294号栃木-07 ","https://ja.wikipedia.org/wiki/道の駅東山道伊王野","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度57分15秒東経140度09分27秒","〒329-3436栃木県那須郡那須町大字伊王野459","国道294号","第15回（09007）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年10月26日","8:30 - 17:00","","","","","","","","","","","",""
"道の駅きつれがわ","きつれがわさくら市国道293号栃木-08 ","https://ja.wikipedia.org/wiki/道の駅きつれがわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度42分56秒東経140度01分58秒","〒329-1412栃木県さくら市喜連川4145-10","国道293号","第16回（09008）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年6月10日","8:30 - 17:00","","","","","","","","","","","",""
"道の駅どまんなか たぬま","どまんなか たぬま佐野市県道16号佐野田沼線栃木-09 ","https://ja.wikipedia.org/wiki/道の駅どまんなか_たぬま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度20分38秒東経139度34分19秒","〒321-0313栃木県佐野市吉水町366-2","栃木県道16号","第17回（09009）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2001年11月1日","9:30 - 19:00","","","","","","","","","","","",""
"道の駅はが (栃木県)","はが芳賀郡芳賀町県道69号宇都宮茂木線栃木-10 ","https://ja.wikipedia.org/wiki/道の駅はが_(栃木県)","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度33分08秒東経140度03分29秒","〒321-3304栃木県芳賀郡芳賀町大字祖母井842-1","栃木県道69号","第17回（09010）","2001年8月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年4月27日","9:30 - 18:00（11-2月：9:30-17:00）","","","","","","","","","","","",""
