"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","開園","事務所所在地","事務所","公式サイト","告示","備考","設備・遊具","地域","創立日","年来園者数","位置","アクセス","標高","山系","現況"
"厚岸道立自然公園","[厚岸道立自然公園] 厚岸霧多布昆布森国定公園 （あっけしきりたっぷこんぶもりこくていこうえん）は、 北海道 釧路郡 釧路町 、 厚岸郡 厚岸町 ・ 浜中町 、 川上郡 標茶町 にまたがる 国定公園 である。元は「厚岸道立自然公園」として 1955年 （昭和30年）に指定された 都道府県立自然公園 で、 2021年 （ 令和 3年）3月30日に国定公園に指定された  。","https://ja.wikipedia.org/wiki/厚岸道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯42度59分43秒東経144度55分10秒","日本北海道釧路郡釧路町、厚岸郡厚岸町、厚岸郡浜中町、川上郡標茶町","41,487ヘクタール","国定公園","北海道","2021年","北海道釧路市浦見2丁目2-54","釧路総合振興局保健環境部環境生活課","","環境省告示第24号","","","","","","","","","",""
"富良野芦別道立自然公園","[富良野芦別道立自然公園] 富良野芦別道立自然公園 （ふらのあしべつどうりつしぜんこうえん）は、 北海道 夕張市 、 芦別市 、 三笠市 、 富良野市 、 空知郡 南富良野町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/富良野芦別道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯43度12分48秒東経142度17分03秒","日本北海道夕張市、芦別市、三笠市、富良野市、空知郡南富良野町","35,756ヘクタール","自然公園","北海道","1955年","北海道旭川市永山6条19丁目1北海道岩見沢市8条西5丁目","上川総合振興局保健環境部環境生活課空知総合振興局保健環境部環境生活課","富良野芦別道立自然公園","","自動車・スノーモビルなどの乗入れ規制区域あり","","","","","","","","",""
"檜山道立自然公園","[檜山道立自然公園] 檜山道立自然公園 （ひやまどうりつしぜんこうえん）は、 北海道 檜山郡 上ノ国町 ・ 江差町 、 爾志郡 乙部町 、 二海郡 八雲町 （旧 熊石町 ）、 久遠郡 せたな町 （旧 大成町 ）、 奥尻郡 奥尻町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/檜山道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯41度52分08秒東経140度06分52秒","日本北海道檜山郡上ノ国町、檜山郡江差町、爾志郡乙部町、二海郡八雲町、久遠郡せたな町、奥尻郡奥尻町","約17,000ヘクタール","自然公園","北海道","1960年","北海道檜山郡江差町字陣屋町336-3","檜山振興局保健環境部環境生活課","檜山道立自然公園","","","","","","","","","","",""
"恵山道立自然公園","[恵山道立自然公園] 恵山道立自然公園 （えさんどうりつしぜんこうえん）は、 北海道 函館市 （旧 戸井町 ・ 恵山町 ・ 椴法華村 ・ 南茅部町 ）、 亀田郡 七飯町 、 茅部郡 鹿部町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/恵山道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯41度48分54秒東経141度10分24秒","日本北海道函館市、亀田郡七飯町、茅部郡鹿部町","4,116ヘクタール","自然公園","北海道","1961年2007年（横津岳地域編入）","北海道函館市美原4丁目6-16","渡島総合振興局保健環境部環境生活課","恵山道立自然公園","","自動車・スノーモビルなどの乗入れ規制区域あり","","","","","","","","",""
"野付風蓮道立自然公園","[野付風蓮道立自然公園] 野付風蓮道立自然公園 （のつけふうれんどうりつしぜんこうえん）は、 北海道 根室市 、 野付郡 別海町 、 標津郡 標津町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/野付風蓮道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","日本北海道根室市、野付郡別海町、標津郡標津町","11,692ヘクタール","自然公園","北海道","1962年","北海道根室市常盤町3丁目28","根室振興局保健環境部環境生活課","野付風蓮道立自然公園","","自動車・スノーモビルなどの乗入れ規制区域あり","","","","","","","","",""
"松前矢越道立自然公園","[松前矢越道立自然公園] 松前矢越道立自然公園 （まつまえやごしどうりつしぜんこうえん）は、 北海道 松前郡 松前町 ・ 福島町 、 上磯郡 知内町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/松前矢越道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯41度23分54秒東経140度11分58秒","日本北海道松前郡松前町、松前郡福島町、上磯郡知内町","2,052ヘクタール","自然公園","北海道","1968年","北海道函館市美原4丁目6-16","渡島総合振興局保健環境部環境生活課","松前矢越道立自然公園","","","","","","","","","","",""
"北オホーツク道立自然公園","[北オホーツク道立自然公園] 北オホーツク道立自然公園 （きたオホーツクどうりつしぜんこうえん）は、 北海道 宗谷郡 猿払村 、 枝幸郡 浜頓別町 ・ 枝幸町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/北オホーツク道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯45度08分50.0秒東経142度22分10.6秒","日本北海道宗谷郡猿払村、枝幸郡浜頓別町、枝幸郡枝幸町","3,927ヘクタール","自然公園","北海道","1968年","北海道稚内市末広4丁目2-27","宗谷総合振興局保健環境部環境生活課","北オホーツク道立自然公園","","自動車・スノーモビルなどの乗入れ規制区域あり","","","","","","","","",""
"道立自然公園野幌森林公園","[道立自然公園野幌森林公園] 道立自然公園野幌森林公園 （どうりつしぜんこうえんのっぽろしんりんこうえん）は、 北海道 札幌市 ・ 江別市 ・ 北広島市 にある 公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/道立自然公園野幌森林公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯43度03分09秒東経141度30分02秒","日本札幌市厚別区・江別市・北広島市","2,053ヘクタール","自然公園","北海道","1968年","札幌市厚別区厚別町小野幌53-2","北海道博物館総務課","道立自然公園野幌森林公園","","公園内への動物・植物などの持ち込みは禁止（一部遊歩道では犬の散歩ができる）広域避難場所","","","","","","#交通アクセス参照","","",""
"狩場茂津多道立自然公園","[狩場茂津多道立自然公園] 狩場茂津多道立自然公園 （かりばもったどうりつしぜんこうえん）は、 北海道 寿都郡 寿都町 、 島牧郡 島牧村 、 久遠郡 せたな町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/狩場茂津多道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯42度36分35秒東経139度51分11秒","日本北海道寿都郡寿都町、島牧郡島牧村、久遠郡せたな町","22,647ヘクタール","自然公園","北海道","1972年","北海道檜山郡江差町字陣屋町336-3北海道虻田郡倶知安町北1条東2丁目","檜山振興局保健環境部環境生活課後志総合振興局保健環境部環境生活課","狩場茂津多道立自然公園","","","","","","","","","","",""
"朱鞠内道立自然公園","[朱鞠内道立自然公園] 朱鞠内道立自然公園 （しゅまりないどうりつしぜんこうえん）は、 北海道 雨竜郡 幌加内町 、 士別市 、 天塩郡 遠別町 、 苫前郡 羽幌町 にある 自然公園 （ 都道府県立自然公園 ）。","https://ja.wikipedia.org/wiki/朱鞠内道立自然公園","都道府県立自然公園","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯44度18分30秒東経142度10分53秒","日本北海道雨竜郡幌加内町、士別市、天塩郡遠別町、苫前郡羽幌町","13,767ヘクタール","自然公園","北海道","1974年","北海道旭川市永山6条19丁目1北海道留萌市住之江町2丁目1-2","上川総合振興局保健環境部環境生活課留萌振興局保健環境部環境生活課","朱鞠内道立自然公園","","","","","","","","","","",""
