"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","分類","所在地","面積","前身","開園","運営者","告示","事務所","事務所所在地","備考","公式サイト","設計者","バリアフリー","アクセス","年来園者数","標高","位置","山系","種類"
"厚岸道立自然公園","厚岸道立自然公園","https://ja.wikipedia.org/wiki/厚岸道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯42度59分43秒東経144度55分10秒","国定公園","日本北海道釧路郡釧路町、厚岸郡厚岸町、厚岸郡浜中町、川上郡標茶町","41,487ヘクタール[1]","厚岸道立自然公園","2021年","北海道","環境省告示第24号","釧路総合振興局保健環境部環境生活課","北海道釧路市浦見2丁目2-54","","","","","","","","","",""
"富良野芦別道立自然公園","富良野芦別道立自然公園","https://ja.wikipedia.org/wiki/富良野芦別道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯43度12分48秒東経142度17分03秒","自然公園","日本北海道夕張市、芦別市、三笠市、富良野市、空知郡南富良野町","35,756ヘクタール","","1955年","北海道","","上川総合振興局保健環境部環境生活課空知総合振興局保健環境部環境生活課","北海道旭川市永山6条19丁目1北海道岩見沢市8条西5丁目","自動車・スノーモビルなどの乗入れ規制区域あり[1]","富良野芦別道立自然公園","","","","","","","",""
"檜山道立自然公園","檜山道立自然公園","https://ja.wikipedia.org/wiki/檜山道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯41度52分08秒東経140度06分52秒","自然公園","日本北海道檜山郡上ノ国町、檜山郡江差町、爾志郡乙部町、二海郡八雲町、久遠郡せたな町、奥尻郡奥尻町","約17,000ヘクタール","","1960年","北海道","","檜山振興局保健環境部環境生活課","北海道檜山郡江差町字陣屋町336-3","","檜山道立自然公園","","","","","","","",""
"恵山道立自然公園","恵山道立自然公園","https://ja.wikipedia.org/wiki/恵山道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯41度48分54秒東経141度10分24秒","自然公園","日本北海道函館市、亀田郡七飯町、茅部郡鹿部町","4,116ヘクタール","","1961年2007年（横津岳地域編入）","北海道","","渡島総合振興局保健環境部環境生活課","北海道函館市美原4丁目6-16","自動車・スノーモビルなどの乗入れ規制区域あり[1]","恵山道立自然公園","","","","","","","",""
"野付風蓮道立自然公園","野付風蓮道立自然公園","https://ja.wikipedia.org/wiki/野付風蓮道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","","自然公園","日本北海道根室市、野付郡別海町、標津郡標津町","11,692ヘクタール[1]","","1962年","北海道","","根室振興局保健環境部環境生活課","北海道根室市常盤町3丁目28","自動車・スノーモビルなどの乗入れ規制区域あり[2]","野付風蓮道立自然公園","","","","","","","",""
"松前矢越道立自然公園","松前矢越道立自然公園","https://ja.wikipedia.org/wiki/松前矢越道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯41度23分54秒東経140度11分58秒","自然公園","日本北海道松前郡松前町、松前郡福島町、上磯郡知内町","2,052ヘクタール[1]","","1968年","北海道","","渡島総合振興局保健環境部環境生活課","北海道函館市美原4丁目6-16","","松前矢越道立自然公園","","","","","","","",""
"北オホーツク道立自然公園","北オホーツク道立自然公園","https://ja.wikipedia.org/wiki/北オホーツク道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯45度08分50.0秒東経142度22分10.6秒","自然公園","日本北海道宗谷郡猿払村、枝幸郡浜頓別町、枝幸郡枝幸町","3,927ヘクタール","","1968年","北海道","","宗谷総合振興局保健環境部環境生活課","北海道稚内市末広4丁目2-27","自動車・スノーモビルなどの乗入れ規制区域あり[1]","北オホーツク道立自然公園","","","","","","","",""
"道立自然公園野幌森林公園","道立自然公園野幌森林公園","https://ja.wikipedia.org/wiki/道立自然公園野幌森林公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯43度03分09秒東経141度30分02秒","自然公園","日本札幌市厚別区・江別市・北広島市","2,053ヘクタール","","1968年","北海道","","北海道博物館総務課","札幌市厚別区厚別町小野幌53-2","公園内への動物・植物などの持ち込みは禁止（一部遊歩道では犬の散歩ができる）[3]広域避難場所[4]","道立自然公園野幌森林公園","加藤誠平ら[1]","公衆トイレ[2]","#交通アクセス参照","","","","",""
"狩場茂津多道立自然公園","狩場茂津多道立自然公園","https://ja.wikipedia.org/wiki/狩場茂津多道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯42度36分35秒東経139度51分11秒","自然公園","日本北海道寿都郡寿都町、島牧郡島牧村、久遠郡せたな町","22,647ヘクタール","","1972年","北海道","","檜山振興局保健環境部環境生活課後志総合振興局保健環境部環境生活課","北海道檜山郡江差町字陣屋町336-3北海道虻田郡倶知安町北1条東2丁目","","狩場茂津多道立自然公園","","","","","","","",""
"朱鞠内道立自然公園","朱鞠内道立自然公園","https://ja.wikipedia.org/wiki/朱鞠内道立自然公園","都道府県立自然公園一覧","https://ja.wikipedia.org/wiki/都道府県立自然公園","箇条書き,制限あり","北緯44度18分30秒東経142度10分53秒","自然公園","日本北海道雨竜郡幌加内町、士別市、天塩郡遠別町、苫前郡羽幌町","13,767ヘクタール","","1974年","北海道","","上川総合振興局保健環境部環境生活課留萌振興局保健環境部環境生活課","北海道旭川市永山6条19丁目1北海道留萌市住之江町2丁目1-2","","朱鞠内道立自然公園","","","","","","","",""
