"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"常陸国分尼寺跡","[常陸国分尼寺跡（ひたちこくぶんにじあと）〔石岡市〕] 常陸国分寺 （ひたちこくぶんじ）は、 茨城県 石岡市 府中にある 真言宗智山派 の 寺院 。 山号 は浄瑠璃山。 院号 は東方院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/常陸国分尼寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度11分46.34秒東経140度16分24.09秒","茨城県石岡市府中5-1-5","北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583座標:北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583","","","","","","1050005003793","常陸国分寺跡・常陸国分尼寺跡（国の特別史跡）旧千手院山門・都々一坊扇歌堂（市文化財）","","浄瑠璃山","真言宗智山派","","薬師如来","","（伝）天平勝宝4年（752年）","","",""
"常陸国分寺跡","[常陸国分寺跡（ひたちこくぶんじあと）〔石岡市府中〕] 常陸国分寺 （ひたちこくぶんじ）は、 茨城県 石岡市 府中にある 真言宗智山派 の 寺院 。 山号 は浄瑠璃山。 院号 は東方院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/常陸国分寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度11分46.34秒東経140度16分24.09秒","茨城県石岡市府中5-1-5","北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583座標:北緯36度11分46.34秒東経140度16分24.09秒﻿ / ﻿北緯36.1962056度 東経140.2733583度﻿ /36.1962056; 140.2733583","","","","","","1050005003793","常陸国分寺跡・常陸国分尼寺跡（国の特別史跡）旧千手院山門・都々一坊扇歌堂（市文化財）","","浄瑠璃山","真言宗智山派","","薬師如来","","（伝）天平勝宝4年（752年）","","",""
"弘道館","[旧弘道館（きゅうこうどうかん）〔水戸市〕] 弘道館 （こうどうかん）は、 江戸時代 後期に 日本 の 常陸国 水戸藩 に作られた 藩校 。所在地は、 茨城県 水戸市 三の丸1丁目6番内。","https://ja.wikipedia.org/wiki/弘道館","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分31.08秒 東経140度28分37.2秒","","","","","","","","","","","","","","","","","","",""
"瑞龍山","[水戸徳川家墓所（みととくがわけぼしょ）〔常陸太田市〕2007年7月26日] 瑞龍山 （ずいりゅうさん）は、 茨城県 常陸太田市 瑞龍町 （ 瑞竜町 ）にある 水戸徳川家 累代の墓所。現在は管理上の理由で一般には公開されていない。","https://ja.wikipedia.org/wiki/瑞龍山","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度34分22秒 東経140度31分46秒","","","","","","","","","","","","","","","","","","",""
"西山荘","[西山御殿跡（西山荘）（にしやまごてんあと（せいざんそう））〔常陸太田市〕2016年3月1日（名勝）] 西山荘 （せいざんそう）は、 日本 の 茨城県 常陸太田市 にある 水戸藩 2代藩主 徳川光圀 の 隠居 所である。国の 史跡 及び 名勝 に指定されている  。","https://ja.wikipedia.org/wiki/西山荘","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度32分29秒 東経140度30分23秒","","","","","","","","","","","","","","","","","","",""
"虎塚古墳","[虎塚古墳（とらづかこふん）〔ひたちなか市〕] 虎塚古墳 （とらづかこふん）は、 茨城県 ひたちなか市 にある 前方後円墳 である。造られた時期は、7世紀前半頃と推定される。","https://ja.wikipedia.org/wiki/虎塚古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度22分24.7秒東経140度34分10.7秒","茨城県ひたちなか市中根字指渋","北緯36度22分24.7秒東経140度34分10.7秒﻿ / ﻿北緯36.373528度 東経140.569639度﻿ /36.373528; 140.569639座標:北緯36度22分24.7秒東経140度34分10.7秒﻿ / ﻿北緯36.373528度 東経140.569639度﻿ /36.373528; 140.569639","虎塚古墳","全長56.5m、高さ5.5m","7世紀前半","1974年（昭和49年）国指定","前方後円墳、装飾古墳","","","漆塗小大刀、毛抜形鉄製品、鑓鉋、鉄鏃など","","","横穴式石室","","","","","",""
"馬渡埴輪製作遺跡","[馬渡埴輪製作遺跡（まわたりはにわせいさくいせき）〔ひたちなか市〕] 馬渡埴輪製作遺跡 （まわたりはにわせいさくいせき  ）は、 茨城県 ひたちなか市 馬渡2881-3ほかに所在する 埴輪 製作 遺跡 。 1969年 8月5日に一部範囲が 国史跡 に指定され、 1985年 8月12日に一部範囲が追加で国史跡となった  。","https://ja.wikipedia.org/wiki/馬渡埴輪製作遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分08秒 東経140度33分41秒","","","","","","","","","","","","","","","","","","",""
"愛宕山古墳 (水戸市)","[愛宕山古墳（あたごやまこふん）〔水戸市〕] 愛宕山古墳 （あたごやまこふん）は、 茨城県 水戸市 愛宕町にある 前方後円墳 。国の 史跡 に指定されている（ 1934年 （昭和9年） 5月1日 指定）。","https://ja.wikipedia.org/wiki/愛宕山古墳_(水戸市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度23分47.04秒 東経140度27分5.95秒","","","","","","","","","","","","","","","","","","",""
"大串貝塚","[大串貝塚（おおくしかいづか）〔水戸市〕] 大串貝塚 （おおぐしかいづか）は、 日本 の 茨城県 水戸市 塩崎町1064-1  に所在する 縄文時代 前期の 貝塚 である    。『 常陸国風土記 』に 巨人 伝説の地「大櫛之岡」として言及されており（ 後述 ）、これは縄文時代（ 石器時代 ）の貝塚（ 遺跡 ）が古 文献 に記された最古の例として知られる     。遺跡の平坦部分は削平されているが、斜面の 貝層 部分は 1970年 （ 昭和 45年） 5月11日 付で国の 史跡 に指定されており「大串貝塚ふれあい公園」として整備されている  。","https://ja.wikipedia.org/wiki/大串貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度20分0.0秒 東経140度32分58.3秒","","","","","","","","","","","","","","","","","","",""
"台渡里官衙遺跡 (存在しないページ)","[台渡里官衙遺跡]","https://ja.wikipedia.org/w/index.php?title=台渡里官衙遺跡&amp;action=edit&amp;redlink=1","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
