"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","最新噴火","初登頂","上位山系","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"朝日岳 (群馬県)","[朝日岳] 朝日岳 （あさひだけ）は、 群馬県 利根郡 みなかみ町 と 新潟県 南魚沼市 にまたがる 標高 1,945 m の 山 である。","https://ja.wikipedia.org/wiki/朝日岳_(群馬県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度52分50秒東経138度58分21秒","日本群馬県利根郡みなかみ町新潟県南魚沼市","北緯36度52分50秒東経138度58分21秒﻿ / ﻿北緯36.88056度 東経138.97250度﻿ /36.88056; 138.97250座標:北緯36度52分50秒東経138度58分21秒﻿ / ﻿北緯36.88056度 東経138.97250度﻿ /36.88056; 138.97250","1,945.26m","三国山脈","","","","","","","","","","","","","","",""
"至仏山","[至仏山] 至仏山 （しぶつさん、しふつさん）は、 群馬県 の北東部、 みなかみ町 と 片品村 との境界に位置する 標高 2,228.1mの 山 である。二等 三角点 「至仏山」が設置されている。 日本百名山 の1つに数えられており、 尾瀬国立公園  に属する。標高は オーストラリア大陸 の最高峰の コジオスコ とほぼ等しい。","https://ja.wikipedia.org/wiki/至仏山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度54分12.5秒東経139度10分23.7秒","日本群馬県みなかみ町・利根郡片品村","北緯36度54分12.5秒東経139度10分23.7秒﻿ / ﻿北緯36.903472度 東経139.173250度﻿ /36.903472; 139.173250座標:北緯36度54分12.5秒東経139度10分23.7秒﻿ / ﻿北緯36.903472度 東経139.173250度﻿ /36.903472; 139.173250","2,228.1m","越後山脈","","","","","","","","","","","","","","",""
"鋸山 (千葉県)","[鋸山] 鋸山 （のこぎりやま）は、 千葉県 安房郡 鋸南町 と 富津市 との境に位置する 標高 329.4 メートル の 山 。 索道 として 鋸山ロープウェー が通る。 日本寺 、地獄のぞきなど 観光地 化されている。日本名山図会の日本80名山  、日本百低山に選定されている  。","https://ja.wikipedia.org/wiki/鋸山_(千葉県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度09分37秒東経139度50分26秒","千葉県安房郡鋸南町・富津市","北緯35度09分37秒東経139度50分26秒﻿ / ﻿北緯35.16028度 東経139.84056度﻿ /35.16028; 139.84056座標:北緯35度09分37秒東経139度50分26秒﻿ / ﻿北緯35.16028度 東経139.84056度﻿ /35.16028; 139.84056","329.4m","房総丘陵","","","","","","","","","","","","","","",""
"岩茸石山","[岩茸石山] 岩茸石山 （いわたけいしやま）は 東京都 青梅市 ・ 西多摩郡 奥多摩町 の境目の 奥多摩山域 にある 標高 793mの 山 。","https://ja.wikipedia.org/wiki/岩茸石山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度49分50秒東経139度10分43秒","東京都青梅市、西多摩郡奥多摩町","北緯35度49分50秒東経139度10分43秒﻿ / ﻿北緯35.83056度 東経139.17861度﻿ /35.83056; 139.17861座標:北緯35度49分50秒東経139度10分43秒﻿ / ﻿北緯35.83056度 東経139.17861度﻿ /35.83056; 139.17861","792.99m","奥多摩","","","","","","","","","","","","","","",""
"谷川岳","[谷川岳] 谷川岳 （たにがわだけ）は 群馬 ・ 新潟 の県境にある 三国山脈 の 山 である。 日本百名山 のひとつ。周囲の 万太郎山 ・ 仙ノ倉山 ・ 茂倉岳 などを総じて 谷川連峰 という。","https://ja.wikipedia.org/wiki/谷川岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度50分14秒東経138度55分48秒","日本群馬県利根郡みなかみ町新潟県南魚沼郡湯沢町","北緯36度50分14秒東経138度55分48秒﻿ / ﻿北緯36.83722度 東経138.93000度﻿ /36.83722; 138.93000座標:北緯36度50分14秒東経138度55分48秒﻿ / ﻿北緯36.83722度 東経138.93000度﻿ /36.83722; 138.93000","1,977m","三国山脈","","","","","","","","","","","","","","",""
"鬼怒沼山","[鬼怒沼山] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯36度52分57秒 東経139度22分18秒 ﻿ / ﻿ 北緯36.8826371278459度 東経139.371611336619度 ﻿ / 36.8826371278459; 139.371611336619","https://ja.wikipedia.org/wiki/鬼怒沼山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"高宕山","[高宕山] 高宕山 （たかごやま）は、 千葉県 君津市 ・ 富津市 の境にある山である。 標高 330メートル。","https://ja.wikipedia.org/wiki/高宕山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度11分54秒東経139度59分33秒","日本千葉県君津市・富津市","北緯35度11分54秒東経139度59分33秒﻿ / ﻿北緯35.19833度 東経139.99250度﻿ /35.19833; 139.99250","330m","房総丘陵","","","","","","","","","","","","","","",""
"御岳山 (東京都)","[御岳山] 御岳山 （みたけさん）は、 東京都 青梅市 にある 標高 929mの 山 である。 武蔵御岳山 とも呼ばれる。古くから 山岳信仰 の対象となっており、山上には 武蔵御嶽神社 が建立されている。","https://ja.wikipedia.org/wiki/御岳山_(東京都)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度46分58.3秒東経139度8分58.2秒","日本東京都青梅市","北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500座標:北緯35度46分58.3秒東経139度8分58.2秒﻿ / ﻿北緯35.782861度 東経139.149500度﻿ /35.782861; 139.149500","929m","奥多摩","","","","","","","","","","","","","","",""
"仙ノ倉山","[仙ノ倉山] 仙ノ倉山 （せんのくらやま）は、 群馬県 利根郡 みなかみ町 と 新潟県 南魚沼郡 湯沢町 にまたがる 山 。谷川連峰に属する。 標高 2,026mで二等 三角点 が置かれている。ぐんま百名山  で、「ぐんま県境 稜線 トレイル」コースになっている  。","https://ja.wikipedia.org/wiki/仙ノ倉山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度49分03秒東経138度50分22秒","日本群馬県利根郡みなかみ町新潟県南魚沼郡湯沢町","北緯36度49分03秒東経138度50分22秒﻿ / ﻿北緯36.81750度 東経138.83944度﻿ /36.81750; 138.83944座標:北緯36度49分03秒東経138度50分22秒﻿ / ﻿北緯36.81750度 東経138.83944度﻿ /36.81750; 138.83944","2,026.3m","三国山脈","","","","","","","","","","","","","","",""
"太郎山 (栃木県)","[太郎山] 太郎山 （たろうさん）は、 栃木県 日光市 にある標高2,368mの 火山   。 日本三百名山 のひとつ。","https://ja.wikipedia.org/wiki/太郎山_(栃木県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度49分4.2秒東経139度28分58.1秒","栃木県日光市","北緯36度49分4.2秒東経139度28分58.1秒﻿ / ﻿北緯36.817833度 東経139.482806度﻿ /36.817833; 139.482806","2,367.5m","日光連山","溶岩ドーム","","","","","","","","","","","","","",""
"富山 (千葉県)","[富山] 富山 （とみさん）は、 千葉県 南房総市 にある 山 である。 房総丘陵 の山の一つである。2つの峰からなる 双耳峰 で、 標高 は北峰（金毘羅峰）が349m   、南峰（観音峰）342.0m。北峰には 三角点 と金比羅神社、そして「十一州一覧台」という 展望台 があり、南峰には 観音堂 がある。周囲一帯は「県立富山自然公園」に指定されている。","https://ja.wikipedia.org/wiki/富山_(千葉県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度05分56秒東経139度52分53秒","日本千葉県南房総市","北緯35度05分56秒東経139度52分53秒﻿ / ﻿北緯35.09889度 東経139.88139度﻿ /35.09889; 139.88139座標:北緯35度05分56秒東経139度52分53秒﻿ / ﻿北緯35.09889度 東経139.88139度﻿ /35.09889; 139.88139","349m","房総丘陵","","","","","","","","","","","","","","",""
