"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","インペリアル,換算","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"伊吹山","[1いぶきやま伊吹山滋賀県1,377.3地理院地図Googleマップ.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.417836度 東経136.406346度﻿ /35.417836; 136.406346﻿ (伊吹山)日本百名山新・花の百名山一等三角点百名山東海の百山近畿百名山滋賀県最高峰一等三角点伊吹山ドライブウェイ住友大阪セメント伊吹鉱山] 伊吹山 （いぶきやま〈いぶきさん〉  ）は、 滋賀県 米原市 、 岐阜県 揖斐郡 揖斐川町 、 不破郡 関ケ原町 にまたがる 伊吹山地 の主峰（ 最高峰 ） 標高 1,377 m の 山 である  。 一等三角点 が置かれている山頂部は滋賀県米原市に属し  、 滋賀県最高峰 の山であり、山域は 琵琶湖国定公園 に指定されている  。","https://ja.wikipedia.org/wiki/伊吹山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度25分04秒東経136度24分23秒","日本滋賀県米原市岐阜県揖斐郡揖斐川町、不破郡関ケ原町","1,377.31m","北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.41778度 東経136.40639度﻿ /35.41778; 136.40639座標:北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.41778度 東経136.40639度﻿ /35.41778; 136.40639","伊吹山地","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"横山岳","[2よこやまだけ横山岳滋賀県1,131.7地理院地図Googleマップ北緯35度36分06秒東経136度15分42秒﻿ / ﻿北緯35.601552度 東経136.261627度﻿ /35.601552; 136.261627﻿ (横山岳)近畿百名山「横山岳から望む琵琶湖と余呉湖」が長浜市の景観「ながはま百景」の一つに選定] 横山岳 （よこやまだけ）は、 滋賀県 長浜市   にある 伊吹山地   の 標高 1,132 m の 山 。","https://ja.wikipedia.org/wiki/横山岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度36分05.5865秒東経136度15分41.8577秒","日本滋賀県長浜市","1,131.69m","北緯35度36分05.5865秒東経136度15分41.8577秒﻿ / ﻿北緯35.601551806度 東経136.261627139度﻿ /35.601551806; 136.261627139座標:北緯35度36分05.5865秒東経136度15分41.8577秒﻿ / ﻿北緯35.601551806度 東経136.261627139度﻿ /35.601551806; 136.261627139","伊吹山地","","","","","","","","","","","","","","",""
"七々頭ヶ岳 (存在しないページ)","[3画 像 募 集 中ななずがだけ七七頭ヶ岳滋賀県693.1地理院地図Googleマップ北緯35度35分11秒東経136度13分02秒﻿ / ﻿北緯35.586262度 東経136.217316度﻿ /35.586262; 136.217316﻿ (七七頭ヶ岳)七々頭ヶ岳]","https://ja.wikipedia.org/w/index.php?title=七々頭ヶ岳&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"金糞岳","[4かなくそだけ金糞岳岐阜県滋賀県1,317地理院地図Googleマップ北緯35度33分01秒東経136度20分14秒﻿ / ﻿北緯35.550159度 東経136.337194度﻿ /35.550159; 136.337194﻿ (金糞岳)近畿百名山滋賀県の第二高峰] 金糞岳 （かなくそだけ、きんぷんだけ）は、 近畿地方 最北東部、 中部地方 西部に位置し、 滋賀県 長浜市 上草野地区と 岐阜県 揖斐郡 揖斐川町 の境界に所在する、 標高 1,317 m の 山 。 伊吹山地 に属する。","https://ja.wikipedia.org/wiki/金糞岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度33分00秒東経136度20分14秒","滋賀県長浜市岐阜県揖斐郡揖斐川町","1,317m","北緯35度33分00秒東経136度20分14秒﻿ / ﻿北緯35.55000度 東経136.33722度﻿ /35.55000; 136.33722座標:北緯35度33分00秒東経136度20分14秒﻿ / ﻿北緯35.55000度 東経136.33722度﻿ /35.55000; 136.33722","伊吹山地","","","","","","","","","","","","","","",""
"賤ヶ岳","[5しずがたけ賤ヶ岳滋賀県421.1地理院地図Googleマップ北緯35度30分22秒東経136度11分35秒﻿ / ﻿北緯35.506094度 東経136.193098度﻿ /35.506094; 136.193098﻿ (賤ヶ岳)東海の百山古戦場賤ヶ岳の戦い賤ヶ岳リフト] 賤ヶ岳 （しずがたけ）は 滋賀県 長浜市 （旧 伊香郡 木之本町 ）にある 標高 421 m の 山 である、 琵琶湖 と 余呉湖 を分ける。","https://ja.wikipedia.org/wiki/賤ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度30分22秒東経136度11分35秒","滋賀県長浜市","421.13m","北緯35度30分22秒東経136度11分35秒﻿ / ﻿北緯35.50611度 東経136.19306度﻿ /35.50611; 136.19306","野坂山地","","","","","","","","","","","","","","",""
"御在所岳","[6ございしょだけ御在所岳滋賀県三重県1,212地理院地図Googleマップ北緯35度01分14秒東経136度25分05秒﻿ / ﻿北緯35.020446度 東経136.418000度﻿ /35.020446; 136.418000﻿ (御在所岳)日本二百名山鈴鹿セブンマウンテン東海の百山近畿百名山御在所山一等三角点御在所ロープウェイ山上公園観光リフト湯の山温泉] 御在所岳 （ございしょだけ）は、 三重県 三重郡 菰野町 と 滋賀県 東近江市 の境にある 標高 1,212 m の 山 で、 御在所山  とも呼ばれる。 鈴鹿国定公園 の中に位置し、 日本二百名山  、 関西百名山  及び 鈴鹿セブンマウンテン  に選定されている。","https://ja.wikipedia.org/wiki/御在所岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度01分14秒東経136度25分04秒","日本三重県三重郡菰野町滋賀県東近江市","1,212m","北緯35度01分14秒東経136度25分04秒﻿ / ﻿北緯35.02056度 東経136.41778度﻿ /35.02056; 136.41778座標:北緯35度01分14秒東経136度25分04秒﻿ / ﻿北緯35.02056度 東経136.41778度﻿ /35.02056; 136.41778","鈴鹿山脈","隆起（花崗岩）","","","","","","","","","","","","","",""
"鎌ヶ岳","[7かまがたけ鎌ヶ岳滋賀県三重県1,161地理院地図Googleマップ北緯35度00分05秒東経136度25分16秒﻿ / ﻿北緯35.001303度 東経136.421222度﻿ /35.001303; 136.421222﻿ (鎌ヶ岳)鈴鹿セブンマウンテン東海の百山近畿百名山「鈴鹿の槍ヶ岳やマッターホルン」[5] 鎌ヶ岳 （かまがたけ）は、 三重県 三重郡 菰野町 と 滋賀県 甲賀市 にまたがる 鈴鹿山脈 南部の 標高 1,161 m の 山 。 鈴鹿国定公園 内にあり、 関西百名山  及び 鈴鹿セブンマウンテン  のひとつに選定されている。","https://ja.wikipedia.org/wiki/鎌ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度00分05秒東経136度25分16秒","日本三重県三重郡菰野町滋賀県甲賀市","1,161m","北緯35度00分05秒東経136度25分16秒﻿ / ﻿北緯35.00139度 東経136.42111度﻿ /35.00139; 136.42111座標:北緯35度00分05秒東経136度25分16秒﻿ / ﻿北緯35.00139度 東経136.42111度﻿ /35.00139; 136.42111","鈴鹿山脈","隆起（花崗岩）","","","","","","","","","","","","","",""
"御池岳","[8おいけだけ御池岳滋賀県1,247地理院地図Googleマップ北緯35度10分43秒東経136度24分54秒﻿ / ﻿北緯35.178611度 東経136.415000度﻿ /35.178611; 136.415000﻿ (御池岳)花の百名山近畿百名山(鈴鹿山脈の最高峰)カルスト台地] 御池岳 （おいけだけ）は、 滋賀県 東近江市 の 鈴鹿国定公園 内にある 標高 1,247 m の 山 。山腹の北東面は 三重県 いなべ市 との境界に位置する。 鈴鹿山脈 および東近江市の 最高峰 。","https://ja.wikipedia.org/wiki/御池岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度10分43秒東経136度24分54秒","日本滋賀県東近江市（三重県いなべ市）","1,247m","北緯35度10分43秒東経136度24分54秒﻿ / ﻿北緯35.17861度 東経136.41500度﻿ /35.17861; 136.41500座標:北緯35度10分43秒東経136度24分54秒﻿ / ﻿北緯35.17861度 東経136.41500度﻿ /35.17861; 136.41500","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"藤原岳","[9ふじわらだけ藤原岳滋賀県三重県1,140地理院地図Googleマップ北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.158697度 東経136.452822度﻿ /35.158697; 136.452822﻿ (藤原岳)日本三百名山花の百名山新・花の百名山鈴鹿セブンマウンテン東海の百山近畿百名山（標高未確定）太平洋セメント藤原鉱山] 藤原岳 （ふじわらだけ）は 鈴鹿国定公園 の 三重県 いなべ市 と 滋賀県 東近江市 との境界にある 山 。 標高 1,144 m  。 鈴鹿山脈 の北部に位置し、 日本三百名山 及び 関西百名山 、 花の百名山 に選定されている。","https://ja.wikipedia.org/wiki/藤原岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度09分31秒東経136度27分10秒","日本三重県いなべ市滋賀県東近江市","1,144m","北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278座標:北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"霊仙山","[10りょうぜんさん霊仙山滋賀県1,094地理院地図Googleマップ北緯35度16分45秒東経136度22分53秒﻿ / ﻿北緯35.279167度 東経136.38139度﻿ /35.279167; 136.38139﻿ (霊仙山)花の百名山東海の百山近畿百名山カルスト台地最高点1,098 mの表記もある[6] 霊仙山 （りょうぜんざん、りょうぜんやま）は、 滋賀県 の 犬上郡 多賀町 と 米原市 にまたがる 鈴鹿山脈 の最北に位置する 標高 1,094 m の 山 。山の東山腹は 岐阜県 大垣市 上石津町 と 不破郡 関ケ原町 に属する。北側には 伊吹山 が対峙している。『 花の百名山 』  として花の多い山であることが知られていて  、シーズン中は多くの登山者が訪れる。","https://ja.wikipedia.org/wiki/霊仙山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯35度16分45秒東経136度22分53秒","日本滋賀県犬上郡多賀町、米原市岐阜県大垣市上石津町、不破郡関ケ原町","1,094m","北緯35度16分45秒東経136度22分53秒﻿ / ﻿北緯35.27917度 東経136.38139度﻿ /35.27917; 136.38139","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
