title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mscpe_hc	00255e	0	37	94	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　ざくろ石帯	Ca-O_mscpe_hg	003738	0	55	56	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mrga_hc	00406c	0	64	108	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　緑泥石帯	metagabbro chlorite zone of high P/T regional metamorphic rocks
古生代 後期オルドビス紀〜前期デボン紀, 海成層 石灰岩	O3-D1_sol	0042ff	0	66	255	古生代 後期オルドビス紀〜前期デボン紀	Paleozoic Ordovician Late - Early Devonian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 中期デボン紀〜後期デボン紀, 海成層 石灰岩	D2-3_sol	0048ff	0	72	255	古生代 中期デボン紀〜後期デボン紀	Paleozoic Middle Devonian - Late Devonian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 石炭紀, 海成層 石灰岩	C_sol	004eff	0	78	255	古生代 石炭紀	Paleozoic Carboniferous	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 ペルム紀 シスウラリアン世, 海成層 石灰岩	P1_sol	0054ff	0	84	255	古生代 ペルム紀 シスウラリアン世	Paleozoic Permian Cisuralian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	K112-121_mgmpe_ham	005a95	0	90	149	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相	pelitic gneiss & migmatite amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯	K112-121_mscpe_hg	005ae8	0	90	232	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks
古生代 後期デボン紀, 海成層 石灰岩 前期石炭紀付加体	D3_sol_Cb	005ae9	0	90	233	古生代 後期デボン紀	Paleozoic Late Devonian	付加体	Accretionary complexes	海成層 石灰岩 前期石炭紀付加体	marine limestone Early Carboniferous accretionary complex
古生代 ペルム紀 グアダルピアン世, 海成層 石灰岩	P2_sol	005aff	0	90	255	古生代 ペルム紀 グアダルピアン世	Paleozoic Permian Guadalupian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 ペルム紀 ローピンジアン世, 海成層 石灰岩	P3_sol	0060ff	0	96	255	古生代 ペルム紀 ローピンジアン世	Paleozoic Permian Lopingian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 グアダルピアン世, 海成層 石灰岩 中期-後期ペルム紀付加体	C13-P2_sol_P2	0064e9	0	100	233	古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 グアダルピアン世	Paleozoic Carboniferous Pennsylvanian Serpukhovian - Permian Guadalupian	付加体	Accretionary complexes	海成層 石灰岩 中期-後期ペルム紀付加体	marine limestone middle to late Permian accretionary complex
中生代 前期三畳紀〜後期三畳紀 アニシアン期, 海成層 石灰岩	Tr1-21_sol	0066ff	0	102	255	中生代 前期三畳紀〜後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	K122-Pg12_mscpe_hob	006795	0	103	149	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	pelitic schist oligoclase-biotite zone of high P/T  regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	K122-Pg12_mscpe_hab	0067ac	0	103	172	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	pelitic schist albite-biotite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期三畳紀, 海成層 石灰岩	Tr22-3_sol	006cff	0	108	255	中生代 後期三畳紀 ラディニアン期〜後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	海成層 石灰岩	marine limestone
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　緑泥石帯	K112-121_mscpe_hc	006ee1	0	110	225	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks
古生代 ペルム紀 グアダルピアン世〜中生代 後期三畳紀 カーニアン期, 海成層 石灰岩 中期-後期三畳紀付加体	P2-Tr31_sol_Tr	006ee9	0	110	233	古生代 ペルム紀 グアダルピアン世〜中生代 後期三畳紀 カーニアン期	Paleozoic Permian Guadalupian - Mesozoic Late Triassic Carnian	付加体	Accretionary complexes	海成層 石灰岩 中期-後期三畳紀付加体	marine limestone Middle to Late Triassic accretionary complex
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mpyma_hc	006f00	0	111	0	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯	mafic phyllite chlorite zone of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成玄武岩 高P/T型広域変成岩　緑泥石帯	D3-P1_mrbs_hc	007000	0	112	0	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成玄武岩 高P/T型広域変成岩　緑泥石帯	metabasalt chlorite zone of high P/T regional metamorphic rocks
