# 20万分の1日本シームレス地質図V2
"RGB","comment"
"00255e","[Ca-O_mscpe_hc] 古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　緑泥石帯"
"003738","[Ca-O_mscpe_hg] 古生代 カンブリア紀〜オルドビス紀, 泥質片岩 高P/T型広域変成岩　ざくろ石帯"
"00406c","[K122-Pg12_mrga_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯"
"0042ff","[O3-D1_sol] 古生代 後期オルドビス紀〜前期デボン紀, 海成層 石灰岩"
"0048ff","[D2-3_sol] 古生代 中期デボン紀〜後期デボン紀, 海成層 石灰岩"
"004eff","[C_sol] 古生代 石炭紀, 海成層 石灰岩"
"0054ff","[P1_sol] 古生代 ペルム紀 シスウラリアン世, 海成層 石灰岩"
"005a95","[K112-121_mgmpe_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"005ae8","[K112-121_mscpe_hg] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　ざくろ石帯"
"005ae9","[D3_sol_Cb] 古生代 後期デボン紀, 海成層 石灰岩 前期石炭紀付加体"
"005aff","[P2_sol] 古生代 ペルム紀 グアダルピアン世, 海成層 石灰岩"
"0060ff","[P3_sol] 古生代 ペルム紀 ローピンジアン世, 海成層 石灰岩"
"0064e9","[C13-P2_sol_P2] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 グアダルピアン世, 海成層 石灰岩 中期-後期ペルム紀付加体"
"0066ff","[Tr1-21_sol] 中生代 前期三畳紀〜後期三畳紀 アニシアン期, 海成層 石灰岩"
"006795","[K122-Pg12_mscpe_hob] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯"
"0067ac","[K122-Pg12_mscpe_hab] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"006cff","[Tr22-3_sol] 中生代 後期三畳紀 ラディニアン期〜後期三畳紀, 海成層 石灰岩"
"006ee1","[K112-121_mscpe_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　緑泥石帯"
"006ee9","[P2-Tr31_sol_Tr] 古生代 ペルム紀 グアダルピアン世〜中生代 後期三畳紀 カーニアン期, 海成層 石灰岩 中期-後期三畳紀付加体"
"006f00","[K122-Pg12_mpyma_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯"
"007000","[D3-P1_mrbs_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成玄武岩 高P/T型広域変成岩　緑泥石帯"
"007001","[Tr22-J31_mrbs_hlb] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"007100","[K122-Pg12_mrbs_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成玄武岩 高P/T型広域変成岩　緑泥石帯"
"007101","[K112-121_mrbs_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成玄武岩 高P/T型広域変成岩　緑泥石帯"
"007102","[Ca-O_mrbs_hc] 古生代 カンブリア紀〜オルドビス紀, 変成玄武岩 高P/T型広域変成岩　緑泥石帯"
"007200","[Tr22-J31_mrbs_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成玄武岩 高P/T型広域変成岩　緑泥石帯"
"007201","[K11-121_mrbs_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"0072ff","[J1_sol] 中生代 前期ジュラ紀, 海成層 石灰岩"
"007300","[D3-P1_mrbs_hlb] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成玄武岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"0078e9","[C13-Tr_sol_J1] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 三畳紀, 海成層 石灰岩 前期-中期ジュラ紀付加体"
"0078ff","[J2_sol] 中生代 中期ジュラ紀, 海成層 石灰岩"
"007eff","[J3_sol] 中生代 後期ジュラ紀, 海成層 石灰岩"
"0082e9","[C13-Tr32_sol_J2] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 後期三畳紀 ノーリアン期, 海成層 石灰岩 中期-後期ジュラ紀付加体"
"0084ff","[K11_sol] 中生代 前期白亜紀 ベリアシアン期〜バレミアン期, 海成層 石灰岩"
"008666","[O-S2_vbs_o_Sb] 古生代 オルドビス紀〜シルル紀 ウェンロック世, 玄武岩 海洋 前期古生代の苦鉄質岩類に富む付加体"
"008ce9","[P12-J_sol_J3] 古生代 ペルム紀 シスウラリアン世 サクマーリアン期〜中生代 ジュラ紀, 海成層 石灰岩 後期ジュラ紀-前期白亜紀付加体"
"009070","[P1-21_vbs_o_Pb] 古生代 ペルム紀 シスウラリアン世〜グアダルピアン世 ローディアン期, 玄武岩 海洋 前期-中期ペルム紀の苦鉄質岩類に富む付加体"
"0096e9","[J33-K121_sol_K1] 中生代 後期ジュラ紀 チトニアン期〜前期白亜紀 アプチアン期, 海成層 石灰岩 前期白亜紀後期-後期白亜紀前期付加体"
"009a7a","[J3-K11_vbs_o_Jb] 中生代 後期ジュラ紀〜前期白亜紀 バレミアン期, 玄武岩 海洋 後期ジュラ紀-前期白亜紀の苦鉄質岩類に富む付加体"
"00a000","[D3_vbs_o_Cb] 古生代 後期デボン紀, 玄武岩 海洋 前期石炭紀付加体"
"00a0e9","[J33-K212_sol_K2] 中生代 後期ジュラ紀 チトニアン期〜後期白亜紀 チューロニアン期, 海成層 石灰岩 後期白亜紀付加体"
"00a484","[K2_vbs_o_Kp] 中生代 後期白亜紀, 玄武岩 海洋 後期白亜紀の苦鉄質岩類に富む付加体"
"00a500","[C13-P1_vbs_o_P2] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世, 玄武岩 海洋 中期-後期ペルム紀付加体"
"00aa00","[C13-P1_vbs_o_Tr] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世, 玄武岩 海洋 中期-後期三畳紀付加体"
"00aae9","[P3-Tr32_sol_Ki] 古生代 ペルム紀 ローピンジアン世〜中生代 後期三畳紀 ノーリアン期, 海成層 石灰岩 白亜紀付加体"
"00af00","[C13-P1_vbs_o_J1] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜ペルム紀 シスウラリアン世, 玄武岩 海洋 前期-中期ジュラ紀付加体"
"00b400","[C13-Tr32_vbs_o_J2] 古生代 石炭紀 ペンシルバニアン亜紀 後期ミシシッピアン亜紀〜中生代 後期三畳紀 ノーリアン期, 玄武岩 海洋 中期-後期ジュラ紀付加体"
"00b4e9","[J32-K12_sol_Kn] 中生代 後期ジュラ紀 キンメリッジアン期〜前期白亜紀 アルビアン期, 海成層 石灰岩 後期白亜紀前期付加体"
"00b900","[P12-Tr32_vbs_o_J3] 古生代 ペルム紀 シスウラリアン世 サクマーリアン期〜中生代 後期三畳紀 ノーリアン期, 玄武岩 海洋 後期ジュラ紀-前期白亜紀付加体"
"00be00","[J33-K121_vbs_o_K1] 中生代 後期ジュラ紀 チトニアン期〜前期白亜紀 アプチアン期, 玄武岩 海洋 前期白亜紀後期-後期白亜紀前期付加体"
"00bee9","[K111-113_sol_KPg] 中生代 前期白亜紀 ベリアシアン期〜オーテリビアン期, 海成層 石灰岩 後期白亜紀-始新世付加体"
"00c300","[J33-K212_vbs_o_K2] 中生代 後期ジュラ紀 チトニアン期〜後期白亜紀 チューロニアン期, 玄武岩 海洋 後期白亜紀付加体"
"00c800","[P3-J2_vbs_o_Ki] 古生代 ペルム紀 ローピンジアン世〜中生代 中期ジュラ紀, 玄武岩 海洋 白亜紀付加体"
"00d200","[K1-211_vbs_o_KPg] 中生代 前期白亜紀〜後期白亜紀 セノマニアン期, 玄武岩 海洋 後期白亜紀-始新世付加体"
"00d2e9","[Pg2-3_sol_Pg4] 新生代 古第三紀 始新世 ルテシアン期〜漸新世 ルペリアン期, 海成層 石灰岩 後期漸新世-中期中新世前期付加体"
"00d700","[Pg12-21_vbs_o_Pg2] 新生代 古第三紀 暁新世 セランディアン期〜始新世 ルテシアン期, 玄武岩 海洋 始新世-前期漸新世付加体"
"00dc00","[Pg13-41_vbs_o_Pg4] 新生代 古第三紀 暁新世 サネティアン期〜漸新世 チャッティアン期, 玄武岩 海洋 後期漸新世-中期中新世前期付加体"
